year,Canada,Newfoundland,United States,Sweden,Norway,Sweden & Norway,Russia,Germany,France,Belgium,Australasia,British Guiana,British West Indies,Other British possessions,Other foreign countries,Total
1875,41111,,2858,951,4419,,2510,3477,,,,6473,387,,2550,64736
1877,66634,,3382,2409,3800,,4618,3248,,,,7007,,,842,91940
1878,33669,,2247,,6019,,,,,,,6042,,,8050,56027
1879,36381,,,,,9662,,,,,,2238,,,6524,54805
1880,,,,4675,,,,,,,,,,,,4675
1881,45564,,2898,5204,6663,,,,,,,1586,,,7091,69006
1883,49488,,2964,4972,6703,,10510,5353,190,,,5122,,,177,85479
1884,318,,52284,5836,3318,,,9923,3974,,,4824,,,3618,84095
1887,27367,,1682,5805,4114,,9984,3569,505,,,3463,,25,69,56583
1890,32581,,4124,2701,5351,,12134,1694,442,,,7038,,23,206,66294
1891,30710,,6264,11182,5549,,8905,5873,,,,5757,,5,1000,75245
1893,28506,8735,28863,4095,1668,,11429,3177,878,94,4331,5035,,104,31,96946
1894,26757,,8444,3765,1086,,11681,3414,545,111,,4210,,7,129,60149
1895,35843,,11638,9166,2165,,16422,5477,178,,,3212,,437,43,84581
1896,43558,,12910,8715,1635,,11046,2527,89,40,,5325,,67,113,86025
1897,42137,,16054,3439,913,,14650,4174,879,31,,5146,,18,564,88005
1898,34345,,11914,9188,3209,,11541,3951,1676,,,5181,,50,201,81256
1899,38159,,21083,9880,1883,,13524,3395,566,,,3001,,3757,135,95383
