year,Canada,United States,Russia,Germany,France,Netherlands,Belgium,Denmark,Portugal,Spain,Italy,Austria-Hungary,Argentina,Australasia,Brazil,British Honduras,British India & Burma,British West Indies,Cape of Good Hope,Central America,Chile,China,Colombia,Egypt,Falkland Islands,Gibraltar,Haiti & Santo Domingo,Malta,Mexico,Morocco,Other British possessions,Other foreign countries,Peru,Spanish West Indies,Turkey,Uruguay,Venezuela,West Africa (unspecified),Total
1877,2945,1544353,2607,9517450,1670,1610236,2695010,2041994,1868999,,4135,,5943034,281247190,870,6495,21547990,3183,41607778,3451,534249,473680,,4438143,913259,411441,3970,311977,42714,2879916,,5282,3292962,2039,1980,940001,,2191,383903194
1879,2384,9134,,,1706,,,,,,2797,,,,1469,,,2335,,1486,,,,,,,,,,,,6082,,,5032,,,,32425
1885,4173,26520,563,617,301,,,,,5380,1020,,,151,1364,,347,11412,,2857,,,341,,,,718,,34626,,22,2995,,2095,3525,,529,1181,100737
1887,5284,32180,1356,535,,1484,,,,,582,,,3043,,,599,1180,,,,,,,,,1772,,288,,146,3848,,1033,2420,,,2244,57994
1889,3902,48712,5435,1943,2532,441,,,,,1408,335,,1315,975,,526,1724,,429,,,,,,,256,,1783,,160,813,,2004,1644,,457,862,77656
