year,Canada,United States,Sweden,Norway,Russia,Germany,France,Netherlands,Austria-Hungary,Australasia,Gibraltar,Other British possessions,Other foreign countries,Total
1873,21561,12161,,4374,2234,29399,,,13636,,,,2630,85995
1874,18980,7157,12575,35044,9364,32653,,,9725,,,,1456,126954
1877,18508,12208,10695,28847,10501,27137,,,8348,,,,625,116869
1879,8655,11711,9823,20576,10554,22352,,,1081,,,,190,84942
1880,,,,,16592,,,,,,,,,16592
1881,5556,17731,13677,35419,16931,23983,,,5358,,,,33,118688
1882,7394,23852,14465,36515,18033,20524,,,4829,,,,439,126051
1883,8830,21871,20975,41818,19786,24656,92,94,3222,,100,,8,141452
1884,3862,23810,15269,41200,26588,21787,,,2350,,,,217,135083
1885,3994,19593,16812,31601,27887,21427,,,3383,,,26,126,124849
1886,2791,20204,19257,35696,24414,25279,,,2999,,,,75,130715
1887,5440,19691,13157,36710,31511,28123,,,2192,,,,754,137578
1888,62,1259,28965,24557,,32630,30887,,1281,141841,,,21446,282928
1889,2321,25456,26977,36867,43096,32606,1595,,477,,,,691,170086
1890,1550,21831,24125,33712,45152,26415,1343,,1374,,,47,454,156003
1891,2169,17978,20246,26277,34440,26497,916,370,1937,,,,56,130886
1893,560,24548,23319,24718,37862,18084,918,775,539,,,4,381,131708
1894,552,25562,13425,25164,46811,18604,697,869,410,,,4,37,132135
1895,2221,25271,12795,27756,53582,20021,882,999,463,,,,761,144751
