year,Canada,United States,Sweden,Norway,Russia,Germany,France,Netherlands,Denmark,Austria-Hungary,British Guiana,British India & Burma,Other British possessions,Other foreign countries,Total
1877,12244,9876,121666,50701,146759,8431,,15524,,999,,4831,,3083,374114
1879,9239,8827,156091,47023,97968,5360,,14674,,,,,,2199,341381
1881,11779,12676,145944,38571,106831,4052,,15637,,,,,,2181,337671
1884,8545,16810,126483,35886,100667,5222,1966,14430,,,,,,1368,311377
1885,15107,11940,142362,27462,95490,3477,2954,13516,,,491,,182,141,313122
1886,15664,15883,100697,26071,48950,6973,3811,12478,,,,,265,225,231017
1887,15907,19569,100685,26221,45523,4321,4834,13084,,,,185,68,1409,231806
1888,13325,4202,40548,99001,,1336,14897,5059,23128,,,262,8,20104,221870
1889,35386,26515,122072,28293,51116,7553,3755,12379,,,,263,7,122,287461
1890,30998,19024,114661,20034,48785,5867,6348,11894,,,,,268,173,258052
1891,25477,20103,45452,12903,31652,5690,8856,11013,,,,,735,690,162571
1893,53454,21004,15488,3589,33361,5015,9372,8509,,,,,644,287,150723
1894,32139,24191,14919,4359,33406,4865,9674,7951,,,,,20,139,131663
1895,38626,29537,15205,2391,25374,5171,10209,8152,,,,,653,242,135560
1896,49602,35243,11184,1049,35509,3472,12650,7809,,645,,,421,653,158237
