commodity,year,country,quantity,value,kept,located
Alkali,1872,Canada,55758,108335,1,1
Alkali,1872,France,4603,6220,1,1
Alkali,1872,Germany,3660,3266,1,1
Alkali,1872,Other Countries,3152,4608,1,0
Alkali,1872,Spain,4053,1032,1,1
Alkali,1872,United States Of America,17190,34921,1,1
Alkali,1873,Canada,57602,105433,1,1
Alkali,1873,France,4318,8347,1,1
Alkali,1873,Germany,1513,2506,1,1
Alkali,1873,Holland,1481,2521,1,1
Alkali,1873,Other Countries,821,945,1,0
Alkali,1873,Spain,11465,2867,1,1
Alkali,1873,United States Of America,18978,34161,1,1
Alkali,1874,Canada,72085,123740,1,1
Alkali,1874,Canary Islands,10535,2562,1,1
Alkali,1874,France,1557,2816,1,1
Alkali,1874,Germany,2649,4560,1,1
Alkali,1874,Holland,1595,2271,1,1
Alkali,1874,Other Countries,2216,3397,1,0
Alkali,1874,United States Of America,15939,26739,1,1
Alkali,1875,Belgium,2491,3188,1,1
Alkali,1875,Canada,76009,119611,1,1
Alkali,1875,Canary Islands,3921,1000,1,1
Alkali,1875,Germany,958,1360,1,1
Alkali,1875,Holland,975,775,1,1
Alkali,1875,Other Countries,433,455,1,0
Alkali,1875,United States Of America,6605,10446,1,1
Alkali,1876,Belgium,3933,5179,1,1
Alkali,1876,Canada,68396,89215,1,1
Alkali,1876,Canary Islands,6800,1870,1,1
Alkali,1876,Germany,4118,5028,1,1
Alkali,1876,Holland,1011,1234,1,1
Alkali,1876,Other Countries,2072,1969,1,0
Alkali,1876,United States Of America,6715,9120,1,1
Alkali,1877,Canada,63898,79688,1,1
Alkali,1877,Canary Islands,5400,1350,1,1
Alkali,1877,Germany,5319,4461,1,1
Alkali,1877,Other Countries,1753,1245,1,0
Alkali,1877,United States Of America,13837,16277,1,1
Alkali,1878,Canada,45121,54621,1,1
Alkali,1878,Germany,2016,2316,1,1
Alkali,1878,Other Countries,2300,2170,1,0
Alkali,1878,United States Of America,4384,4649,1,1
Alkali,1879,Canada,18661,59541,1,1
Alkali,1879,Other Countries,15510,6791,1,0
Alkali,1879,United States Of America,8813,10299,1,1
Alkali,1880,Canada,39896,50770,1,1
Alkali,1880,Other Countries,14329,11073,1,0
Alkali,1880,United States Of America,12851,16026,1,1
Alkali,1881,Canada,41406,55121,1,1
Alkali,1881,Other Countries,9532,8764,1,0
Alkali,1881,United States Of America,9196,12862,1,1
Alkali,1882,Canada,39200,54143,1,1
Alkali,1882,France,12324,15693,1,1
Alkali,1882,Other Countries,8503,7977,1,0
Alkali,1882,United States Of America,6992,10073,1,1
Alkali,1883,Belgium,252,188,1,1
Alkali,1883,Canada,32164,44847,1,1
Alkali,1883,France,12935,20240,1,1
Alkali,1883,Germany,3159,2354,1,1
Alkali,1883,Holland,3649,1699,1,1
Alkali,1883,Other Countries,95,80,1,0
Alkali,1883,United States Of America,8212,12544,1,1
Alkali,1884,Canada,32504,39061,1,1
Alkali,1884,France,13076,15333,1,1
Alkali,1884,Germany,2531,2075,1,1
Alkali,1884,Holland,11400,4348,1,1
Alkali,1884,Other Countries,823,395,1,0
Alkali,1884,United States Of America,6559,8963,1,1
Alkali,1885,Canada,22012,23853,1,1
Alkali,1885,France,11467,11385,1,1
Alkali,1885,Germany,7549,7164,1,1
Alkali,1885,Holland,16943,5501,1,1
Alkali,1885,Other Foreign Countries,7454,2273,1,0
Alkali,1885,United States Of America,3178,3665,1,1
Alkali,1886,Canada,20968,23930,1,1
Alkali,1886,France,11935,10532,1,1
Alkali,1886,Germany,7288,6469,1,1
Alkali,1886,Holland,34489,11313,1,1
Alkali,1886,Mauritius,18,13,1,1
Alkali,1886,Other Foreign Countries,723,413,1,0
Alkali,1886,United States Of America,2733,3158,1,1
Alkali,1887,Belgium,2690,953,1,1
Alkali,1887,British West India Islands,52,65,1,1
Alkali,1887,Canada,15885,19783,1,1
Alkali,1887,France,18281,16014,1,1
