volume,flow,duty,article_group,article,country_raw,unit,year,quantity,value
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Norway,Cwts,1872,2398,7017
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Germany,Cwts,1872,59794,286655
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Germany,Cwts,1872,1582,6028
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Holland,Cwts,1872,58456,281646
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Belgium,Cwts,1872,907,3065
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Belgium,Cwts,1872,27152,129231
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,France,Cwts,1872,1785,8729
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,France,Cwts,1872,76571,366101
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,China (exclusive of Hong Kong),Cwts,1872,2112,5272
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Pacific,Cwts,1872,724,2462
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Bengal and Burmah,Cwts,1872,1127,5430
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Foreign West Indies,Cwts,1872,3078,10025
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,British North America,Cwts,1872,2290,12357
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,United States of Colombia (New Granada),Cwts,1872,743,3010
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Other Countries,Cwts,1872,6087,27978
as_1872,export,,"CORDAGE, CABLES, AND ROPES OF HEMP OR LIKE MATERIAL",,Peru,Cwts,1872,5837,15545
as_1872,export,,TOTAL,,Chili,,1872,3667,11826
as_1872,export,,TOTAL,,To all Countries,Cwts,1872,1290,9554
as_1872,export,,TOTAL,,Brazil,Cwts,1872,4497,14412
as_1872,export,,TOTAL,,Sweden,Cwts,1872,3081,13410
as_1872,export,,TOTAL,,Uruguay,Cwts,1872,2117,5400
as_1872,export,,TOTAL,,Norway,Cwts,1872,6486,29046
as_1872,export,,TOTAL,,Argentine Republic,Cwts,1872,9420,22812
as_1872,export,,TOTAL,,Germany,Cwts,1872,20190,85838
as_1872,export,,TOTAL,,Channel Islands,Cwts,1872,1770,5800
as_1872,export,,TOTAL,,Holland,Cwts,1872,9890,38002
as_1872,export,,TOTAL,,British Possessions in South Africa,Cwts,1872,5962,18209
as_1872,export,,TOTAL,,Belgium,Cwts,1872,4184,18121
as_1872,export,,TOTAL,,Mauritius,Cwts,1872,1374,4054
