commodity,unit,year,Canada,Newfoundland,United States,Sweden,Norway,Sweden & Norway,Russia,Germany,France,Netherlands,Belgium,Denmark,Portugal,Spain,Italy,Austria-Hungary,Argentina,Australasia,Bermuda,Brazil,British East Indies,British Guiana,British Honduras,British India & Burma,British West Indies,British West Indies And Guiana,Cape of Good Hope,Central America,Ceylon,Chile,China,Colombia,Costa Rica,Cuba & Puerto Rico,Danish West Indies,Dutch Guiana,East Africa,Egypt,Falkland Islands,French West Africa,Gibraltar,Gold Coast,Greece,Haiti & Santo Domingo,Honduras,Java,Madagascar,Madeira,Malta,Mauritius,Mexico,Morocco,Nicaragua,Niger Protectorate,Other British possessions,Other foreign countries,Peru,Philippines,Romania,Scinde,Siam,Spanish West Indies,Turkey,Uruguay,Venezuela,West Africa (unspecified)
wood-furniture-hardwoods,tons,1877,2945,,1544353,,,,2607,9517450,1670,1610236,2695010,2041994,1868999,,4135,,5943034,281247190,,870,,,6495,21547990,3183,,41607778,3451,,534249,473680,,,,,,,4438143,913259,,411441,,,3970,,,,,311977,,42714,2879916,,,,5282,3292962,,,,,2039,1980,940001,,2191
wood-furniture-hardwoods,tons,1879,2384,,9134,,,,,,1706,,,,,,2797,,,,,1469,,,,,2335,,,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,6082,,,,,,,5032,,,
wood-furniture-hardwoods,tons,1885,4173,,26520,,,,563,617,301,,,,,5380,1020,,,151,,1364,,,,347,11412,,,2857,,,,341,,,,,,,,,,,,718,,,,,,,34626,,,,22,2995,,,,,,2095,3525,,529,1181
wood-furniture-hardwoods,tons,1887,5284,,32180,,,,1356,535,,1484,,,,,582,,,3043,,,,,,599,1180,,,,,,,,,,,,,,,,,,,1772,,,,,,,288,,,,146,3848,,,,,,1033,2420,,,2244
wood-furniture-hardwoods,tons,1889,3902,,48712,,,,5435,1943,2532,441,,,,,1408,335,,1315,,975,,,,526,1724,,,429,,,,,,,,,,,,,,,,256,,,,,,,1783,,,,160,813,,,,,,2004,1644,,457,862
wood-hewn-fir,loads,1873,247679,,173536,355930,328704,,326004,210874,169264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690,,,,,,,,,,
wood-hewn-fir,loads,1874,320971,,289480,343032,269377,,479453,237677,198649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7947,,,,,,,,,,
wood-hewn-fir,loads,1875,257514,,147475,219144,212988,,285715,186604,196459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458,,,,,,,,,,
wood-hewn-fir,loads,1876,201789,,221764,316350,297653,,,310012,203624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349310,,,,,,,,,,
wood-hewn-fir,loads,1877,358421,,162408,283192,243615,,365971,167191,200128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7393,,,,,,,,,,
wood-hewn-fir,loads,1878,207104,,117737,212003,248394,,318919,186918,232451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8865,,,,,,,,,,
wood-hewn-fir,loads,1879,131086,,93722,182720,217069,,171572,173996,247949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6398,,,,,,,,,,
wood-hewn-fir,loads,1881,220379,,148914,274223,313948,,224421,178601,294997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18876,,,,,,,,,,
wood-hewn-fir,loads,1882,196855,,141621,283162,316887,,294065,251152,304618,6066,,,,21635,,42589,,,,,,46125,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146,,,,,,,,,,
wood-hewn-fir,loads,1883,250838,,90031,295523,324015,,267361,299727,313229,,1395,479,,33316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
wood-hewn-fir,loads,1884,152590,,127671,258660,332402,,226800,229928,310588,,2685,,,53048,,456,,,,,,,,35498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,137,4784,,,,,
wood-hewn-fir,loads,1885,168864,,115053,254807,273781,,210195,231817,345531,,2373,,,40503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,779,,,,,,,,,,
wood-hewn-fir,loads,1886,112590,,50630,278699,261433,,185465,124378,335801,,,,,37583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,,,,,,,,,,
wood-hewn-fir,loads,1887,116957,,51326,258274,275209,,238650,174797,375014,,899,988,,48541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1889,151519,,84732,357026,368995,,352129,243424,503079,,,,,42973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255,,,,,,,,,,
wood-hewn-fir,loads,1890,121867,,97445,337313,326833,,301668,231463,530335,,,,,61462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1148,,,,,,,,,,
wood-hewn-fir,loads,1891,100824,,78218,343318,334467,,278143,242480,560544,,,,,64692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1892,120563,,100062,392855,380882,,318125,236594,602662,,250,,,49264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
wood-hewn-fir,loads,1893,84354,,73425,375248,248972,,319739,170019,568622,,,1347,,47555,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1354,,,,,,,,,,
wood-hewn-fir,loads,1894,69488,,30177,449627,272850,,372091,203560,675865,,,900,,47853,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,,,,,,,
wood-hewn-fir,loads,1895,69927,,61514,387411,253331,,372122,191290,615662,,,2057,1250,52598,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,1674,,,,,,,,,,
wood-hewn-fir,loads,1896,80779,,47542,407486,265294,,406099,243532,628246,,,1015,9934,43137,,,,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2206,,,,,,,,,,
wood-hewn-fir,loads,1897,81669,,,405280,321931,,482526,311024,750796,,,650,21089,35401,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1898,54104,,,389037,263752,,456023,243328,509412,,,1440,26685,37358,,,,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1899,53861,,,434674,318678,,439357,212216,769865,,,1786,17819,31495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,,,,,,,,,,
wood-hewn-oak,loads,1873,61831,,2341,,,,3735,49522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,,,,,,,,,,
wood-hewn-oak,loads,1874,70318,,7144,,,,7974,55413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868,,,,,,,,,,
wood-hewn-oak,loads,1875,43206,,4848,,,,4731,34639,3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
wood-hewn-oak,loads,1876,7854,,1416,,,,,3796,50338,,,,,,,4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67466,,,,,,,,,,
wood-hewn-oak,loads,1877,66515,,9434,,,,3949,34951,3059,,,,,,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,
wood-hewn-oak,loads,1878,25402,,2641,,,,3151,25048,,,,,,,,3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,,,,,,,
wood-hewn-oak,loads,1879,30342,,820,,,,1614,24584,,,,,,,,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,
wood-hewn-oak,loads,1881,36879,,3920,,,,2725,42610,,,,,,,,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,
wood-hewn-oak,loads,1883,43808,,19989,,393,,3114,44982,312,127,158,,,,109,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
wood-hewn-oak,loads,1885,31532,,22351,,,,3673,49709,616,,,,,,,5789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,149,,,,,,,424,,,
wood-hewn-oak,loads,1886,20189,,22577,,,,7693,36577,226,,359,,,,,6998,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,558,,,,,,,,,,
wood-hewn-oak,loads,1887,20916,,30429,,,,5362,36037,,,,,,,,5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,
wood-hewn-oak,loads,1889,32140,,58248,,,,4245,40965,977,,,,,,,6628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,,,,,,,,,,
wood-hewn-oak,loads,1890,25618,,50128,,,,3150,54325,515,,,,,,,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1705,,,,,,,,,,
wood-hewn-oak,loads,1891,20294,,64514,,,,2018,29731,,,,,,,,5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,,,,,,,,,,
wood-hewn-oak,loads,1892,27281,,59552,,,,2551,47078,,,,,,,212,6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,,,,,,,,,,
wood-hewn-oak,loads,1893,23504,,117189,,192,,4149,42782,,587,,,,356,202,7018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,1565,,,,,,,,,,
wood-hewn-oak,loads,1894,21900,,53095,,820,,6666,22008,,477,,,,39,339,5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1855,,,,,,,,,,
wood-hewn-oak,loads,1895,18276,,50986,,400,,4923,28880,,1,29,,,36,,4863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,
wood-hewn-oak,loads,1896,26745,,72907,90,553,,11138,26833,,,37,,,81,31,6566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,
wood-hewn-oak,loads,1897,33626,,143857,173,497,,,35857,,10,117,,,31,90,6758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,371,,,,,,,,,,
wood-hewn-oak,loads,1898,20015,,86327,136,606,,,30852,,20,109,,,29,122,7494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,573,,,,,,,,,,
