fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1870,A,Brazil,FREE,1,14,159,14,159,0.0
1870,A,British Guiana,DUTIABLE,3,10947114,221457,55362,214,0.0
1870,A,British Guiana,FREE,2,2,7649,11509,5221,9208.3
1870,A,British West Indies,DUTIABLE,35,4852117,6492340,3246633,173472,69567.92
1870,A,British West Indies,FREE,30,11262334,391965,5054842,126013,31669.16
1870,A,Brls,FREE,1,0,7019,0,15229,0.0
1870,A,China,DUTIABLE,1,14563,3167,9821,2115,660.52
1870,A,China,FREE,5,2134181,651040,1239191,373957,136243.32
1870,A,Cloths,DUTIABLE,1,161,6055,150,5486,822.95
1870,A,Cwt,FREE,3,4367,26205,26205,0,0.0
1870,A,Danish West Indies,DUTIABLE,1,138,0,0,0,0.0
1870,A,Danish West Indies,FREE,1,1970,300,1970,300,0.0
1870,A,Demerara,DUTIABLE,1,0,8699,8699,483,207.55
1870,A,Dutch Guiana,DUTIABLE,1,0,1667,1667,67,33.34
1870,A,Dutch West Indies,DUTIABLE,1,0,110835,28450,1615,688.04
1870,A,France,DUTIABLE,40,83388,280290,103571,255810,41131.07
1870,A,France,FREE,88,609322,697686,156371,569572,81343.48
1870,A,French West Indies,DUTIABLE,4,226,116088,55821,2686,1150.56
1870,A,French West Indies,FREE,3,13063,42563,35363,42563,0.0
1870,A,Galls,FREE,1,251,90,90,0,0.0
1870,A,Germany,DUTIABLE,37,155656,79808,144318,71347,29198.55
1870,A,Germany,FREE,66,193295,431573,96558,412291,80970.21
1870,A,Great Britain,DUTIABLE,244,40454226,11725758,25836438,10332243,1840449.49
1870,A,Great Britain,FREE,373,33700318,9664337,9682831,9465309,715136.62
1870,A,Greece,FREE,1,3655,47,7,5,0.0
1870,A,Harness and Saddlery,DUTIABLE,1,250,5693,250,5693,853.76
1870,A,Holland,DUTIABLE,13,609647,99056,278415,49894,4518.71
1870,A,Holland,FREE,11,13588,26031,17561,41741,4769.61
1870,A,Italy,DUTIABLE,2,636,1280,636,1280,142.52
1870,A,Italy,FREE,11,2086559,114042,18111,7255,507.85
1870,A,Japan,FREE,2,95122,19057,21942,5340,2336.34
1870,A,Jersey,DUTIABLE,3,6134,8225,6589,8244,1489.32
1870,A,Jersey,FREE,3,1680,21180,23085,8932,16389.28
1870,A,Lbs,DUTIABLE,1,903539,17730,4432,25,0.0
1870,A,Lbs,FREE,4,1658656,5272733,18609,474483,0.0
1870,A,Madeira,DUTIABLE,1,507,382,382,0,603.25
1870,A,Newfoundland,DUTIABLE,15,69121,113023,50485,93589,1437.77
1870,A,Newfoundland,FREE,11,2103,220190,2123,223064,0.0
