volume,flow,duty,article_group,article,country_raw,unit,year,quantity,value
as_1872,import,,ENGLAND AND WALES,,Hull,,1872,16534161,
as_1872,import,,ENGLAND AND WALES,,Ipswich,,1872,459723,
as_1872,import,,ENGLAND AND WALES,,Lancaster,,1872,366480,
as_1872,import,,ENGLAND AND WALES,,Littlehampton,,1872,955439,
as_1872,import,,ENGLAND AND WALES,,Liverpool,,1872,105555298,
as_1872,import,,ENGLAND AND WALES,,Llanelly,,1872,143746,
as_1872,import,,ENGLAND AND WALES,,London,,1872,121174141,
as_1872,import,,ENGLAND AND WALES,,Towestoft,,1872,146546,
as_1872,import,,ENGLAND AND WALES,,Lyme,,1872,124,
as_1872,import,,ENGLAND AND WALES,,Lynn,,1872,335055,
as_1872,import,,ENGLAND AND WALES,,Maldon,,1872,37453,
as_1872,import,,ENGLAND AND WALES,,Maryport,,1872,43744,
as_1872,import,,ENGLAND AND WALES,,Middlesborough,,1872,303500,
as_1872,import,,ENGLAND AND WALES,,Milford,,1872,62630,
as_1872,import,,ENGLAND AND WALES,,Newcastle,,1872,3992017,
as_1872,import,,ENGLAND AND WALES,,Newhaven,,1872,6615027,
as_1872,import,,ENGLAND AND WALES,,Newport,,1872,362245,
as_1872,import,,ENGLAND AND WALES,,Padstow,,1872,11867,
as_1872,import,,ENGLAND AND WALES,,Penzance,,1872,79231,
as_1872,import,,ENGLAND AND WALES,,Plymouth,,1872,1335794,
as_1872,import,,ENGLAND AND WALES,,Poole,,1872,70546,
as_1872,import,,ENGLAND AND WALES,,Portsmouth,,1872,282041,
as_1872,import,,ENGLAND AND WALES,,Preston,,1872,27559,
as_1872,import,,ENGLAND AND WALES,,Ramsgate,,1872,19201,
as_1872,import,,ENGLAND AND WALES,,Rochester,,1872,348465,
as_1872,import,,ENGLAND AND WALES,,Runcorn,,1872,199107,
as_1872,import,,ENGLAND AND WALES,,Rye,,1872,17159,
as_1872,import,,ENGLAND AND WALES,,Scarborough,,1872,8811,
as_1872,import,,ENGLAND AND WALES,,Scilly,,1872,15378,
as_1872,import,,ENGLAND AND WALES,,Shields North,,1872,211883,
as_1872,import,,ENGLAND AND WALES,,South,,1872,769293,
as_1872,import,,ENGLAND AND WALES,,Shoreham,,1872,201588,
as_1872,import,,ENGLAND AND WALES,,Southampton,,1872,10827375,
as_1872,import,,ENGLAND AND WALES,,Stockton,,1872,403536,
as_1872,import,,ENGLAND AND WALES,,Sunderland,,1872,645264,
as_1872,import,,ENGLAND AND WALES,,Swansea,,1872,2815116,
as_1872,import,,ENGLAND AND WALES,,Teignmouth,,1872,88803,
as_1872,import,,ENGLAND AND WALES,,Truro,,1872,92443,
as_1872,import,,ENGLAND AND WALES,,Wells,,1872,38392,
as_1872,import,,ENGLAND AND WALES,,Weymouth,,1872,72410,
as_1872,import,,ENGLAND AND WALES,,Whitby,,1872,5215,
as_1872,import,,ENGLAND AND WALES,,Whitehaven,,1872,54606,
as_1872,import,,ENGLAND AND WALES,,Wisbeach,,1872,237615,
as_1872,import,,ENGLAND AND WALES,,Woodbridge,,1872,23575,
as_1872,import,,ENGLAND AND WALES,,Workington,,1872,6868,
as_1872,import,,ENGLAND AND WALES,,Yarmouth,,1872,505244,
as_1872,import,,ENGLAND AND WALES,,TOTAL FOR ENGLAND AND WALES,,1872,311058215,
as_1872,import,,ALKALI,,France,,1872,4603,6220
as_1872,import,,ALKALI,,Spain and Canaries,,1872,4053,1032
as_1872,import,,ALKALI,,United States of America,,1872,17190,34921
as_1872,import,,ALKALI,,British North America,,1872,55758,108335
as_1872,import,,ALKALI,,Other Countries,,1872,3152,4608
as_1872,import,,ALKALI,,Total,,1872,88416,158352
as_1872,import,,ANIMALS,Oxen and Bulls,Norway,,1872,857,15245
as_1872,import,,ANIMALS,Oxen and Bulls,Denmark,,1872,12054,208829
as_1872,import,,ANIMALS,Oxen and Bulls,Germany,,1872,46093,917269
as_1872,import,,ANIMALS,Oxen and Bulls,Holland,,1872,14642,290357
as_1872,import,,ANIMALS,Oxen and Bulls,Portugal and Azores,,1872,15301,312121
as_1872,import,,ANIMALS,Oxen and Bulls,Spain,,1872,15462,266606
as_1872,import,,ANIMALS,Oxen and Bulls,Other Countries,,1872,1267,25719
as_1872,import,,ANIMALS,Oxen and Bulls,Total,,1872,110631,2133341
as_1872,import,,ANIMALS,Cows,Germany,,1872,9389,156531
as_1872,import,,ANIMALS,Cows,Holland,,1872,11939,158766
as_1872,import,,ANIMALS,Cows,Other Countries,,1872,1302,19156
as_1872,import,,ANIMALS,Cows,Total,,1872,28840,430237
as_1872,import,,ANIMALS,Calves,Holland,,1872,31553,105681
as_1872,import,,ANIMALS,Calves,Other Countries,,1872,432,1639
as_1872,import,,ANIMALS,Calves,Total,,1872,33522,112801
as_1872,import,,ANIMALS,Horses,Holland,,1872,1330,60150
as_1872,import,,ANIMALS,Horses,Belgium,,1872,1681,57895
as_1872,import,,ANIMALS,Horses,France,,1872,5912,187609
as_1872,import,,ANIMALS,Horses,Other Countries,,1872,1061,24180
as_1872,import,,ANIMALS,Horses,Total,,1872,12618,348620
as_1872,import,,ANIMALS,Sheep and Lambs,Norway,,1872,5061,13869
as_1872,import,,ANIMALS,Sheep and Lambs,Denmark,,1872,17258,36867
as_1872,import,,ANIMALS,Sheep and Lambs,Germany,,1872,471854,929791
as_1872,import,,ANIMALS,Sheep and Lambs,Holland,,1872,229804,505871
as_1872,import,,ANIMALS,Sheep and Lambs,Belgium,,1872,60678,127076
as_1872,import,,ANIMALS,Sheep and Lambs,France,,1872,21797,43978
as_1872,import,,ANIMALS,Sheep and Lambs,Other Countries,,1872,140,260
as_1872,import,,ANIMALS,Sheep and Lambs,Total,,1872,809822,1666874
as_1872,import,,ANIMALS,Swine,Denmark,,1872,700,2790
as_1872,import,,ANIMALS,Swine,Germany,,1872,1286,4711
as_1872,import,,ANIMALS,Swine,Holland,,1872,9854,30407
as_1872,import,,ANIMALS,Swine,France,,1872,2954,9651
as_1872,import,,ANIMALS,Swine,Other Countries,,1872,600,1602
as_1872,import,,ANIMALS,Swine,Total,,1872,16100,51597
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",Germany,,1872,42740,45181
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",Holland,,1872,24216,20355
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",Belgium,,1872,90386,73443
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",United States of America,,1872,2500,2743
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",Other Countries,,1872,3793,5411
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Muskets, Rifles, and Guns of any other Sort,and Pistols",Total,,1872,169382,150082
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Swords, Cutlasses, Bayonets, and Arms of otherSorts, Unenumerated",Belgium,,1872,1928,9348
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Swords, Cutlasses, Bayonets, and Arms of otherSorts, Unenumerated",Other Countries,,1872,1129,5668
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Swords, Cutlasses, Bayonets, and Arms of otherSorts, Unenumerated",Total,,1872,3601,19538
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Ordnance Stores and Ammunition, Unenum-erated",all Countries,,1872,20528,
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Art, Works or, other than PICTURES",Belgium,,1872,3526,
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Art, Works or, other than PICTURES",France,,1872,19150,
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Art, Works or, other than PICTURES",Italy,,1872,31421,
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Art, Works or, other than PICTURES",Other Countries,,1872,2975,
as_1872,import,,"ARMS, AMMUNITION, AND MILITARY STORES","Art, Works or, other than PICTURES",Total,,1872,59426,
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,Holland,,1872,1763,8455
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,France,,1872,6722,21512
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,Italy,,1872,712,1964
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,Turkey,,1872,387,9939
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,British West India Islands,,1872,5111,13801
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,Other Countries,,1872,1351,4445
as_1872,import,,"ASPHALT, OR BITUMEN JUDAICUM",,Total,,1872,17975,68997
as_1872,import,,BACON AND HAMS,Bacon,Germany,,1872,154746,492050
as_1872,import,,BACON AND HAMS,Bacon,United States of America,,1872,1629259,3145449
as_1872,import,,BACON AND HAMS,Bacon,British North America,,1872,30367,62366
as_1872,import,,BACON AND HAMS,Bacon,Other Countries,,1872,2760,6696
as_1872,import,,BACON AND HAMS,Bacon,Total,,1872,1845562,3783316
as_1872,import,,BACON AND HAMS,Hams,Germany,,1872,12643,41877
as_1872,import,,BACON AND HAMS,Hams,Holland,,1872,418,1632
as_1872,import,,BACON AND HAMS,Hams,United States of America,,1872,128809,313101
as_1872,import,,BACON AND HAMS,Hams,Australia,,1872,556,2496
as_1872,import,,BACON AND HAMS,Hams,British North America,,1872,4452,14392
as_1872,import,,BACON AND HAMS,Hams,Other Countries,,1872,1248,4596
as_1872,import,,BACON AND HAMS,Hams,Total,,1872,156293,405665
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Belgium,,1872,95528,28595
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Italy,,1872,6584,2960
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Algeria,,1872,10100,4116
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",United States of America,,1872,33494,14480
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Australia,,1872,286128,123791
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Other Countries,,1872,17007,5786
as_1872,import,,BANK,"For Tanners' or Dyers' Use, Unenumerated",Total,,1872,476323,187671
as_1872,import,,BANK,EXTRACT of BANK or other Vegetable Substancesto be used in Tanning or Dyeing,United States of America,,1872,10399,
as_1872,import,,BANK,EXTRACT of BANK or other Vegetable Substancesto be used in Tanning or Dyeing,British North America,,1872,22121,
as_1872,import,,BANK,EXTRACT of BANK or other Vegetable Substancesto be used in Tanning or Dyeing,Other Countries,,1872,4723,
as_1872,import,,BANK,EXTRACT of BANK or other Vegetable Substancesto be used in Tanning or Dyeing,Total,,1872,45339,
as_1872,import,,BANK,Peruvian,Central America,,1872,1228,12280
as_1872,import,,BANK,Peruvian,New Granada,,1872,11843,106617
as_1872,import,,BANK,Peruvian,Ecuador,,1872,4668,44597
as_1872,import,,BANK,Peruvian,Peru,,1872,5829,74643
as_1872,import,,BANK,Peruvian,Chili,,1872,1782,23453
as_1872,import,,BANK,Peruvian,Brazil,,1872,146,1357
as_1872,import,,BANK,Peruvian,Other Countries,,1872,1845,14798
as_1872,import,,BANK,Peruvian,Total,,1872,28451,285620
as_1872,import,,BANK,Of other Sorts,United States of America,,1872,20856,10994
as_1872,import,,BANK,Of other Sorts,New Granada,,1872,11998,30740
as_1872,import,,BANK,Of other Sorts,Chili,,1872,11735,7775
as_1872,import,,BANK,Of other Sorts,Other Countries,,1872,10911,12417
as_1872,import,,BANK,Of other Sorts,Total,,1872,56849,64050
as_1872,import,,BEADS,Of Glass,Italy,,1872,1256658,57802
as_1872,import,,BEADS,Of Glass,Austrian Territories,,1872,186048,12149
as_1872,import,,BEADS,Of Glass,Other Countries,,1872,53325,2811
as_1872,import,,BEADS,Of Glass,Total,,1872,2093503,105488
as_1872,import,,BEER,Salted,Germany,,1872,2957,6863
as_1872,import,,BEER,Salted,France,,1872,13408,24904
as_1872,import,,BEER,Salted,United States of America,,1872,161431,277313
as_1872,import,,BEER,Salted,Australia,,1872,8087,12307
as_1872,import,,BEER,Salted,British North America,,1872,5181,9324
as_1872,import,,BEER,Salted,Other Countries,,1872,1132,2310
as_1872,import,,BEER,Salted,Total,,1872,193327,335435
as_1872,import,,BOOKS,,Holland,,1872,3112,18590
as_1872,import,,BOOKS,,Belgium,,1872,987,11085
as_1872,import,,BOOKS,,France,,1872,3763,46958
as_1872,import,,BOOKS,,Spain,,1872,411,8150
as_1872,import,,BOOKS,,Italy,,1872,106,1215
as_1872,import,,BOOKS,,United States of America,,1872,1460,13560
as_1872,import,,BOOKS,,British North America,,1872,509,1193
as_1872,import,,BOOKS,,Other Countries,,1872,1048,9573
as_1872,import,,BOOKS,,Total,,1872,14172,149189
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",Holland,,1872,536,4718
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",Belgium,,1872,309,2317
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",France,,1872,4236,44102
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",United States of America,,1872,7848,35331
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",Other Countries,,1872,3773,16179
as_1872,import,,BOOKS,"BRASS, BRONZE, and METAL, Bronzed and Lacquered",Total,,1872,17375,109775
as_1872,import,,BRIMSTONE,,Italy,,1872,973449,319656
as_1872,import,,BRIMSTONE,,Other Countries,,1872,2062,618
as_1872,import,,BRIMSTONE,,Total,,1872,1001021,335219
as_1872,import,,BRISTLES,,Germany,,1872,1800933,273521
as_1872,import,,BRISTLES,,Holland,,1872,572727,120752
as_1872,import,,BRISTLES,,Belgium,,1872,492921,89846
as_1872,import,,BRISTLES,,France,,1872,94842,14608
as_1872,import,,BRISTLES,,Other Countries,,1872,60030,8896
as_1872,import,,BRISTLES,,Total,,1872,3065093,517809
as_1872,import,,BUTTER,,Denmark,,1872,19881,106362
as_1872,import,,BUTTER,,Germany,,1872,173574,1009322
as_1872,import,,BUTTER,,Holland,,1872,121990,708511
as_1872,import,,BUTTER,,Belgium,,1872,269091,1358579
as_1872,import,,BUTTER,,France,,1872,74191,409555
as_1872,import,,BUTTER,,United States of America,,1872,355059,1916795
as_1872,import,,BUTTER,,Australia,,1872,45765,199679
as_1872,import,,BUTTER,,British North America,,1872,11518,34555
as_1872,import,,BUTTER,,Other Countries,,1872,55467,243516
as_1872,import,,BUTTER,,Total,,1872,1138081,6028474
as_1872,import,,BUTTER,"BUTTONS and STRWS, not of Metal",Holland,,1872,51014,
as_1872,import,,BUTTER,"BUTTONS and STRWS, not of Metal",Belgium,,1872,14511,
as_1872,import,,BUTTER,"BUTTONS and STRWS, not of Metal",France,,1872,26702,
as_1872,import,,BUTTER,"BUTTONS and STRWS, not of Metal",Other Countries,,1872,1898,
as_1872,import,,BUTTER,"BUTTONS and STRWS, not of Metal",Total,,1872,126441,
as_1872,import,,CANDLES,Stearine,Belgium,,1872,41214,151536
as_1872,import,,CANDLES,Stearine,Other Countries,,1872,636,2934
as_1872,import,,CANDLES,Stearine,Total,,1872,106270,384375
as_1872,import,,CANDLES,Other Kinds,Holland,,1872,1129,3007
as_1872,import,,CANDLES,Other Kinds,Belgium,,1872,1872,6309
as_1872,import,,CANDLES,Other Kinds,Other Countries,,1872,466,1720
as_1872,import,,CANDLES,Other Kinds,Total,,1872,5890,19855
as_1872,import,,CAOUTCHOUC,,Holland,,1872,4397,31935
as_1872,import,,CAOUTCHOUC,,France,,1872,2113,22268
as_1872,import,,CAOUTCHOUC,,Portugal,,1872,2263,22520
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Portuguese Possessions,,1872,876,7385
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Not particularly designated,,1872,13259,161359
as_1872,import,,CAOUTCHOUC,West Coast of Africa,United States of America,,1872,4614,49638
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Central America,,1872,5310,40493
as_1872,import,,CAOUTCHOUC,West Coast of Africa,New Granada,,1872,7668,74997
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Ecuador,,1872,3412,30499
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Brazil,,1872,68143,960602
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Mauritius,,1872,10438,112155
as_1872,import,,CAOUTCHOUC,West Coast of Africa,British India: Bengal and Burmah,,1872,13855,116926
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Straits Settlements,,1872,15296,140798
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Other Countries,,1872,3689,34631
as_1872,import,,CAOUTCHOUC,West Coast of Africa,Total,,1872,157114,1762259
as_1872,import,,COPPER,"Manufactures, Unenumerated",Germany,,1872,4178,
