commodity,unit,year,Canada,Newfoundland,United States,Sweden,Norway,Sweden & Norway,Russia,Germany,France,Netherlands,Belgium,Denmark,Portugal,Spain,Italy,Austria-Hungary,Argentina,Australasia,Bermuda,Brazil,British East Indies,British Guiana,British Honduras,British India & Burma,British West Indies,British West Indies And Guiana,Cape of Good Hope,Central America,Ceylon,Chile,China,Colombia,Costa Rica,Cuba & Puerto Rico,Danish West Indies,Dutch Guiana,East Africa,Egypt,Falkland Islands,French West Africa,Gibraltar,Gold Coast,Greece,Haiti & Santo Domingo,Honduras,Java,Madagascar,Madeira,Malta,Mauritius,Mexico,Morocco,Nicaragua,Niger Protectorate,Other British possessions,Other foreign countries,Peru,Philippines,Romania,Scinde,Siam,Spanish West Indies,Turkey,Uruguay,Venezuela,West Africa (unspecified)
wood-furniture-hardwoods,tons,1877,C,,C,,,,C,C,C,C,C,C,C,,C,,C,C,,C,,,C,C,C,,C,C,,C,C,,,,,,,C,C,,C,,,C,,,,,C,,C,C,,,,C,C,,,,,C,C,C,,C
wood-furniture-hardwoods,tons,1879,B,,B,,,,,,B,,,,,,B,,,,,B,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,B,,,
wood-furniture-hardwoods,tons,1885,C,,C,,,,C,C,C,,,,,C,C,,,C,,C,,,,C,C,,,C,,,,C,,,,,,,,,,,,C,,,,,,,C,,,,C,C,,,,,,C,C,,C,C
wood-furniture-hardwoods,tons,1887,B,,B,,,,C,C,,C,,,,,B,,,B,,,,,,B,B,,,,,,,,,,,,,,,,,,,B,,,,,,,B,,,,B,C,,,,,,B,B,,,B
wood-furniture-hardwoods,tons,1889,B,,B,,,,B,B,B,B,,,,,B,B,,B,,B,,,,B,B,,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,B,B,,,,,,B,B,,B,B
wood-hewn-fir,loads,1873,B,,B,B,B,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1874,C,,C,C,C,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-fir,loads,1875,B,,B,B,B,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1876,C,,C,C,C,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-fir,loads,1877,C,,C,C,C,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-fir,loads,1878,B,,B,B,B,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1879,C,,C,C,C,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-fir,loads,1881,B,,B,B,B,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1882,B,,C,B,B,,B,B,B,C,,,,C,,C,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1883,B,,B,B,C,,B,B,B,,C,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1884,C,,B,B,B,,C,C,B,,C,,,B,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,C,,,,,
wood-hewn-fir,loads,1885,B,,B,B,B,,B,B,C,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-fir,loads,1886,B,,B,B,B,,B,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1887,B,,B,B,B,,B,B,B,,B,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1889,B,,B,B,B,,B,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1890,B,,B,B,B,,B,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-fir,loads,1891,B,,B,C,B,,B,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1892,B,,B,B,B,,B,C,B,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,
wood-hewn-fir,loads,1893,A,,B,A,A,,A,A,A,,,B,,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,,,,,,,,,,
wood-hewn-fir,loads,1894,A,,B,A,A,,A,A,A,,,A,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-fir,loads,1895,A,,B,A,A,,A,A,A,,,A,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,
wood-hewn-fir,loads,1896,A,,B,A,A,,A,A,A,,,A,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,
wood-hewn-fir,loads,1897,A,,,A,A,,A,A,A,,,A,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1898,B,,,A,C,,A,A,A,,,A,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-fir,loads,1899,B,,,B,B,,B,B,B,,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,
wood-hewn-oak,loads,1873,B,,B,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1874,B,,B,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1875,B,,B,,,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1876,C,,C,,,,,C,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-oak,loads,1877,C,,C,,,,C,C,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-oak,loads,1878,B,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1879,B,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1881,B,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1883,B,,B,,B,,B,B,B,B,B,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1885,B,,B,,,,B,B,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,B,,,
wood-hewn-oak,loads,1886,B,,B,,,,B,B,B,,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1887,B,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1889,B,,B,,,,B,B,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1890,B,,B,,,,B,B,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-oak,loads,1891,B,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1892,B,,B,,,,B,B,,,,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1893,B,,B,,B,,B,B,,B,,,,C,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-oak,loads,1894,B,,A,,B,,B,B,,B,,,,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,
wood-hewn-oak,loads,1895,A,,A,,A,,B,C,,B,B,,,B,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1896,A,,A,B,C,,B,A,,,B,,,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-oak,loads,1897,A,,C,B,A,,,C,,B,B,,,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,
wood-hewn-oak,loads,1898,B,,C,C,B,,,B,,B,B,,,C,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-oak,loads,1899,C,,C,B,B,,,B,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-teak,loads,1873,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-teak,loads,1874,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-teak,loads,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-teak,loads,1876,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-teak,loads,1877,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,
wood-hewn-teak,loads,1878,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-teak,loads,1879,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-teak,loads,1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1883,,,,,,,,,,B,,,,,,,,,,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1885,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,C,,,,,
wood-hewn-teak,loads,1886,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,,,,B,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1887,,,,,,,,,,,,,,,,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1890,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1891,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1892,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1893,,,,,,,,B,B,B,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1894,,,,,,,,A,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-teak,loads,1895,,,,,,,,A,,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,A,,,,,
wood-hewn-teak,loads,1896,,,,,,,,A,A,A,A,,,,A,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,A,,,,,
wood-hewn-teak,loads,1897,,,,,,,,A,A,A,A,,,,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,B,,,,,
wood-hewn-teak,loads,1898,,,,,,,,A,A,A,A,B,,,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-teak,loads,1899,,,,,,,,,B,B,,B,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,
wood-hewn-unenumerated,loads,1875,B,,B,B,B,,B,B,,,,,,,,,,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1877,C,,C,C,C,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-unenumerated,loads,1878,B,,B,,B,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1879,C,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-hewn-unenumerated,loads,1880,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-hewn-unenumerated,loads,1881,B,,B,B,B,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1883,B,,B,C,B,,C,B,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1884,B,,C,B,B,,,B,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1887,C,,C,C,C,,C,C,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,
wood-hewn-unenumerated,loads,1890,C,,C,C,C,,C,C,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,
wood-hewn-unenumerated,loads,1891,B,,B,B,B,,C,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1893,B,B,B,B,B,,B,B,B,,B,,,,,,,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1894,A,,A,A,B,,A,A,A,,B,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-hewn-unenumerated,loads,1895,A,,A,A,A,,A,A,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-hewn-unenumerated,loads,1896,A,,A,A,A,,A,A,A,,B,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-hewn-unenumerated,loads,1897,A,,A,A,A,,A,A,B,,B,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,
wood-hewn-unenumerated,loads,1898,B,,A,A,A,,A,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-hewn-unenumerated,loads,1899,B,,B,B,B,,B,B,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,,,,,,,,,,
wood-mahogany,tons,1873,,,B,,,,,,B,,,,,,,,,,,,,,B,,B,,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,,B,,,,,,B,,,,
wood-mahogany,tons,1874,,,C,,,,,,C,,,,,,,,,,,,,,C,,C,,,C,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,C,,,,,,C,,,C,
wood-mahogany,tons,1879,,,,,,,,,,,,,,,,,,,,,,,B,,,,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,,B,,,,,,B,,,,
wood-mahogany,tons,1881,,,,,,,,,,,,,,,,,,,,,,,B,,B,,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,,B,,,,,,B,,,,
wood-mahogany,tons,1884,C,,B,,,,B,B,B,B,,,,,B,,,B,,B,,,,B,,B,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,,B,,,,,,B,B,,B,B
wood-mahogany,tons,1886,C,,C,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,C,,,,,,C,,,,
wood-mahogany,tons,1887,,,B,,,,,B,B,,,,,,,,,,,,,,,B,B,,,B,,,,,,,B,,,,,B,,,,B,,,,,,,B,,,,,B,,,,,,B,,,,
wood-mahogany,tons,1888,,,C,,,,,,,,,,,,,,,,,,,,B,,,,,C,,,,,,,,,,,,C,,,,C,,,,,,,C,,,,B,C,,,,,,C,,,,
wood-mahogany,tons,1889,,,B,,,,,,B,,,,,,,,,,,,,,B,,,,,B,,,,,,,,,,,,,,,,B,,,,,,,B,,,,B,B,,,,,,B,,,,
wood-mahogany,tons,1890,,,B,,,,,,B,,,,,,,,,,,B,,,B,,,,,B,,,,B,,,,,,,,,,,,B,,,,,,,B,,,,B,B,,,,,,B,,,,
wood-mahogany,tons,1891,,,B,,,,,B,B,,,,,,,,,,,,,,,B,B,,,B,,,,B,,,,,,,,B,,B,,B,,,B,,,,B,,,,B,B,,,,,,B,,,,
wood-mahogany,tons,1893,,,B,,,,,B,B,,,,,,,,,,,,,,B,B,,,,,,,,B,,,,,,,,B,,B,,B,B,,,,,,B,,B,,B,B,,,,,,B,,,,B
wood-mahogany,tons,1894,,,A,,,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,A,,,,,,,,B,,B,,A,C,,,,,,A,,A,,B,A,,,,,,B,,,,A
wood-mahogany,tons,1895,,,A,,,,,A,A,,,,,,,,,,,,,,C,,C,,,,,,,A,,B,,,,,,,,C,,A,A,,,,,,A,,,,C,A,,,,,,C,,,,C
wood-mahogany,tons,1896,,,A,,,,C,A,A,C,,,,,C,,C,,,C,,,B,,,,,,,,,A,,B,,,,,,,,B,,A,A,,,,,,A,,A,,B,A,,,,,,A,C,,C,A
