gbp,verdict,measure,group,article,year,unit,winner,tier,favours,origin_sum,n_origins,origin_ratio,spread_pct,n_readings,candidates,commodity
1332257,,quantity,rags and other materials for making paper,esparto and other materials,1871,Tons,154357,A,,0,0,0.0,1.94,8,"154,357 [6: as_1873/ch,as_1873/inf,as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf] | 151,357 [1: as_1872/ch] | 151,857 [1: as_1872/inf]","Esparto, And Other Materials"
1331401,,value,,currants,1892,GBP,1331401,B,,0,0,0.0,0.23,4,"1,331,401 [2: as_1895/ch,as_1895/inf] | 1,334,404 [1: as_1896/ch] | 1,334,401 [1: as_1896/inf]",
1329505,,quantity,metals,zinc crude in cakes,1891,Cwts.,58513,A,,0,0,0.0,96.48,7,"58,513 [5: as_1892/inf,as_1893/ch,as_1893/inf,as_1895/ch,as_1895/inf] | 1,662,991 [1: as_1891/ch] | 403,163 [1: as_1891/inf]",AMBIGUOUS
1329505,,value,metals,zinc crude in cakes,1891,GBP,1329505,A,,0,0,0.0,95.82,12,"1,329,505 [9: as_1891/ch,as_1891/inf,as_1893/ch,as_1894/ch,as_1894/inf,as_1895/ch,as_1895/inf,tn_1895/ch,tn_1895/inf] | 1,329,565 [2: as_1892/ch,as_1892/inf] | 55,513 [1: as_1892/ch]",
1328656,,value,spirits,brandy,1872,GBP,1328656,A,,0,0,0.0,0.45,10,"1,328,656 [7: as_1872/ch,as_1872/inf,as_1873/ch,as_1873/inf,as_1874/ch,as_1875/ch,as_1875/inf] | 1,329,636 [1: as_1874/inf] | 1,323,656 [1: as_1876/ch] | 1,329,656 [1: as_1876/inf]",
1326605,,quantity,animals living,caoutchouc,1874,Cuts.,129163,A,,131215,18,1.0159,18.85,10,"129,163 [8: as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf] | 149,163 [1: as_1874/ch] | 159,163 [1: as_1874/inf]",Caoutchouc
1326001,,quantity,tobacco,manufactured cigars and snuff,1874,Lbs.,4632581,A,,0,0,0.0,0.0,10,"4,632,581 [8: as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf] | 4,632,551 [1: as_1874/ch] | 4,632,561 [1: as_1874/inf]","Manufactured, Cigars And Snuff"
1325776,,value,metals,iron and steel wrought or manufactured,1874,GBP,1325776,A,,0,0,0.0,27.39,10,"1,325,776 [9: as_1874/ch,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf] | 1,825,776 [1: as_1874/inf]",
1325559,,value,metals,unwrought part wrought and old copper,1887,GBP,1325559,A,,0,0,0.0,97.66,8,"1,325,559 [7: as_1887/ch,as_1888/inf,as_1889/ch,as_1890/ch,as_1890/inf,as_1891/ch,as_1891/inf] | 31,013 [1: as_1888/ch]",
1320059,origins-confirm-winner,quantity,metals,iron in bars unwrought,1875,Tons,89822,A,,89822,4,1.0,0.08,6,"89,822 [5: as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf] | 89,892 [1: as_1875/ch]",Iron — In Bars
1320001,,value,fruit dried or preserved liable to duty,currants,1900,GBP,1320001,C,,0,0,0.0,27.47,2,"1,320,001 [1: tn_1901/ch] | 1,820,001 [1: tn_1901/inf]",
1320001,,quantity,fruit dried or preserved liable to duty,currants,1900,Cwts.,824527,C,,0,0,0.0,7.83,2,"824,527 [1: tn_1901/ch] | 894,527 [1: tn_1901/inf]",Currants
1318849,,value,manures,guano,1874,GBP,1318849,A,,0,0,0.0,2.22,9,"1,318,849 [6: as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 1,348,849 [3: as_1877/ch,as_1878/ch,as_1878/inf]",
1318415,,value,,cocoa,1899,GBP,1318415,B,,0,0,0.0,13.17,4,"1,318,415 [3: as_1899/ch,tn_1901/ch,tn_1901/inf] | 1,518,415 [1: as_1899/inf]",
1317961,,value,fruit,oranges and lemons,1879,GBP,1317961,B,,0,0,0.0,13.18,6,"1,317,961 [5: as_1879/ch,as_1880/inf,as_1881/ch,as_1882/ch,as_1883/ch] | 1,517,961 [1: as_1880/ch]",
1317961,origins-confirm-winner,quantity,fruit,oranges and lemons,1879,Bushels,3433059,A,,3433059,6,1.0,0.0,9,"3,433,059 [7: as_1879/ch,as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf,as_1883/ch,as_1883/inf] | 3,433,050 [2: as_1882/ch,as_1882/inf]",Fruit — Oranges And Lemons
1317892,,quantity,fruit dried or preserved liable to duty,raisins,1900,„,653371,C,,0,0,0.0,0.76,2,"653,371 [1: tn_1901/ch] | 658,371 [1: tn_1901/inf]",Raisins
1315701,origins-confirm-winner,quantity,,preserved otherwise than by salting,1878,Cwts.,439900,A,,439905,7,1.0,0.91,9,"439,900 [7: as_1878/ch,as_1878/inf,as_1879/ch,as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf] | 435,900 [2: as_1882/ch,as_1882/inf]","Preserved, Otherwise Than By Salting"
1315559,origins-confirm-winner,quantity,oil,palm,1883,Cwts.,749422,A,,749422,12,1.0,0.01,6,"749,422 [5: as_1883/ch,as_1883/inf,as_1884/inf,as_1886/ch,as_1886/inf] | 749,492 [1: as_1884/ch]",Oil — Palm
1314912,,quantity,tobacco,manufactured cigars and snuff,1876,Lbs.,3818682,A,,0,0,0.0,0.0,10,"3,818,682 [8: as_1876/ch,as_1876/inf,as_1878/ch,as_1878/inf,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf] | 3,818,662 [2: as_1877/ch,as_1877/inf]","Manufactured, Cigars And Snuff"
1313293,,value,,chemical manufactures and products,1887,GBP,1313293,A,,0,0,0.0,27.57,9,"1,313,293 [7: as_1887/ch,as_1888/ch,as_1888/inf,as_1889/ch,as_1890/ch,as_1891/ch,as_1891/inf] | 1,318,293 [1: as_1887/inf] | 1,813,293 [1: as_1890/ch]",
1313209,,value,,caoutchouc,1878,GBP,1313209,A,,0,0,0.0,0.0,8,"1,313,209 [7: as_1878/ch,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf,as_1882/ch,as_1882/inf] | 1,313,269 [1: as_1881/ch]",
1310639,,quantity,,lace,1886,Value £,1310639,A,,0,0,0.0,27.61,9,"1,310,639 [8: as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/inf,as_1889/ch,as_1889/inf,as_1890/ch] | 1,810,639 [1: as_1890/inf]",Lace
1310639,,value,,lace,1886,GBP,1310639,A,,0,0,0.0,27.61,7,"1,310,639 [6: as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf,as_1890/ch,as_1890/inf] | 1,810,639 [1: as_1888/ch]",
1309413,,quantity,spirits,brandy,1868,Proof Gallons,4062885,B,,0,0,0.0,0.0,3,"4,062,885 [2: as_1872/ch,as_1872/inf] | 4,062,855 [1: tn_1871/inf]",Spirits — Brandy
1309279,,quantity,,petroleum,1880,Gallons,38793371,A,,0,0,0.0,0.02,10,"38,793,371 [8: as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf,as_1883/ch,as_1883/inf,as_1884/ch,as_1884/inf] | 38,799,371 [1: as_1882/ch] | 38,790,371 [1: as_1882/inf]",Petroleum
1308844,,value,,lard,1872,GBP,1308844,A,,0,0,0.0,5.56,10,"1,308,844 [7: as_1872/ch,as_1873/ch,as_1873/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 1,308,541 [1: as_1872/inf] | 1,338,544 [1: as_1874/ch] | 1,385,514 [1: as_1874/inf]",
1301972,,value,,pyrites of iron copper or sulphur,1873,GBP,1301972,C,,0,0,0.0,0.05,4,"1,301,972 [2: as_1874/ch,as_1874/inf] | 1,301,272 [2: as_1873/ch,as_1873/inf]",
1299930,,value,hair,goats hair or wool,1884,GBP,1299930,A,,0,0,0.0,92.31,9,"1,299,930 [8: as_1884/ch,as_1884/inf,as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf] | 16,906,026 [1: as_1888/ch]",
1299214,,value,,tallow and stearine,1886,GBP,1299214,A,,0,0,0.0,22.11,10,"1,299,214 [8: as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1889/ch,as_1889/inf,as_1890/ch,as_1890/inf] | 1,011,911 [2: as_1888/ch,as_1888/inf]",
1296736,,value,,silver ore of,1896,GBP,1296736,A,,0,0,0.0,6.94,8,"1,296,736 [7: as_1897/ch,as_1897/inf,as_1898/ch,as_1898/inf,as_1899/inf,tn_1899/ch,tn_1899/inf] | 1,206,736 [1: as_1899/ch]",
1296190,,value,,cocoa,1895,GBP,1296190,A,,0,0,0.0,96.97,13,"1,296,190 [9: as_1895/ch,as_1895/inf,as_1896/ch,as_1896/inf,as_1897/inf,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/inf] | 1,296,199 [2: as_1898/ch,tn_1899/ch] | 1,295,190 [1: as_1897/ch] | 42,769,307 [1: tn_1899/inf]",
1290574,,value,fruit,currants,1874,GBP,1290574,B,,0,0,0.0,3.1,5,"1,290,574 [4: as_1874/ch,as_1876/ch,as_1877/ch,as_1878/ch] | 1,250,574 [1: as_1875/ch]",
1290214,,value,fruit,unenumerated raw,1886,GBP,1290214,B,,0,0,0.0,50.4,3,"1,290,214 [2: as_1889/ch,as_1890/ch] | 2,601,334 [1: as_1890/ch]",
1288358,,value,metals,zinc crude in cakes,1890,GBP,1288358,A,,0,0,0.0,95.64,12,"1,288,358 [11: as_1890/ch,as_1890/inf,as_1891/ch,as_1891/inf,as_1892/ch,as_1892/inf,as_1893/ch,as_1894/ch,as_1894/inf,tn_1895/ch,tn_1895/inf] | 56,205 [1: as_1892/ch]",
1288358,,quantity,metals,zinc crude in cakes,1890,Cwts.,56205,A,,0,0,0.0,96.61,7,"56,205 [5: as_1890/ch,as_1890/inf,as_1892/inf,as_1893/ch,as_1893/inf] | 1,656,419 [1: as_1891/ch] | 350,852 [1: as_1891/inf]",AMBIGUOUS
1287595,,value,feathers,ornamental,1886,GBP,1287595,A,,0,0,0.0,46.46,9,"1,287,595 [6: as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/ch,as_1889/ch] | 1,287,505 [1: as_1888/inf] | 689,340 [1: as_1890/ch] | 1,187,595 [1: as_1890/ch]",
1285684,,value,rags and other materials for making paper,esparto and other materials,1879,GBP,1285684,A,,0,0,0.0,0.0,8,"1,285,684 [7: as_1879/ch,as_1880/ch,as_1880/inf,as_1882/ch,as_1882/inf,as_1883/ch,as_1883/inf] | 1,285,694 [1: as_1881/ch]",
1284753,,value,,vegetables raw unenumerated,1896,GBP,1284753,A,,0,0,0.0,3.89,10,"1,284,753 [9: as_1896/ch,as_1896/inf,as_1897/ch,as_1898/ch,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1899/inf] | 1,234,753 [1: as_1897/inf]",
1284537,,quantity,animals living,chemical manufactures and products,1886,Value £,1284537,A,,0,0,0.0,3.89,7,"1,284,537 [6: as_1886/ch,as_1886/inf,as_1888/ch,as_1889/ch,as_1889/inf,as_1890/inf] | 1,234,537 [1: as_1887/ch]",Chemical Manufactures And Pro-Ducts
1283538,,value,tobacco,manufactured cigars and snuff,1873,GBP,1283538,A,,0,0,0.0,0.16,9,"1,283,538 [7: as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch] | 1,285,538 [1: as_1873/ch] | 1,283,533 [1: as_1873/inf]",
1281714,,value,tobacco,manufactured of all kinds,1891,GBP,1281714,A,,0,0,0.0,0.23,6,"1,281,714 [5: as_1894/ch,as_1894/inf,as_1895/inf,tn_1895/ch,tn_1895/inf] | 1,284,714 [1: as_1895/ch]",
1280384,,value,,oil seed cake linseed cake,1897,GBP,1280384,A,,0,0,0.0,82.97,9,"1,280,384 [8: as_1898/ch,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1899/inf,tn_1901/ch,tn_1901/inf] | 217,998 [1: tn_1901/ch]",
1275445,origins-confirm-winner,quantity,fruit,currants,1873,Cwts.,991353,A,,991353,4,1.0,0.0,9,"991,353 [7: as_1873/ch,as_1873/inf,as_1874/ch,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 991,363 [2: as_1877/ch,as_1877/inf]",Fruit — Currants
1271443,,value,,cubic nitre,1874,GBP,1271443,A,,0,0,0.0,0.02,10,"1,271,443 [8: as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf] | 1,271,143 [2: as_1874/ch,as_1874/inf]",
1267323,,value,,woollen yarn for fancy purposes including berlin wool and zephyr yarn,1896,GBP,1267323,B,,0,0,0.0,82.55,4,"1,267,323 [3: as_1898/inf,as_1899/inf,tn_1899/inf] | 221,149 [1: as_1899/inf]",
1266999,,quantity,metals,lead pig and sheet,1882,Tons,87853,A,,86953,6,0.9898,0.34,10,"87,853 [9: as_1882/ch,as_1882/inf,as_1883/ch,as_1883/inf,as_1884/ch,as_1884/inf,as_1885/ch,as_1886/ch,as_1886/inf] | 87,553 [1: as_1885/inf]",Lead — Pig And Sheet
1261800,,value,,spirits brandy,1896,GBP,1261800,B,,0,0,0.0,0.04,3,"1,261,800 [2: as_1896/ch,tn_1901/inf] | 1,261,300 [1: as_1896/inf]",
1261800,,value,spirits,brandy,1896,GBP,1261800,B,,0,0,0.0,35.68,8,"1,261,800 [5: as_1897/inf,as_1898/ch,as_1899/ch,as_1899/inf,tn_1899/ch] | 1,961,800 [2: as_1898/inf,tn_1899/inf] | 1,261,890 [1: as_1897/ch]",
1256069,,quantity,metals,iron ore,1877,Tons,1142308,B,,0,0,0.0,2.63,4,"1,142,308 [3: as_1880/ch,as_1880/inf,as_1881/inf] | 1,112,308 [1: as_1881/ch]",Iron — Ore Of
1255201,,value,,cocoa,1894,GBP,1255201,A,,0,0,0.0,96.79,15,"1,255,201 [14: as_1894/ch,as_1894/inf,as_1895/ch,as_1895/inf,as_1896/ch,as_1896/inf,as_1897/ch,as_1897/inf,as_1898/ch,as_1898/inf,tn_1895/ch,tn_1895/inf,tn_1899/ch,tn_1899/inf] | 39,115,963 [1: tn_1899/inf]",
1252974,,value,oil,oil seed cake,1872,GBP,1252974,A,,0,0,0.0,5.29,10,"1,252,974 [8: as_1872/inf,as_1873/ch,as_1873/inf,as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/inf] | 1,262,974 [1: as_1872/ch] | 1,322,974 [1: as_1876/ch]",
1252623,origins-confirm-winner,quantity,,pyrites of iron or copper,1885,Tons,654521,A,,654521,7,1.0,0.03,8,"654,521 [7: as_1885/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1889/ch,as_1889/inf] | 654,321 [1: as_1885/ch]",Pyrites Of Iron Or Copper
1252623,,value,,pyrites of iron or copper,1885,GBP,1252623,A,,0,0,0.0,47.75,11,"1,252,623 [9: as_1885/ch,as_1885/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/ch,as_1888/inf,as_1889/ch] | 654,521 [2: as_1888/ch,as_1888/inf]",
1251842,,value,,of europe and c,1875,GBP,1251842,B,,0,0,0.0,0.02,6,"1,251,842 [4: as_1875/ch,as_1876/ch,as_1877/ch,as_1879/ch] | 1,251,812 [1: as_1879/inf] | 1,251,542 [1: as_1878/ch]",
1249579,,quantity,spirits,brandy,1869,Proof Gallons,3937266,B,,0,0,0.0,22.86,5,"3,937,266 [4: as_1872/ch,as_1872/inf,as_1873/ch,tn_1871/inf] | 3,037,266 [1: as_1873/inf]",Spirits — Brandy
1247954,origins-confirm-winner,quantity,fruit,oranges and lemons,1876,Bushels,2968650,A,,2965650,5,0.999,2.02,9,"2,968,650 [8: as_1876/ch,as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf,as_1879/ch,as_1880/ch,as_1880/inf] | 2,908,650 [1: as_1876/inf]",Fruit — Oranges And Lemons
1247954,,value,fruit,oranges and lemons,1876,GBP,1247954,B,,0,0,0.0,2.4,6,"1,247,954 [5: as_1876/ch,as_1877/ch,as_1878/ch,as_1879/ch,as_1880/ch] | 1,217,954 [1: as_1880/inf]",
1245013,,value,,crude in cakes,1896,GBP,1245013,A,,0,0,0.0,93.84,12,"1,245,013 [10: as_1896/ch,as_1896/inf,as_1897/ch,as_1897/inf,as_1898/ch,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1901/ch,tn_1901/inf] | 76,635 [2: as_1898/inf,tn_1899/inf]",
1244871,origins-confirm-winner,quantity,,pyrites of iron or copper,1884,Tons,563073,A,,563073,7,1.0,0.88,8,"563,073 [7: as_1884/ch,as_1885/ch,as_1885/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf] | 568,073 [1: as_1884/inf]",Pyrites Of Iron Or Copper
1244871,,value,,pyrites of iron or copper,1884,GBP,1244871,A,,0,0,0.0,54.77,12,"1,244,871 [10: as_1884/ch,as_1884/inf,as_1885/ch,as_1885/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/ch,as_1888/inf] | 563,073 [2: as_1888/ch,as_1888/inf]",
1244352,,value,,farinaceous substances and manufactures unenumerated,1896,GBP,1244352,C,,0,0,0.0,0.24,2,"1,244,352 [1: as_1896/ch] | 1,241,352 [1: as_1896/inf]",
1243792,,value,skins and furs,skins sheep and lamb undressed,1889,GBP,1243792,B,,0,0,0.0,2.41,7,"1,243,792 [5: as_1889/ch,as_1889/inf,as_1890/ch,as_1891/ch,as_1892/ch] | 1,213,792 [2: as_1893/ch,as_1893/inf]",
1243421,,value,,farinaceous substances and manufactures thereof unenumerated,1897,GBP,1243421,A,,0,0,0.0,0.0,8,"1,243,421 [7: as_1897/ch,as_1897/inf,as_1898/ch,as_1898/inf,as_1899/ch,tn_1899/ch,tn_1899/inf] | 1,243,427 [1: as_1899/inf]",
1240866,,value,oil,palm,1882,GBP,1240866,A,,0,0,0.0,2.42,8,"1,240,866 [6: as_1882/ch,as_1882/inf,as_1883/ch,as_1884/ch,as_1884/inf,as_1886/ch] | 1,210,866 [2: as_1885/ch,as_1885/inf]",
1237745,,value,tobacco,manufactured cigars and snuff,1885,GBP,1237745,A,,0,0,0.0,70.86,9,"1,237,745 [6: as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1887/inf,as_1889/ch] | 4,247,257 [2: as_1888/ch,as_1888/inf] | 1,287,745 [1: as_1889/inf]",
1237072,origins-confirm-winner,quantity,,palm,1894,Cuts.,1137767,A,,1137466,15,0.9997,0.01,12,"1,137,767 [10: as_1894/inf,as_1895/ch,as_1895/inf,as_1896/ch,as_1896/inf,as_1898/ch,as_1898/inf,tn_1895/inf,tn_1899/ch,tn_1899/inf] | 1,137,707 [2: as_1894/ch,tn_1895/ch]",Oil — Palm
1236735,,quantity,metals,in bars,1883,Tons,122895,A,,0,0,0.0,0.16,10,"122,895 [8: as_1883/ch,as_1883/inf,as_1884/ch,as_1884/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf] | 122,695 [2: as_1885/ch,as_1885/inf]",Iron — In Bars
1233855,,value,hair,goats hair or wool,1880,GBP,1233855,A,,0,0,0.0,0.02,9,"1,233,855 [8: as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf,as_1882/ch,as_1882/inf,as_1883/ch,as_1884/ch] | 1,233,555 [1: as_1884/inf]",
1230035,,quantity,,hides raw,1885,Cuts,1230035,A,,56164,5,0.0457,4.65,9,"1,230,035 [8: as_1885/ch,as_1885/inf,as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/inf,as_1889/inf] | 1,290,035 [1: as_1889/ch]",Hides — Raw
1230035,,value,hides,raw,1885,GBP,3870328,B,,0,0,0.0,0.0,6,"3,870,328 [5: as_1885/ch,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf] | 3,870,325 [1: as_1885/inf]",
1230035,,value,,hides raw,1885,GBP,1230035,C,,0,0,0.0,68.22,2,"1,230,035 [1: as_1888/ch] | 3,870,328 [1: as_1889/ch]",
1224534,,quantity,,other farinaceous substances,1891,Value £,1224534,A,,0,0,0.0,0.0,8,"1,224,534 [7: as_1891/ch,as_1891/inf,as_1892/ch,as_1893/ch,as_1894/ch,tn_1895/ch,tn_1895/inf] | 1,224,531 [1: as_1893/inf]",AMBIGUOUS
1222325,,value,metals,lead pig and sheet,1884,GBP,1222325,A,,0,0,0.0,91.57,9,"1,222,325 [8: as_1884/ch,as_1884/inf,as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf] | 103,016 [1: as_1888/ch]",
1221751,,value,tobacco,manufactured cigars and snuff,1887,GBP,1221751,A,,0,0,0.0,66.02,8,"1,221,751 [6: as_1887/ch,as_1887/inf,as_1889/ch,as_1889/inf,as_1890/ch,as_1891/ch] | 3,595,071 [2: as_1888/ch,as_1888/inf]",
1221104,,value,,woollen yarn for fancy purposes including berlin wool and zephyr yarn,1895,GBP,1221104,B,,0,0,0.0,82.28,4,"1,221,104 [3: as_1898/inf,as_1899/inf,tn_1899/inf] | 216,435 [1: as_1899/inf]",
1220650,,value,oil,olive,1881,GBP,1220650,A,,0,0,0.0,0.0,7,"1,220,650 [5: as_1882/ch,as_1882/inf,as_1883/ch,as_1884/ch,as_1884/inf] | 1,220,630 [2: as_1885/ch,as_1885/inf]",
1220500,,value,paper and pasteboard,of all kinds except hangings,1877,GBP,1220500,A,,0,0,0.0,36.45,10,"1,220,500 [9: as_1877/ch,as_1877/inf,as_1878/ch,as_1878/inf,as_1879/ch,as_1879/inf,as_1880/ch,as_1881/ch,as_1881/inf] | 1,920,500 [1: as_1880/inf]",
1220411,origins-confirm-winner,quantity,,cubic nitre,1872,Cuts,1594197,A,,1593997,4,0.9999,18.19,10,"1,594,197 [8: as_1872/ch,as_1873/ch,as_1873/inf,as_1874/ch,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 1,394,197 [1: as_1872/inf] | 1,304,197 [1: as_1874/inf]","Nitre, Cubic (Nitrate Of Soda)"
1220411,,value,,cubic nitre,1872,GBP,1220411,A,,0,0,0.0,0.02,10,"1,220,411 [8: as_1872/ch,as_1872/inf,as_1873/ch,as_1873/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 1,220,111 [2: as_1874/ch,as_1874/inf]",
1220191,,quantity,metals,bars,1885,Tons,122697,C,,0,0,0.0,0.08,2,"122,697 [1: as_1889/ch] | 122,597 [1: as_1889/inf]",Iron — In Bars
1220191,,value,metals,in bars,1885,GBP,1220191,B,,0,0,0.0,89.95,6,"1,220,191 [5: as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1888/inf] | 122,597 [1: as_1888/ch]",
1219488,,value,,pyrites of iron or copper,1890,GBP,1219488,A,,0,0,0.0,46.13,12,"1,219,488 [10: as_1890/ch,as_1890/inf,as_1891/ch,as_1891/inf,as_1892/inf,as_1893/ch,as_1893/inf,as_1894/ch,tn_1895/ch,tn_1895/inf] | 1,210,488 [1: as_1892/ch] | 656,891 [1: as_1894/inf]",
1219011,,value,animals living,sheep and lambs,1869,GBP,1219011,C,,0,0,0.0,0.0,2,"1,219,011 [1: as_1872/ch] | 1,219,014 [1: as_1873/ch]",
1218625,,value,fruit,raw unenumerated,1876,GBP,1218625,B,,0,0,0.0,29.09,6,"1,218,625 [5: as_1876/ch,as_1877/ch,as_1878/ch,as_1879/ch,as_1880/inf] | 1,718,625 [1: as_1880/ch]",
1217938,,value,,hops,1879,GBP,1217938,A,,0,0,0.0,0.0,10,"1,217,938 [9: as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf,as_1881/ch,as_1881/inf,as_1882/ch,as_1882/inf,as_1883/ch] | 1,217,935 [1: as_1883/inf]",
1217747,,value,hides,raw,1884,GBP,3881349,A,,0,0,0.0,5.15,8,"3,881,349 [7: as_1884/ch,as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf] | 3,681,349 [1: as_1884/inf]",
1214862,,quantity,,of all kinds except hangings,1876,Cuts.,848660,B,,0,0,0.0,3.89,5,"848,660 [3: as_1877/ch,as_1877/inf,as_1878/ch] | 846,660 [1: as_1879/ch] | 815,660 [1: as_1880/ch]",AMBIGUOUS
1213896,,quantity,rags and other materials for making paper,esparto and other materials,1876,Tons,147518,A,,0,0,0.0,0.07,10,"147,518 [7: as_1876/ch,as_1876/inf,as_1877/ch,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf] | 147,618 [3: as_1877/inf,as_1878/ch,as_1878/inf]","Esparto, And Other Materials"
1212326,,quantity,,petroleum,1878,Gallons,30255526,A,,0,0,0.0,2.26,9,"30,255,526 [7: as_1878/ch,as_1878/inf,as_1880/ch,as_1881/ch,as_1881/inf,as_1882/ch,as_1882/inf] | 30,955,526 [1: as_1880/inf] | 30,255,326 [1: as_1879/ch]",Petroleum
1211791,origins-confirm-winner,quantity,,pyrites of iron or copper,1889,Tons,644343,A,,644343,5,1.0,5.12,9,"644,343 [7: as_1889/ch,as_1889/inf,as_1890/ch,as_1890/inf,as_1891/ch,as_1891/inf,as_1892/ch] | 611,348 [1: as_1893/ch] | 611,343 [1: as_1893/inf]",Pyrites Of Iron Or Copper
1211791,,value,,pyrites of iron or copper,1889,GBP,1211791,A,,0,0,0.0,0.01,9,"1,211,791 [8: as_1889/ch,as_1890/ch,as_1891/ch,as_1891/inf,as_1892/ch,as_1892/inf,as_1893/ch,as_1893/inf] | 1,211,701 [1: as_1890/inf]",
1210768,,value,metals,lead pig and sheet,1885,GBP,1210768,A,,0,0,0.0,91.08,8,"1,210,768 [7: as_1885/ch,as_1885/inf,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf,as_1889/ch] | 108,012 [1: as_1888/ch]",
1207512,,value,feathers,ornamental,1897,GBP,1207512,A,,0,0,0.0,0.94,11,"1,207,512 [10: as_1897/ch,as_1897/inf,as_1898/ch,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1899/inf,tn_1901/ch,tn_1901/inf] | 1,218,964 [1: as_1899/ch]",
1206851,,value,tobacco,manufactured cigars and snuff,1886,GBP,1206851,A,,0,0,0.0,66.17,8,"1,206,851 [6: as_1886/ch,as_1887/ch,as_1887/inf,as_1889/ch,as_1889/inf,as_1890/ch] | 3,566,889 [2: as_1888/ch,as_1888/inf]",
1206668,,quantity,glass,glass of all kinds,1872,Cuts.,688156,A,,0,0,0.0,4.36,9,"688,156 [7: as_1872/ch,as_1873/ch,as_1873/inf,as_1874/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 688,166 [1: as_1872/inf] | 658,156 [1: as_1875/ch]","Glass, Of All Kinds"
1206668,,value,,glass of all kinds,1872,GBP,1206668,A,,0,0,0.0,0.0,10,"1,206,668 [9: as_1872/ch,as_1872/inf,as_1873/ch,as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf,as_1876/ch,as_1876/inf] | 1,206,608 [1: as_1873/inf]",
1204679,,value,,palm,1896,GBP,1204679,A,,0,0,0.0,4.85,11,"1,204,679 [10: as_1896/ch,as_1896/inf,as_1898/ch,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1899/inf,tn_1901/ch,tn_1901/inf] | 1,146,241 [1: tn_1901/ch]",
