gbp,verdict,measure,group,article,year,unit,winner,tier,favours,origin_sum,n_origins,origin_ratio,spread_pct,n_readings,candidates,commodity
399955,ORIGINS-FAVOUR-LOSER,quantity,gum,gutta percha raw,1872,Cwts.,41597,A,44597,44597,7,1.0721,67.27,10,"41,597 [4: as_1873/ch,as_1873/inf,as_1875/ch,as_1875/inf] | 44,597 [4: as_1874/ch,as_1874/inf,as_1876/ch,as_1876/inf] | 14,597 [2: as_1872/ch,as_1872/inf]",Gutta Percha — Raw
396074,ORIGINS-FAVOUR-LOSER,quantity,,yeast dried,1874,Cuts.,163811,A,153811,153811,4,0.939,18.31,10,"153,811 [5: as_1874/inf,as_1876/ch,as_1876/inf,as_1878/ch,as_1878/inf] | 163,811 [4: as_1875/ch,as_1875/inf,as_1877/ch,as_1877/inf] | 133,811 [1: as_1874/ch]","Yeast, Dried"
369779,ORIGINS-FAVOUR-LOSER,quantity,oil,coco nut,1881,Cuts,218412,B,248412,248412,4,1.1374,12.2,6,"248,412 [3: as_1883/ch,as_1883/inf,as_1884/ch] | 218,412 [2: as_1882/ch,as_1882/inf] | 218,112 [1: as_1884/inf]",Oil — Coco-Nut
341828,ORIGINS-FAVOUR-LOSER,quantity,,cured sardines,1894,Cicts.,925244,A,105116,105155,9,0.1137,88.64,6,"925,244 [5: as_1897/inf,as_1898/ch,as_1898/inf,tn_1899/ch,tn_1899/inf] | 105,116 [1: as_1897/ch]","Cured, Sardines"
337426,ORIGINS-FAVOUR-LOSER,quantity,cotton,yarn,1893,Lbs,1552139,A,7359554,7383130,8,4.7567,79.47,17,"7,359,554 [10: as_1893/ch,as_1893/inf,as_1894/ch,as_1895/ch,as_1895/inf,as_1896/ch,as_1897/ch,as_1897/inf,tn_1895/ch,tn_1895/inf] | 1,552,139 [6: as_1893/ch,as_1894/ch,as_1894/inf,as_1895/ch,tn_1895/ch,tn_1895/inf] | 7,559,554 [1: as_1896/inf]",Yarn
123080,ORIGINS-FAVOUR-LOSER,quantity,,gum arabic,1872,Cwts.,12837,C,42837,42917,6,3.3432,70.03,2,"12,837 [1: as_1872/inf] | 42,837 [1: as_1875/inf]",Gum — Arabic
102209,ORIGINS-FAVOUR-LOSER,quantity,animals living,brimstone,1897,„,449028,B,419028,419028,4,0.9332,6.68,7,"449,028 [6: as_1897/ch,as_1898/ch,as_1899/ch,tn_1899/ch,tn_1901/ch,tn_1901/inf] | 419,028 [1: tn_1899/inf]",Brimstone
98253,ORIGINS-FAVOUR-LOSER,quantity,,isinglass,1879,Cwts.,5146,B,5446,5446,6,1.0583,5.51,9,"5,446 [5: as_1879/ch,as_1881/ch,as_1882/ch,as_1882/inf,as_1883/ch] | 5,146 [2: as_1880/ch,as_1880/inf] | 5,416 [2: as_1881/inf,as_1883/inf]",Isinglass
94681,ORIGINS-FAVOUR-LOSER,quantity,,moss litter,1898,Tons,89449,B,80449,80449,4,0.8994,10.06,6,"80,449 [4: as_1898/inf,as_1899/ch,tn_1899/inf,tn_1901/inf] | 89,449 [2: as_1898/ch,tn_1899/ch]",Moss Litter
58857,ORIGINS-FAVOUR-LOSER,quantity,,paper hangings,1890,Barrels,9174,A,9474,9504,8,1.036,99.99,7,"9,174 [4: as_1894/ch,as_1894/inf,tn_1895/ch,tn_1895/inf] | 181,111 [1: as_1891/ch] | 105,080,803 [1: as_1891/inf] | 9,474 [1: as_1892/inf]",Paper — Hangings
