commodity,year,origin,qty,year_qty,outside_share,n_outside,gbp
Spirits,1879,"Other Unsweetened Spirits - ,,",100957,104113,1.0,2,270977195
Spirits,1879,"Manufactured, Cigars And Snuff - ,,",3156,104113,1.0,2,270977195
Spirits,1885,Germany,11360,19284,1.0,8,270977195
Spirits,1885,France,4327,19284,1.0,8,270977195
Spirits,1885,Other Foreign Countries,1676,19284,1.0,8,270977195
Spirits,1885,Holland,930,19284,1.0,8,270977195
Spirits,1885,United States Of America,682,19284,1.0,8,270977195
Spirits,1885,British West India Islands,146,19284,1.0,8,270977195
Spirits,1885,Other British Possessions,104,19284,1.0,8,270977195
Spirits,1885,Channel Islands,59,19284,1.0,8,270977195
Wood And Timber,1888,Sawn Fir,1198319,1389981,0.92,8,229561174
Wood And Timber,1888,Denmark,56377,1389981,0.92,8,229561174
Wood And Timber,1888,Unenumerated,12729,1389981,0.92,8,229561174
Wood And Timber,1888,Austrian Territories,7189,1389981,0.92,8,229561174
Wood And Timber,1888,Australasia New Zealand,685,1389981,0.92,8,229561174
Wood And Timber,1888,Belgium,120,1389981,0.92,8,229561174
Wood And Timber,1888,Hewn Teak,77,1389981,0.92,8,229561174
Wood And Timber,1888,Channel Islands,1,1389981,0.92,8,229561174
Wool,1880,?,9781,9781,1.0,1,216440825
Coffee,1880,Prunes From France Other Countries,362501129,380477834,0.99,4,212222301
Coffee,1880,Plums French And Pruneloes From France Other Countries,13029327,380477834,0.99,4,212222301
Coffee,1880,Dutch Guiana,77910,380477834,0.99,4,212222301
Coffee,1880,Malt Foreign From All Countries,384,380477834,0.99,4,212222301
Coffee,1898,Entered 1898,250715,1240043,0.8,4,212222301
Coffee,1898,Entered 1895,249545,1240043,0.8,4,212222301
Coffee,1898,Entered 1897,248411,1240043,0.8,4,212222301
Coffee,1898,Entered 1896,247956,1240043,0.8,4,212222301
Jute,1872,British India,3972010,4041018,0.98,1,161053835
Petroleum,1899,Illuminating Gallons,203521374,295124602,1.0,30,112746849
Petroleum,1899,Lubricating,56625993,295124602,1.0,30,112746849
Petroleum,1899,Potatoes,5150011,295124602,1.0,30,112746849
Petroleum,1899,Hams,4094500,295124602,1.0,30,112746849
Petroleum,1899,Illuminating,3566592,295124602,1.0,30,112746849
Petroleum,1899,Hides Raw,2788687,295124602,1.0,30,112746849
Petroleum,1899,Of All Other Kinds,2681276,295124602,1.0,30,112746849
Petroleum,1899,Hemp,2664647,295124602,1.0,30,112746849
Petroleum,1899,Rice,2504004,295124602,1.0,30,112746849
Petroleum,1899,Pyrites Of Iron Or Copper,1164667,295124602,1.0,30,112746849
Petroleum,1899,Raisins,1054136,295124602,1.0,30,112746849
Petroleum,1899,Gutta Percha,1005966,295124602,1.0,30,112746849
Petroleum,1899,Hops,809842,295124602,1.0,30,112746849
Petroleum,1899,Poultry And Game Alive Or Dead,785294,295124602,1.0,30,112746849
Petroleum,1899,Pyrites Of Iron Or Copper Tons,701174,295124602,1.0,30,112746849
Petroleum,1899,Fresh,668972,295124602,1.0,30,112746849
Petroleum,1899,Rabbits Dead,635055,295124602,1.0,30,112746849
Petroleum,1899,Glass Manufactures Bottles,527534,295124602,1.0,30,112746849
Petroleum,1899,Plumbago,461587,295124602,1.0,30,112746849
Petroleum,1899,Plants,444566,295124602,1.0,30,112746849
Petroleum,1899,Hay,429799,295124602,1.0,30,112746849
Petroleum,1899,Prints,418788,295124602,1.0,30,112746849
Petroleum,1899,Quicksilver,415430,295124602,1.0,30,112746849
