gold_commodity,year,unit,gold_total,note
Alkali,1871,CWTS (Hundredweights),99985,name-matched(exact) but absent in 1871
Almonds,1871,CWTS (Hundredweights),72899,name-matched(exact) but absent in 1871
Aniline,1886,None,0,name-matched(exact) but absent in 1886
Animal Oil,1871,CWTS (Hundredweights),32821,name-matched(subset) but absent in 1871
Animals Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Arms and Ammunition Gunpowder,1881,CWTS (Hundredweights),10437,name-matched(subset) but absent in 1881
"Art, Works of, other than Pictures",1871,None,0,name-matched(exact) but absent in 1871
"Art, Works of, other than Pictures",1881,None,0,name-matched(exact) but absent in 1881
Asphalt or Bitumen,1871,Tons,14430,name-matched(exact) but absent in 1871
Asphalt or Bitumen,1876,Tons,22902,name-matched(exact) but absent in 1876
Asphalt or Bitumen,1881,Tons,18818,name-matched(exact) but absent in 1881
Bacon,1871,CWTS (Hundredweights),1028385,name-matched(exact) but absent in 1871
Bacon,1881,CWTS (Hundredweights),3876053,name-matched(exact) but absent in 1881
Bark For Tanners and Dyers Use,1871,CWTS (Hundredweights),415598,name-matched(subset) but absent in 1871
Bark For Tanners and Dyers Use,1881,CWTS (Hundredweights),325442,name-matched(subset) but absent in 1881
Bark For Tanners and Dyers Use,1891,CWTS (Hundredweights),489846,name-matched(subset) but absent in 1891
Bark Of other sorts,1871,CWTS (Hundredweights),29525,name-matched(exact) but absent in 1871
Bark Peruvian,1871,CWTS (Hundredweights),21043,name-matched(exact) but absent in 1871
Bark Peruvian,1876,CWTS (Hundredweights),26021,name-matched(exact) but absent in 1876
Bark Peruvian,1881,CWTS (Hundredweights),125358,name-matched(exact) but absent in 1881
Barley,1871,CWTS (Hundredweights),8569012,name-matched(exact) but absent in 1871
Barley meal,1871,CWTS (Hundredweights),600,name-matched(exact) but absent in 1871
Beads Unenumerated,1871,Lbs. (Pounds),108631,name-matched(exact) but absent in 1871
Beads of Glass,1871,Lbs. (Pounds),2095610,name-matched(subset) but absent in 1871
Beads of Glass,1881,Lbs. (Pounds),1613771,name-matched(subset) but absent in 1881
Bean meal,1871,CWTS (Hundredweights),768,name-matched(exact) but absent in 1871
Beans,1871,CWTS (Hundredweights),2990745,name-matched(exact) but absent in 1871
Beef Fresh or Slightly Salted,1871,CWTS (Hundredweights),22004,name-matched(subset) but absent in 1871
Beef Preserved not by Salting,1896,CWTS (Hundredweights),401961,name-matched(exact) but absent in 1896
Beef Salted,1871,CWTS (Hundredweights),280075,name-matched(subset) but absent in 1871
Beer and Ale Mum and Spruce,1881,Barrels,1932,name-matched(subset) but absent in 1881
Beer and Ale Mum and Spruce,1886,Barrels,1501,name-matched(subset) but absent in 1886
Beer and Ale Spruce,1871,Barrels,1820,name-matched(subset) but absent in 1871
Beer and Ale of other Sorts,1871,Barrels,2444,name-matched(exact) but absent in 1871
Beer and Ale of other Sorts,1881,Barrels,12013,name-matched(exact) but absent in 1881
Beer and Ale of other Sorts,1886,Barrels,23235,name-matched(exact) but absent in 1886
Bones (except Whalefins),1871,Tons,7979,name-matched(subset) but absent in 1871
Bones (except Whalefins),1881,Tons,6297,name-matched(subset) but absent in 1881
Bones (except Whalefins),1886,Tons,9496,name-matched(subset) but absent in 1886
Bones for manure,1871,Tons,92878,name-matched(exact) but absent in 1871
Bones for manure,1876,Tons,85129,name-matched(exact) but absent in 1876
Books,1871,CWTS (Hundredweights),14507,name-matched(exact) but absent in 1871
"Brass, Bronze, and Metal, Bronzed or Lacquered",1871,CWTS (Hundredweights),8030,name-matched(exact) but absent in 1871
"Brass, Bronze, and Metal, Bronzed or Lacquered",1881,CWTS (Hundredweights),8521,name-matched(exact) but absent in 1881
"Brass, Bronze, and Metal, Bronzed or Lacquered",1886,CWTS (Hundredweights),11670,name-matched(exact) but absent in 1886
"Brass, Bronze, and Metal, Bronzed or Lacquered",1891,CWTS (Hundredweights),18485,name-matched(exact) but absent in 1891
