volume,year,article_group,article,unit,row_seq,country,cell,printed_subtotal,ratio
as_1897,1897,"TELEGRAPHIC WIRES, AND APPARATUS",South Africa,,43558,Other Foreign Countries,3118.0,344.0,9.06
as_1883,1883,Meal and Flour,COTTON TWIST and YARN,,558,Belgium,861692.0,95936.0,8.98
as_1879,1879,"COALS, CINDERS, &c.",Coals,,423,Holland,185690.0,20800.0,8.93
as_1883,1883,Meal and Flour,COTTON TWIST and YARN,,559,France,856405.0,95936.0,8.93
as_1892,1892,"CARRIAGES, &c.","Railway Waggon, Trucks, &c., and parts thereof for Ballast, Minerals, or Merchandise",,1091,Venezuela,35968.0,4043.0,8.9
as_1898,1896,ALKALI,,Cwts,48,Portugal,11109.0,1248.0,8.9
as_1897,1896,ALKALI,,Cwts,49,Portugal,11100.0,1248.0,8.89
as_1898,1896,"TELEGRAPHIC WIRES, AND APPARATUS",East Africa,,43767,Newfoundland,55091.0,6205.0,8.88
as_1883,1883,CORN and GRAIN,Oats,,541,France,28142.0,3174.0,8.87
tn_1871,1870,COPPER,Mixed or Yellow Metal for Sheathing,Cwts,1005,all Countries,15559.0,1765.0,8.82
as_1885,1885,WOOL,Sheep and Lambs' (British),,3346,Holland,19701.0,2237.0,8.81
as_1897,1894,IMPLEMENTS AND TOOLS,South Africa,Implements and Tools,25965,Australasia : Tasmania,2175.0,247.0,8.81
tn_1871,1870,FLAX,Dressed and Undressed (Foreign),,1804,"Portugal, Azores, and Madeira",10114.0,1152.0,8.78
as_1880,1880,"Books, Printed",,,284,United States: Atlantic,276387.0,31807.0,8.69
as_1874,1874,LINEN and JUTE YARN,Jute Yarn,Lbs,1530,Spain,124850.0,14379.0,8.68
as_1898,1898,WOOD AND TIMBER,"Rough, Hewn, Sawn, or Split",Loads,44510,Other Foreign Countries,4478.0,517.0,8.66
as_1874,1874,CEMENT,,Cwts,356,Germany,99947.0,11616.0,8.6
as_1898,1898,ALKALI,,Cwts,5,Russia : Northern Ports,41043.0,4780.0,8.59
as_1879,1879,"HABERDASHERY and MILLINERY, including Em- broidery and Needlework","HABERDASHERY and MILITARY, including Em- broidery and Needle-work'd)",,950,British West India Islands and British Guiana,714440.0,83263.0,8.58
as_1872,1872,"ARMS, AMMUNITION, and MILITARY STORES",Percussion Caps,No,81,United States: Atlantic,36726.0,4290.0,8.56
as_1897,1894,ALKALI,,Cwts,2,Russia : Northern Ports,49336.0,5778.0,8.54
as_1898,1894,ALKALI,,Cwts,1,Russia : Northern Ports,49336.0,5778.0,8.54
as_1898,1898,"ANIMALS, Living",Stallions,,687,Holland,48506.0,5725.0,8.47
as_1879,1879,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",,471,France,481820.0,57233.0,8.42
