commodity,gbp,klass,candidates
Wheat,18760505,ambiguous-article,"Corn And Grain — Wheat | China, Or Porcelain, And Earthenware — Wheat | Cheese — Wheat | Corn — Wheat"
Unrefined,8334361,ambiguous-article,Sugar — Unrefined | Petroleum — Unrefined
Stuffs,5111544,ambiguous-article,Woollen Yarn — Stuffs | Woollen Manufactures — Stuffs
Raw,4727126,ambiguous-article,Cotton — Raw | Cherries — Raw | Grapes — Raw | Onions — Raw
Fresh,4413148,ambiguous-article,Fish — Fresh | Beef — Fresh | Beads Of All Sorts — Fresh
Dressed,3236894,ambiguous-article,Lead — Dressed | Hemp — Dressed | Flax — Dressed | Leather — Dressed
"In Blocks, Ingots, Bars, Or Slabs",2743814,ambiguous-article,"Tin — In Blocks, Ingots, Bars, Or Slabs | Slates — In Blocks, Ingots, Bars, Or Slabs | Sugar — In Blocks, Ingots, Bars, Or Slabs"
Guano,2039478,overlapping-t1,Manures — Guano
Pig And Sheet,1976436,overlapping-t1,Lead — Pig And Sheet
Indigo,1903401,ambiguous-article,"Ice — Indigo | Drugs — Indigo | Dye Stuffs, And Substances Used In Tanning — Indigo | Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Indigo"
Palm,1713829,ambiguous-article,"Oil — Palm | Nitre, Cubic (Nitrate Of Soda) — Palm"
"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",1703535,ambiguous-article,"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots | Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots"
Oranges,1591052,overlapping-t1,Fruit — Oranges
Currants,1586042,overlapping-t1,Fruit — Currants
Olive,1559183,ambiguous-article,Oil — Olive | Gil — Olive | Fish — Olive | Nuts And Kernels — Olive
For Weaving,1511924,overlapping-t1,Woollen Yarn — For Weaving
Brandy,1261800,ambiguous-article,"Spirits — Brandy | Fruit — Brandy | Cards, Playing — Brandy | Spices — Brandy"
Gloves,1219989,overlapping-t1,Leather Manufactures — Gloves
Of All Kinds (Except Hangings),1065018,overlapping-t1,Paper And Pasteboard — Of All Kinds (Except Hangings)
Raisins,1033510,ambiguous-article,Fruit — Raisins | Fruit Dried — Raisins
Horses,921490,ambiguous-article,"Animals — Horses | Cows — Horses | Animals, Living — Horses"
Clover And Grass - - - - -,855524,ambiguous-article,Seeds — Clover And Grass | Saltpetre (Nitrate Of Potash) — Clover And Grass
Strawboard Or Millboard,517161,overlapping-t1,Paper — Strawboard And Millboard
Turpentine,420029,ambiguous-article,Oil — Turpentine | Nuts And Kernels — Turpentine
Opium,403170,ambiguous-article,Drugs — Opium | Oil — Opium | Oil Seed Cake — Opium | Onions — Opium
