commodity,gbp,bucket,partner,partner_gbp,partner_bucket,unit,holds,shared_tokens,origin_years_shared,own_origin_years,own_anchor_years,merged_checked_years,ratio_median,ratio_range,pct_near_1,anchor_conflicts,verdict
Wood And Timber,229561174,FOLD?,"Wood And Timber — Hewn, Fir",96683621,KEEP,Load,anchor,timber wood,8,1888-1898,none,1,1.05,1.05-1.05,1.0,0,CONFIRMS
Wood And Timber,229561174,FOLD?,"Wood And Timber — Sawn Or Split, Planed Or Dressed, Fir",290174693,KEEP,Load,anchor,timber wood,8,1888-1898,none,1,0.941,0.94-0.94,1.0,0,CONFIRMS
Woollen Manufactures — Stuffs,81404071,KEEP,Woollen Yarn — Stuffs,52141123,REVIEW,Yard,origins,stuffs woollen,4,1882-1896,1898-1900,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Woollen Manufactures — Stuffs,81404071,KEEP,Stuffs,5111544,EMPTY,Yard,anchor,stuffs,0,1882-1896,1898-1900,4,1.0,1.0-1.13,0.75,0,CONFIRMS
Woollen Yarn — Stuffs,52141123,REVIEW,Woollen Manufactures — Stuffs,81404071,KEEP,Yard,anchor,stuffs woollen,4,1893-1899,none,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Woollen Yarn — Stuffs,52141123,REVIEW,Stuffs,5111544,EMPTY,Yard,anchor,stuffs,0,1893-1899,none,5,1.0,0.67-1.13,0.6,0,CONFIRMS
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",50651924,REVIEW,Spirits — Rum,15066488,KEEP,Proof Gallon,anchor,spirits,9,1883-1894,none,6,1.04,1.0-6.33,0.83,0,CONFIRMS
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",50651924,REVIEW,Spirits — Brandy,38702285,REVIEW,Proof Gallon,anchor,spirits,9,1883-1894,none,9,1.022,1.0-15.48,0.78,0,CONFIRMS
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",50651924,REVIEW,"Unenumerated, Not Sweetened Or Mixed",73088906,KEEP,Proof Gallon,anchor,mixed sweetened,8,1883-1894,none,2,1.04,1.03-1.04,1.0,0,CONFIRMS
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",50651924,REVIEW,"Sweetened Or Mixed, Tested",57056,KEEP,Proof Gallon,anchor,mixed sweetened tested,0,1883-1894,none,2,1.0,1.0-1.0,1.0,0,CONFIRMS
