class,gbp,n_volumes,volume,year,group,article,n_rows_ch,n_rows_inf,qty_offset,qty_matched,lbl_offset,lbl_matched,slip,n_disagree,third_voice,row_set_closes,closure_ch,closure_inf,shipped,ships_wrong,votes_ch,votes_inf,ships_ch,ships_inf,examples
slip,610021,1,as_1878,1878,ZINC,"Crude, in Cakes",5,4,0,4,-1,4,-1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"14,641: ch=Germany(0) inf=Holland(0) ; 5,599: ch=Holland(0) inf=Belgium(0) ; 10,936: ch=Belgium(0) inf=France(0) ; 1,101: ch=France(0) inf=Other Countries(0)"
slip,590576,4,as_1898,1896,FISH (including Turtle),"Unenumerated, Raw",16,15,0,9,-1,15,-1,6,chandra,chandra,1/2,0/2,chandra,False,13,0,9,0,"135,939: ch=Germany(2) inf=Holland(0) ; 89,834: ch=France(2) inf=Portugal(0) ; 12,137: ch=Portugal(2) inf=Azores(0) ; 63,163: ch=Azores(0) inf=Madeira(0) ; 44,092: ch=Madeira(2) inf=Spain(0) ; 425,838: ch=Spain(1) inf=Canary Islands(0)"
slip,590456,4,as_1897,1896,FLAX,"Unenumerated, Raw",16,30,0,13,-1,14,-1,6,chandra,chandra,2/2,0/4,chandra,False,25,0,13,0,"135,939: ch=Germany(2) inf=Holland(0) ; 131,159: ch=Holland(2) inf=Belgium(0) ; 9,728: ch=Belgium(2) inf=France(0) ; 89,834: ch=France(2) inf=Portugal(0) ; 12,137: ch=Portugal(2) inf=Azores(0) ; 63,168: ch=Azores(2) inf=Madeira(0)"
slip,563550,3,as_1898,1894,FISH (including Turtle),"Unenumerated, Raw",17,16,0,9,-1,16,-1,6,chandra,chandra,1/2,0/2,chandra,False,8,0,9,0,"278,962: ch=Holland(1) inf=Belgium(0) ; 21,307: ch=Belgium(1) inf=France(0) ; 159,134: ch=France(1) inf=Portugal(0) ; 10,448: ch=Portugal(1) inf=Azores(0) ; 40,615: ch=Madeira(1) inf=Spain(0) ; 351,442: ch=Spain(1) inf=Canary Islands(0)"
slip,533859,3,as_1897,1894,FLAX,"Unenumerated, Raw",17,32,0,14,-1,16,-1,6,chandra,chandra,2/2,0/4,chandra,False,14,0,14,0,"131,888: ch=Germany(1) inf=Holland(0) ; 21,307: ch=Belgium(1) inf=France(0) ; 159,134: ch=France(1) inf=Portugal(0) ; 10,448: ch=Portugal(1) inf=Azores(0) ; 47,909: ch=Azores(1) inf=Madeira(0) ; 40,615: ch=Madeira(1) inf=Spain(0)"
slip,523001,1,as_1872,1872,COTTON MANUFACTURES,"DYE STUFFS, Unenumerated",16,16,0,15,-1,9,-1,6,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,8,0,"5,966: ch=Turkey(0) inf=Egypt(0) ; 11,688: ch=Egypt(0) inf=East Coast of Africa: Native States(0) ; 15,939: ch=East Coast of Africa: Native States(0) inf=United States of America(0) ; 26,772: ch=United States of America(0) inf=Dutch West India Islands(0) ; 23,860: ch=Dutch West India Islands(0) inf=Mexico(0) ; 47,254: ch=Mexico(0) inf=New Granada(0)"
slip,513261,4,as_1897,1895,FLAX,"Unenumerated, Raw",17,30,0,14,-1,16,-1,6,chandra,chandra,2/2,0/4,chandra,False,26,0,14,0,"191,976: ch=Germany(2) inf=Holland(0) ; 151,279: ch=Holland(2) inf=Belgium(0) ; 8,590: ch=Belgium(2) inf=France(0) ; 79,426: ch=France(2) inf=Portugal(0) ; 8,472: ch=Portugal(2) inf=Azores(0) ; 50,728: ch=Azores(2) inf=Madeira(0)"
slip,512951,4,as_1898,1895,FISH (including Turtle),"Unenumerated, Raw",17,16,0,8,-1,16,-1,6,chandra,,1/2,1/2,chandra,False,14,0,8,0,"191,976: ch=Germany(2) inf=Holland(0) ; 151,279: ch=Holland(2) inf=Belgium(0) ; 8,590: ch=Belgium(2) inf=France(0) ; 79,426: ch=France(2) inf=Portugal(0) ; 50,728: ch=Azores(2) inf=Madeira(0) ; 370,711: ch=Spain(2) inf=Canary Islands(0)"
slip,488512,1,as_1883,1883,GUM,"Lac, Seed, Shell, Stick, and Dye",6,7,0,6,1,6,1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,infinity,False,0,0,2,6,"596: ch=British India : Madras(0) inf=British India : Bombay(0) ; 29: ch=British India : Bengal(0) inf=British India : Madras(0) ; 109,120: ch=British India : Straits Settlements(0) inf=British India : Bengal(0) ; 4,342: ch=British India : Ceylon(0) inf=British India : Straits Settlements(0) ; 224: ch=United States of America(0) inf=British India : Ceylon(0) ; 707: ch=Other Countries(0) inf=United States of America(0)"
slip,458791,1,as_1878,1878,OIL,"Seed Oil, of all Kinds",5,6,0,5,1,5,1,5,UNSETTLEABLE (printed once),infinity,0/1,1/1,infinity,False,0,0,0,5,"6,709: ch=Holland(0) inf=Germany(0) ; 1,899: ch=Belgium(0) inf=Holland(0) ; 1,468: ch=France(0) inf=Belgium(0) ; 1,703: ch=United States of America(0) inf=France(0) ; 867: ch=Other Countries(0) inf=United States of America(0)"
slip,447979,2,as_1897,1893,FLAX,"Unenumerated, Raw",16,30,0,13,-1,14,-1,6,chandra,chandra,1/2,0/4,chandra,False,11,0,13,0,"75,682: ch=Germany(1) inf=Holland(0) ; 149,191: ch=Holland(1) inf=Belgium(0) ; 22,850: ch=Belgium(1) inf=France(0) ; 105,812: ch=France(1) inf=Portugal(0) ; 5,947: ch=Portugal(1) inf=Azores(0) ; 52,696: ch=Azores(1) inf=Madeira(0)"
slip,427658,1,as_1878,1878,OIL,Train or Blubber,5,7,0,5,1,5,1,5,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,3,0,"1,081: ch=United States of America(0) inf=Norway(0) ; 2,998: ch=Whale Fisheries : Northern(0) inf=United States of America(0) ; 1,405: ch=Channel Islands(0) inf=Whale Fisheries : Northern(0) ; 250: ch=British North America(0) inf=Channel Islands(0) ; 8,907: ch=Other Countries(0) inf=British North America(0)"
slip,413928,1,as_1874,1874,OIL,Train or Blubber,7,8,0,6,1,7,1,6,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,4,0,"967: ch=Germany(0) inf=Norway(0) ; 277: ch=Portugal(0) inf=Germany(0) ; 1,593: ch=Whale Fisheries : Northern(0) inf=United States of America(0) ; 2,763: ch=Channel Islands(0) inf=Whale Fisheries: Northern(0) ; 222: ch=British North America(0) inf=Channel Islands(0) ; 6,533: ch=Other Countries(0) inf=British North America(0)"
slip,408789,1,as_1887,1887,SPICES,Unenumerated,13,8,0,8,1,4,1,6,UNSETTLEABLE (printed once),chandra,2/2,1/1,infinity,False,0,0,1,6,"619,946: ch=East Coast of Africa:     Native States(0) inf=East Coast of Africa(0) ; 42,590: ch=Java(0) inf=Native States(0) ; 30,009: ch=China(0) inf=Java(0) ; 165,655: ch=United States of America(0) inf=China(0) ; 726,572: ch=Danish West India Islands(0) inf=United States of America(0) ; 133,123: ch=Other Foreign Countries(0) inf=Danish West India Islands(0)"
slip,333011,1,as_1890,1890,LEATHER MANUFACTURES,Boots and Shoes,8,7,0,5,-1,7,-1,5,UNSETTLEABLE (printed once),chandra,2/2,1/2,chandra,False,0,0,5,0,"3,437: ch=Germany(0) inf=Holland(0) ; 8,015: ch=Holland(0) inf=Belgium(0) ; 56,743: ch=Belgium(0) inf=France(0) ; 29,644: ch=France(0) inf=United States of America(0) ; 183: ch=United States of America(0) inf=Other Foreign Countries(0)"
slip,265294,1,as_1883,1883,"MEAT, Unenumerated","Unenumerated, Unwrought",12,12,0,10,1,11,1,6,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,10,0,"291: ch=Germany(0) inf=Norway(0) ; 701: ch=France(0) inf=Holland(0) ; 98: ch=Native Islands in the Indian Seas, not Borneo(0) inf=France(0) ; 348: ch=China(0) inf=Native Islands in the Indian Seas, not Borneo(0) ; 589: ch=Japan(0) inf=China(0) ; 85: ch=Australasia: Victoria(0) inf=Japan(0)"
slip,221696,1,as_1881,1881,Cows,Horses,7,6,-1,4,0,6,1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,309: ch=Belgium(0) inf=Holland(0) ; 885: ch=France(0) inf=Belgium(0) ; 464: ch=United States of America(0) inf=France(0) ; 179: ch=Other Countries(0) inf=United States of America(0)
slip,203063,2,as_1893,1893,Corn and Grain,Rye,9,16,0,6,1,7,1,6,engines systematically differ,,1/2,1/2,chandra,False,0,0,6,1,"320,893: ch=Germany(0) inf=Russia(0) ; 14,280: ch=Roumania(0) inf=France(0) ; 5,020: ch=Turkey(0) inf=Roumania(0) ; 63,850: ch=Egypt(0) inf=Turkey(0) ; 14,318: ch=United States of America(0) inf=Egypt(0) ; 181,035: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,175216,1,as_1883,1883,MANURES,Unenumerated,19,19,0,18,1,18,1,6,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,16,0,"60: ch=Sweden(0) inf=Russia(0) ; 13: ch=Norway(0) inf=Sweden(0) ; 303: ch=Holland(0) inf=Germany(0) ; 2,789: ch=Belgium(0) inf=Holland(0) ; 28: ch=Channel Islands(0) inf=Belgium(0) ; 27,710: ch=France(0) inf=Channel Islands(0)"
slip,166846,1,as_1878,1878,OIL,"Chemical, Essential, or Perfumed",6,7,1,5,0,6,-1,5,UNSETTLEABLE (printed once),infinity,0/1,1/1,chandra,False,0,0,5,0,"190,344: ch=France(0) inf=Italy(0) ; 4,235: ch=Italy(0) inf=Turkey(0) ; 72,404: ch=Turkey(0) inf=China(0) ; 102,459: ch=China(0) inf=United States of America(0) ; 65,798: ch=United States of America(0) inf=British East Indies(0)"
slip,166371,1,as_1876,1876,SPICES,Ginger (Raw),6,7,0,6,1,6,1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,chandra,False,0,0,6,0,"11,031: ch=British India: Bombay and Scinde(0) inf=British West Africa(0) ; 11,264: ch=Madras(0) inf=British India : Bombay and Scinde(0) ; 10,069: ch=Bengal and Burmah(0) inf=Madras(0) ; 9,903: ch=Ceylon(0) inf=Bengal and Burmah(0) ; 2,890: ch=British West India Islands(0) inf=Ceylon(0) ; 15,594: ch=Other Countries(0) inf=British West India Islands(0)"
