class,gbp,n_volumes,volume,year,group,article,n_rows_ch,n_rows_inf,qty_offset,qty_matched,lbl_offset,lbl_matched,slip,n_disagree,third_voice,row_set_closes,closure_ch,closure_inf,shipped,ships_wrong,votes_ch,votes_inf,ships_ch,ships_inf,examples
slip,3799145,4,as_1895,1895,"CORN, GRAIN, MEAL, AND FLOUR",Oats,14,14,0,14,-1,8,-1,6,infinity,,1/2,1/2,chandra,True,0,8,7,4,"1,130,870: ch=Russia(0) inf=Sweden(1) ; 748,640: ch=Sweden(0) inf=Germany(0) ; 278,350: ch=Germany(0) inf=Holland(2) ; 43,200: ch=Holland(0) inf=Roumania(2) ; 460,910: ch=Roumania(0) inf=Turkey(0) ; 297,800: ch=Turkey(0) inf=United States of America(1)"
slip,93288940,1,as_1882,1882,COTTON,Raw,19,18,0,16,-1,13,-1,6,UNSETTLEABLE (printed once),infinity,0/0,1/1,infinity,False,0,0,0,13,"20,784: ch=Belgium(0) inf=France(0) ; 1,334,090: ch=France(0) inf=Egypt(0) ; 2,770: ch=On the Atlantic(0) inf=On the Pacific(0) ; 21,981: ch=On the Pacific(0) inf=United States of Colombia(0) ; 37,958: ch=United States of Colombia(0) inf=Peru(0) ; 20,577: ch=Peru(0) inf=Chile(0)"
slip,25742046,1,as_1881,1881,WOOL,Sheep and Lambs',18,19,1,18,0,11,-1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,chandra,False,0,0,11,0,"13,008,652: ch=Russia : Northern Ports(0) inf=Southern Ports(0) ; 2,499,429: ch=Southern Ports(0) inf=Denmark(0) ; 2,263,651: ch=Denmark(0) inf=Germany(0) ; 1,520,417: ch=Germany(0) inf=Holland(0) ; 3,612,810: ch=Holland(0) inf=Belgium(0) ; 3,011,131: ch=Belgium(0) inf=France(0)"
slip,17218634,3,as_1897,1897,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",39,39,0,13,1,18,1,5,engines systematically differ,chandra,2/6,1/5,infinity,False,0,0,1,3,"18,358: ch=Norway(0) inf=Sweden(0) ; 2,856: ch=Germany(0) inf=Norway(0) ; 4,313: ch=Holland(0) inf=Germany(0) ; 8,103: ch=France(0) inf=Holland(0) ; 40,811: ch=On the Atlantic(0) inf=United States of America : On the Atlantic(0)"
slip,12973918,3,as_1897,1896,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",37,38,0,18,1,18,1,6,engines systematically differ,chandra,5/6,4/5,infinity,False,0,0,3,5,"11,184: ch=Norway(0) inf=Sweden(0) ; 3,472: ch=Holland(0) inf=Germany(0) ; 7,809: ch=France(0) inf=Holland(0) ; 12,680: ch=United States of America(0) inf=France(0) ; 20: ch=On the Pacific(0) inf=United States of America : On the Pacific(0) ; 683: ch=Other Foreign Countries(0) inf=United States of America : Other Foreign Countries(0)"
slip,12441281,2,as_1897,1894,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",40,41,0,20,1,19,1,5,engines systematically differ,chandra,5/6,2/5,,False,0,0,3,3,"14,949: ch=Norway(0) inf=Sweden(0) ; 4,865: ch=Holland(0) inf=Germany(0) ; 7,954: ch=France(0) inf=Holland(0) ; 105: ch=On the Pacific(0) inf=United States of America : On the Pacific(0) ; 139: ch=Other Foreign Countries(0) inf=United States of America : Other Foreign Countries(0)"
slip,11200390,4,as_1897,1895,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",39,40,0,16,1,19,1,5,engines systematically differ,chandra,6/6,4/5,infinity,False,0,0,1,4,"25,374: ch=Sweden(0) inf=Russia(0) ; 15,205: ch=Norway(0) inf=Sweden(0) ; 5,171: ch=Holland(0) inf=Germany(0) ; 8,152: ch=France(0) inf=Holland(0) ; 145: ch=On the Pacific(0) inf=United States of America : On the Pacific(0)"
slip,10768377,1,as_1897,1893,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",37,38,0,16,1,18,1,6,UNSETTLEABLE (printed once),chandra,4/6,3/5,,False,0,0,4,4,"15,488: ch=Norway(0) inf=Sweden(0) ; 3,589: ch=Germany(0) inf=Norway(0) ; 5,015: ch=Holland(0) inf=Germany(0) ; 9,372: ch=United States of America(0) inf=France(0) ; 20,894: ch=On the Atlantic(0) inf=United States of America : On the Atlantic(0) ; 110: ch=On the Pacific(0) inf=United States of America : On the Pacific(0)"
slip,4992679,1,as_1877,1877,Corn and Grain,Oats,10,9,0,9,-1,9,-1,6,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,8,0,"7,262,948: ch=Russia: Northern Ports(0) inf=Southern Ports(0) ; 150,013: ch=Southern Ports(0) inf=Sweden(0) ; 3,083,578: ch=Sweden(0) inf=Norway(0) ; 38,095: ch=Norway(0) inf=Denmark(0) ; 106,457: ch=Denmark(0) inf=Germany(0) ; 1,281,760: ch=Germany(0) inf=Holland(0)"
slip,4477003,1,as_1894,1894,CHICORY,"Cocoa or Chocolate, in the manufacture of which Spirit has been used",32,31,-1,23,0,21,1,6,UNSETTLEABLE (printed once),,1/3,1/3,chandra,False,0,0,14,0,"1,369: ch=Belgium(0) inf=Holland(0) ; 46,475: ch=France(0) inf=Belgium(0) ; 3,476: ch=Portugal(0) inf=France(0) ; 3,606: ch=West Africa, Foreign(0) inf=Portugal(0) ; 99,122: ch=United States of America(0) inf=West Africa, Foreign(0) ; 1,898: ch=Mexico(0) inf=United States of America(0)"
slip,4294747,2,as_1893,1893,Corn and Grain,Oats,16,17,0,11,1,16,1,6,infinity,chandra,2/2,1/2,infinity,False,0,5,0,8,"8,250,578: ch=Sweden(0) inf=Russia(0) ; 2,890,220: ch=Norway(0) inf=Sweden(1) ; 19,019: ch=Denmark(0) inf=Norway(1) ; 175,111: ch=Germany(0) inf=Denmark(1) ; 399,053: ch=Holland(0) inf=Germany(0) ; 166,955: ch=Belgium(0) inf=Holland(1)"
slip,2783685,1,as_1876,1876,Corn and Grain,Barley,13,12,0,12,-1,11,-1,6,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,10,0,"1,540,721: ch=Southern Ports(0) inf=Sweden(0) ; 320,490: ch=Sweden(0) inf=Denmark(0) ; 994,017: ch=Denmark(0) inf=Germany(0) ; 431,342: ch=Germany(0) inf=France(0) ; 1,642,070: ch=France(0) inf=Turkey(0) ; 3,235,652: ch=Turkey(0) inf=Wallachia and Moldavia(0)"
slip,2430876,1,as_1875,1875,LEATHER MANUFACTURES,Gloves,5,4,0,4,-1,4,-1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"36,463: ch=Denmark(0) inf=Germany(0) ; 57,271: ch=Germany(0) inf=Belgium(0) ; 177,491: ch=Belgium(0) inf=France(0) ; 1,611,608: ch=France(0) inf=Other Countries(0)"
slip,1909891,4,as_1895,1895,HIDES. Raw. and Pieces thereof,Wet,27,26,0,14,-1,25,-1,6,chandra,chandra,1/2,0/2,chandra,False,31,0,14,0,"4,231: ch=Russia(1) inf=Sweden(0) ; 6,457: ch=Sweden(3) inf=Denmark(0) ; 11,554: ch=Denmark(3) inf=Germany(0) ; 144,593: ch=Germany(2) inf=Holland(0) ; 67,626: ch=Holland(2) inf=Belgium(0) ; 103,298: ch=Belgium(0) inf=France(0)"
slip,1892528,1,as_1880,1880,"MEAT, Unenumerated","Preserved, otherwise than by Salting",8,9,1,7,0,8,-1,6,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,6,0,"6,785: ch=Germany(0) inf=Belgium(0) ; 1,899: ch=Belgium(0) inf=France(0) ; 13,546: ch=United States of America(0) inf=Uruguay(0) ; 3,163: ch=Uruguay(0) inf=Argentine Republic(0) ; 142,280: ch=Argentine Republic(0) inf=Australia(0) ; 7,194: ch=Australia(0) inf=British North America(0)"
slip,1840956,1,as_1876,1876,LEATHER MANUFACTURES,Gloves,5,4,0,4,-1,4,-1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"36,903: ch=Denmark(0) inf=Germany(0) ; 71,131: ch=Germany(0) inf=Belgium(0) ; 301,305: ch=Belgium(0) inf=France(0) ; 1,084,400: ch=France(0) inf=Other Countries(0)"
slip,1678549,1,as_1877,1877,Corn and Grain,Beans,10,9,0,8,-1,9,-1,6,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,8,0,"128,656: ch=Germany(0) inf=France(0) ; 47,894: ch=Portugal(0) inf=Spain(0) ; 46,277: ch=Spain(0) inf=Italy(0) ; 185,778: ch=Italy(0) inf=Turkey(0) ; 366,360: ch=Turkey(0) inf=Egypt(0) ; 2,536,396: ch=Egypt(0) inf=Algeria(0)"
slip,1584092,2,as_1898,1898,NUTS AND KERNELS,Seed,32,34,0,11,2,19,2,2,engines systematically differ,infinity,3/5,4/5,infinity,False,0,0,0,1,"1,793: ch=France(0) inf=Belgium(0) ; 556,110: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1576130,2,as_1899,1898,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",35,60,0,15,2,11,2,6,engines systematically differ,infinity,1/5,3/9,,False,0,0,6,6,"67,410: ch=Holland(0) inf=Germany(0) ; 6,649: ch=Belgium(0) inf=Holland(0) ; 33,095: ch=France(0) inf=Belgium(0) ; 91,717: ch=Austrian Territories(0) inf=France(0) ; 14,860: ch=United States of America(0) inf=Austrian Territories(0) ; 39,652: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1560218,3,as_1899,1897,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",35,60,0,15,2,11,2,6,infinity,chandra,3/5,1/9,infinity,False,0,3,1,6,"47,410: ch=Holland(0) inf=Germany(1) ; 35,295: ch=Belgium(0) inf=Holland(0) ; 35,544: ch=France(0) inf=Belgium(1) ; 61,205: ch=Austrian Territories(0) inf=France(1) ; 11,074: ch=United States of America(0) inf=Austrian Territories(0) ; 16,943: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1527276,3,as_1898,1897,NUTS AND KERNELS,Seed,33,35,0,15,2,18,2,4,engines systematically differ,infinity,2/5,3/5,infinity,False,0,0,0,1,"9,008: ch=Belgium(0) inf=Russia(0) ; 4,320: ch=France(0) inf=Belgium(0) ; 515: ch=United States of America(0) inf=France(0) ; 488,487: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1518557,1,as_1877,1877,LEATHER MANUFACTURES,Gloves,6,5,0,4,-1,5,-1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"18,812: ch=Germany(0) inf=Holland(0) ; 34,587: ch=Holland(0) inf=Belgium(0) ; 254,970: ch=Belgium(0) inf=France(0) ; 904,648: ch=France(0) inf=Other Countries(0)"
slip,1516753,4,as_1898,1895,NUTS AND KERNELS,Seed,33,35,0,14,2,18,2,3,engines systematically differ,infinity,3/5,4/5,infinity,False,0,0,0,2,"10,402: ch=Belgium(0) inf=Russia(0) ; 10: ch=France(0) inf=Belgium(0) ; 669: ch=United States of America(0) inf=France(0)"
slip,1508917,4,as_1898,1896,NUTS AND KERNELS,Seed,32,34,0,13,2,18,2,4,engines systematically differ,,3/5,3/5,infinity,False,0,0,0,3,"7,731: ch=Belgium(0) inf=Russia(0) ; 1,244: ch=France(0) inf=Belgium(0) ; 506: ch=United States of America(0) inf=France(0) ; 489,200: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1504479,1,as_1889,1889,"HIDES, Raw, and Pieces thereof",Wet,24,22,0,15,-1,15,-1,6,UNSETTLEABLE (printed once),chandra,2/2,0/2,chandra,False,0,0,15,0,"1,799: ch=Russia(0) inf=Sweden(0) ; 2,661: ch=Sweden(0) inf=Norway(0) ; 1,241: ch=Norway(0) inf=Denmark(0) ; 10,983: ch=Denmark(0) inf=Germany(0) ; 36,322: ch=Germany(0) inf=Holland(0) ; 32,484: ch=Holland(0) inf=Belgium(0)"
slip,1415701,1,as_1878,1878,MEAT,"Preserved, otherwise than by Salting",7,6,-1,5,0,6,1,5,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"10,628: ch=France(0) inf=Belgium(0) ; 304,863: ch=United States of America(0) inf=France(0) ; 5,340: ch=Uruguay(0) inf=United States of America(0) ; 100,502: ch=Australia(0) inf=Uruguay(0) ; 2,761: ch=British North America(0) inf=Australia(0)"
slip,1394328,1,as_1884,1884,"MEAT, Unenumerated","Preserved, otherwise than by     Salting",17,18,0,15,1,10,1,6,UNSETTLEABLE (printed once),,1/1,1/1,chandra,False,0,0,8,1,"194: ch=Australasia: South Australia     Victoria(0) inf=Australasia: South Australia(0) ; 26,140: ch=New South     Wales(0) inf=Victoria(0) ; 65,722: ch=Queensland(0) inf=New South Wales(0) ; 9,265: ch=Tasmania(0) inf=Queensland(0) ; 3: ch=New Zealand(0) inf=Tasmania(0) ; 27,245: ch=British North America(0) inf=New Zealand(0)"
slip,1369047,3,as_1898,1894,NUTS AND KERNELS,Seed,31,33,0,11,2,19,2,2,engines systematically differ,infinity,2/5,4/5,infinity,False,0,0,0,2,"10,275: ch=Belgium(0) inf=Russia(0) ; 394,672: ch=Other Foreign Countries(0) inf=United States of America(0)"
slip,1300633,1,as_1878,1878,LEATHER MANUFACTURES,Gloves,6,5,0,5,-1,5,-1,5,UNSETTLEABLE (printed once),,1/1,1/1,chandra,False,0,0,5,0,"22,273: ch=Denmark(0) inf=Germany(0) ; 9,001: ch=Germany(0) inf=Holland(0) ; 49,883: ch=Holland(0) inf=Belgium(0) ; 186,701: ch=Belgium(0) inf=France(0) ; 791,625: ch=France(0) inf=Other Countries(0)"
slip,1296782,1,as_1873,1873,LEATHER MANUFACTURES,Gloves,5,4,0,4,-1,4,-1,4,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,4,0,"22,666: ch=Denmark(0) inf=Germany(0) ; 42,969: ch=Germany(0) inf=Belgium(0) ; 114,928: ch=Belgium(0) inf=France(0) ; 781,323: ch=France(0) inf=Other Countries(0)"
slip,1207549,3,as_1898,1897,FISH (including Turtle),"Unenumerated, Dried",57,14,0,13,-1,9,-1,6,chandra,chandra,5/6,0/2,chandra,False,8,0,10,2,"7,864: ch=France(1) inf=Italy(0) ; 1,270: ch=Italy(1) inf=Turkey, Asiatic(0) ; 133,113: ch=Turkey, Asiatic(0) inf=Egypt(0) ; 8,639: ch=Egypt(1) inf=Morocco(0) ; 1,067: ch=Morocco(1) inf=Persia(0) ; 21,640: ch=Persia(1) inf=China(0)"
slip,1030088,4,as_1898,1896,FISH (including Turtle),"Unenumerated, Dried",56,14,0,12,-1,9,-1,6,chandra,chandra,4/6,0/2,chandra,False,13,3,9,2,"7,476: ch=France(2) inf=Italy(0) ; 1,384: ch=Italy(2) inf=Turkey, Asiatic(0) ; 242,917: ch=Turkey, Asiatic(1) inf=Egypt(0) ; 1,192: ch=Egypt(2) inf=Morocco(3) ; 1,192: ch=Morocco(2) inf=Persia(0) ; 9,570: ch=Persia(2) inf=China(0)"
slip,1007368,1,as_1874,1874,OIL,Olive,9,10,0,9,1,9,1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,chandra,False,0,0,9,0,"159: ch=Portugal(0) inf=France(0) ; 503: ch=Spain(0) inf=Portugal(0) ; 7,683: ch=Italy(0) inf=Spain(0) ; 9,728: ch=Austrian Territories(0) inf=Italy(0) ; 311: ch=Greece(0) inf=Austrian Territories(0) ; 554: ch=Tripoli and Tunis(0) inf=Greece(0)"
slip,1005866,1,as_1878,1878,OIL,Olive,7,8,0,7,1,7,1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,infinity,False,0,0,0,7,"295: ch=Spain(0) inf=France(0) ; 6,592: ch=Italy(0) inf=Spain(0) ; 9,362: ch=Greece(0) inf=Italy(0) ; 295: ch=Turkey(0) inf=Greece(0) ; 3,244: ch=Egypt(0) inf=Turkey(0) ; 113: ch=Malta(0) inf=Egypt(0)"
slip,980806,4,as_1895,1895,IRON,Pig and Puddled,11,11,0,11,1,7,1,6,chandra,,2/4,2/4,chandra,False,3,0,6,0,"2,414: ch=Holland(1) inf=Sweden(0) ; 9,790: ch=Spain(1) inf=Holland(0) ; 3,668: ch=United States of America(1) inf=Spain(0) ; 294: ch=Other Foreign Countries(0) inf=United States of America(0) ; 1,493: ch=Holland(0) inf=Sweden(0) ; 7,254: ch=Belgium(0) inf=Holland(0)"
slip,969971,2,as_1898,1898,FISH (including Turtle),"Unenumerated, Dried",55,14,0,10,-1,9,-1,6,chandra,chandra,5/6,0/2,chandra,False,4,0,6,2,"681: ch=Italy(0) inf=Turkey, Asiatic(0) ; 215,294: ch=Turkey, Asiatic(1) inf=Egypt(0) ; 7,284: ch=Egypt(0) inf=Morocco(0) ; 724: ch=Morocco(1) inf=Persia(0) ; 3,507: ch=Persia(0) inf=China(0) ; 328: ch=China(0) inf=United States of America(0)"
slip,856723,1,as_1876,1876,WOOD and TIMBER,Staves,8,7,0,5,-1,7,-1,5,UNSETTLEABLE (printed once),,0/1,0/1,chandra,False,0,0,5,0,"10,901: ch=Russia(0) inf=Sweden(0) ; 11,978: ch=Sweden(0) inf=Norway(0) ; 29,385: ch=Norway(0) inf=Germany(0) ; 34,718: ch=Germany(0) inf=Austrian Territories(0) ; 11,070: ch=United States of America(0) inf=British North America(0)"
