commodity,year,dropped_country,kept_country,qty,value
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Spain,Spain,182660,20711
Hay,1896,United States Of America (Atlantic),United States Of America,5939,20477
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Asiatic,Asiatic,206660,20153
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Spain,Spain,175420,19437
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,France,France,172700,19064
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,British Possessions In South Africa,British Possessions In South Africa,392,18689
"Buttons And Studs, Not Of Metal",1882,France,France,224962,18675
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1885,British Possessions In Southafrica,British Possessions In South Africa,1403,18592
"Flax, Dressed Or Undressed",1892,Australasia,New Zealand,17443,18583
Phosphate Of Lime And Rock,1893,Dutch West India Islands,Dutch West India Islands,5636,18471
Wood And Timber — Mahogany,1896,Cuba And Porto Rico,Spanish West India Islands,2083,17460
Dye Woods — Unenumerated,1876,British East Indies,British East Indies,2490,17413
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Russia (Southern Ports),Russia (Southern Ports),187045,17388
Coffee — Raw,1895,Stralts Settlements,Straits Settlements,4513,17276
Hemp — Dressed Or Undressed,1894,United States Of America,United States Of America,881,16747
Hemp — Dressed Or Undressed,1894,United States Of America (Atlantic),United States Of America,881,16747
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,France,France,439,16668
Wood And Timber — Mahogany,1895,Cuba And Porto Rico,Spanish West India Islands,2819,16318
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Russia (Northern Ports),Russia (Northern Ports),157204,16277
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Russia (Northern Ports),Russia (Northern Ports),134330,15767
Oil — Palm,1895,German,German Possessions,15122,15554
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,United States Of America,United States Of America,911,15259
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Holland,Holland,130963,15185
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,France,France,226612,15042
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Cape Of Good Hope,Cape Of Good Hope,286,14617
Dye Woods — Unenumerated,1875,New Granada,New Granada,1823,14447
Wood And Timber — Teak,1877,Straits Settlements,Straits Settlements,1108,14292
Wood And Timber — Teak,1879,Other Countries,Other Countries,1637,14215
Hemp — Dressed Or Undressed,1896,Mauritius And Dependencies,Mauritius,767,13908
Caoutchouc,1893,French,French Possessions,1609,13650
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,Holland,Holland,153531,13055
Coffee — Raw,1894,"West Africa, Foreign",West Africa Foreign,3606,12910
Wood And Timber — Mahogany,1897,Cuba And Porto Rico,Spanish West India Islands,1456,12646
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,Russia (Northern Ports),Russia (Northern Ports),94106,12491
Coffee — Raw,1897,Stralts Settlements,Straits Settlements,2744,12135
Yarn,1896,British East Indies,Bengal,1276913,12060
Phosphate Of Lime And Rock,1893,British West India Islands,British West India Islands,7690,12005
Caoutchouc,1895,German,German Possessions,1488,11334
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1887,British Possessions In Southafrica,British Possessions In South Africa,851,11104
Caoutchouc,1893,Mauritius And Dependencies,Mauritius,1223,10774
Dye Woods — Unenumerated,1876,Central America,Central America,2009,10723
Hemp — Dressed Or Undressed,1894,Strait Settlements,Straits Settlements,454,10712
Dye Woods — Unenumerated,1875,Venezuela,Venezuela,1366,10430
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Russia (Southern Ports),Russia (Southern Ports),108090,9910
Dye Woods — Unenumerated,1875,France,France,1264,9716
Hemp — Dressed Or Undressed,1896,United States Of America,United States Of America,569,9651
Hemp — Dressed Or Undressed,1896,United States Of America (Atlantic),United States Of America,569,9651
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Egypt,Egypt,115433,9331
Dye Woods — Unenumerated,1876,Philippine Islands,Philippine Islands,1156,9295
Manures — Phosphate Of Lime And Rock,1895,Dutch West Indies,Dutch West India Islands,3708,9205
Dye Woods — Unenumerated,1876,New Granada,New Granada,1641,9179
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,France,France,92410,9112
Wood And Timber — Teak,1876,Other Countries,Straits Settlements,810,9088
Brimstone,1877,Belgium,Belgium,17270,9050
Wood And Timber — Teak,1893,Siam,Siam,857,8856
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",1896,Other Foreign Countries,Other Foreign Countries,187,8759
"Iron — Old, For Re-Manufacture",1878,United States Of America,United States Of America (Atlantic),1888,8548
Caoutchouc,1894,Mauritius And Dependencies,Mauritius,1503,8518
