commodity,total,mapped,top_origins,regions
PAPER,9156,9156,Holland 2086; Germany 1597; Sweden 898; Belgium 886; Norway 684; Philippine And Ladrone Islands 587,Europe 7470; India & Southeast Asia 630; North America 597; Mediterranean & Levant 372; China & Japan 47; Africa 18; South America 11; Caribbean & Central America 9; Australasia & Pacific 2
"DYE STUFFS (other than Dye Woods), and Substances used in Tanning and Dyeing, viz.",8855,0,,Unmapped 8855
"FRUIT AND VEGETABLES, PRESERVED IN SUGAR",8150,0,,Unmapped 8150
CORN AND GRAIN,7806,0,,Unmapped 7806
"COALS, CULM, CINDERS AND SHALE",6845,0,,Unmapped 6845
"VEGETABLES, RAW",6501,0,,Unmapped 6501
BUTTER,6131,6131,France 2574; Holland 1326; Denmark 894; Germany 491; Belgium 299; Canada 231,Europe 5690; North America 441
BEADS,6004,0,,Unmapped 6004
"ETHER, SULPHURIC",5759,0,,Unmapped 5759
"PETROLEUM, Illuminating",5701,0,,Unmapped 5701
CORK,4942,4942,Holland 902; United States Of America 887; France 823; Germany 640; Belgium 563; Bengal 280,Europe 3495; North America 943; India & Southeast Asia 287; China & Japan 154; Mediterranean & Levant 42; Caribbean & Central America 16; Australasia & Pacific 3; South America 1
"CHINAWARE OR PORCELAIN, AND EARTHENWARE",4822,0,,Unmapped 4822
ONIONS,4786,4786,Spain 1856; Egypt 1277; Holland 666; France 315; Belgium 261; Portugal 201,Europe 3477; Mediterranean & Levant 1309
SEEDS,4500,4500,France 1621; Bengal 1151; Bombay 506; Holland 396; Russia 225; Germany 203,Europe 2534; India & Southeast Asia 1671; South America 203; North America 43; Mediterranean & Levant 31; Australasia & Pacific 9; Caribbean & Central America 7; China & Japan 1; Africa 1
OLEO-MARGARINE OR OLEO OIL,4378,0,,Unmapped 4378
TOYS,4241,4241,Germany 2405; Holland 893; France 466; Belgium 248; Canary Islands 120; Spain 54,Europe 4204; North America 18; China & Japan 13; Africa 6
TAN,4096,0,,Unmapped 4096
MINERAL WATER,3591,0,,Unmapped 3591
WOOD AND TIMBER,3462,3462,Sweden 687; Russia 668; Canada 623; United States Of America 453; Norway 238; France 179,Europe 2035; North America 1208; India & Southeast Asia 95; Australasia & Pacific 48; Caribbean & Central America 36; Africa 33; South America 6; Mediterranean & Levant 1; China & Japan 0
"ANIMALS, LIVING",3061,0,,Unmapped 3061
"METAL: Leaf, not Gold",2694,0,,Unmapped 2694
FURNITURE AND HARDWOODS,2642,2642,Canada 700; Russia 533; Sweden 472; Norway 234; United States Of America 190; Germany 183,Europe 1531; North America 890; Caribbean & Central America 134; India & Southeast Asia 64; South America 13; Mediterranean & Levant 7; Africa 2
SALT,2494,0,,Unmapped 2494
"MEAT, Preserved, otherwise than by Salting",2347,0,,Unmapped 2347
"ARMS: Swords, Cutlasses, Matchets, and Bayonets",2137,0,,Unmapped 2137
"BUTTONS AND STUDS, not of Metal",1836,0,,Unmapped 1836
ARMS AND AMMUNITION,1443,0,,Unmapped 1443
"PLANTS, SHRUBS, TREES, AND FLOWER ROOTS",1302,0,,Unmapped 1302
BEEF,1046,0,,Unmapped 1046
"METHYLIC ALCOHOL, not purified so as to be potable",1035,0,,Unmapped 1035
"CORN, GRAIN, MEAL AND FLOUR",909,909,United States Of America 323; Russia 144; Germany 104; France 58; Bengal And Burmah 54; Canada 51,North America 376; Europe 368; India & Southeast Asia 75; Mediterranean & Levant 72; South America 11; Australasia & Pacific 6
RAGS and other Materials used for making Paper,867,0,,Unmapped 867
PLATINA,816,0,,Unmapped 816
PAPER-MAKING MATERIALS,350,0,,Unmapped 350
"WOOLLEN RAGS, applicable to other uses than manure, torn up or not",258,0,,Unmapped 258
GOLD'd),200,0,,Unmapped 200
HAIR,118,0,,Unmapped 118
RABBITS,40,0,,Unmapped 40
