reldiff,volume,group,article,year,country_sum,t1_value,tier,n_cells
0.00000,as_1882,PAINTERS' COLOURS AND PIGMENTS,,1882,870234.0,870234.0,B,7
0.00000,as_1882,TOYS,,1882,525597.0,525597.0,A,6
0.00000,as_1882,"VEGETABLES, Raw; Unenumerated",,1882,416409.0,416409.0,A,8
0.00000,as_1883,"FLOWERS, ARTIFICIAL",,1883,452824.0,452824.0,A,6
0.00000,as_1883,MUSICAL INSTRUMENTS,,1883,879814.0,879814.0,A,16
0.00000,as_1883,TOYS,,1883,555012.0,555012.0,A,9
0.00000,as_1884,"FLOWERS, ARTIFICIAL",,1884,332256.0,332256.0,A,6
0.00000,as_1884,MUSICAL INSTRUMENTS,,1884,815188.0,815188.0,A,8
0.00000,as_1884,"SHELLS, of all KINDS",,1884,289335.0,289335.0,B,21
0.00000,as_1885,EMBROIDERY and NEEDLEWORK,,1885,153652.0,153652.0,A,13
0.00000,as_1885,"FLOWERS, ARTIFICIAL",,1885,298288.0,298288.0,A,9
0.00000,as_1885,MUSICAL INSTRUMENTS,,1885,729576.0,729576.0,A,12
0.00000,as_1885,Toys,,1885,572792.0,572792.0,A,12
0.00000,as_1886,EMBROIDERY and NEEDLEWORK,,1886,194046.0,194046.0,A,13
0.00000,as_1886,LEATHER Manufactures,Unenumerated,1886,167480.0,167480.0,B,11
0.00000,as_1886,MATCHES,,1886,417644.0,417644.0,A,9
0.00000,as_1886,MUSICAL INSTRUMENTS,,1886,729805.0,729805.0,A,14
0.00000,as_1886,SHELLS of all kinds,,1886,277056.0,277056.0,A,18
0.00000,as_1887,CHEMICAL MANUFACTURES and PRODUCTS,,1887,1313293.0,1313293.0,A,19
0.00000,as_1887,"FLOWERS, Artificial",,1887,202887.0,202887.0,A,5
0.00000,as_1887,LEATHER MANUFACTURES,Unenumerated,1887,183484.0,183484.0,B,11
0.00000,as_1887,MUSICAL INSTRUMENTS,,1887,768591.0,768591.0,A,13
0.00000,as_1887,"VEGETABLES, Raw : Unenumerated",,1887,600293.0,600293.0,A,15
0.00000,as_1888,EMBROIDERY and NEEDLEWORK,,1888,460550.0,460550.0,A,13
0.00000,as_1888,"FLOWERS, Artificial",,1888,259479.0,259479.0,A,8
0.00000,as_1888,MATCHES,,1888,419293.0,419293.0,A,12
0.00000,as_1888,PAINTERS' COLOURS AND PIGMENTS,,1888,901387.0,901387.0,A,16
0.00000,as_1888,"WATCHES, and Parts thereof",,1888,585587.0,585587.0,A,9
0.00000,as_1889,EMBROIDERY and NEEDLEWORK,,1889,321085.0,321085.0,A,13
0.00000,as_1889,PAINTERS' COLOURS AND PIGMENTS,,1889,1031721.0,1031721.0,A,17
0.00000,as_1889,"VEGETABLES, Raw : Unenumerated",,1889,621760.0,621760.0,A,17
0.00000,as_1889,"WATCHES, and Parts thereof",,1889,691006.0,691006.0,A,10
0.00000,as_1890,"FLOWERS, Artificial",,1890,410168.0,410168.0,A,6
0.00000,as_1890,MATCHES,,1890,368916.0,368916.0,A,11
0.00000,as_1890,MUSICAL INSTRUMENTS,,1890,990203.0,990203.0,A,13
0.00000,as_1890,PAINTERS' COLOURS AND PIGMENTS,,1890,1034911.0,1034911.0,A,17
0.00000,as_1890,SHELLS of all kinds,,1890,349691.0,349691.0,A,24
0.00000,as_1891,EMBROIDERY and NEEDLEWORK,,1891,458778.0,458778.0,A,13
0.00000,as_1891,"FLOWERS, Artificial",,1891,308039.0,308039.0,A,8
0.00000,as_1891,LINEN,Manufactures,1891,427691.0,427691.0,C,12
0.00000,as_1891,MATCHES,,1891,444090.0,444090.0,A,7
0.00000,as_1891,"VEGETABLES, Raw : Unenumerated",,1891,932917.0,932917.0,A,19
0.00000,as_1891,"WATCHES, and Parts thereof",,1891,643887.0,643887.0,A,7
0.00000,as_1892,EMBROIDERY and NEEDLEWORK,,1892,483014.0,483014.0,A,12
0.00000,as_1892,"FLOWERS, Artificial",,1892,328624.0,328624.0,A,6
0.00000,as_1892,MATCHES,,1892,367654.0,367654.0,A,9
0.00000,as_1892,MUSICAL INSTRUMENTS,,1892,997016.0,997016.0,A,13
0.00000,as_1892,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",,1892,337959.0,337959.0,B,16
0.00000,as_1893,"CORDAGE, TWINE, and CABLE YARN",,1893,502145.0,502145.0,C,16
0.00000,as_1893,"FLOWERS, Artificial",,1893,336330.0,336330.0,A,6
0.00000,as_1893,FRUIT,"Nuts, used as Fruit",1893,522962.0,522962.0,B,17
0.00000,as_1893,MATCHES,,1893,362560.0,362560.0,A,10
0.00000,as_1893,PAINTERS' COLOURS AND PIGMENTS,,1893,991329.0,991329.0,B,14
0.00000,as_1893,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",,1893,313482.0,313482.0,A,17
0.00000,as_1893,WOOLLEN MANUFACTURES,Of Goats' Wool or Hair,1893,138354.0,138354.0,B,6
0.00000,as_1893,WOOLLEN MANUFACTURES,Unenumerated,1893,3583676.0,3583676.0,B,16
0.00000,as_1894,"ANIMALS, LIVING",Unenumerated,1894,55444.0,55444.0,C,13
0.00000,as_1894,"FLOWERS, Artificial",,1894,375366.0,375366.0,A,7
0.00000,as_1894,Fruit,"Nuts, used as Fruit",1894,513061.0,513061.0,A,18
0.00000,as_1894,MATCHES,,1894,381126.0,381126.0,A,7
0.00000,as_1894,"VEGETABLES, Raw, Unenumerated",,1894,1090370.0,1090370.0,A,19
0.00000,as_1894,WOOLLEN MANUFACTURES,Of Goats' Wool or Hair,1894,135621.0,135621.0,A,7
0.00000,as_1895,"ANIMALS, LIVING",Unenumerated,1895,53936.0,53936.0,C,14
0.00000,as_1895,"FLOWERS, Artificial",,1895,412559.0,412559.0,A,6
0.00000,as_1895,FRUIT,"Nuts, used as Fruit",1895,547882.0,547882.0,A,16
0.00000,as_1895,MATCHES,,1895,362900.0,362900.0,A,7
0.00000,as_1895,MUSICAL INSTRUMENTS,,1895,996193.0,996193.0,A,11
0.00000,as_1895,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",,1895,364615.0,364615.0,A,17
0.00000,as_1895,"POULTRY and GAME, alive or dead",,1895,605160.0,605160.0,A,15
0.00000,as_1895,SHELLS of all kinds,,1895,391272.0,391272.0,A,31
0.00000,as_1895,"WATCHES, and Parts thereof",,1895,828143.0,828143.0,A,6
0.00000,as_1896,"ANIMALS, LIVING",Unenumerated,1896,46203.0,46203.0,C,15
