commodity,klass,gbp,n_cells,n_countries,host,host_share
Cotton — British India,dupe-of-host,76964049,29,18,Cotton — Raw,90
Cotton — United States Of America,dupe-of-host,11306351,24,10,Cotton — Raw,96
Corn And Grain — British East Indies,dupe-of-host,10654106,9,7,Corn And Grain — Wheat,100
Caoutchouc — East Coast Of Africa,dupe-of-host,6608505,52,33,Caoutchouc,87
Cotton Manufactures — Eastern Africa,export-leakage,6245382,19,11,"Cotton Manufactures — Piece Goods, Plain",37
Corn And Grain — Australasia,dupe-of-host,6205986,29,9,Corn And Grain — Wheat,76
Cotton Twist And Yarn — British India,export-leakage,5841157,14,7,,0
Cotton — British East Indies,dupe-of-host,4117799,14,11,Cotton — Raw,93
Bark — Canada,recovery-candidate,3325426,24,6,"Cured Or Salted, Unenumerated",29
Cotton Manufactures — United States Of America,dupe-of-host,3142525,13,8,"Cotton Manufactures — Piece Goods, Plain",54
Lard — United States Of America,dupe-of-host,2707325,3,3,Lard,67
Sugar — British East Indies,dupe-of-host,2659232,6,6,"Cane, And Other Sorts",100
Cotton Manufactures — Australasia,dupe-of-host,2382967,19,12,"Cotton Manufactures — Piece Goods, Printed",79
Spices — East Coast Of Africa,dupe-of-host,2172236,40,20,Spices,60
Tea — British East Indies,dupe-of-host,1888895,5,5,Tea,100
Butter — Australasia,dupe-of-host,1429977,5,5,Butter,100
Coffee — British India,dupe-of-host,1109087,12,10,Coffee,75
Rice — British East Indies,dupe-of-host,1099135,2,2,Rice,100
Wood And Timber — British East Indies,dupe-of-host,908574,11,12,Wood And Timber,91
Drugs — British India,dupe-of-host,719120,10,8,"Drugs — Bark, Peruvian",100
Gutta Percha — British East Indies,dupe-of-host,678267,3,2,Gutta Percha,100
Spirits — Australasia,recovery-candidate,562369,12,9,Spirits — Rum,17
Coffee — British East Indies,dupe-of-host,559701,7,4,Coffee,71
Caoutchouc — British East Indies,dupe-of-host,540565,15,8,Caoutchouc,100
Drugs — British East Indies,dupe-of-host,435089,3,3,"Drugs — Bark, Peruvian",100
Fruit — .. Australasia,dupe-of-host,402186,5,3,"Fruit — Apples, Raw",100
Manures — British East Indies,dupe-of-host,363508,8,4,Manures — Bones For Manure,100
Nuts And Kernels — .. British East Indies,dupe-of-host,331262,10,7,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,90
Ivory — East Coast Of Africa,recovery-candidate,316148,7,11,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",29
