fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1906,statcan_nibi_w2_1906,0,24,SX,Sheep . . . . . > Great Britain...,left_only,,138,1950,,,,,,,,,,,,,
1906,statcan_nibi_w2_1906,2,2,SX,"Belting of all kinds, except rubber and leather..... > Germany.....",joined_weak,position,290,,,,,,,,,290,77.33,290,77.33,,-1
1906,statcan_nibi_w2_1906,2,4,SX,Total .....,joined_weak,position,,78223,,32351,6470.2,43902,5853.73,,,290,77.33,76543,12401.26,,0
1906,statcan_nibi_w2_1906,2,7,SX,"Belts, surgical, and trusses, electric belts, pessaries and suspensory bandages of all kinds..... > Germany.....",joined_weak,position,192,,,,,,,,,192,51.2,192,51.2,,-1
1906,statcan_nibi_w2_1906,2,8,SX,"Belts, surgical, and trusses, electric belts, pessaries and suspensory bandages of all kinds..... > United States...",joined_weak,position,20754,,20737,,4147.4,,,,,17,4.53,20754,4151.93,,0
1906,statcan_nibi_w2_1906,2,9,SX,Total .....,joined_weak,position,,25392,,21342,4268.4,3841,512.17,,,209,55.73,25392,4836.3,,0
1906,statcan_nibi_w2_1906,2,10,SX,"Belts of all kinds, N.O.P..... > Great Britain...",joined_weak,position,43435,,1647,,576.45,39565,9232.2,,,245,114.32,41457,9922.97,,0
1906,statcan_nibi_w2_1906,2,14,SX,"Belts of all kinds, N.O.P..... > France.....",joined_weak,position,4670,,4645,,1625.75,,,,,25,11.66,4670,1637.41,,0
1906,statcan_nibi_w2_1906,2,15,SX,"Belts of all kinds, N.O.P..... > Germany.....",joined_weak,position,2008,,,,,,,,,2008,937.2,2008,937.2,,-1
1906,statcan_nibi_w2_1906,2,17,SX,"Belts of all kinds, N.O.P..... > United States...",joined_weak,position,38527,,38691,,13541.85,,,,,83,38.72,38774,13580.57,,0
