flow,measure,group,article,year,values
export_uk,quantity,,""" Hair or Wool, not otherwise enumerated """,1891,"5,009,700"
export_uk,quantity,,""" mixed with other ma-terials",1893,"13,361,000"
export_uk,quantity,,""" mixed with other ma-terials",1894,"12,625,900"
export_uk,quantity,,""" mixed with other ma-terials",1895,"18,833,300"
export_uk,quantity,,""" mixed with other ma-terials",1896,"17,767,100"
export_uk,quantity,,""" mixed with other ma-terials",1897,"15,258,700"
export_uk,quantity,,""" mixed with other materials",1900,"15,552,200"
export_uk,quantity,,",, Fresh",1895,"3,397"
export_uk,quantity,,",, Fresh",1896,"4,433"
export_uk,quantity,,",, Fresh",1897,"4,894"
export_uk,quantity,,",, Fresh",1898,"9,502"
export_uk,quantity,,",, Fresh",1899,"12,096"
export_uk,quantity,,ARTICLES—continued.,1898,"1,898"
export_uk,quantity,,ARTICLES—continued.,1899,"1,899"
export_uk,quantity,,Alkali,1870,"3,853,393|3,553,393|3,533,393"
export_uk,quantity,,Alkali,1899,"3,808,800"
export_uk,quantity,,All Wool,1900,"10,930,400"
export_uk,quantity,,Alpaca and Mohair,1900,"10,396,800"
export_uk,quantity,,Bacon,1895,"216,479"
export_uk,quantity,,Bacon,1896,"384,858"
export_uk,quantity,,Bacon,1897,"319,873"
export_uk,quantity,,Bacon,1898,"506,476"
export_uk,quantity,,Bacon,1899,"443,889"
export_uk,quantity,,"Bags and Sacks, Empty",1868,"2,144,598"
export_uk,quantity,,"Bags and Sacks, Empty, for packing Merchandise",1899,"2,129,400"
export_uk,quantity,,"Bar (except Railroad), {Angle, Bolt, and Rod",1896,"178,123"
export_uk,quantity,,"Barley, Bere or Bigg",1893,"20,139"
export_uk,quantity,,"Beads, of all sorts",1895,"1,690,965"
export_uk,quantity,,"Beads, of all sorts",1896,"1,791,411"
export_uk,quantity,,"Beads, of all sorts",1897,"1,871,794"
export_uk,quantity,,"Beads, of all sorts",1898,"2,105,858"
export_uk,quantity,,"Beads, of all sorts",1899,"2,525,085"
export_uk,quantity,,Beans,1893,"1,352"
export_uk,quantity,,"Beef, Salted",1895,"60,011"
export_uk,quantity,,"Beef, Salted",1896,"45,746"
export_uk,quantity,,"Beef, Salted",1897,"40,579"
export_uk,quantity,,"Beef, Salted",1898,"51,244"
export_uk,quantity,,"Beef, Salted",1899,"38,752"
export_uk,quantity,,Beer and Ale,1899,"485,032"
export_uk,quantity,,Billcloth and Sails,1870,"3,659,627"
export_uk,quantity,,Billcloth and Sails,1871,"1,129,532"
export_uk,quantity,,Billcloth and Sails,1872,"3,783,126"
export_uk,quantity,,Billcloth and Sails,1873,"4,521,683"
export_uk,quantity,,Billcloth and Sails,1874,"4,769,017"
export_uk,quantity,,Biscuit and Bread,1899,"241,995"
export_uk,quantity,,Black Plates for Tinning,1893,4
export_uk,quantity,,Black Plates for Tinning,1894,"45,433"
export_uk,quantity,,Blankets,1899,"765,000|862,500"
export_uk,quantity,,Blankets,1900,"857,900"
export_uk,quantity,,Bleached and Dyed,1888,"45,217,900"
export_uk,quantity,,Bottles and Manufactures of Green or Common Glass,1893,"639,202"
export_uk,quantity,,Bottles and Manufactures of Green or Common Glass,1900,"863,184"
export_uk,quantity,,Broad Piece Goods,1896,"7,510,500"
export_uk,quantity,,"Broad, all Wool",1893,"8,091,900"
export_uk,quantity,,"Broad, all Wool",1900,"11,041,100"
export_uk,quantity,,"Candles, Stearine",1870,"3,443,533"
export_uk,quantity,,"Carpets, not being Rugs",1894,"7,763,300"
export_uk,quantity,,"Carpets, not being Rugs",1895,"8,279,500"
export_uk,quantity,,"Carpets, not being Rugs",1899,"8,311,600"
export_uk,quantity,,"Carpets, not being Rugs",1900,"8,739,900"
export_uk,quantity,,"Carpets, not being of Wool unmixed or mixed with other materials",1893,"8,531,000"
export_uk,quantity,,"Carpets, not being of Wool unmixed or mixed with other materials",1900,"8,739,900"
export_uk,quantity,,"Carpets, not being of Woolun-",1893,"8,531,000"
export_uk,quantity,,"Carpets, not being of Woolun-",1894,"7,763,300"
export_uk,quantity,,"Carpets, not being of Woolun-",1895,"8,279,500"
export_uk,quantity,,"Carpets, not being of Woolun-",1896,"8,289,000"
export_uk,quantity,,"Carpets, not being of Woolun-",1897,"7,297,400"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1885,"347,963"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1886,"353,923"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1887,"369,307"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1888,"428,112"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1889,"463,526"
export_uk,quantity,,"Cast or Wrought, and all other Manufactures",1869,"231,012|234,012"
export_uk,quantity,,Castings and Articles of Cast Iron,1867,"81,531"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1893,"1,587,177"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1894,"1,668,597"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1897,"3,356,322|3,336,322"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1898,"3,719,615"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1899,"3,797,576"
export_uk,quantity,,Cavendish or Negrohead manufactured in Bond from unmanufactured Tobacco,1899,"3,797,576"
export_uk,quantity,,Cavendish or Negrohead manufactured in Bond from unmanufactured Tobacco,1900,"4,719,412"
export_uk,quantity,,Cement,1868,"2,478,586|2,478,886"
export_uk,quantity,,Cement,1896,"358,769"
export_uk,quantity,,"Checked, Printed, {or Dried",1892,"12,157,000"
export_uk,quantity,,"Checked, Printed, {or Dried",1893,"15,406,100"
export_uk,quantity,,"Checked, Printed, {or Dried",1894,"16,875,200"
export_uk,quantity,,"Checked, Printed, {or Dried",1895,"20,235,800"
export_uk,quantity,,"Checked, Printed, {or Dried",1896,"17,986,100"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1887,"1,692,651"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1888,"1,931,964"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1889,"2,282,964"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1890,"2,706,625"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1891,"2,331,561"
export_uk,quantity,,Chemical Products and Preparations (See  also Dye Stuffs),1891,"2,331,561"
export_uk,quantity,,Chemical Products or Preparations,1881,"2,536,748"
export_uk,quantity,,Chemical Products or Preparations (See also Dye Stuffs) - Value £,1878,"1,892,864"
export_uk,quantity,,"Cloths, Coatings, Stuffs, &amp;c.",1889,"69,154,900"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1896,"2,620,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1897,"2,942,700"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1898,"3,381,400"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1900,"3,850,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared in Bond",1900,"140,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1896,"2,620,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1897,"2,942,700"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1898,"3,381,400"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1900,"3,850,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared in Bond",1900,"140,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared, or in any way Manufactured in the United Kingdom - - - - -",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared, or in any way Manufactured in the United Kingdom . . . . Lbs.",1894,"2,447,503"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared,or in any way Manufactured in theUnited Kingdom",1893,"2,625,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared,or in any way Manufactured in theUnited Kingdom",1899,"3,457,200"
export_uk,quantity,,"Coffee, Kiln-dried, Roasted or Ground,in Bond",1897,"41,551"
export_uk,quantity,,"Coffee, Roasted",1893,6
export_uk,quantity,,"Combed or Carded, and Tops",1889,"9,016,000"
export_uk,quantity,,"Combed or Carded, and Tops",1900,"28,031,200"
export_uk,quantity,,Common Bottles,1896,"783,660"
export_uk,quantity,,"Copper, Ore",1893,2
export_uk,quantity,,"Copper, Unwrought",1868,"163,685"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, of Hemp or like Material",1900,"210,185"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, of Hemp or like Material . . .",1894,"242,307"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, ofHemp or like Material",1893,"191,199"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, ofHemp or like Material",1900,"210,185"
export_uk,quantity,,Corn: Wheat,1867,"339,335"
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1887,"251,026,000"
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1888,"255,846,100"
export_uk,quantity,,Crude in Cakes,1899,"108,130"
export_uk,quantity,,Crude in Cakes,1900,"140,412"
export_uk,quantity,,Drugs and Medicinal Preparations,1871,"720,830"
export_uk,quantity,,"Dyed, or Manufactured of Dyed Yarn",1900,"840,602,800"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1893,"626,283,500"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1899,"560,106,000|860,106,000"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1900,"840,602,800"
export_uk,quantity,,Felt,1893,"549,613"
export_uk,quantity,,Felt,1900,"478,598"
export_uk,quantity,,"Fish, Fresh and Cured, viz.:Herrings",1895,"1,425,115"
export_uk,quantity,,"Fish, Fresh and Cured, viz.:Herrings",1900,"1,540,875"
export_uk,quantity,,Fish: Herring,1876,"426,588"
export_uk,quantity,,Fish: Herring,1877,"619,748|649,748"
export_uk,quantity,,Fish: Herring,1878,"661,832|664,852"
export_uk,quantity,,Fish: Herring,1880,"1,072,397|1,672,397"
export_uk,quantity,,Fish: Herring,1881,"805,170"
export_uk,quantity,,Fish: Herring,1888,"971,492"
export_uk,quantity,,Fish: Herring,1889,"1,151,450"
export_uk,quantity,,Fish: Herrings,1867,"524,734"
export_uk,quantity,,Fish: Herrings,1896,"1,373,827"
export_uk,quantity,,Flint,1896,"99,875"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cicts.",1895,"94,211"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cicts.",1896,"99,875"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cicts.",1897,"92,821"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cicts.",1898,"90,764"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cicts.",1899,"88,401"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cuts.",1896,"99,875"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cuts.",1897,"92,821"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cuts.",1898,"90,764"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cuts.",1899,"88,401"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cuts.",1900,"97,975"
export_uk,quantity,,"Flint, Plain, Cut, or Ornamented, including Bottles and other Manufactures of Flint Glass - Cwts.",1899,"88,401"
export_uk,quantity,,Flocks and Rag Wool,1889,"22,530,700"
export_uk,quantity,,Flocks and Ragwool,1900,"12,937,800"
export_uk,quantity,,"Glass, viz :  Plate, Rough or Silvered - Square feet",1893,"1,684,500"
export_uk,quantity,,"Glass, viz :  Plate, Rough or Silvered - Square feet",1894,"1,336,600"
export_uk,quantity,,"Glass, viz :  Plate, Rough or Silvered - Square feet",1895,"1,446,000|1,416,000"
export_uk,quantity,,"Glass, viz. : Plate, Rough or Silvered - Square feet",1898,"1,817,100"
export_uk,quantity,,"Glass, viz. : Plate, Rough or Silvered - Square feet",1899,"1,764,100"
export_uk,quantity,,Glass: Plate,1867,"947,425"
export_uk,quantity,,Glass: Plate,1896,"1,804,000"
export_uk,quantity,,"Grindstones, Millstones, and othersorts of Stone",1893,"34,437"
export_uk,quantity,,"Grindstones, Millstones, and othersorts of Stone",1894,"31,868"
export_uk,quantity,,"Grindstones, Millstones, and othersorts of Stone",1898,"27,135"
export_uk,quantity,,"Grindstones, Millstones, and othersorts of Stone",1899,"30,244"
export_uk,quantity,,"Hair or Wool, not otherwise enumerated",1900,"5,022,900"
export_uk,quantity,,"Hair or Wool, not otherwiseenumerated",1893,"4,840,900"
export_uk,quantity,,"Hair or Wool, not otherwiseenumerated",1894,"5,100,700"
export_uk,quantity,,"Hair or Wool, not otherwiseenumerated",1895,"5,093,800"
export_uk,quantity,,"Hair or Wool, not otherwiseenumerated",1896,"5,436,900"
export_uk,quantity,,"Hair or Wool, not otherwiseenumerated",1897,"4,658,900"
export_uk,quantity,,Hardware and Cutlery of all Sorts,1866,"4,366,300"
export_uk,quantity,,Hardware and Cutlery of all Sorts,1867,"3,941,625"
export_uk,quantity,,Hardware and Cutlery of all Sorts,1868,"3,854,742"
export_uk,quantity,,Hardware and Cutlery of all Sorts,1869,"4,388,651"
export_uk,quantity,,Hardware and Cutlery of all Sorts,1870,"4,468,851"
export_uk,quantity,,"Hardware and Cutlery, unenumerated",1868,"3,275,856"
export_uk,quantity,,"Hardware and Cutlery, unenumerated",1869,"3,736,602"
export_uk,quantity,,"Hardware and Cutlery, unenumerated",1895,"299,034"
export_uk,quantity,,"Hardware and Cutlery, unenumerated",1896,"338,917"
export_uk,quantity,,"Hardware and Cutlery, unenumerated",1897,"340,923"
export_uk,quantity,,"Hardware and Cutlery, unenumerated - Cwts. (Comprising these articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.)",1893,"323,992"
export_uk,quantity,,"Hardware and Cutlery, unenumerated - Cwts. (Comprising these articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.)",1894,"279,913"
export_uk,quantity,,"Hardware and Cutlery, unenumerated - Cwts. (Comprising these articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.)",1895,"290,034"
export_uk,quantity,,"Hardware and Cutlery, unenumerated - Cwts. (Comprising these articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.)",1896,"338,917"
export_uk,quantity,,"Hardware and Cutlery, unenumerated - Cwts. (Comprising these articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.)",1897,"340,925"
export_uk,quantity,,"Hardware and Cutlery, unenumerated(Comprising those articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.), viz. : Hardware, unenumerated Cwts. Cutlery",1896,"338,917"
export_uk,quantity,,"Hardware and Cutlery, unenumerated(Comprising those articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.), viz. : Hardware, unenumerated Cwts. Cutlery",1897,"340,923"
export_uk,quantity,,Hardware and Millinery,1885,"2,308,939"
export_uk,quantity,,Hardware and Millinery,1886,"2,091,477"
export_uk,quantity,,Hardware and Millinery,1887,"2,346,834"
export_uk,quantity,,Hardware and Millinery,1888,"2,322,357"
export_uk,quantity,,Hardware and Millinery,1889,"2,252,141"
export_uk,quantity,,"Hardware, unenumerated",1896,"338,917"
export_uk,quantity,,"Hardware, unenumerated",1897,"340,923"
export_uk,quantity,,"Hardware, unenumerated",1898,"283,890"
export_uk,quantity,,"Hardware, unenumerated",1899,"297,402"
export_uk,quantity,,"Hardware, unenumerated",1900,"287,055"
export_uk,quantity,,Hardwares and Cutlery of all Sorts,1866,"4,366,300"
export_uk,quantity,,Hardwares and Cutlery of all Sorts,1867,"3,941,625"
export_uk,quantity,,Hardwares and Cutlery of all Sorts,1868,"3,854,742"
export_uk,quantity,,Hardwares and Cutlery of all Sorts,1869,"4,388,651"
export_uk,quantity,,Hardwares and Cutlery of all Sorts,1870,"4,468,851"
export_uk,quantity,,"Hardwares and Cutlery, unenumerated",1868,"3,275,856"
export_uk,quantity,,"Hardwares and Cutlery, unenumerated(Comprising those articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.), viz. : Hardwares, unenumerated Cwts. Cutlery",1895,"290,034"
export_uk,quantity,,"Hardwares and Cutlery, unenumerated(Comprising those articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.), viz. : Hardwares, unenumerated Cwts. Cutlery",1896,"338,917"
export_uk,quantity,,"Hardwares and Cutlery, unenumerated(Comprising those articles which cannot be allotted to the several headings of brass, copper, implements, iron, steel, &c., &c.), viz. : Hardwares, unenumerated Cwts. Cutlery",1897,"340,923"
export_uk,quantity,,"Hardwares, unenumerated",1895,"290,034"
export_uk,quantity,,"Hardwares, unenumerated",1896,"338,917"
export_uk,quantity,,"Hardwares, unenumerated",1897,"340,923"
export_uk,quantity,,"Hardwares, unenumerated",1898,"283,890"
export_uk,quantity,,"Hardwares, unenumerated",1899,"297,402"
export_uk,quantity,,Hats of all Sorts,1896,"1,184,920"
export_uk,quantity,,"Hats, viz :  Felt",1893,"549,643"
export_uk,quantity,,"Hats, viz :  Felt",1894,"447,359"
export_uk,quantity,,"Hats, viz :  Felt",1895,"471,630"
export_uk,quantity,,"Hats, viz :  Felt",1896,"471,459"
export_uk,quantity,,"Hats, viz :  Felt",1897,"411,912"
export_uk,quantity,,Herrings,1893,"1,212,126"
export_uk,quantity,,Herrings,1900,"1,540,875"
export_uk,quantity,,"Hoops, Sheets, and Boiler Plates",1868,"150,281|150,231"
export_uk,quantity,,"Hoops, Sheets, and Boiler {and Armour Plates",1896,"365,165"
export_uk,quantity,,"Hoops, Sheets, and BoilerPlates",1885,"330,954"
export_uk,quantity,,"Hoops, Sheets, and BoilerPlates",1886,"307,756"
export_uk,quantity,,"Hoops, Sheets, and BoilerPlates",1887,"351,041"
export_uk,quantity,,"Hoops, Sheets, and BoilerPlates",1888,"411,357"
export_uk,quantity,,"Hoops, Sheets, and BoilerPlates",1889,"385,723"
export_uk,quantity,,Hosiery and Small Wares,1895,"2,353,128"
export_uk,quantity,,"Hosiery, viz.:Stockings and Socks - Dozen Pairs",1895,"812,723"
export_uk,quantity,,"Hosiery, viz.:Stockings and Socks - Dozen Pairs",1900,"681,700"
export_uk,quantity,,Implement and Tools of Industry - Value £,1895,"1,240,327"
export_uk,quantity,,Implementa and Tools of Industry,1879,"361,209"
export_uk,quantity,,Implementa and Tools of Industry,1882,"591,109"
export_uk,quantity,,Implements and Tools of Industry,1869,"348,261"
export_uk,quantity,,Implements and Tools of Industry,1872,"361,560|364,560"
export_uk,quantity,,Implements and Tools of Industry,1874,"411,017"
export_uk,quantity,,Implements and Tools of Industry,1877,"406,672"
export_uk,quantity,,Implements and Tools of Industry,1878,"420,925"
export_uk,quantity,,Implements and Tools of Industry,1879,"361,209"
export_uk,quantity,,Implements and Tools of Industry,1880,"378,413"
export_uk,quantity,,Implements and Tools of Industry,1881,"422,151"
export_uk,quantity,,Implements and Tools of Industry - Value £,1882,"591,109"
export_uk,quantity,,Implements and Tools of Industry - Value £,1895,"1,240,327"
export_uk,quantity,,"Iron and Steel, and Manufactures thereof, not being Hardware or Cutlery, viz :  Iron, viz :  Old and Scrap, for re-manufacture Tons",1893,"118,522"
export_uk,quantity,,"Iron and Steel, and Manufactures thereof, not being Hardware or Cutlery, viz :  Iron, viz :  Old and Scrap, for re-manufacture Tons",1894,"83,256"
export_uk,quantity,,"Iron and Steel, and Manufactures thereof, not being Hardware or Cutlery, viz :  Iron, viz :  Old and Scrap, for re-manufacture Tons",1895,"97,100"
export_uk,quantity,,"Iron and Steel, and Manufactures thereof, not being Hardware or Cutlery, viz :  Iron, viz :  Old and Scrap, for re-manufacture Tons",1896,"27,424"
export_uk,quantity,,"Iron and Steel, and Manufactures thereof, not being Hardware or Cutlery, viz :  Iron, viz :  Old and Scrap, for re-manufacture Tons",1897,"86,833"
export_uk,quantity,,"Iron: Old, for re-manufacture",1896,"127,424"
export_uk,quantity,,Jute Manufactures,1868,"43,081,332|706,966"
export_uk,quantity,,Jute Manufactures,1869,"742,365|50,127,553|50,127,853"
export_uk,quantity,,Jute Manufactures,1880,"183,202,400|183,202,100"
export_uk,quantity,,Jute Manufactures: Piece Goods,1896,"257,146,200"
export_uk,quantity,,Jute Manufactures: Piece Goods - Yards,1878,"122,901,200"
export_uk,quantity,,Jute Yarn,1896,"37,224,300"
export_uk,quantity,,Lace and Patent Net,1894,"1,890,053"
export_uk,quantity,,"Lace, Embroidery and Millinery",1890,"2,112,911"
export_uk,quantity,,"Lace, Embroidery and Millinery",1891,"2,000,101"
export_uk,quantity,,"Lace, Embroidery and Millinery",1892,"1,757,820"
export_uk,quantity,,"Lace, Embroidery and Millinery",1893,"1,492,179"
export_uk,quantity,,"Lace, Embroidery and Millinery",1894,"1,246,631"
export_uk,quantity,,Lacordashery and Millinery,1890,"2,112,911"
export_uk,quantity,,Lacordashery and Millinery,1891,"2,000,101"
export_uk,quantity,,Lacordashery and Millinery,1892,"1,757,820"
export_uk,quantity,,Lacordashery and Millinery,1893,"1,492,179"
export_uk,quantity,,Lacordashery and Millinery,1894,"1,246,631"
export_uk,quantity,,"Lead : Pig, Sheet, Piping, and otherManufactures",1891,"48,233"
export_uk,quantity,,"Lead : Pig, Sheet, Piping, and otherManufactures",1892,"58,162"
export_uk,quantity,,"Lead : Pig, Sheet, Piping, and otherManufactures",1893,"48,871"
export_uk,quantity,,"Lead : Pig, Sheet, Piping, and otherManufactures",1894,"47,060"
export_uk,quantity,,"Lead : Pig, Sheet, Piping, and otherManufactures",1895,"41,705"
export_uk,quantity,,Lead Ore,1893,20
export_uk,quantity,,Lead: Manufactures,1873,"83,548"
export_uk,quantity,,Lead: Manufactures,1874,"104,760"
export_uk,quantity,,Lead: Manufactures,1875,"90,035"
export_uk,quantity,,Lead: Manufactures,1876,"93,368"
export_uk,quantity,,Lead: Manufactures,1877,"91,841"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and other Manufactures",1885,"38,526"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and otherManufactures",1885,"38,526"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and otherManufactures",1886,"42,365"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and otherManufactures",1887,"44,301"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and otherManufactures",1888,"48,616"
export_uk,quantity,,"Lead: Pig, Sheet, Piping, and otherManufactures",1889,"52,040"
export_uk,quantity,,Leads: Manufactures,1873,"83,548"
export_uk,quantity,,Leads: Manufactures,1874,"104,760"
export_uk,quantity,,Leads: Manufactures,1875,"90,033"
export_uk,quantity,,Leads: Manufactures,1876,"93,368"
export_uk,quantity,,Leads: Manufactures,1877,"91,841"
export_uk,quantity,,"Leather, Tanned, Unwrought",1868,"64,083|61,083"
export_uk,quantity,,"Leather, Unwrought",1896,"138,071"
export_uk,quantity,,Linen Manufactures—continued.Linen Thread for Sewing,1883,"2,253,100"
export_uk,quantity,,Linen Manufactures—continued.Linen Thread for Sewing,1884,"2,580,500"
export_uk,quantity,,Linen Manufactures—continued.Linen Thread for Sewing,1885,"2,632,500"
export_uk,quantity,,Linen Manufactures—continued.Linen Thread for Sewing,1886,"2,690,500"
export_uk,quantity,,Linen Manufactures—continued.Linen Thread for Sewing,1887,"2,817,500"
export_uk,quantity,,Linen Manufactures—continued.— Thread for Sewing,1885,"2,632,500"
export_uk,quantity,,Linen Manufactures—continued.— Thread for Sewing,1886,"2,690,500"
export_uk,quantity,,Linen Manufactures—continued.— Thread for Sewing,1887,"2,817,500"
export_uk,quantity,,Linen Manufactures—continued.— Thread for Sewing,1888,"2,806,400"
export_uk,quantity,,Linen Manufactures—continued.— Thread for Sewing,1889,"2,800,200"
export_uk,quantity,,Linen Thread for Sewing,1887,"2,817,500"
export_uk,quantity,,Linen Yarn,1896,"18,462,300"
export_uk,quantity,,Malt,1893,"74,625"
export_uk,quantity,,Manure,1879,"1,021,832|1,024,832|1,024,532"
export_uk,quantity,,Manure (including Sulphate of Am-monia and other Chemical Manures) } Tons.,1892,"339,134"
export_uk,quantity,,Manure (including Sulphate of Am-monia and other Chemical Manures) } Tons.,1893,"352,588"
export_uk,quantity,,Manure (including Sulphate of Am-monia and other Chemical Manures) } Tons.,1894,"354,303"
export_uk,quantity,,Manure (including Sulphate of Am-monia and other Chemical Manures) } Tons.,1895,"328,553"
export_uk,quantity,,Manure (including Sulphate of Am-monia and other Chemical Manures) } Tons.,1896,"354,357"
export_uk,quantity,,Manure (including Sulphate of Ammonia and other Chemical Manures),1888,"1,849,035"
export_uk,quantity,,Manure (including Sulphate of Ammoniaand other Chemical Manures),1884,"2,101,561"
export_uk,quantity,,Manure (including Sulphate of Ammoniaand other Chemical Manures),1885,"1,726,993"
export_uk,quantity,,Manure (including Sulphate of Ammoniaand other Chemical Manures),1886,"1,614,643"
export_uk,quantity,,Manure (including Sulphate of Ammoniaand other Chemical Manures),1887,"1,640,919"
export_uk,quantity,,Manure (including Sulphate of Ammoniaand other Chemical Manures),1888,"1,849,035"
export_uk,quantity,,Margarine and all Artificial Butters - Ccts.,1900,"3,033"
export_uk,quantity,,Margarine and all Artificial Butters - Cts.,1893,"6,200"
export_uk,quantity,,Margarine and all Artificial Butters - Cts.,1894,"6,220"
export_uk,quantity,,Margarine and all Artificial Butters - Cts.,1895,"8,019"
export_uk,quantity,,Margarine and all Artificial Butters - Cts.,1896,"10,187"
export_uk,quantity,,Margarine and all Artificial Butters - Cts.,1897,"9,204"
export_uk,quantity,,Margarine and all Artificial Butters - Cwts.,1893,"6,290"
export_uk,quantity,,"Matches, viz. :  Safety Matches Gross Boxes  Other Sorts",1899,"73,500,619,200"
export_uk,quantity,,"Meal, unenumerated",1893,"17,442"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cts.",1887,"73,350"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cts.",1888,"70,760"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cts.",1889,"88,664"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cts.",1890,"111,486"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cts.",1891,"96,097"
export_uk,quantity,,"Meat : Beef, Pork, Bacon, and Hams - Cwts.",1895,"116,445"
export_uk,quantity,,"Meat: Beef, Mutton, Pork, Bacon, and {Hams",1892,"83,724"
export_uk,quantity,,"Meat: Beef, Mutton, Pork, Bacon, and {Hams",1893,"78,187"
export_uk,quantity,,"Meat: Beef, Mutton, Pork, Bacon, and {Hams",1894,"99,410"
export_uk,quantity,,"Meat: Beef, Mutton, Pork, Bacon, and {Hams",1895,"116,445"
