commodity,gbp,n_labels,commodity_like,place_like,has_t1,sample
Leather Manufactures,3841219,39,26,1,1,Roots And Shoes Doz Pairs | Gloves | Manganese Ore Of Tons | Phosphate Of Lime And Rock
Woollen,2310410,4,3,0,1,Yarn Of All Kinds | Yeast | Rags Not For Manure
Wine,11291,12,11,1,1,"Red, In Casks | White, In Casks | Red, In Bottles, Still | White In Bottles, Still"
Metals,3334,12,10,0,1,Copper Unwrought And Part Tons Wrought | And Steel Manufactures Cwts | Lead Pig And Sheet Tons | Zinc Crude And Manufactured Cwts
