gold_commodity,year,gold_world,unit,status,best_tier1_match
Gum Mastic,1866,1698,CWTS (Hundredweights),scope (2.90x),"Of certain Kinds used for Shipbuilding; viz.,Greenheart, Red and Blue Gum, &amp;c."
Gum Unenumerated,1871,95426,CWTS (Hundredweights),off (0.80x),Gum :Arabic
Gum Unenumerated,1891,108596,CWTS (Hundredweights),off (0.67x),Gum : Kowrie
Gum Unenumerated,1896,170411,CWTS (Hundredweights),scope (0.47x),"Gum, Arabic"
"Gunstocks in the rough, or Wood",1871,20138,CWTS (Hundredweights),scope (4.17x),Wood and Timber Staves
"Gunstocks in the rough, or Wood",1876,3165,CWTS (Hundredweights),scope (40.83x),Wood and Timber Staves
"Gunstocks in the rough, or Wood",1881,12099,CWTS (Hundredweights),scope (9.81x),Wood and Timber Staves
Hams,1871,65453,CWTS (Hundredweights),scope (16.71x),Bacon and Hams
Hams,1876,352344,CWTS (Hundredweights),scope (9.03x),Bacon and Hams
Hams,1881,751431,CWTS (Hundredweights),scope (6.16x),Bacon and Hams
Hams,1886,946034,CWTS (Hundredweights),scope (4.45x),Bacon and Hams
Hams,1891,1204803,CWTS (Hundredweights),scope (3.91x),Bacon and Hams
Hats and Bonnets of other Material,1876,198108,Number,scope (2.07x),Hats and Bonnets of Felt
Hats and Bonnets of other Material,1881,1440704,Number,scope (0.38x),Hats and Bonnets of Felt
Hats and Bonnets of other Material,1886,3603765,Number,scope (2.03x),Straw Platting for Hats or Bonnets
Hats and Bonnets of other Material,1891,1494522,Number,off (0.56x),"Hats and Bonnets, of Felt"
Hats and Bonnets of other Material,1896,631008,Number,off (1.49x),"Hats or Bonnets, of Straw"
Hemp Dressed,1866,53276,CWTS (Hundredweights),scope (18.79x),"Hemp, Dressed and Undressed"
Hemp Dressed,1871,30740,CWTS (Hundredweights),scope (42.15x),"Hemp, Dressed and Undressed"
Hemp Dressed,1876,86322,CWTS (Hundredweights),scope (13.61x),"Hemp, Dressed and Undressed, and Tow"
Hemp Dressed,1881,50623,CWTS (Hundredweights),scope (29.24x),"Hemp, Dressed and Undressed, and Tow"
Hemp Dressed or Undressed,1886,1137127,CWTS (Hundredweights),off (1.06x),"Hemp, Dressed and Undressed, and Tow - Cwts."
Hemp Dressed or Undressed,1891,1947408,CWTS (Hundredweights),scope (0.24x),"All other Sorts, Undressed and Dressed }(not Leather)"
Hemp Rough or Undressed,1866,929358,CWTS (Hundredweights),off (1.08x),"Hemp, Dressed and Undressed"
Hemp Rough or Undressed,1871,1191173,CWTS (Hundredweights),off (1.09x),"Hemp, Dressed and Undressed"
Hemp Rough or Undressed,1876,1019959,CWTS (Hundredweights),off (1.15x),"Hemp, Dressed and Undressed, and Tow"
Hemp Rough or Undressed,1881,1314191,CWTS (Hundredweights),off (1.13x),"Hemp, Dressed and Undressed, and Tow"
Hemp Seeds,1866,11083,Qrs. (Quarters),scope (90.33x),"Hemp, Dressed and Undressed"
Hemp Tow or Codilla of Hemp,1866,18464,CWTS (Hundredweights),scope (54.22x),"Hemp, Dressed and Undressed"
Hemp Tow or Codilla of Hemp,1871,73899,CWTS (Hundredweights),scope (17.53x),"Hemp, Dressed and Undressed"
Hemp Tow or Codilla of Hemp,1876,68578,CWTS (Hundredweights),scope (17.13x),"Hemp, Dressed and Undressed, and Tow"
Hemp Tow or Codilla of Hemp,1881,115591,CWTS (Hundredweights),scope (12.81x),"Hemp, Dressed and Undressed, and Tow"
Hemp Tow or Codilla of Hemp,1886,72776,CWTS (Hundredweights),scope (16.63x),"Hemp, Dressed and Undressed, and Tow - Cwts."
Hemp Tow or Codilla of Hemp,1896,5200,CWTS (Hundredweights),off (1.24x),"Unenumerated Vegetable Substances applic-able to the same uses as Hemp or Flax - } """
Hides Raw Dry,1866,270644,CWTS (Hundredweights),scope (3.90x),"Hides, Raw"
Hides Raw Dry,1876,468970,CWTS (Hundredweights),scope (2.25x),Hides : Raw
Hides Raw Dry,1886,721752,CWTS (Hundredweights),off (1.69x),"Hides, Raw"
Hides Raw Wet,1866,785999,CWTS (Hundredweights),off (1.34x),"Hides, Raw"
Hides Raw Wet,1876,586605,CWTS (Hundredweights),off (1.80x),Hides : Raw
Hides Raw Wet,1886,499145,CWTS (Hundredweights),scope (2.45x),"Hides, Raw"
Hides Russia or Muscovy,1866,117937,Lbs. (Pounds),scope (8.96x),"Hides, Raw"
Hides Tanned not otherwise Dressed,1866,4475553,Lbs. (Pounds),off (1.91x),"Tanned, Tawed, Curried, or Dressed"
Hides Tanned not otherwise Dressed,1871,15069179,Lbs. (Pounds),off (1.20x),"Tanned, Tawed, Curried, or Dressed"
Hides Tanned not otherwise Dressed,1876,37247243,Lbs. (Pounds),off (1.20x),"Tanned, Tawed, Curried, or Dressed"
Hides Tanned not otherwise Dressed,1881,41870353,Lbs. (Pounds),off (1.24x),"Tanned, Tawed, Curried, or Dressed"
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled",1866,3317862,Lbs. (Pounds),scope (2.58x),"Tanned, Tawed, Curried, or Dressed"
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled",1881,9648346,Lbs. (Pounds),scope (5.39x),"Tanned, Tawed, Curried, or Dressed"
Hides Untanned Dry,1871,604302,CWTS (Hundredweights),scope (2.13x),Hides :Raw
Hides Untanned Dry,1881,554110,CWTS (Hundredweights),off (1.83x),"Hides, Raw"
Hides Untanned Dry,1891,451380,CWTS (Hundredweights),scope (2.23x),"Hides, Raw"
Hides Untanned Wet,1871,682387,CWTS (Hundredweights),off (1.89x),Hides :Raw
Hides Untanned Wet,1881,457216,CWTS (Hundredweights),scope (2.21x),"Hides, Raw"
Hides Untanned Wet,1891,555690,CWTS (Hundredweights),off (1.81x),"Hides, Raw"
"Hides Varnished, Japanned or Enamelled",1866,655262,Lbs. (Pounds),off (1.61x),"Hides, Raw"
"Hides Varnished, Japanned or Enamelled",1871,516317,Lbs. (Pounds),scope (2.49x),Hides :Raw
"Hides Varnished, Japanned or Enamelled",1876,695366,Lbs. (Pounds),off (1.52x),Hides : Raw
"Hides Varnished, Japanned or Enamelled",1881,483764,Lbs. (Pounds),scope (2.09x),"Hides, Raw"
Honey,1886,21553,CWTS (Hundredweights),no-name-match,
Honey,1891,23544,CWTS (Hundredweights),no-name-match,
Horns Buffalo,1866,1485,Tons,scope (2.53x),Horns
Horns Unenumerated,1866,2006,Tons,off (1.87x),Horns
Ice,1866,63071,Tons,no-name-match,
Ice,1871,95956,Tons,no-name-match,
Ice,1876,184031,Tons,no-name-match,
Ice,1881,201559,Tons,no-name-match,
Ice,1886,290693,Tons,no-name-match,
Imitation Lard,1891,19808,CWTS (Hundredweights),scope (2.27x),"Rum, Imitation"
Indian Corn or Maize,1866,14322863,CWTS (Hundredweights),off (1.62x),"Corn, Grain, and Meal: Wheat"
Indian Corn or Maize,1871,16825023,CWTS (Hundredweights),scope (2.34x),"Corn, Grain, and Meal Wheat"
Indian Corn or Maize,1876,39963369,CWTS (Hundredweights),off (1.11x),"Corn, Grain, and Meal Wheat"
Indian Corn or Maize,1881,33480846,CWTS (Hundredweights),off (1.71x),"Corn, Grain, and Meal Wheat"
Indian Corn or Maize,1886,31011565,CWTS (Hundredweights),off (1.53x),"Corn, Grain, and Meal Wheat"
Indian Corn or Maize,1891,26825625,CWTS (Hundredweights),off (0.62x),"Corn, Grain, and Meal Wheatmeal and Flour"
Iron Bar Angle Bolt and Rod,1886,105466,Tons,scope (5.28x),Pyrites of Iron or Copper
Iron Old,1886,12046,Tons,scope (3.75x),"Metals Unwrought, part Wrought, and Old Copper"
Iron Ore Including Chrome,1866,56689,Tons,off (1.13x),"Iron in Bars, Unwrought"
Iron Ore Including Chrome,1871,324034,Tons,off (1.36x),"Iron and Steel, Wrought or Manufactured - Cuts."
Iron Pig,1866,13430,Tons,scope (2.75x),"Lead, Pig and Sheet"
Iron Pig,1881,55778,Tons,off (1.68x),"Lead, Pig and Sheet"
Iron Pig and Puddled,1871,55637,Tons,off (1.17x),"Lead, Pig and Sheet"
Iron Pig and Puddled,1876,31449,Tons,scope (2.56x),"Lead, Pig and Sheet"
Iron Pig and Puddled,1886,45195,Tons,scope (2.39x),"Lead, Pig and Sheet"
Iron and Steel Old Broken,1871,8836,Tons,off (0.86x),"Steel, Unwrought"
Iron and Steel Old Broken,1876,15664,Tons,off (0.59x),"Steel, Unwrought"
Iron and Steel Old Broken,1881,22956,Tons,off (1.50x),"Unwrought, part Wrought, and Old Copper"
Iron and Steel Old Broken,1891,13073,Tons,off (0.65x),"Steel, Unwrought"
Jalap,1866,125896,Lbs. (Pounds),no-name-match,
Jute Yarn,1866,2005461,Lbs. (Pounds),off (0.81x),"Jute, Raw"
Jute Yarn,1896,3034611,Lbs. (Pounds),off (1.92x),Yarn
Jute Yarn and Waste of Jute,1891,3021391,Lbs. (Pounds),scope (3.12x),Yarn
Lard,1871,177568,CWTS (Hundredweights),scope (2.69x),Lard
Lead Manufactures Unenumerated,1871,6347,CWTS (Hundredweights),scope (4.92x),"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1876,6722,CWTS (Hundredweights),scope (3.01x),"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1881,17041,CWTS (Hundredweights),scope (4.03x),Cotton Manufactures of India and China
Lead Manufactures Unenumerated,1886,13592,CWTS (Hundredweights),scope (2.76x),"Manufactures, Unenumerated"
Lead Manufactures Unenumerated,1891,4051,CWTS (Hundredweights),scope (15.42x),"Manufactures, Unenumerated"
Lead Ore,1866,10155,Tons,off (0.54x),Silver Ore
Lead Ore,1871,20860,Tons,off (0.72x),Silver Ore
Lead Ore,1876,12532,Tons,off (0.71x),"Manganese, Ore of"
Lead Ore,1881,15228,Tons,off (1.23x),"Manganese, Ore of"
Lead Ore,1886,34563,Tons,scope (2.12x),"Manganese, Ore of"
Lead Ore,1891,20560,Tons,scope (4.93x),"Manganese, Ore of"
Leather Dressed,1886,18853250,Lbs. (Pounds),scope (4.13x),Leather
Leather Dressed,1891,29986120,Lbs. (Pounds),scope (3.62x),Leather
Leather Dressed,1896,39485980,Lbs. (Pounds),scope (3.53x),Leather
Leather Manufactures Boot Fronts,1866,63864,Pairs,off (1.32x),Manufactures of India and China
Leather Manufactures Childrens Boots and Shoes,1866,2400,Pairs,scope (35.00x),Manufactures of India and China
Leather Manufactures Gloves,1871,1114193,Pairs,off (0.76x),Chemical Manufactures and Products
Leather Manufactures Mens Boots and Shoes,1866,141240,Pairs,off (1.27x),Manufactures of Hair and of Goats' Wool
Leather Undressed,1886,58530819,Lbs. (Pounds),off (1.33x),Leather
Leather Undressed,1891,78016789,Lbs. (Pounds),off (1.39x),Leather
Leather Undressed,1896,99613224,Lbs. (Pounds),off (1.40x),Leather
Leather Varnished,1891,540939,Lbs. (Pounds),off (0.85x),"All other Sorts, Undressed and Dressed }(not Leather)"
Leather Varnished Japanned or Enamelled,1886,426312,Lbs. (Pounds),scope (0.39x),Leather Manufactures Unenumerated
Leather Varnished Japanned or Enamelled,1896,481023,Lbs. (Pounds),off (1.85x),Leather Undressed
Linen Manufactures Cambrics French Lawns Bordered Handkerchiefs,1866,42889,Square Yards,off (1.96x),Manufactures of India and China
Linen Manufactures Damask and Damask Diaper,1866,244944,Square Yards,off (0.80x),Linen Manufactures
Linen Manufactures Sails and Sailcloths,1866,304361,Square Yards,off (1.29x),"Leather Manufactures: Boots, Shoes, and Boot Fronts"
Linen Rags,1866,18090,Tons,off (1.35x),Rags and other materials for making Paper: Rags
Linen Waste,1876,227084,Lbs. (Pounds),scope (7.51x),Yarn and Waste of
Linen Yarn (including Linen Yarn Waste),1866,1833091,Lbs. (Pounds),off (0.81x),"Wood and Timber:Not Sawn or Split, including Teak"
Linen Yarn Waste,1881,142574,Lbs. (Pounds),scope (0.38x),Silk Knubs or Husks of Silk and Waste
Liquid Ammonia,1866,10696,Lbs. (Pounds),off (1.86x),Glucose (Liquid) or Vegetable Syrup
Liquorice Juice,1866,5777,CWTS (Hundredweights),scope (3.85x),Liquorice Juice and Paste
Liquorice Paste,1866,16485,CWTS (Hundredweights),off (1.35x),Liquorice Juice and Paste
Maccaroni and Vermicelli,1866,8857,CWTS (Hundredweights),no-name-match,
Madder,1866,121563,CWTS (Hundredweights),scope (2.84x),Madder and Madder Root (including Munjeet)
Madder Munjeet,1866,1851,CWTS (Hundredweights),scope (186.43x),Madder and Madder Root (including Munjeet)
Madder Root,1866,221668,CWTS (Hundredweights),off (1.56x),Madder and Madder Root (including Munjeet)
Maize or Indian Corn Meal,1866,12241,CWTS (Hundredweights),scope (6.60x),Other kinds of Meal and Flour
Maize or Indian Corn Meal,1871,9697,CWTS (Hundredweights),off (2.00x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Maize or Indian Corn Meal,1876,7703,CWTS (Hundredweights),scope (29.19x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Maize or Indian Corn Meal,1881,25137,CWTS (Hundredweights),scope (9.52x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Maize or Indian Corn Meal,1886,10065,CWTS (Hundredweights),scope (46.49x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Maize or Indian Corn Meal,1891,55700,CWTS (Hundredweights),scope (11.64x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Malt,1886,5037,Qrs. (Quarters),no-name-match,
Manufactures of Bronze or of Metal Bronzed or Lacquered,1866,3241,CWTS (Hundredweights),scope (25.92x),Manufactures of India and China
Manure Unenumerated,1871,80264,Tons,scope (0.30x),"Rags and other materials for making Paper Woollen, applicable to other uses than Manure"
Manure Unenumerated,1876,204707,Tons,scope (0.14x),"Rags and other materials for making Paper Woollen, applicable to other uses than Manure"
Manure Unenumerated,1881,262109,Tons,scope (0.13x),"Rags, Woollen, applicable to other uses than Manure"
Manure Unenumerated,1886,67531,Tons,scope (0.45x),"Rags, Woollen, applicable to other uses than Manure"
Manure Unenumerated,1896,84148,Tons,off (0.79x),Manures: Bones for Manure
Maps and Charts,1876,3413,Number,no-name-match,
Maps and Charts,1881,13262,Number,no-name-match,
Mares,1891,3298,Number,no-name-match,
Meal Unenumerated,1866,6773,CWTS (Hundredweights),scope (11.94x),Other kinds of Meal and Flour
Meal Unenumerated,1876,32255,CWTS (Hundredweights),scope (6.97x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Meal Unenumerated,1881,27334,CWTS (Hundredweights),scope (8.76x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Meal Unenumerated,1886,120714,CWTS (Hundredweights),scope (3.88x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Meal Unenumerated,1891,420938,CWTS (Hundredweights),off (1.54x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Meat unenumerated Preserved otherwise than by Salting Other Sorts,1891,156953,CWTS (Hundredweights),off (0.72x),"Meat, Unenumerated ; Salted or Fresh"
"Metal Bell Leaf, not Gold",1871,225315,Packets of 250 Leaves,no-name-match,
Metal Leaf not Gold,1866,522228,Packets of 250 Leaves,no-name-match,
Metal Leaf not Gold,1876,97996,Packets of 250 Leaves,scope (3.61x),"Buttons and Studs, not of Metal"
Metal Leaf not Gold,1881,368524,Packets of 250 Leaves,off (1.32x),"Buttons and Studs, not of Metal"
Metal Leaf not Gold,1886,250262,Packets of 250 Leaves,scope (15.78x),"Buttons and Studs, not of Metal"
Metal Old fit only to be re-manufactured,1866,1279,Tons,scope (16.95x),""" Unwrought, and part Wrought, Old Copper, Copper } in Plates for Coin, Coin, and Copper Sheets - """
Metal Old fit only to be re-manufactured,1886,1653,Tons,off (1.21x),"Metal not otherwise Enumerated, Wrought"
Metal Old other than Iron or Copper for re-manufacture,1871,2698,Tons,scope (8.98x),"Rags and other materials for making Paper Woollen, applicable to other uses than Manure"
Metal Old other than Iron or Copper for re-manufacture,1876,1864,Tons,scope (15.31x),"Rags, Woollen, applicable to other uses than Manure"
Metal Old other than Iron or Copper for re-manufacture,1881,1320,Tons,scope (26.16x),"Unwrought, part Wrought, and Old Copper"
Metal Old other than Iron or Copper for re-manufacture,1891,2517,Tons,off (0.87x),"Metal not otherwise Enumerated, Wrought"
Metal Unenumerated unwrought,1876,1918,Tons,scope (4.81x),"Steel, Unwrought"
Metal Unenumerated unwrought,1881,4466,Tons,off (1.49x),"Steel, Unwrought"
Metal Unenumerated unwrought,1886,3137,Tons,off (0.64x),"Metal not otherwise Enumerated, Wrought"
Metal Unenumerated unwrought,1891,1637,Tons,off (1.33x),"Metal not otherwise Enumerated, Wrought"
Moss Litter,1891,52090,Tons,no-name-match,
Musical Instruments Harmoniums and Seraphines,1866,4557,Number,scope (51.27x),Musical Instruments
Musical Instruments Musical Boxes,1866,6298,Number,scope (37.10x),Musical Instruments
Muskets Rifles and Guns of any other Sort and Pistols,1871,177607,Number,no-name-match,
Muskets Rifles and Guns of any other Sort and Pistols,1876,154875,Number,no-name-match,
Muskets Rifles and Guns of any other Sort and Pistols,1881,139118,Number,no-name-match,
Muskets Rifles and Guns of any other Sort and Pistols,1886,870935,Number,no-name-match,
Mutton Unenumerated Preserved otherwise than by Salting,1891,65073,CWTS (Hundredweights),off (0.57x),"Rags, Woollen, applicable to other uses than Manure"
Myrabolans,1871,145450,CWTS (Hundredweights),no-name-match,
Myrabolans,1876,359686,CWTS (Hundredweights),no-name-match,
Myrabolans,1881,290691,CWTS (Hundredweights),no-name-match,
Myrabolans,1886,632265,CWTS (Hundredweights),no-name-match,
Myrabolans,1891,516107,CWTS (Hundredweights),no-name-match,
Myrabolans,1896,521956,CWTS (Hundredweights),no-name-match,
Naphtha,1866,995449,Gallons,no-name-match,
Naphtha,1871,1985845,Gallons,no-name-match,
Naphtha,1891,157419,Gallons,no-name-match,
Naphtha Crude,1876,2398401,Gallons,scope (0.01x),"Zinc, Crude, in Cakes"
Naphtha Crude,1881,1814773,Gallons,scope (0.03x),"Zinc : Crude, in Cakes"
Naphtha Wood not potable,1886,90250,Gallons,off (1.45x),Wood and Timber Staves
Nickel Ore,1866,1746,Tons,scope (3.15x),Silver Ore
None,1871,444584,CWTS (Hundredweights),no-name-match,
None,1876,301579,CWTS (Hundredweights),no-name-match,
None,1881,372105,CWTS (Hundredweights),no-name-match,
None,1886,290320,CWTS (Hundredweights),no-name-match,
None,1891,205808,CWTS (Hundredweights),no-name-match,
None,1896,19100,CWTS (Hundredweights),no-name-match,
Nuts and Kernels Ground Nuts,1866,2417,Tons,scope (3.52x),"Nuts and Kernels, for expressing Oil therefrom"
Nuts and Kernels Unenumerated,1866,6092,Tons,off (1.40x),"Nuts and Kernels, for expressing Oil therefrom"
Oatmeal,1866,59698,CWTS (Hundredweights),no-name-match,
Oatmeal,1876,166681,CWTS (Hundredweights),no-name-match,
Oatmeal,1881,177897,CWTS (Hundredweights),no-name-match,
Oatmeal and Groats,1886,337153,CWTS (Hundredweights),no-name-match,
Oatmeal and Groats,1891,171711,CWTS (Hundredweights),no-name-match,
Oats,1866,8844586,CWTS (Hundredweights),no-name-match,
Oats,1871,10911186,CWTS (Hundredweights),no-name-match,
Oats,1876,11211019,CWTS (Hundredweights),no-name-match,
Oats,1881,10324119,CWTS (Hundredweights),no-name-match,
Oats,1886,13485233,CWTS (Hundredweights),no-name-match,
Oats,1891,16600394,CWTS (Hundredweights),no-name-match,
Oil Castor,1876,79677,CWTS (Hundredweights),off (1.34x),"Seeds Unenumerated, for expressing Oil therefrom"
Oil Castor,1881,130375,CWTS (Hundredweights),off (1.18x),"Seeds Unenumerated, for expressing Oil therefrom"
Oil Castor,1886,175813,CWTS (Hundredweights),off (0.92x),"Seeds Unenumerated, for Expressing Oil therefrom"
Oil Castor,1891,166765,CWTS (Hundredweights),off (1.12x),Oil Coco-Nut
Oil Seed Cake Cotton Seed,1866,10528,Tons,off (1.18x),"Seed, of all Kinds"
Oil Seed Cake Linseed,1866,89205,Tons,off (1.45x),Oil Seed Cake
Oil Seed Cake Rapeseed,1866,9528,Tons,off (0.89x),"Nuts and Kernels, for expressing Oil therefrom"
Oil Seed Cake Unenumerated,1866,19762,Tons,off (0.81x),Oil: Animal
Olibanum,1866,11584,CWTS (Hundredweights),no-name-match,
Ore Unenumerated,1871,9608,Tons,off (1.56x),Silver Ore
Ore Unenumerated,1876,13481,Tons,off (0.66x),"Manganese, Ore of"
Ore Unenumerated,1881,7888,Tons,scope (2.38x),"Manganese, Ore of"
Ore Unenumerated,1886,15071,Tons,scope (4.87x),"Manganese, Ore of"
Ore Unenumerated,1891,47704,Tons,scope (2.13x),"Manganese, Ore of"
Other Materials and Pulp of Rags and of Wood for Making Paper,1881,45550,Tons,off (0.77x),"Rags, Woollen, applicable to other uses than Manure"
Other Materials and Pulp of Rags and of Wood for Making Paper,1886,117663,Tons,off (1.11x),Wood and Timber Staves
Other Vegetable Substances of the Nature and Quality of Undressed Hemp Except Coir and Flax,1866,2756,CWTS (Hundredweights),scope (7.21x),Glucose (Liquid) or Vegetable Syrup
Oxen and Bulls,1866,191545,Number,off (1.24x),"Oxen, Bulls, Cows, and Calves"
Oxen and Bulls,1871,135133,Number,off (1.62x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Oxen and Bulls,1876,168958,Number,off (1.61x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Oxen and Bulls,1881,251635,Number,off (1.27x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Oxen and Bulls,1886,241360,Number,off (1.32x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Oxen and Bulls,1891,440503,Number,off (1.15x),"Animals, Living Oxen, Bulls, Cows, and Calves."
Paper Brown and Waste Unenumerated,1866,50248,CWTS (Hundredweights),scope (0.49x),Rags and other materials for making Paper: Rags
Paper Fancy Paper except Hangings,1866,5045,CWTS (Hundredweights),off (1.33x),Paper Hangings
Paper Making Materials Pulp of Wood,1891,156609,Tons,off (0.83x),Wood and Timber Staves
Paper Millboard and Pasteboard,1866,103094,CWTS (Hundredweights),scope (0.24x),Rags and other materials for making Paper: Rags
Paper Millboard and Pasteboard,1871,213937,CWTS (Hundredweights),off (0.72x),Rags and other materials for making Paper Esparto and other Materials
Paper Millboard and Pasteboard,1876,318504,CWTS (Hundredweights),scope (0.46x),Rags and other materials for making Paper Esparto and other Materials
Paper Millboard and Pasteboard,1881,519444,CWTS (Hundredweights),scope (2.05x),Paper and Pasteboard Of all Kinds (except Hangings)
Paper Millboard and Pasteboard,1886,751523,CWTS (Hundredweights),scope (2.01x),Paper and Pastboard Of all Kinds (except Hangings)
Paper Millboard and Pasteboard,1891,1165893,CWTS (Hundredweights),scope (2.22x),Paper and Pasteboard :Of all Kinds (except Hangings)
Paper Unenumerated,1886,453896,None,off (0.69x),"Rags, and other materials for making Paper Esparto, and other Materials"
Paper Unenumerated,1891,1104228,None,scope (2.35x),Paper and Pasteboard :Of all Kinds (except Hangings)
Paper for Printing or Writing,1866,159008,CWTS (Hundredweights),scope (0.15x),Rags and other materials for making Paper: Rags
Paper for Printing or Writing,1876,259510,CWTS (Hundredweights),off (0.57x),Rags and other materials for making Paper Esparto and other Materials
Paper for Printing or Writing,1881,189879,CWTS (Hundredweights),off (1.25x),Rags and other materials for making Paper Esparto and other Materials
Paper for Printing or Writing,1891,321635,CWTS (Hundredweights),off (1.26x),"Paper Making Materials Esparto, and other Materials"
Paraffin,1866,8322,CWTS (Hundredweights),no-name-match,
Paraffin,1871,5517,CWTS (Hundredweights),no-name-match,
Paraffin,1876,37803,CWTS (Hundredweights),no-name-match,
Paraffin,1881,68049,CWTS (Hundredweights),no-name-match,
Paraffin,1886,273847,CWTS (Hundredweights),no-name-match,
Paraffin,1891,559352,CWTS (Hundredweights),no-name-match,
Paraffin,1896,725398,CWTS (Hundredweights),no-name-match,
Pears Raw,1866,74258,Bushels,no-name-match,
Peas,1866,1211835,CWTS (Hundredweights),no-name-match,
Peas,1871,1011367,CWTS (Hundredweights),no-name-match,
Peas,1876,1611250,CWTS (Hundredweights),no-name-match,
Peas,1881,1982947,CWTS (Hundredweights),no-name-match,
Peas,1886,2048336,CWTS (Hundredweights),no-name-match,
Peas,1891,2419381,CWTS (Hundredweights),no-name-match,
Percussion Caps,1876,14251000,Number,no-name-match,
Percussion Caps,1881,3323000,Number,no-name-match,
Perfumed Spirits and Cologne Water,1881,46236,Gallons,scope (2.43x),"Spirits Sweetened and Perfumed, of all kinds"
Perfumed Spirits and Cologne Water,1886,43087,Gallons,scope (2.65x),"Spirits Sweetened and Perfumed, of all kinds"
Perfumed Spirits and Cologne Water,1891,46573,Gallons,scope (2.81x),"Spirits Sweetened and Perfumed, of all kinds"
Perfumery Unenumerated,1871,673661,Lbs. (Pounds),no-name-match,
Perfumery Unenumerated,1876,759529,Lbs. (Pounds),no-name-match,
Perfumery and Articles used in the Manufacture thereof,1871,52702,Lbs. (Pounds),no-name-match,
Perfumery and Articles used in the Manufacture thereof,1881,1260364,Lbs. (Pounds),no-name-match,
Perfumery and Articles used in the Manufacture thereof,1886,1331177,Lbs. (Pounds),off (0.53x),"Watches, and parts thereof"
Perfumery and Articles used in the Manufacture thereof,1891,1431474,Lbs. (Pounds),scope (0.45x),"Watches, and parts thereof - - - - -"
Petroleum Refined,1866,6321417,Gallons,off (1.23x),Petroleum
Petroleum Refined,1871,8526674,Gallons,off (1.05x),Petroleum
Petroleum Unrefined,1866,5781,Tuns (whale oil),scope (1345.48x),Petroleum
Petroleum Unrefined,1871,1801,Tuns (whale oil),scope (4986.41x),Petroleum
Petroleum Unrefined,1876,1886,Tuns (whale oil),scope (13362.24x),Petroleum
Petroleum Unrefined,1881,3436,Tuns (whale oil),scope (5428.23x),Sugar Unrefined
Pickles and Vegetables Preserved in Salt or Vinegar,1886,1724373,Gallons,scope (0.31x),"Vegetables, Raw, unenumerated"
Pickles and Vegetables Preserved in Salt or Vinegar,1891,1967652,Gallons,scope (0.47x),"Vegetables, Raw, unenumerated - - - - -"
Pickles preserved in Vinegar,1871,1289,Gallons,scope (197.70x),Preserved otherwise than by salting
Pickles preserved in Vinegar,1876,1126,Gallons,scope (251.39x),Preserved otherwise than by salting
Pickles preserved in Vinegar,1881,22407,Gallons,scope (25.68x),"Preserved, otherwise than by salting"
Pictures and Drawings by hand,1866,1113,Number,scope (7.54x),"Pictures, Oil Paintings"
Plate Glass,1866,34667,CWTS (Hundredweights),scope (11.22x),"Glass of all Kinds (except Bottles of Green or Common } (Glass) - """
Plate of Silver gilt or ungilt,1866,51664,Ozs. Troy. ,scope (0.11x),Silver Ore
Plate of Silver gilt or ungilt,1871,103121,Ozs. Troy. ,scope (0.15x),Silver Ore
Plate of Silver gilt or ungilt,1876,106898,Ozs. Troy. ,scope (4.68x),Silver Ore
Plate of Silver gilt or ungilt,1881,90391,Ozs. Troy. ,scope (7.61x),Silver Ore
Plate of Silver gilt or ungilt,1886,112758,Ozs. Troy. ,scope (9.14x),Silver Ore
Plate of Silver gilt or ungilt,1891,108187,Ozs. Troy. ,scope (34.81x),Silver Ore
Platina Wrought and Unwrought,1876,53045,Ozs. Troy. ,off (0.79x),"Unwrought, part Wrought, and Old Copper"
Platina Wrought and Unwrought,1881,48720,Ozs. Troy. ,off (0.71x),"Unwrought, part Wrought, and Old Copper"
Platina Wrought and Unwrought,1886,84991,Ozs. Troy. ,off (0.53x),"Metals Unwrought, part Wrought, and Old Copper"
Platina Wrought and Unwrought,1891,82615,Ozs. Troy. ,off (0.94x),"Unwrought, Part Wrought, and Old"
Platting of other kinds for Hats,1866,97829,Lbs. (Pounds),scope (2.13x),Hats and Bonnets of Felt
Playing Cards,1871,37294,Dozen Packs,no-name-match,
Playing Cards,1876,24177,Dozen Packs,no-name-match,
Playing Cards,1881,42067,Dozen Packs,no-name-match,
Playing Cards,1886,18889,Dozen Packs,no-name-match,
