gold_commodity,year,gold_world,unit,status,best_tier1_match
Copper Old (fit only to be re-manufactured from 1876 onward),1881,2314,Tons,scope (14.92x),"Unwrought, part Wrought, and Old Copper"
Copper Old (fit only to be re-manufactured from 1876 onward),1886,2041,Tons,scope (22.14x),"Metals Unwrought, part Wrought, and Old Copper"
Copper Old (fit only to be re-manufactured from 1876 onward),1891,2237,Tons,scope (3.77x),Copper
Copper Ore,1866,94660,Tons,off (1.37x),"Copper, Ore and Regulus"
Copper Ore,1871,46335,Tons,off (0.71x),"Unwrought, part Wrought, and Old Copper"
Copper Ore,1876,74979,Tons,off (1.37x),"Copper, Ore and Regulus"
Copper Ore,1881,102805,Tons,off (1.43x),"Copper, Ore and Regulus"
Copper Ore,1886,84887,Tons,off (0.86x),"Manganese, Ore of"
Copper Ore,1891,88990,Tons,off (1.14x),"Manganese, Ore of"
Copper Part Wrought,1866,10063,Tons,scope (2.15x),""" Unwrought, and part Wrought, Old Copper, Copper } in Plates for Coin, Coin, and Copper Sheets - """
Copper Part Wrought,1891,2935,Tons,off (0.74x),"Metal not otherwise Enumerated, Wrought"
Copper Regulus (and Precipitate from 1886 onward),1866,34887,Tons,off (0.62x),""" Unwrought, and part Wrought, Old Copper, Copper } in Plates for Coin, Coin, and Copper Sheets - """
Copper Regulus (and Precipitate from 1886 onward),1871,30100,Tons,off (1.09x),"Unwrought, part Wrought, and Old Copper"
Copper Regulus (and Precipitate from 1886 onward),1876,27878,Tons,off (1.50x),"Unwrought, part Wrought, and Old Copper"
Copper Regulus (and Precipitate from 1886 onward),1881,44385,Tons,off (0.78x),"Unwrought, part Wrought, and Old Copper"
Copper Regulus (and Precipitate from 1886 onward),1886,67528,Tons,off (0.67x),"Metals Unwrought, part Wrought, and Old Copper"
Copper Regulus (and Precipitate from 1886 onward),1891,123337,Tons,off (1.72x),"Copper, Ore and Regulus"
Copper Unwrought,1886,41040,Tons,off (1.10x),"Metals Unwrought, part Wrought, and Old Copper"
