fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1905,statcan_nibi_w2_1905,0,15,SX,Hogs..... > United States...,left_only,,5334859,329078,50182,2833,752.74,,,,,,,,,,
1905,statcan_nibi_w2_1905,0,16,SX,Horned cattle ..... > Great Britain...,joined_weak,position,72,5862,31,500,100.0,,,,,,,,50182,2833,0
1905,statcan_nibi_w2_1905,0,17,SX,Horned cattle ..... > Switzerland....,joined_weak,position,45,2523,,,,,,,,,,,31,500,0
1905,statcan_nibi_w2_1905,0,18,SX,Horned cattle ..... > United States...,joined_weak,position,19620,272825,19616,272785,54557.0,,,,,,,,19616,272785,0
1905,statcan_nibi_w2_1905,0,19,SX,Total...,joined_weak,position,19737,281210,19647,273285,54657.0,,,,,,,,19647,273285,0
1905,statcan_nibi_w2_1905,0,20,SX,Horses ..... > Great Britain...,joined_weak,position,32,1686,32,1686,337.2,,,,,,,,32,1686,0
1905,statcan_nibi_w2_1905,0,21,SX,Horses ..... > Newfoundland..,joined_weak,position,7,200,7,200,40.0,,,,,,,,7,200,0
1905,statcan_nibi_w2_1905,0,22,SX,Horses ..... > United States...,joined_weak,position,11519,559417,11303,512455,102491.0,,,,,,,,11303,512455,0
1905,statcan_nibi_w2_1905,0,23,SX,Horses ..... > Total.....,joined_weak,position,11558,561303,11342,514341,102868.2,,,,,,,,11342,514341,0
1905,statcan_nibi_w2_1905,0,24,SX,Sheep ..... > United States...,joined_weak,position,84817,210131,84817,210131,42026.2,,,,,,,,84817,210131,0
1905,statcan_nibi_w2_1905,4,20,SX,France....,joined_weak,position,3604,,3246,848,486.9,,,,7843,2040,1568.6,,3246,486.9,-1
1905,statcan_nibi_w2_1905,4,21,SX,Germany....,joined_weak,position,7843,,2030,,,,,,,,,,7843,1568.6,0
1905,statcan_nibi_w2_1905,5,0,SX,"Chromos, chromotypes, oleographs, or like work produced by any process other than hand painting or drawing, and having any advertisement or advertising matter printed, lithographed, or stamped thereon, or attached thereto, or other similar artistic work, lithographed, printed or stamped on paper or cardboard for business or advertisement purposes, N.O.P. > Great Britain...",joined_weak,position,4559,1197,289,71,43.35,4270,1126,427.0,165,23,33.0,4550,1197,470.35,0
1905,statcan_nibi_w2_1905,5,1,SX,Germany...,joined_weak,position,165,23,,,,,,,,,,165,23,33.0,0
1905,statcan_nibi_w2_1905,6,24,SX,Pumps..... > Great Britain ..,joined_weak,position,,76,,,,76,,15.2,220,,88.0,76,,15.2,-1
