year,country,article_group,article,unit,value,quantity,value_inf,engines_agree,section,tier,volume,own_year,row_seq
1872,British North America,BRISTLES,,Lbs,4804.0,27980.0,,0,exact01,B,as_1872,1,82
1872,British North America,CHICORY,Raw or Kiln dried and roasted in Bond,Cwts,1398.0,1099.0,,0,mod,D,as_1872,1,147
1872,British North America,COFFEE,,,13469.0,420560.0,,0,gross,D,as_1872,1,207
1872,British North America,"CORDAGE, TWINE, and CABLE YARN",,,2135.0,,,0,exact01,B,as_1872,1,234
1872,British North America,FRUIT,Currants,Cwts,13862.0,10183.0,13962.0,0,exact01,D,as_1872,1,417
1872,British North America,FRUIT,Figs and Fig Cake,Cwts,3687.0,1735.0,3687.0,1,exact01,A,as_1872,1,424
1872,British North America,FRUIT,Oranges and Lemons,Bushels,9919.0,14183.0,9919.0,1,exact01,A,as_1872,1,436
1872,British North America,FRUIT,Raisins,Cwts,5624.0,3367.0,5624.0,1,exact01,A,as_1872,1,446
1872,British North America,"GOODS, UNENUMERATED",Manufactured,,13137.0,,13137.0,1,within5,C,as_1872,1,1437
1872,British North America,HEMP,Rough or Undressed,Cwts,14837.0,7934.0,,0,exact01,B,as_1872,1,554
1872,British North America,IRON,"Bars, Unwrought",Tons,18112.0,1297.0,,0,within5,D,as_1872,1,627
1872,British North America,IRON,"STEEL, UNWROUGHT",Tons,4665.0,182.0,,0,exact01,B,as_1872,1,633
1872,British North America,LIQUORICE,,Cwts,2715.0,1044.0,,0,exact01,B,as_1872,1,698
1872,British North America,RICE,"Not Rough, nor in the Husk",,43128.0,69791.0,43128.0,1,gross,D,as_1872,1,916
1872,British North America,SALTPETRE,,,5986.0,3898.0,,0,within5,D,as_1872,1,937
1872,British North America,SILK,"Broad Stuffs, Silk or Satin",,34920.0,,34920.0,1,exact01,A,as_1872,1,993
1872,British North America,SILK MANUFACTURES,"Of Countries in Europe : Ribbons, Silk or Satin",,2582.0,,,0,exact01,B,as_1872,1,998
1872,British North America,"SKINS, FURS AND PELTS","Sheep and Lamb, Undressed",No,67849.0,320894.0,67849.0,1,exact01,A,as_1872,1,1025
1872,British North America,SPICES,Pepper,Lbs,4122.0,138276.0,4122.0,1,gross,D,as_1872,1,1068
1872,British North America,SPICES,Unenumerated,Lbs,6659.0,115401.0,6659.0,1,exact01,A,as_1872,1,1076
1872,British North America,SPIRITS,Brandy,Gallons,10207.0,26243.0,10207.0,1,mod,D,as_1872,1,1095
1872,British North America,SPIRITS,"Perfumed, in Bond",,2914.0,692.0,,0,exact01,B,as_1872,1,1126
1872,British North America,SPIRITS,Rum,Gallons,7476.0,42083.0,7476.0,1,within5,C,as_1872,1,1085
1872,British North America,TEA,,,556714.0,7446055.0,,0,exact01,B,as_1872,1,1187
1872,British North America,WINE,Red,Gallons,9748.0,26013.0,,0,within5,D,as_1872,1,1277
1872,British North America,WINE,"Red and White, Mixed",Gallons,344.0,1692.0,314.0,0,exact01,D,as_1872,1,1313
