check,metric,commodity,gbp
NOUNIT,950000000,"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",950000000
NOUNIT,750040033,"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",750040033
NOUNIT,100636087,"Bleaching Materials — Books, Printed",100636087
NOUNIT,51538661,"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",51538661
NOUNIT,51320916,"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",51320916
NOUNIT,50887840,"Brass — Manufactures Of, Not Being Ordnance",50887840
NOUNIT,50071380,"Wine, British Made — Rough, Hewn, Sawn, Or Split",50071380
NOUNIT,36413395,Silk — Skins,36413395
NOUNIT,35336875,Wine — Provisions,35336875
NOUNIT,20754861,Sugar — Total Unrefined Of All Kinds—(Contd),20754861
NOUNIT,16266636,Woollen And Worsted Yarn — Worsted Yarn (Combed),16266636
NOUNIT,14606437,"Linen And Jute Manufactures — Plain, Unbleached Or Bleached",14606437
NOUNIT,14126067,"Pork — Poultry And Game, Alive Or Dead",14126067
NOUNIT,13947232,"Horns, Tips And Pieces Of Horns And Hoofs — Unenumerated",13947232
NOUNIT,12755988,Silk — Manufactures,12755988
NOUNIT,10979859,Wool — Other Goats' Wool Or Hair,10979859
NOUNIT,10281377,Dye Stuffs,10281377
NOUNIT,9608018,"Linen Manufactures — Plain, Unbleached Or Bleached",9608018
NOUNIT,8581342,Tobacco — Wood,8581342
NOUNIT,7716495,"Hides — Not Tanned, &C., Dry",7716495
NOUNIT,5870474,Cotton Manufactures — United States,5870474
NOUNIT,5634669,"Cotton — Raw, And Waste Of",5634669
NOUNIT,4423963,"Cotton Manufactures — Piece Goods, Printed And Dyed",4423963
NOUNIT,4214488,Woollen And Worsted Manufactures — Shawls,4214488
NOUNIT,3658840,Woollen And Worsted Manufactures — Worsted Yarn (Combed),3658840
NOUNIT,3594046,"Leather — Wrought, Boots And Shoes",3594046
NOUNIT,3557159,"Cotton Manufactures — Piece Goods Of Mixed Materials, Cotton Predominating",3557159
NOUNIT,3037906,"Telegraphic Wires And Apparatus — Tin, Unwrought",3037906
NOUNIT,2723762,Tea — Red: Total Of,2723762
NOUNIT,2721431,Oil — West Coast Of Africa,2721431
NOUNIT,2717794,"Skins And Furs — Sheep And Lambs', Undressed, Without The Wool",2717794
