kept,folded_in,unit,head
Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines: Agricultural,Machinery And Mill Work — Agricultural,?,Machinery And Mill Work
Madder,"Madder, Madder Root, Garnoine, And Munjeet",Cwt,(groupless)
Manures — Bones For Manure,Manures — Bones For Manure (Whether Burnt Or Not),Ton,Manures
Manures — Bones For Manure,"Manures — Bones Of Animals, And Fish For Manure Only",Ton,Manures
"Meat, Unenumerated — Meat, Unenumeratedpreserved, Otherwise Than By Salting","Meat, Unenumerated — Salting",Cwt,"Meat, Unenumerated"
"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured","Metal — Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",Ton,Metal
Nuts And Kernels — .. West Africa,Nuts And Kernels — From West Coast Of Africa,?,Nuts And Kernels
Nuts And Kernels — From West Coast Of Africa (Foreign),Nuts And Kernels — From West Africa,?,Nuts And Kernels
"Nuts And Kernels — Other Sorts, Unenumerated (Not Fruit)",Nuts And Kernels — Of Other Sorts,Value,Nuts And Kernels
Oil — Fish : Train Or Blubber,Oil — Train Or Blubber,Tun,Oil
"Oil — Fish: Sperm, Or Head Matter","Oil — Fish, Train, Or Blubber : Sperm, Or Head Matter",Tun,Oil
"Oil — Fish: Sperm, Or Head Matter","Oil — Sperm, Or Head Matter",Tun,Oil
Oil — Seed,Oil — Oil Seed Cure,Ton,Oil
Oil — Spermaceti Or Head Matter,"Oil — Fish: Spermaceti, Or Head Matter",Tun,Oil
"Onions — One, Unenumerated","Onions — Raw · One, Unenumerated",?,Onions
Onions — Opium,Onions — Raw · Opium,Lb,Onions
"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof","Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof, Exceptperfumed Spirits",?,Paraffine
Petroleum,"Petroleum, Illuminating",Gallon,(groupless)
Pictures,"Pictures, Oil Paintings",Number,(groupless)
Pitch,Pitch And Tar :Pitch,Cwt,(groupless)
Plate Of Silver,Plate,Oz Troy,(groupless)
"Pork, Salted And Fresh",Pork,Cwt,(groupless)
Poultry And Game,"Poultry And Game (Alive Or Dead), Including Rabbits",Value,(groupless)
Poultry And Game,Poultry And Game (Including Rabbits),Value,(groupless)
Poultry And Game,"Poultry And Game, Alive Or Dead",Value,(groupless)
Pyrites Of Iron Or Copper,Pyrites Of Iron Or Copper Or Sulphur Ore,Ton,(groupless)
Saltpetre,Saltpetre (Nitrate Of Potash),Cwt,(groupless)
"Sauces Or Condiments, Unenumerated","Sauces Or Condiments, Unenumerated (Including Table Salt)",Lb,(groupless)
"Seeds — Unenumerated, For Expressing Oil Therefrom","Seeds — Unenumerated, Commonly Used For Expressing Oil Therefrom",Quarter,Seeds
"Silk Manufactures — Broad Stuffs : Silk Or Satin : Velvet, Plain Or Figured","Silk Manufactures — Silk Or Satin : Velvet, Plain Or Figured",Value,Silk Manufactures
"Silk Manufactures — Silver One, Or One Of Which The Greater Part In Value Is Silver","Silk Manufactures — Silver Ore, Or One Of Which The Greater Part In Value Is Silver",Value,Silk Manufactures
"Silk Manufactures — Silver, Ore Of, Or Ore Of Which The Greater Partof The Value Is Silver",Silk Manufactures — In Value Is Silver,?,Silk Manufactures
"Silk Manufactures — Velvet, Plain Or Figured","Silk Manufactures — Broad Stuffs : Silk Or Satin : Velvet, Plain Or Figured",Value,Silk Manufactures
Silk — Manufactures,"Silk — Manufactures, Broad Stuffs, Velvet, Plain Or Figured, Wholly Of Silk",Value,Silk
"Skins, Furs, And Pelts — Furs","Skins, Furs, And Pelts — Unenumerated, Being Furs",Number,"Skins, Furs, And Pelts"
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed","Skins, Furs, And Pelts — Goat, Tanned, Tawed, Or Dressed",Number,"Skins, Furs, And Pelts"
"Skins, Furs, And Pelts — Goat, Undressed","Skins, Furs, And Pelts — Goat And Kid, Undressed",Number,"Skins, Furs, And Pelts"
"Skins, Furs, And Pelts — Sheep And Lamb, Tanned, Tawed, Or Dressed","Skins, Furs, And Pelts — Sheep, Tanned, Tawed, Or Dressed",Number,"Skins, Furs, And Pelts"
"Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Dressed And Undressed","Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Undressed",Number,"Skins, Furs, And Pelts"
Slates,"Slates, For Roofing Purposes",Number,(groupless)
"Spirits — Not Tested, For Ascertaining The Strength","Spirits — Liqueurs, Cordials, &C., Not Tested, For Ascertaining The Strength",Gallon,Spirits
"Staves, Of All Dimensions",Staves,Load,(groupless)
Succades,Succades (Including All Fruits And Vegetables Preserved In Sugar),Cwt,(groupless)
Succades,Succades (Including Fruits And Vegetables Pre- Served In Sugar),Cwt,(groupless)
Sugar,Sugar (Including All Fruits And Vegetables Preserved In Sugar),?,(groupless)
