engine,volume,flow_as_parsed,article_group,article,unit,year,block_total,import_t1,t1_tier,import_has,ratio_now,n_rows,countries
inf,as_1892,export_uk,WOOL,"Alpaca, Vicuña, and Llama",Lbs,1892,4794901,4794901,A,0,0.0000,5,Germany; France; Peru; Chile
ch,as_1892,export_uk,WOOD and TIMBER,Staves,Loads,1892,136063,136063,A,0,0.0000,12,Russia; Sweden; Norway; Germany; Holland; France; Austrian Territories; United States of America; Other Foreign Countries; Canada
