volume,label,raw,parsed_as,col,of,last_column
as_1872,"Coals, Cinders, and Fuel - Tons","12,68",1268,3,10,0
as_1872,"Cottons, Entered by the Yard - Yards","5,167,46",516746,3,10,0
as_1872,Machinery and Mill Work - „,"11,75",1175,2,5,0
as_1873,Malta - - - -,"48,22",4822,1,3,0
as_1873,TOTAL - - - - -,"561,1390",5611390,5,5,1
as_1873,"Tobacco, Unmanufactured - - - - - Lbs.","7,673,33",767333,9,10,0
as_1874,"Oxen, Bulls, Cows, and Calves - - - - - ""","1,02,172",102172,1,5,0
as_1874,Total,"1,93,036",193036,2,3,0
as_1874,""" Other Countries","1,53,725",153725,1,4,0
as_1874,Pepper - - - - - Lbs.,"4,76",476,7,10,0
as_1875,Spain,"4,064,23",406423,4,5,0
as_1875,"Skins and Furs of all Sorts - - - - - ""","1,094,51",109451,4,5,0
as_1875,"Sugar, Unrefined - - - ""","7,2659",72659,2,10,0
as_1875,"Metals: Iron, Wrought and Un- } Tons","6,40",640,5,5,1
as_1875,Opium - - - - - Lbs.,"8,0",80,2,8,0
as_1876,Apparel - - - - - Value £,"4,13",413,7,7,1
as_1876,"Caoutchouc, Manufactures of - - - Value £","10,55",1055,7,7,1
as_1876,"Chemical Products or Preparations - - ""","3,98",398,7,7,1
as_1876,Cotton Yarn - - - - - Lbs.,"23,53",2353,8,8,1
as_1876,Piece Goods - - - - - Yards,"11,33,50",113350,9,9,1
as_1876,Hosiery and Small Wares - - - Value £,"30,75",3075,7,7,1
as_1876,"Earthen and China Ware, of all Sorts - - ""","11,77",1177,9,9,1
as_1876,"Glass, of all Kinds - - - - - Value £","1,40",140,8,8,1
as_1876,"Haberdashery and Millinery - - - ""","10,10",1010,6,6,1
as_1876,"Hardwares and Cutlery, Unenumerated - - ""","16,35",1635,7,7,1
as_1876,"Hats, of all Sorts - - - - - Dozens","9,5",95,6,6,1
as_1876,Unwrought - - - - - Cuts.,"8,0",80,6,6,1
as_1876,""" Saddlery and Harness - - ""","4,1",41,6,6,1
as_1876,Linen Yarn - - - - - Lbs.,"2,3",23,8,8,1
as_1876,Linen Piece Goods - - - - Yards,"8,31,20",83120,8,8,1
as_1876,""" Thread, and Unenumerated - - Value £","5,2",52,6,6,1
as_1876,Machinery and Mill Work - - - Value £,"6,0",60,9,9,1
as_1876,Painters' Colours - - - - - Value £,"13,9",139,7,7,1
as_1876,"Silk, Thrown, Twist, and Yarn - - - Value £","19,50",1950,6,6,1
as_1876,""" Manufactures - - - - - ""","49,10",4910,6,6,1
as_1876,"Wool, Sheep and Lambs' - - - - Lbs.","5,10",510,8,8,1
as_1876,"Woollen and Worsted Yarn - - - - ""","27,5",275,8,8,1
as_1876,"Cloths, of all Kinds - - - - Yards","1,46,3",1463,8,8,1
as_1876,"Worsted and Mixed Stuffs - - - ""","5,49,15",54915,9,9,1
as_1876,"Flannels, Carpets, &c. - - - ""","11,80",1180,9,9,1
as_1876,Hosiery and other Goods - - - Value £,"7,5",75,7,7,1
as_1876,"Hardware and Cutlery, Unenumerated - ""","74,56",7456,5,5,1
as_1877,Chili,"12,91",1291,2,5,0
as_1877,"Linens, Entered by the Yard - - - - - Yards","2,70",270,9,10,0
as_1877,Wax - - - Cwts.,"17,13",1713,10,10,1
as_1877,Hewn - - - Loads,"611,83",61183,10,10,1
as_1877,"Sawn or Split - - - ""","903,45",90345,10,10,1
as_1877,"Staves - - - ""","104,11",10411,10,10,1
as_1877,Furniture and Hardwoods - - - Tons,"77,04",7704,10,10,1
as_1877,"Wool, Sheep and Lambs' - - - Lbs.","23,54",2354,10,10,1
as_1877,Woollen Manufactures - - - Value,"15,61",1561,5,5,1
as_1877,All Other Articles - - - Value,"2,583,22",258322,5,5,1
as_1877,TOTAL. - - - - -,"77,825,97",7782597,5,5,1
as_1877,"Hardware and Cutlery, Unenumerated - ""","74,56",7456,4,5,0
as_1878,""" Peru","1,3191",13191,4,4,1
as_1878,„ British North America,"1,4043",14043,3,4,0
as_1878,"Cochineal - - - ""","15,27",1527,5,5,1
as_1878,Cotton Yarn - - - - - Lbs.,"3,58,858",358858,1,10,0
as_1878,""" Unenumerated - - - - - ""","63,76",6376,9,10,0
as_1879,Southampton,"259,58",25958,2,5,0
as_1879,Southampton,"3,9597",39597,3,5,0
as_1879,,"121,88",12188,1,1,1
as_1879,„ Holland - - - - -,"12,67",1267,2,2,1
as_1879,Total - - - - -,"200,63",20063,4,4,1
as_1879,Of all other Sorts - - - - - Value £,"56,77",5677,5,6,0
as_1879,TOTAL - - -,"129,64",12964,4,5,0
as_1879,"Sugar, Unrefined - - - - - ""","1,47,012",147012,3,9,0
as_1879,"Oil, Train or Blubber - - Tuns","241,48",24148,9,10,0
as_1880,Channel Islands - - - - -,"815,7",8157,5,5,1
as_1880,Gibraltar - - - - -,"879,61",87961,5,5,1
as_1880,West Africa Settlements (Gambia and Sierra Leone) - - - - -,"388,65",38865,5,5,1
as_1880,The Gold Coast - - - - -,"502,22",50222,5,5,1
as_1880,Newhaven,"11,93",1193,4,5,0
as_1880,Animals: Horses - - - - - No.,"1,2967",12967,3,5,0
as_1880,"Unenumerated, for expressing Oil therefrom","7,3125",73125,4,4,1
as_1880,Molasses,"6,3155",63155,1,5,0
as_1880,Unenumerated,"12,5129",125129,1,5,0
as_1880,""" Manufactures - - - - - Value £","77,58",7758,4,5,0
as_1880,» France,"312,87",31287,3,3,1
as_1880,„ Italy,"6,0181",60181,3,3,1
as_1880,""" Australia - - - - -","949,11",94911,1,1,1
as_1880,""" Belgium - - - - -","46,64",4664,1,2,0
as_1880,,"267,81",26781,3,3,1
as_1880,Linen Yarn - - - - Lbs.,"2,925,28",292528,2,10,0
as_1880,"Cottons, Entered by the Yard - Yards","1,72,085",172085,6,10,0
as_1880,Wool: Sheep and Lambs' - - - - - Lbs.,"2,8342",28342,5,10,0
as_1880,TOTAL OF BRITISH AND FOREIGN PRODUCE,"322,42",32242,2,5,0
as_1880,Salt - - - - - Tons,"3,77",377,2,10,0
as_1881,Quicksilver - - - - - Lbs.,"2,13,263",213263,3,5,0
as_1881,— Brandy - - - - - ”,"1,284,14",128414,1,2,0
as_1881,"Linens, Entered by the Yard - Yards","1,2318",12318,10,10,1
