pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
0	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	251	1203589	36	0	252	1208647	35	0	-1
1	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	253	1214258	36	0	254	1218840	37	0	1
2	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	255	1224705	39	0	256	1229657	40	0	1
3	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	257	1234914	42	0	258	1241015	39	0	-3
4	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	259	1247284	35	0	260	1252405	39	0	4
5	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	261	1258629	30	0	262	1263286	29	0	-1
6	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	263	1268135	39	0	264	1272878	37	0	-2
7	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	265	1278890	50	0	266	1285037	50	0	0
8	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	267	1292881	47	0	268	1299091	45	0	-2
9	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	269	1306340	36	0	270	1311273	35	0	-1
10	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	271	1316891	37	0	272	1321953	36	0	-1
11	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	273	1327747	43	0	274	1333236	41	0	-2
12	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	275	1339766	40	0	276	1345230	40	0	0
13	1906	statcan_nibi_w2_1906	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2/statcan_CS4-4_1906_w2.md	imports_37	1	277	1351598	28	0	278	1355876	27	0	-1
