commodity,gbp,flags
"Eggs — For Beds, In Beds Or Otherwise",105945,oneyear noanchor
Spirits — Unenumerated,99492,nounit noanchor
Hats Or Bonnets — Tow Or Codilla Of Hemp,99366,oneyear noanchor
"Metal — Old, Fit Only For Re-Manufacture",99006,oneyear noanchor
Gum — British East-Indies,98492,nounit noanchor
"Hemp — Tow, Or Cordilla Of, And Other Vegetable Substances, Applicable To The Same Uses As Hemp Or Flax",97639,nounit noanchor
"Spirits — Perfumed, In Bond",96419,nounit noanchor
Of Felt,96210,oneyear nooverlap
"Tobacco — Manufactured, In Bond",88850,nounit noanchor
"Hides — Tawed, Curried, Or Dressed, Not Varnished",88688,nounit noanchor
Feathers — For Bends,86629,oneyear noanchor
Cotton — Cinnamon,79433,oneyear noanchor
"Corn And Grain — Cotton Yarn, And Waste Of",76826,oneyear noanchor
"Bones (Except Whalebone) Whether Burnt Or Not, Or As Animal Charcoal — Applicable To Manufacturing Purposes",72019,nounit noanchor
Pork — Prints And Engravings,71558,oneyear noanchor
"Arms, Ammunition, And Military Stores — Revolvers",71149,nounit noanchor
"Arms, Ammunition, And Military Stores — To Eastern Africa",71060,nounit noanchor
Fruit — Perfumed Spirits (Including Water Cologne),69946,oneyear noanchor
Hats Or Bonnets — Vegetable Substances Applicable To The Same Uses As Hemp Or Flax,69287,oneyear noanchor
Chicory — Roasted Or Ground In Bond,66909,nounit noanchor
Spirits — Cavendish Or Negrolhead,66619,oneyear noanchor
"Arms, And Ammunition — Swords, Cutlasses, Matchets, Bayonets, Gun Barrels, Gun Locks, And Cannon And Mortars Of Iron, Not Mounted Nor Accompanied With Carriages",63183,oneyear noanchor
Ink,61343,noanchor resid
Gals,59815,oneyear nooverlap
Corn And Grain — From Australasia,52814,nounit noanchor
"Brass, Bronze, And Metal Bronzed Orlacquered",52051,nounit noanchor
Seeds — From British East Indies,51301,nounit noanchor
"Dye Stuffs, And Substances Used In Tanning — Cocchineal",51127,oneyear noanchor
Bark — Cocaine,50749,oneyear noanchor
Borax,47823,nounit noanchor
"Arms, Ammunition, And Military Stores — Ordnance Stores, Explosives, And Ammunition, Unenumerated",45665,oneyear noanchor
"Arms, Ammunition, And Military Stores — Swords, Cutlasses, Bayonets, Cannon And Mortars Of Iron, And Arms Of Other Sorts, Unenumerated",41669,oneyear noanchor
Silk Manufactures — To United States Of America,39312,nounit noanchor
"Plate Of Silver (Free From 1St May, 1890)",35882,oneyear noanchor
Wood And Timber — British North America,34134,nounit noanchor
Chicory — Raw Or Kiln Dried And Roasted In Bond,30998,nounit noanchor
"Quicksilver, (Metallic) — In The Husk",27440,oneyear noanchor
Silk — Spun Silk Yarn,21741,oneyear nooverlap
Beer And Ale — Bones (Except Whalefins) Applicable To Manufacturing Purposes,20870,nounit noanchor
"Chicory — Unenumerated, Sweetened Or Mixed (Tested) : Not Tested, For Ascertaining The Strength",20622,oneyear noanchor
"Silk Manufactures — Silver, Ore Of, Or Ore Of Which The Greater Partof The Value Is Silver",17821,nounit noanchor
Cotton Manufactures — Maize Or Indian Corn Meal (Including Maizena),15471,oneyear noanchor
Dyeing Or Tanning Stuffs — Shunach,15054,oneyear nooverlap
Gold : „ Leaves Of — Ore Of. Or Ore Of Which The Greater Part In Value Is Gold,15027,oneyear noanchor
Meat — Bell,14932,oneyear noanchor
Manures — From British East Indies,14805,nounit noanchor
Hewn: Fir,13912,oneyear nooverlap
Cotton Manufactures — Piece Goods Of Other Countries,13425,oneyear noanchor
"Hides — Tawed, Curried, Or Dressed, Varnished",12317,nounit noanchor
"Skins, And Furs — Skins In Any Way Dressed (Not Leather)",12207,nooverlap gapyears
"Chicory — Red, In Bottles, Sparkling : Burgundy",7322,oneyear noanchor
Petroleum — Pickles,7067,oneyear noanchor
"Varnish, Containing Alcohol",5797,noanchor resid
Tobacco — Moselle : Other Sorts,4999,oneyear noanchor
"Collodion — Confectionery, Containing Not More Than50% Chocolate, In The Manufacture Ofwhich Spirit Has Been Used",4045,nounit noanchor
Floral Hydrate,3558,oneyear noanchor
Beads Of All Sorts — Salted,3549,oneyear noanchor
"Fruit — Soap, Transparent, In The Manufacture Ofwhich Spirit Has Been Used",2852,nounit noanchor
"Tobacco — Red, In Bottles : Sparkling : Other Sorts",2517,oneyear noanchor
"Tea — White, In Bottles: Sparkling : Burgundy",1595,oneyear noanchor
"Tobacco — White, In Bottles: Sparkling : Burgundy",622,oneyear noanchor
Cork — Manufactured,476,oneyear nooverlap
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",1023666674,noanchor
"Sugar — Unrefined, Total",395688379,gapyears
"Cotton Manufactures — Piece Goods, Printed",294935708,noanchor
Wood And Timber — Sawn Or Split,262542348,gapyears
Coffee — Manufactured,129485819,noanchor
Petroleum,125213664,gapyears
Cotton Twist And Yarn,95099656,noanchor
Woollen Manufactures — Stuffs,81404071,gapyears
Rice,75715475,gapyears
Wine — White,74772477,gapyears
Iron — Ore Of,65284713,gapyears
Silk Manufactures — Broad Stuffs Of Silk Or Satin,65039940,noanchor
Woollen Manufactures — Unenumerated,62272976,noanchor
"China, Or Porcelain, And Earthenware — Wheat",58336343,noanchor
"Flax, Dressed Or Undressed",57412975,gapyears
Wine — Red,56297450,gapyears
"Iron — Manufactures Of Iron Or Steel, Unenumerated",52591705,gapyears
Bleaching Materials,51286603,noanchor
Wheatmeal And Flour,48597275,gapyears
"Animals, Living — Sheep And Lambs",44506592,gapyears
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",44417606,noanchor
"Tin — In Blocks, Ingots, Bars, Or Slabs",41132729,gapyears
Hemp — Dressed Or Undressed,41002552,gapyears
"Coals, Cinders, &C — Coals And Culm",37480356,gapyears
Diamonds,36631940,noanchor
Oil — Oil Seed Cakes,33926835,gapyears
Flax — Rough Or Undressed,32341759,noanchor
Fruit — Oranges And Lemons,31479506,gapyears
Pyrites Of Iron Or Copper,29237854,gapyears
Wool — Goats' Wool Or Hair,26883564,gapyears
"Nitre, Cubic (Nitrate Of Soda)",26603417,gapyears
Corn And Grain — Beans,26258327,noanchor
Silk Manufactures — Unenumerated,25474717,noanchor
"Lac, Seed, Shell, Stick, And Dye",23761989,gapyears
"Preserved, Otherwise Than By Salting",23605190,gapyears
Musical Instruments,22941617,noanchor
"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",22577713,noanchor
Woollen Manufactures — Cloths And Stuffs,22124269,noanchor
Corn And Grain — Pease,21855359,noanchor
"Hides, Raw, And Pieces Thereof — Dry",21507472,gapyears
Cocoa,21383185,gapyears
Wood And Timber — Mahogany,21181998,gapyears
"Hides, Not Tanned, Tawed, Curried, Or In Any Way Dressed — Dry",20939128,noanchor
Fish — Cured Or Salted,20581152,noanchor
Yarn,20557525,gapyears
Painters' Colours And Pigments,18276576,noanchor
Watches,17563404,noanchor
"Vegetables, Raw, Unenumerated",17262250,noanchor
Oil — Seed,15560564,gapyears
Silk — Manufactures,15506912,noanchor
Onions — Raw,15346577,gapyears
"Silk Manufactures — Ribbons, Silk Or Satin",15130546,noanchor
"Hides, Not Tanned, Tawed, Curried, Or In Any Way Dressed — Tanned, Not Otherwise Dressed",14946362,noanchor
Wood And Timber — Oak,14607399,gapyears
Linen Yarn,14379683,gapyears
Paper — Unenumerated,14009953,noanchor
Other Than Muslins,13892433,gapyears
"Silk Manufactures — Velvet, Plain Or Figured",13855775,noanchor
"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",13781207,noanchor
Spices — Pepper,13745201,gapyears
Oil — Fish : Train Or Blubber,13729290,gapyears
Fruit — Oranges,13618984,gapyears
"Flowers, Artificial — Raw, Not Otherwise Described",13554849,noanchor
"Skins : Goat, Undressed",12909746,gapyears
Hemp — Rough Or Undressed,12801078,noanchor
Valonia,12717868,gapyears
"Milk, Condensed",12684110,gapyears
"Drugs — Bark, Peruvian",12443774,gapyears
"Wood And Timber — House Frames, Fittings, And Joiners' Work",12369711,noanchor
"Woollen And Worsted Manufactures — Carpets, Not Being Rugs",12081027,noanchor
Paper-Making Materials — Pulp Of Wood,12073331,gapyears
"Wine — Red, In Casks",12072654,noanchor
"Slates — In Blocks, Ingots, Bars, Or Slabs",12062484,noanchor
"Flowers, Artificial",11864916,noanchor
Wool — Other Goats' Wool Or Hair,10979959,nooverlap
"China, Or Porcelain, And Earthenware",10975607,gapyears
Boots And Shoes,10969456,gapyears
Paper — For Printing Or Writing,10928741,noanchor
Paper — Of Other Materials,10565982,noanchor
"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",10544268,gapyears
Caoutchouc — Manufactures Of,10361298,gapyears
"Cordage, Twine, And Cable Yarn",10038667,noanchor
"Thrown, Dyed Or Not Dyed",9673930,gapyears
Meat — Beef,9420092,noanchor
Dye Woods — Logwood,9121043,gapyears
"Zinc — Manufactures, Unenumerated",9098476,gapyears
Kowrie,9031187,gapyears
"Leather — Tanned, Unwrought",8827930,noanchor
"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",8757418,noanchor
Iron — In Bars,8704506,gapyears
"Chemical Manufactures And Products, Unenumerated",8696940,noanchor
"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",8639675,gapyears
Saltpetre,8507377,gapyears
"Wood And Timber — Hewn, Oak",8251759,noanchor
Oil — Coco-Nut,8204058,gapyears
"Yeast, Dried",8155790,gapyears
Gum — Unenumerated,8109280,gapyears
"Hats Or Bonnets — Tawed, Curried, Or In Any Way Dressed, Not Being Varnished, Japanned, Or Enamelled",7863471,noanchor
"Wool — Alpaca, Vicuña, And Llama",7819850,gapyears
Spices — Unenumerated,7806665,gapyears
"Skins — Sheep And Lamb, Undressed",7696671,gapyears
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",7644269,noanchor
Manures — Unenumerated,7610945,gapyears
Sago,7561005,gapyears
Yeast,7335383,gapyears
Bark — Peruvian,7063303,gapyears
"Plants, Shrubs, Trees, And Flower Roots",6817007,noanchor
Almonds,6768178,gapyears
Apples — Raw,6709080,gapyears
Rags And Other Materials For Making Paper — Linen And Cotton,6627064,gapyears
"Seeds — Unenumerated, For Expressing Oil Therefrom",6542163,gapyears
"Animals, Living — Horses",6514473,gapyears
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",6397545,noanchor
Books,6394170,gapyears
Embroidery And Needlework,6235005,noanchor
"Manganese, Ore Of",6196715,gapyears
Leather Manufactures — Unenumerated,6088471,noanchor
"Wood And Timber — Sawn, Unenumerated",6072252,noanchor
"Wood And Timber — Hewn, Unenumerated",5933408,noanchor
Zinc — Articles Imported By Parcel Post,5509711,noanchor
Phosphate Of Lime And Rock,5375181,gapyears
Cotton Manufactures — Hosiery,5361846,noanchor
Ice,5358655,gapyears
Cochineal (Including Granilla And Dust),5321057,gapyears
Sugar — Molasses,5182584,gapyears
Cork — Unmanufactured,5178257,gapyears
"Wool — Goats' Wool, Mohair",5112181,nooverlap
Hair — Unenumerated,4962644,noanchor
Rags And Other Materials For Making Paper — Pulp Of Rags And Wood,4817499,noanchor
Flax — Tow Or Codilla Of,4543305,noanchor
Fruit — Figs,4511950,gapyears
Parcel Post (Goods Free Of Duty),4298039,gapyears
"Meat. Unenumerated — Preserved, Otherwise Than By Salting : Beef",4229664,noanchor
"Glass — Window Glass (Not Being Plate Glass), And German Sheet Glass, Including Shades And Cylinders",4224344,noanchor
Sugar — Glucose,4223573,gapyears
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,4142674,gapyears
"Dye Stuffs, And Substances Used In Tanning — Unenumerated",4033508,noanchor
"Cheese — Chemical Manufactures And Products, Unenumerated",4022651,noanchor
"Pictures, Drawings, And Photographs",4004824,noanchor
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Valonia",4003272,noanchor
Dye Woods — Unenumerated,3908895,gapyears
"Paper — Writing Or Printing, And Envelopes",3865381,noanchor
"Madder, Madder Root, Garancine, And Munjeet",3638655,gapyears
Chemical Manufactures And Pro-Ducts,3611303,noanchor
"Wine — White, In Casks",3601924,noanchor
"Staves, Of All Dimensions",3565733,gapyears
Horns And Hoofs,3468465,gapyears
Cotton Manufactures — Hosiery Of All Sorts,3440214,noanchor
Silk Manufactures — Ribbons:—Other Kinds,3439959,noanchor
Zinc — Ore Of,3350903,gapyears
Opium,3169329,gapyears
"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Other Sorts Unenumerated",3001093,noanchor
Tar,2917953,gapyears
"Cotton — Furs, Unenumerated",2895700,noanchor
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",2854074,gapyears
"Wine — In Bottles, Still",2834838,noanchor
"Skins, Furs, And Pelts — Sheep And Lamb, Tanned, Tawed, Or Dressed",2832793,noanchor
"Stationery, Other Than Paper",2827999,noanchor
Cement,2777049,noanchor
Oil — Spermaceti Or Head Matter,2691561,noanchor
"Cotton Manufactures — Dye Stuffs, Unenumerated",2667318,noanchor
"Paper-Making Materials — Pulp Of Wood, Chemical",2661603,nooverlap
"Cotton — Unenumerated, Other Sorts",2560024,noanchor
Glass — Flint Glass,2541114,noanchor
Silk Manufactures — Of Countries Out Of Europe,2509051,noanchor
"Metal — Unenumerated, Wrought Or Manufactured",2504163,noanchor
Slates — Pepper,2494521,noanchor
"Woollen And Worsted Manufactures — Rugs, Coverlets, Or Wrappers",2409597,noanchor
"Stationery Other Than Paper — Stones, Marble, Slate, And Other Sorts Of Stone, Rough, Hewn, Or Manufactured",2395788,noanchor
"Dye Stuffs, Unenumerated",2352214,noanchor
Hats Or Bonnets — Of Felt,2346884,gapyears
Horns And Hoofs Of Cattle,2316666,gapyears
"Art, Works Of, Other Than Pictures",2303275,noanchor
Spices — Ginger,2293290,gapyears
Bones For Manure (Whether Burnt Or Not),2249150,nooverlap
"Iron — Old, For Re-Manufacture",2185126,noanchor
Myrabolams,2160705,noanchor
Shells Of All Kinds — Dressed,2062108,noanchor
Onions — Opium,2047121,noanchor
Spices — Cinnamon,2026282,gapyears
"Rags, And Other Materials For Making Paper — Other Materials, And Pulp Of Rags",2007752,noanchor
"Stones, Marble, Slate, And Other Sorts Of Stone, Rough, Hewn, Or Manufactured",2004623,noanchor
"Copper — Old, Fit Only To Be Re-Manufactured",2002327,noanchor
"Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Dressed And Undressed",1959029,noanchor
Tin — Ore Of,1915742,gapyears
"Horns — Bars, Unwrought",1910452,noanchor
Preserved Otherwise Than By Salting — Mutton,1898185,noanchor
Feathers — For Beds,1875738,gapyears
"Iron — Old Broken, And Old Cast Iron And Steel",1836258,noanchor
Biscuit And Bread,1820195,noanchor
Corn And Grain — Oatmeal,1796892,noanchor
Candles Of All Sorts,1775993,gapyears
Whalebone (Whalefins),1765707,gapyears
Beads Of All Sorts,1688009,gapyears
"Hemp — Tow, Or Codilla Of",1685628,noanchor
"Quicksilver, (Metallic) — Woollen: Applicable To Other Uses Than Manure, Torn Up Or Not",1615335,noanchor
"Nuts And Kernels — Other Sorts, Unenumerated (Not Used As Fruit)",1582556,noanchor
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Myrobalans",1549854,noanchor
Linen And Jute Manufactures — Thread For Sewing,1518918,noanchor
Paper — Printed Or Coated,1485868,gapyears
"Prints, Engravings, & Photographs",1479184,noanchor
"Unenumerated, For Expressing Oil Therefrom",1419575,gapyears
"Arms, Ammunition, And Military Stores — Muskets, Rifles, And Guns Of Any Other Sort, And Pistols",1352056,noanchor
"China, Or Porcelain, And Earthenware — Manufactured",1330601,noanchor
"Pyrites Of Iron, Copper, Or Sulphur",1295272,oneyear
Tobacco — Other Sorts,1293379,gapyears
Silk — Thrown,1282589,gapyears
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1249925,noanchor
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",1227023,noanchor
"Cocoa — Cocoa Or Chocolate, Ground, Prepared Orin Any Way Manufactured",1218527,noanchor
"Hats Or Bonnets — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax",1145493,noanchor
"Meal, Unenumerated",1112669,gapyears
"Arms, Ammunition, And Military Stores — Cannon And Mortars",1071017,noanchor
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1049026,noanchor
"Skins, Furs, And Pelts — Articles Manufactured Of Skins And Furs",1044191,noanchor
Bark — Extracts Of Bark Or Other Substances To Be Used In Tanning Or Dyeing,1029813,noanchor
"Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated",1013441,noanchor
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Bark",1002550,noanchor
"Gold — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",1001673,noanchor
Madder,992600,gapyears
"Earthenware, Not Being China Or Porcelain Ware",929459,noanchor
"Meat, Unenumerated — Unenumerated, Unwrought",888858,noanchor
"Spirits, British And Irish",880245,noanchor
"Iron — Manufactures, Of Iron And Steel; Sewing Machines",866484,noanchor
"Leather — Varnished, Japanned, Or Enamelled",857971,noanchor
"Fruit — Dried, Not Otherwise Described",828951,noanchor
Paper-Making Materials — Linen And Cotton Rags,809585,gapyears
Fish — Tow Or Codilla Of,802378,noanchor
Coco Nut,790841,oneyear
Nuts And Kernels — Whale Fisheries,782604,noanchor
Pitch,776644,gapyears
Bark,753739,gapyears
Safflower,731248,gapyears
"Metal — Old (Other Than Iron Or Copper), Fit Only For Re-Manufacture",723376,noanchor
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Sumach",710762,noanchor
Spirits — Geneva,708164,gapyears
"Methylic Alcohol, Not Purified So As To Be Potable",699130,gapyears
"Brass, Bronze, And Metal, Bronze And Lacquered",698565,noanchor
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",644446,noanchor
"Plums, French, And Pruneloes",619064,gapyears
Straw — For Agricultural Purposes,606634,noanchor
"Arms, Ammunition, And Military Stores — Rifles",604428,noanchor
"Animals, Living — Bulls, Oxen, Cows, And Calves",593028,nooverlap
"Beads Of All Sorts — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",591901,noanchor
"Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Tanned, Tawed, Or Dressed",568061,noanchor
"Flowers, Artificial — Unenumerated, Dried",567766,noanchor
"Manufactures Of Hair, And Of Goats' Wool",533266,noanchor
Prints And Engravings,514370,noanchor
Spirits — Perfumed Spirits (Including Water Cologne),495546,noanchor
"Paraffine — Perfumery, Unenumerated",474159,noanchor
"Coals, Cinders, &C — Coke And Cinders",450624,noanchor
"Skins, Furs, And Pelts — Unenumerated : Undressed",434912,gapyears
Linen Manufactures — Sail Cloth And Sails,425276,noanchor
"Onions — Raw · Oil, Unenumerated",401982,noanchor
Ivory — Vegetable,398146,noanchor
Conk — Unmanufactured,389725,noanchor
Flint,357844,noanchor
"Coals, Cinders, &C — Fuel, Manufactured",345934,noanchor
"Chicory : Other Vegetable Matter, Applicable To The Uses Of Chicory Or Of Coffee",328987,nooverlap
"Perfumery, Unenumerated",325950,noanchor
"Silk Manufactures — Plush, Used For Making Hats",312646,noanchor
"Skins, Furs, And Pelts — Manufactures Of Skins And Furs",279027,noanchor
"Hemp, Dressed Or Undressed — Tow Or Codilla Of",262968,noanchor
Plated And Gilt Ware,259725,noanchor
Cotton Manufactures — Muslins,251507,noanchor
Sawn — Fir,237414,nooverlap
Candles — Other Kinds,233974,noanchor
"Arms, Ammunition, And Military Stores — Percussion Caps",220706,noanchor
"Metal — Old, Fit Only To Be Re-Manufactured",213323,noanchor
"Skins, Furs, And Pelts — In Any Way Dressed (Not Leather)",212096,gapyears
"Spirits — Not Tested, For Ascertaining The Strength",211079,noanchor
"Naphtha, Wood, Not Potable",209564,noanchor
Hats Or Bonnets — Tow Or Codilla Of,188564,noanchor
Corn And Grain — Maize Or Indian Corn Meal (Including Maizena),182137,noanchor
Toys — Not Containing Spirit,178444,noanchor
"Cannon And Mortars, Mounted Or Accompanied With Carriages",168541,noanchor
"Gunstocks In The Rough, Of Wood",166666,noanchor
Beads Of All Sorts — Bones (Except Whalefins): Applicable To Manufacturing Purposes,157856,noanchor
"Glass — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax",157669,noanchor
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Swords, Cutlasses, Bayonets, And Arms Of Other Sorts, Unenumerated",157395,noanchor
"Specimens, Illustrative Of Naturalscience",152325,noanchor
"Books — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",139578,noanchor
"Fruit — Liqueurs, Cordials, &C., Not Tested, For Ascertaining The Strength",129103,noanchor
"Cotton — Skins, Unenumerated, Un-Dressed",123483,noanchor
"Skins, Furs, And Pelts — Unenumerated: Other Sorts, Tanned, Tawed, Or Dressed",111776,noanchor
"Shot, Large And Small",91790,gapyears
"Cheese — Imitation Cheese (Including Lard Cheese, And All Kinds Of Artificial Or Imitation Cheese)",90876,noanchor
Chloral Hydrate,79024,gapyears
Paper — Pitch,64560,noanchor
"Arms, Ammunition, And Military Stores — Cannon And Mortars, Of Brass, Not Mounted Nor Accompanied With Carriages",61988,noanchor
Husks And Shells,60480,gapyears
"Milk And Cream, Fresh Or Preserved, Other Than Condensed Milk",58713,gapyears
Gutta Percha — Manufactures Of,58060,noanchor
"Sweetened Or Mixed, Tested",57056,nooverlap
"Ammunition — Shot, Large And Small",55022,nooverlap
Silk Manufactures — Other Kinds,53368,noanchor
"Arms, Ammunition, And Military Stores — Cannon And Mortars, Mounted Or Accompanied With Carriages",45544,noanchor
"Soap, Transparent, In The Manufacture Of Which Spirit Has Been Used",30546,gapyears
Lead — Manufactures,29238,noanchor
Cocoa — Paste Or Chocolate,28198,noanchor
"Confectionery, In The Manufacture Of Which Spirit Has Been Used — Confectionery, Containing Not More Than 50 % Chocolate",22626,noanchor
Vegetable,16657,noanchor
"Kiln-Dried, Roasted, Or Ground",12855,overanchor
"Cocoa — Coffee And Chicory, Mixed",10310,noanchor
Chloroform,9528,gapyears
Sulphuric,8136,gapyears
"Wine — White, In Bottles, Sparkling: Other Sorts",6561,noanchor
Ether (Sulphuric),5370,noanchor
"Skins, Furs, And Pelts — Unenumerated : In Any Way Dressed ; Not Leather",3538,noanchor
Butyric,2376,resid
Ether — Acetic,886,gapyears
Liquorice — Malt (Foreign),397,noanchor
"Fruit — Naphtha, Purified, So As To Be Potable",389,noanchor
"Ether — Ethyl, Iodide Of",84,noanchor
Cotton — Raw,1200324459,
Wool — Sheep Or Lambs',1006152313,
Corn And Grain — Wheat,662851703,
Butter,324663078,
Tea,315842479,
Maize Or Indian Corn,296740539,
Corn And Grain — Wheat Meal Or Flour,275426430,
Bacon,245484090,
Sugar — Refined : Total Of,224758506,
Oxen And Bulls,193804627,
"Sugar — Other Sorts, Including Candy",179868263,
Wine — Total Of All Kinds,178176907,
Coffee — Raw,173798834,
Jute,161051830,
Oats,150070653,
Seeds — Flax Or Linseed,148160223,
Barley,141601280,
Cheese,137525996,
"Sugar — Unrefined : Cane, And Other Sorts",125933785,
Oil — Palm,111560277,
Eggs,98654116,
"Wood And Timber — Hewn, Fir",96638876,
Sugar — Unrefined : Beetroot,94159321,
Caoutchouc,90618170,
Hams,85711484,
"Mutton, Fresh",82122080,
Silk — Raw,77642923,
Lead — Pig And Sheet,72466926,
Indigo,70083453,
Lard,69639402,
Tobacco — Unmanufactured,68474291,
Cotton,65842512,
Tallow And Stearine,61160904,
Wet,59970808,
Leather Manufactures — Gloves,49899470,
Woollen Yarn — For Weaving,46668828,
Margarine,45959129,
Sugar — In Lumps And Loaves,43644384,
Regulus And Precipitate,41823898,
Potatoes,40035650,
Fruit — Raisins,39405608,
Fruit — Currants,38775142,
Leather — Dressed,36954330,
"Zinc — Crude, In Cakes",31761465,
Hops,31050503,
"Paper-Making Materials — Esparto, And Other Vegetable Fibres",30357824,
Feathers And Down — Ornamental,26722449,
"Cured Or Salted, Unenumerated",26397323,
"Silk — Knubs Or Husks Of Silk, And Waste",25199705,
Oil — Olive,24606535,
Cutch And Gambier,23570871,
Seeds — Rape,23225324,
"Copper, Ore Of",22712515,
Wood And Timber — Teak,21823271,
Lead — Dressed,21773029,
Toys,21415410,
Rice — Not Rough Nor In The Husk,19831089,
Seeds — Clover And Grass,19794910,
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,19454025,
Manures — Guano,18126318,
Gutta Percha,16789100,
"Bar, Angle, Bolt And Rod",15787295,
Wood And Timber — Staves,15404033,
Spirits — Rum,15066488,
Cows,14938996,
Pork — Salted (Not Hams),13984567,
Paper — Millboard And Pasteboard,13817586,
"Oil — Chemical, Essential, Or Perfumed",13403523,
"Skins, Furs, And Pelts — Seal",13381832,
Oil — Turpentine,13186136,
Rosin,13075551,
"Skins, Furs, And Pelts — Goat, Undressed",12821014,
Fresh (Not Of British Taking) — Herrings,12672523,
Bristles,12614284,
Paraffine,12402185,
"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",12056231,
Manures — Bones For Manure,12045523,
Oil Seed Cake — Linseed Cake,12001640,
Quicksilver,11734623,
"Tin — In Blocks, Ingots, Bars, Or Slabs, And Regulus",11484436,
"Straw Platting, For Making Hats Or Bonnets",10785553,
"Glass — Window And German Sheet, Including Shades And Cylinders",10427643,
"Meat — Salted Or Fresh, Not Otherwise Described",10411979,
"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",9351443,
Pig And Puddled,8538969,
Grapes — Raw,8287404,
"Buttons And Studs, Not Of Metal",7929972,
Confectionery,7901877,
"Ore, Unenumerated",7419489,
Clocks,7329219,
Oatmeal And Groats,7097160,
Rye,6951344,
"Glass — Plate, Whether Silvered Or Not",6829652,
Oil — Castor,6509400,
Hay,6501523,
"Teeth, Elephants', Sea Cow, And Sea Horse",6391732,
Brimstone,6350104,
Beans (Not Kidney Or French),6253596,
"Pictures And Drawings, By Hand",6221581,
Plumbago,6031399,
Lemons,5941718,
Horse,5721034,
Lead — Ore Of,5535068,
Plums — Raw,5386396,
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",5165384,
Woollen Yarn — For Fancy Purposes,5155444,
Gum — Arabic,4926169,
Oil — Animal,4539049,
Oil-Seed Cake — Cotton Cake,4348089,
Sponge,4213825,
Wax,4009758,
Candles — Stearine,3988355,
Calves,3579638,
"Hair — Cow, Ox, Bull, Or Elk",3577481,
Steel — Unwrought,3563465,
Gold — Leaves Of,3538418,
Rabbits,3508692,
Bottles,3436915,
Isinglass,3321943,
China And Porcelain Ware,3138621,
"Sago, And Flour Or Meal Thereof",3111542,
"Metal — Unenumerated, Unwrought",3105942,
Waste Of,2978623,
Galls,2674151,
"Platina, Wrought Or Unwrought",2647980,
Tares And Lentils,2629994,
Alkali,2579263,
Cherries — Raw,2560640,
Part Wrought,2529586,
"Animals, Living — Swine",2478736,
Perfumed,2438260,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",2329509,
"Wool — Other Kinds, And Flocks",2302563,
Pears — Raw,2257186,
Liquorice,2208322,
Hats Or Bonnets — Of Straw,2097102,
Bark — For Tanners' Or Dyers' Use,2072689,
Oleo-Margarine,1690396,
Asphalt Or Bitumen,1657209,
Straw,1519581,
"Garden, Unenumerated",1448115,
Madder — Garancine,1448088,
Cotton Cake,1369604,
"Sauces Or Condiments, Unenumerated",1323398,
Cavendish Or Negrohead,1314301,
Gunpowder,1279494,
"Old, Fit Only To Be Re-Manufactured",1270991,
