commodity,gbp,flags
Bark — Extracts Of Bark Or Other Vegetable Substancesto Be Used In Tanning Or Dyeing,0,noval nounit oneyear noanchor
Linen Manufactures — To Australasia,0,noval nounit oneyear noanchor
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",0,noval nounit oneyear noanchor
Pilchards — Unenumerated,0,noval nounit oneyear noanchor
Glass — Brodery And Needlework,0,noval nounit oneyear noanchor
Plated And Gift Wares,0,noval nounit oneyear noanchor
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",750040033,nounit oneyear noanchor
"Wine, British Made — Rough, Hewn, Sawn, Or Split",50071380,nounit oneyear noanchor
"Cotton — Raw, And Waste Of",5634669,nounit oneyear noanchor
"Cotton Manufactures — Piece Goods, Printed And Dyed",4423963,nounit oneyear noanchor
Woollen And Worsted Manufactures — Worsted Yarn (Combed),3658840,nounit oneyear noanchor
Tea — Red: Total Of,2723762,nounit oneyear noanchor
Tobacco — Red : Total Of,2286259,nounit oneyear noanchor
"Woollen And Worsted Manufactures — Coatings, Duffels, &C. Of Wool Mixed With Other Materials",1863437,nounit oneyear noanchor
Land,1856222,nounit oneyear noanchor
Woollen Yarn — From British North America,1511924,nounit oneyear noanchor
Woollen And Worsted Manufactures — Sorts Unenumerated,1175947,nounit oneyear noanchor
"Petroleum, Lubricating",916008,nounit oneyear noanchor
"Copper — Unwrought, In Ingots, Cakes, Or Slabs",798911,nounit oneyear noanchor
"Painters' Colours And Materials — Writing Or Printing, And Envelopes",695162,nounit oneyear noanchor
"Ore, Unenumerated — Pulp Of Wood—Mechanical",658402,nounit oneyear noanchor
Woollen And Worsted Manufactures — United States,645623,nounit oneyear noanchor
Wood And Timber — Fir : Unenumerated,574224,nounit oneyear noanchor
Oil — Pulp Of Wood—Mechanical,555907,nounit oneyear noanchor
"Stationery, Other Than Paper — Stones, Marble, And Slate; Rough,Hewn Or Manufactured; Other Thanworks Of Art",545580,nounit oneyear noanchor
Salt (Rock And White),507377,nounit oneyear noanchor
Gum — From British India,488512,nounit oneyear noanchor
"Prints, Engravings, Drawings, &C — Rags (Except Woollen) And Othermaterials For Making Paper",466063,nounit oneyear noanchor
"Cordage, Cables, Ropes, And Twine Of Hemp Or Like Material",428458,nounit oneyear noanchor
"Arms, Ammunition, And Military Stores — Muskets",372895,nounit noanchor resid
"Telegraphic Wires And Apparatus — Tin, Unwrought",353486,nounit oneyear noanchor
