sheet,commodity,year,world_rank,n_world_rows,quantity,value,src_row,defect
Tallow (raw),Tallow,1853,1,1,1175754.0,89744.0,99637,"country rows sum to q=2021656 v=89744, World row does not close"
Tallow (raw),Tallow,1855,1,1,952322.0,2647173.0,99660,"country rows sum to q=1229451 v=3362253, World row does not close"
Tallow (raw),Tallow,1858,1,1,1225181.0,3042381.0,99731,"country rows sum to q=1235767 v=3006210, World row does not close"
Tallow (raw),Tallow,1860,1,2,899101.0,,99755,multiple World rows for this commodity-year
Tallow (raw),Tallow,1860,2,2,1430108.0,4014280.0,99759,multiple World rows for this commodity-year
Tallow (raw),Tallow,1860,1,2,899101.0,,99755,"country rows sum to q=1430108 v=4014280, World row does not close"
Tallow (raw),Tallow,1870,1,3,776398.0,0.0,99892,multiple World rows for this commodity-year
Tallow (raw),Tallow,1870,2,3,1523298.0,3292215.0,99895,multiple World rows for this commodity-year
Tallow (raw),Tallow,1870,3,3,505102.0,0.0,99908,multiple World rows for this commodity-year
Tallow (raw),Tallow,1870,1,3,776398.0,0.0,99892,"country rows sum to q=1523298 v=3292215, World row does not close"
Tallow (raw),Tallow,1870,3,3,505102.0,0.0,99908,"country rows sum to q=1523298 v=3292215, World row does not close"
Tallow (raw),Tallow and Stearine,1875,1,4,384455.0,0.0,100063,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1875,2,4,967396.0,2045863.0,100067,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1875,3,4,987396.0,2045863.0,100068,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1875,4,4,399654.0,0.0,100076,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1875,1,4,384455.0,0.0,100063,"country rows sum to q=967396 v=2045863, World row does not close"
Tallow (raw),Tallow and Stearine,1875,3,4,987396.0,2045863.0,100068,"country rows sum to q=967396 v=2045863, World row does not close"
Tallow (raw),Tallow and Stearine,1875,4,4,399654.0,0.0,100076,"country rows sum to q=967396 v=2045863, World row does not close"
Tallow (raw),Tallow and Stearine,1880,1,2,593693.0,0.0,100120,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1880,2,2,1316379.0,2311689.0,100124,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1880,1,2,593693.0,0.0,100120,"country rows sum to q=1316379 v=2308659, World row does not close"
Tallow (raw),Tallow and Stearine,1880,2,2,1316379.0,2311689.0,100124,"country rows sum to q=1316379 v=2308659, World row does not close"
Tallow (raw),Tallow and Stearine,1884,1,1,1114888.0,2106020.0,100181,"country rows sum to q=1114888 v=2111020, World row does not close"
Tallow (raw),Tallow and Stearine,1885,1,2,491488.0,0.0,100198,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1885,2,2,1008960.0,1580015.0,100204,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1885,1,2,491488.0,0.0,100198,"country rows sum to q=1008960 v=1580015, World row does not close"
Tallow (raw),Tallow and Stearine,1890,1,3,663777.0,0.0,100291,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1890,2,3,1383593.0,1725255.0,100295,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1890,3,3,508317.0,0.0,100309,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1890,1,3,663777.0,0.0,100291,"country rows sum to q=1383593 v=1725255, World row does not close"
Tallow (raw),Tallow and Stearine,1890,3,3,508317.0,0.0,100309,"country rows sum to q=1383593 v=1725255, World row does not close"
Tallow (raw),Tallow and Stearine,1892,1,1,1375679.0,1747968.0,100335,"country rows sum to q=1375679 v=1727966, World row does not close"
Tallow (raw),Tallow and Stearine,1894,1,1,1837587.0,2344773.0,100374,"country rows sum to q=1837587 v=1216365, World row does not close"
Tallow (raw),Tallow and Stearine,1895,1,3,1849423.0,0.0,100390,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1895,2,3,2175822.0,2575071.0,100396,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1895,3,3,222959.0,0.0,100413,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1895,1,3,1849423.0,0.0,100390,"country rows sum to q=2175903 v=2575171, World row does not close"
Tallow (raw),Tallow and Stearine,1895,3,3,222959.0,0.0,100413,"country rows sum to q=2175903 v=2575171, World row does not close"
Tallow (raw),Tallow and Stearine,1898,1,1,2621941.0,2066433.0,100462,"country rows sum to q=1921991 v=2124686, World row does not close"
Tallow (raw),Tallow and Stearine,1900,1,2,1336970.0,0.0,100498,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1900,2,2,2177991.0,2835217.0,100504,multiple World rows for this commodity-year
Tallow (raw),Tallow and Stearine,1900,1,2,1336970.0,0.0,100498,"country rows sum to q=2118831 v=2831617, World row does not close"
Tallow (raw),Tallow and Stearine,1900,2,2,2177991.0,2835217.0,100504,"country rows sum to q=2118831 v=2831617, World row does not close"
