commodity,origin_unit,anchor_unit,ratio,verdict
Oil — Olive,Tun,Ton,1.0,"same unit, OCR variant"
Oil — Fish : Train Or Blubber,Tun,Ton,1.0,"same unit, OCR variant"
Manures — Unenumerated,Ton,?,1.0,"same unit, OCR variant"
"Varnished, Japanned Or Enamelled",Lb,Cwt,1.007,"same unit, OCR variant"
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",Cwt,Ton,1.0,"same unit, OCR variant"
Bark — For Tanners' Or Dyers' Use,Cwt,?,1.0,"same unit, OCR variant"
"Methylic Alcohol, Not Purified So As To Be Potable",Gallon,Ton,1.0,"same unit, OCR variant"
Hock,Gallon,?,0.999,"same unit, OCR variant"
Tobacco — Moselle,Gallon,?,0.999,"same unit, OCR variant"
Tobacco — Burgundy,Gallon,?,0.999,"same unit, OCR variant"
Oil,Tun,Ton,42.66,"not comparable, anchor dropped"
Ivory — Vegetable,Cwt,?,21.42,"not comparable, anchor dropped"
"Nuts And Kernels — Chemical, Essential Or Perfumed",Oil,Lb,0,"not comparable, anchor dropped"
Watches,Number,Cwt,0,"not comparable, anchor dropped"
Preserved Otherwise Than By Salting — Mutton,Cwt,?,1.96,"not comparable, anchor dropped"
Dye Woods: Logwood — Unenumerated,Ton,?,0,"not comparable, anchor dropped"
