commodity,year,naive,country,n_gold_rows,n_pipe_rows,gold_q,pipe_q,q_bucket,q_story,gold_v,pipe_v,v_bucket,v_story
Tallow And Stearine,1872,1,Argentina,1,1,227120.0,227120.0,exact01,equal,504052.0,504052.0,exact01,equal
Tallow And Stearine,1872,1,Australia,1,1,505023.0,505023.0,exact01,equal,1041992.0,1041992.0,exact01,equal
Tallow And Stearine,1872,1,Brazil,1,1,11066.0,11066.0,exact01,equal,24149.0,24149.0,exact01,equal
Tallow And Stearine,1872,1,France,1,1,5439.0,5439.0,exact01,equal,12561.0,12561.0,exact01,equal
Tallow And Stearine,1872,1,Netherlands,1,1,3929.0,3929.0,exact01,equal,10854.0,10854.0,exact01,equal
Tallow And Stearine,1872,1,Russia,1,1,129496.0,129496.0,exact01,equal,297147.0,297147.0,exact01,equal
Tallow And Stearine,1872,1,United States Of America,1,1,328061.0,328061.0,exact01,equal,698918.0,698918.0,exact01,equal
Tallow And Stearine,1872,1,Uruguay,1,1,104562.0,104562.0,exact01,equal,228824.0,228824.0,exact01,equal
Tallow And Stearine,1872,1,§RESIDUAL,1,1,13748.0,13748.0,exact01,equal,29667.0,29667.0,exact01,equal
Tallow And Stearine,1873,1,Argentina,1,1,319918.0,319918.0,exact01,equal,651999.0,651999.0,exact01,equal
Tallow And Stearine,1873,1,Australia,1,1,290107.0,290107.0,exact01,equal,580829.0,580829.0,exact01,equal
Tallow And Stearine,1873,1,Brazil,1,1,33134.0,33134.0,exact01,equal,67808.0,67808.0,exact01,equal
Tallow And Stearine,1873,1,Canada,1,1,11957.0,11957.0,exact01,equal,23517.0,23517.0,exact01,equal
Tallow And Stearine,1873,1,France,1,1,7019.0,7019.0,exact01,equal,21331.0,21331.0,exact01,equal
Tallow And Stearine,1873,1,Netherlands,1,1,6779.0,6779.0,exact01,equal,20224.0,20224.0,exact01,equal
Tallow And Stearine,1873,1,Russia,1,1,210009.0,210009.0,exact01,equal,448118.0,448118.0,exact01,equal
Tallow And Stearine,1873,1,United States Of America,1,1,493138.0,493138.0,exact01,equal,1012102.0,1012102.0,exact01,equal
Tallow And Stearine,1873,1,Uruguay,1,1,144860.0,144860.0,exact01,equal,303962.0,303962.0,exact01,equal
Tallow And Stearine,1873,1,§RESIDUAL,1,1,10400.0,10400.0,exact01,equal,22523.0,22523.0,exact01,equal
Tallow And Stearine,1874,1,Argentina,1,1,176506.0,176506.0,exact01,equal,354209.0,354209.0,exact01,equal
Tallow And Stearine,1874,1,Australia,1,1,281771.0,281771.0,exact01,equal,533915.0,533915.0,exact01,equal
Tallow And Stearine,1874,1,Brazil,1,1,8844.0,8844.0,exact01,equal,17077.0,17077.0,exact01,equal
Tallow And Stearine,1874,1,Canada,1,1,6432.0,6432.0,exact01,equal,12644.0,12644.0,exact01,equal
Tallow And Stearine,1874,1,France,1,1,13792.0,13792.0,exact01,equal,29854.0,29854.0,exact01,equal
Tallow And Stearine,1874,1,Netherlands,1,1,2463.0,2463.0,exact01,equal,8407.0,8407.0,exact01,equal
Tallow And Stearine,1874,1,Russia,1,1,81704.0,81704.0,exact01,equal,183183.0,183183.0,exact01,equal
Tallow And Stearine,1874,1,United States Of America,1,1,441207.0,441207.0,exact01,equal,896477.0,896477.0,exact01,equal
Tallow And Stearine,1874,1,Uruguay,1,1,120429.0,120429.0,exact01,equal,244397.0,214397.0,off,one_digit[1] 4->1
Tallow And Stearine,1874,1,§RESIDUAL,1,1,22095.0,22095.0,exact01,equal,51316.0,51316.0,exact01,equal
Tallow And Stearine,1875,1,Argentina,1,1,110978.0,110978.0,exact01,equal,239505.0,239505.0,exact01,equal
Tallow And Stearine,1875,1,Australia,1,1,270498.0,270498.0,exact01,equal,523695.0,523695.0,exact01,equal
Tallow And Stearine,1875,1,Belgium,1,1,11801.0,11801.0,exact01,equal,29524.0,29524.0,exact01,equal
Tallow And Stearine,1875,1,France,1,1,23387.0,23387.0,exact01,equal,58338.0,58338.0,exact01,equal
Tallow And Stearine,1875,1,Netherlands,1,1,3749.0,3749.0,exact01,equal,11248.0,11248.0,exact01,equal
Tallow And Stearine,1875,1,Peru,1,1,10713.0,10713.0,exact01,equal,19600.0,19600.0,exact01,equal
Tallow And Stearine,1875,1,Russia,1,1,50517.0,50517.0,exact01,equal,128668.0,128668.0,exact01,equal
Tallow And Stearine,1875,1,United States Of America,1,1,360754.0,360754.0,exact01,equal,768317.0,768317.0,exact01,equal
Tallow And Stearine,1875,1,Uruguay,1,1,104315.0,104315.0,exact01,equal,222871.0,222871.0,exact01,equal
Tallow And Stearine,1875,1,§RESIDUAL,1,1,20684.0,20684.0,exact01,equal,44097.0,44097.0,exact01,equal
Tallow And Stearine,1876,0,Argentina,1,1,253633.0,253633.0,exact01,equal,540799.0,540799.0,exact01,equal
Tallow And Stearine,1876,0,Australia,1,1,267932.0,267932.0,exact01,equal,546762.0,546762.0,exact01,equal
Tallow And Stearine,1876,0,Belgium,1,1,10600.0,10600.0,exact01,equal,25257.0,25257.0,exact01,equal
Tallow And Stearine,1876,0,Brazil,1,1,7344.0,7344.0,exact01,equal,15730.0,15730.0,exact01,equal
Tallow And Stearine,1876,0,France,1,1,10218.0,10218.0,exact01,equal,26203.0,26203.0,exact01,equal
Tallow And Stearine,1876,0,Mexico,1,1,6040.0,6040.0,exact01,equal,12052.0,12052.0,exact01,equal
Tallow And Stearine,1876,0,Netherlands,1,1,3010.0,3010.0,exact01,equal,8579.0,8579.0,exact01,equal
Tallow And Stearine,1876,0,Russia,1,1,86122.0,86122.0,exact01,equal,198573.0,198573.0,exact01,equal
Tallow And Stearine,1876,0,United States Of America,1,1,576609.0,576609.0,exact01,equal,1244512.0,1244512.0,exact01,equal
Tallow And Stearine,1876,0,United States Of Colombia,1,1,5240.0,5240.0,exact01,equal,10480.0,10480.0,exact01,equal
Tallow And Stearine,1876,0,Uruguay,1,1,93904.0,93904.0,exact01,equal,198391.0,198391.0,exact01,equal
Tallow And Stearine,1876,0,§RESIDUAL,1,1,23793.0,23703.0,within5,one_digit[3] 9->0,47832.0,47832.0,exact01,equal
Tallow And Stearine,1877,1,Argentina,1,1,219195.0,219195.0,exact01,equal,464396.0,464396.0,exact01,equal
Tallow And Stearine,1877,1,Australia,1,1,256636.0,256636.0,exact01,equal,515732.0,515732.0,exact01,equal
Tallow And Stearine,1877,1,Brazil,1,1,6380.0,6380.0,exact01,equal,13480.0,13480.0,exact01,equal
Tallow And Stearine,1877,1,France,1,1,10553.0,10553.0,exact01,equal,27697.0,27697.0,exact01,equal
Tallow And Stearine,1877,1,Netherlands,1,1,2891.0,2891.0,exact01,equal,8607.0,8607.0,exact01,equal
Tallow And Stearine,1877,1,Peru,1,1,5040.0,5040.0,exact01,equal,14250.0,14250.0,exact01,equal
Tallow And Stearine,1877,1,Russia,1,1,196728.0,196728.0,exact01,equal,450626.0,450626.0,exact01,equal
Tallow And Stearine,1877,1,United States Of America,1,1,463786.0,463786.0,exact01,equal,940008.0,940008.0,exact01,equal
Tallow And Stearine,1877,1,Uruguay,1,1,46578.0,46578.0,exact01,equal,99344.0,99344.0,exact01,equal
Tallow And Stearine,1877,1,§RESIDUAL,1,1,16452.0,16452.0,exact01,equal,34339.0,34339.0,exact01,equal
Tallow And Stearine,1878,1,Argentina,1,1,66754.0,66754.0,exact01,equal,134765.0,134765.0,exact01,equal
Tallow And Stearine,1878,1,Australia,1,1,216786.0,216786.0,exact01,equal,419268.0,419268.0,exact01,equal
Tallow And Stearine,1878,1,France,1,1,14810.0,14810.0,exact01,equal,42760.0,42760.0,exact01,equal
Tallow And Stearine,1878,1,Russia,1,1,73646.0,73646.0,exact01,equal,158480.0,158480.0,exact01,equal
Tallow And Stearine,1878,1,United States Of America,1,1,456715.0,456715.0,exact01,equal,873696.0,873696.0,exact01,equal
Tallow And Stearine,1878,1,Uruguay,1,1,63587.0,63587.0,exact01,equal,124054.0,124054.0,exact01,equal
Tallow And Stearine,1878,1,§RESIDUAL,1,1,28905.0,28905.0,exact01,equal,61156.0,61156.0,exact01,equal
Tallow And Stearine,1879,1,Argentina,1,1,59988.0,59988.0,exact01,equal,110042.0,110042.0,exact01,equal
Tallow And Stearine,1879,1,Australia,1,1,360763.0,360763.0,exact01,equal,624246.0,624246.0,exact01,equal
Tallow And Stearine,1879,1,Belgium,1,1,17526.0,17526.0,exact01,equal,24713.0,24713.0,exact01,equal
Tallow And Stearine,1879,1,Brazil,1,1,17321.0,17321.0,exact01,equal,30201.0,30201.0,exact01,equal
Tallow And Stearine,1879,1,Canada,1,1,11966.0,11966.0,exact01,equal,20282.0,20282.0,exact01,equal
Tallow And Stearine,1879,1,France,1,1,48252.0,48252.0,exact01,equal,105743.0,105743.0,exact01,equal
Tallow And Stearine,1879,1,Russia,1,1,48401.0,48401.0,exact01,equal,103629.0,103629.0,exact01,equal
Tallow And Stearine,1879,1,United States Of America,1,1,565881.0,565881.0,exact01,equal,1006710.0,1006710.0,exact01,equal
Tallow And Stearine,1879,1,Uruguay,1,1,22653.0,22653.0,exact01,equal,38675.0,38675.0,exact01,equal
Tallow And Stearine,1879,1,§RESIDUAL,1,1,22156.0,22156.0,exact01,equal,42686.0,42686.0,exact01,equal
Tallow And Stearine,1880,1,Argentina,1,1,103665.0,103665.0,exact01,equal,189619.0,189619.0,exact01,equal
Tallow And Stearine,1880,1,Australia,1,1,492509.0,492509.0,exact01,equal,836939.0,836939.0,exact01,equal
Tallow And Stearine,1880,1,Belgium,1,1,34742.0,31742.0,off,one_digit[1] 4->1,51563.0,51563.0,exact01,equal
Tallow And Stearine,1880,1,Brazil,1,1,5442.0,5442.0,exact01,equal,9010.0,9010.0,exact01,equal
Tallow And Stearine,1880,1,France,1,1,26916.0,26916.0,exact01,equal,58000.0,58000.0,exact01,equal
Tallow And Stearine,1880,1,Russia,1,1,25505.0,25505.0,exact01,equal,51115.0,51115.0,exact01,equal
Tallow And Stearine,1880,1,United States Of America,1,1,515984.0,515984.0,exact01,equal,913179.0,913179.0,exact01,equal
Tallow And Stearine,1880,1,Uruguay,1,1,68676.0,68676.0,exact01,equal,121829.0,121829.0,exact01,equal
Tallow And Stearine,1880,1,§RESIDUAL,1,1,42940.0,42940.0,exact01,equal,77405.0,77405.0,exact01,equal
Tallow And Stearine,1881,0,Argentina,1,1,21899.0,21899.0,exact01,equal,40564.0,40564.0,exact01,equal
