fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1904,statcan_nibi_w2_1904,0,16,SX,"Animals, living, viz.:- Hogs > No. > No. > Horned cattle..... > Great Britain...",left_only,,94,9800,,,,,,,,,,,,,
1904,statcan_nibi_w2_1904,0,23,SX,Sheep ..... > Great Britain...,left_only,,103,3110,,,,,,,,,,,,,
1904,statcan_nibi_w2_1904,0,24,SX,Sheep ..... > Germany....,left_only,,6,120,,,,,,,,,,,,,
1904,statcan_nibi_w2_1904,0,33,SX,"All other, not elsewhere specified..... > Switzerland...",left_only,,,152,,,,,,,,,,,,,
1904,statcan_nibi_w2_1904,2,0,SX,"DUTIABLE GOODS—Con. > Beits of all kinds, N.O.P. . . . > Great Britain . . . . .",joined_weak,position,,8341,,1791,626.85,6295,1468.92,,255,119.0,,8341,2214.77,,0
1904,statcan_nibi_w2_1904,2,1,SX,"Beits of all kinds, N.O.P. . . . > Hong Kong . . . . .",joined_weak,position,,3,,3,1.05,,,,,,,3,1.05,,0
1904,statcan_nibi_w2_1904,2,2,SX,"Beits of all kinds, N.O.P. . . . > Aust. Hungary . . . . .",joined_weak,position,,86,,86,30.1,,,,,,,86,30.1,,0
1904,statcan_nibi_w2_1904,2,3,SX,"Beits of all kinds, N.O.P. . . . > Belgium . . . . .",joined_weak,position,,84,,84,29.4,,,,,,,84,29.4,,0
1904,statcan_nibi_w2_1904,2,4,SX,"Beits of all kinds, N.O.P. . . . > China . . . . .",joined_weak,position,,6,,6,2.1,,,,,,,6,2.1,,0
1904,statcan_nibi_w2_1904,2,5,SX,"Beits of all kinds, N.O.P. . . . > France . . . . .",joined_weak,position,,3653,,3653,1278.55,,,,1313,612.73,,3653,1278.55,,0
1904,statcan_nibi_w2_1904,2,6,SX,"Beits of all kinds, N.O.P. . . . > Germany . . . . .",joined_weak,position,,1399,,5,1.75,,,,,,,1318,614.48,,0
1904,statcan_nibi_w2_1904,2,7,SX,"Beits of all kinds, N.O.P. . . . > Japan . . . . .",joined_weak,position,,6,,6,2.1,,,,,,,6,2.1,,0
1904,statcan_nibi_w2_1904,2,8,SX,"Beits of all kinds, N.O.P. . . . > Switzerland . . . . .",joined_weak,position,,201,,201,70.35,,,,31,14.46,,201,70.35,,0
1904,statcan_nibi_w2_1904,2,9,SX,"Beits of all kinds, N.O.P. . . . > United States . . . . .",joined_weak,position,,56419,,56336,19717.6,,,,,,,56367,19732.06,,0
1904,statcan_nibi_w2_1904,2,10,SX,Total . . . . .,joined_weak,position,,70198,,62171,21759.85,6295,1468.92,,1599,746.19,,70665,23974.96,,0
1904,statcan_nibi_w2_1904,2,11,SX,"Bells and gongs, N.E.S. . . . . > Great Britain . . . . .",joined_weak,position,,1457,,623,186.9,833,166.6,,10,4.0,,1466,357.5,,0
1904,statcan_nibi_w2_1904,2,12,SX,"Bells and gongs, N.E.S. . . . . > Hong Kong . . . . .",joined_weak,position,,13,,13,3.9,,,,,,,13,3.9,,0
1904,statcan_nibi_w2_1904,2,13,SX,"Bells and gongs, N.E.S. . . . . > China . . . . .",joined_weak,position,,17,,17,5.1,,,,,,,17,5.1,,0
1904,statcan_nibi_w2_1904,2,14,SX,"Bells and gongs, N.E.S. . . . . > France . . . . .",joined_weak,position,,213,,213,63.9,,,,,,,213,63.9,,0
1904,statcan_nibi_w2_1904,2,15,SX,"Bells and gongs, N.E.S. . . . . > Germany . . . . .",joined_weak,position,,220,,12,3.6,,,,208,83.2,,220,86.8,,0
1904,statcan_nibi_w2_1904,2,16,SX,"Bells and gongs, N.E.S. . . . . > Holland . . . . .",joined_weak,position,,725,,725,217.5,,,,,,,725,217.5,,0
1904,statcan_nibi_w2_1904,2,17,SX,"Bells and gongs, N.E.S. . . . . > Japan . . . . .",joined_weak,position,,96,,98,29.4,,,,,,,98,29.4,,0
1904,statcan_nibi_w2_1904,2,18,SX,"Bells and gongs, N.E.S. . . . . > Norway-Sweden . . . . .",joined_weak,position,,4,,4,1.2,,,,,,,4,1.2,,0
1904,statcan_nibi_w2_1904,2,19,SX,"Bells and gongs, N.E.S. . . . . > Switzerland . . . . .",joined_weak,position,,21,,21,6.3,,,,1,0.4,,21,6.3,,0
1904,statcan_nibi_w2_1904,2,20,SX,"Bells and gongs, N.E.S. . . . . > United States . . . . .",joined_weak,position,,33214,,33242,9972.6,,,,,,,33243,9973.0,,0
1904,statcan_nibi_w2_1904,2,21,SX,Total . . . . .,joined_weak,position,,35982,,34968,10496.4,833,166.6,,219,87.6,,36020,10744.6,,0
