year,region,reexport_value_est
1892,India & Southeast Asia,317640
1892,China & Japan,74360
1892,North America,29126
1892,Australasia & Pacific,52186
1892,Mediterranean & Levant,21916
1892,South America,12452
1892,Unmapped,25163
1892,Africa,20847
1892,Caribbean & Central America,11500
1893,Europe,648683
1893,India & Southeast Asia,273509
1893,China & Japan,81583
1893,North America,61822
1893,Australasia & Pacific,79484
1893,Mediterranean & Levant,29662
1893,South America,18990
1893,Unmapped,17456
1893,Africa,44976
1893,Caribbean & Central America,10305
1894,Europe,467622
1894,India & Southeast Asia,267747
1894,China & Japan,49420
1894,North America,40290
1894,Australasia & Pacific,41556
1894,Mediterranean & Levant,21200
1894,South America,11794
1894,Unmapped,40
1894,Africa,24582
1894,Caribbean & Central America,9817
1895,Europe,457162
1895,India & Southeast Asia,254457
1895,China & Japan,40825
1895,North America,35297
1895,Australasia & Pacific,35881
1895,Mediterranean & Levant,23053
1895,South America,10166
1895,Unmapped,3503
1895,Africa,23358
1895,Caribbean & Central America,18255
1896,Europe,287413
1896,India & Southeast Asia,204235
1896,China & Japan,36026
1896,North America,45166
1896,Australasia & Pacific,24308
1896,Mediterranean & Levant,20493
1896,South America,9188
1896,Unmapped,141461
1896,Africa,20704
1896,Caribbean & Central America,9258
1897,Europe,270155
1897,India & Southeast Asia,172583
1897,China & Japan,29326
1897,North America,150077
1897,Australasia & Pacific,63976
1897,Mediterranean & Levant,24282
1897,South America,75226
1897,Unmapped,72323
1897,Africa,31025
1897,Caribbean & Central America,35218
1898,Europe,452986
1898,India & Southeast Asia,180320
1898,China & Japan,42119
1898,North America,199071
1898,Australasia & Pacific,104545
1898,Mediterranean & Levant,25506
1898,South America,71312
1898,Unmapped,44820
1898,Africa,49314
1898,Caribbean & Central America,22464
1899,Europe,413999
1899,India & Southeast Asia,188049
1899,China & Japan,59606
1899,North America,224567
1899,Australasia & Pacific,83627
1899,Mediterranean & Levant,35744
1899,South America,65290
1899,Unmapped,87617
1899,Africa,44878
1899,Caribbean & Central America,22191
1900,Europe,472181
1900,India & Southeast Asia,460398
1900,China & Japan,76346
1900,North America,107062
1900,Australasia & Pacific,55811
1900,Mediterranean & Levant,75133
1900,South America,45335
1900,Unmapped,98374
1900,Africa,50164
1900,Caribbean & Central America,14416
