ratio,article,anchor_group,filed_under,unit,year,volume,engine,block_sum,t1,n_rows,seq_start,seq_end
0.99923,wax,,TIN,CWT,1894,as_1894,country_obs_inf,38943,38973,18,3526,3544
0.99992,galls,,FRUIT,CWT,1891,as_1891,country_obs_inf,38514,38517,7,1292,1299
1.01567,wax,,TIN,CWT,1885,as_1885,country_obs_inf,38895,38295,19,3064,3083
1.0,"pictures and drawings, by hand",,PARAFFINE,NUM,1888,as_1888,country_obs_inf,38230,38230,11,2302,2313
0.99947,madder,Dyeing or Tanning Stuffs,LEATHER MANUFACTURES,CWT,1870,tn_1871,country_obs_inf,37800,37820,4,935,938
1.0,galls,,FRUIT,CWT,1898,as_1899,country_obs_inf,36140,36140,7,8203,8242
1.0,liquorice,,LEATHER MANUFACTURES,CWT,1896,as_1896,country_obs_inf,35252,35252,5,2038,2042
0.99486,liquorice,,LEATHER MANUFACTURES,CTS,1888,as_1888,country_obs_inf,34652,34831,6,1729,1734
0.99536,liquorice,,LINEN,CWT,1899,as_1899,country_obs_inf,34539,34700,6,12939,12963
1.0,"gutta percha, raw",,GUM,CWT,1870,tn_1871,country_obs_inf,34514,34514,6,627,632
1.0,ultramarine,,TIN,CWT,1870,tn_1871,country_obs_inf,34427,34427,6,1880,1885
1.0,"pictures and drawings, by hand",,PAPER-MAKING MATERIALS,NUM,1893,as_1893,country_obs_inf,33550,33550,9,2760,2769
1.0,galls,,"FLOWERS, ARTIFICIAL",CWT,1878,as_1878,country_obs_inf,31478,31478,4,708,711
1.0,"pictures and drawings, by hand",,"PERFUMERY, AND ARTICLES USED IN THE MANUFACTURE THEREOF",NUM,1885,as_1885,country_obs_inf,31338,31338,14,2110,2124
1.0,galls,,FRUIT,CWT,1892,as_1892,country_obs_inf,31249,31249,8,1223,1231
0.99808,liquorice,,LEATHER MANUFACTURES,CWT,1895,as_1895,country_obs_inf,31113,31173,5,2026,2030
0.99517,liquorice,,LEATHER,CWT,1900,tn_1901,country_obs_inf,30919,31069,6,11308,11333
1.00161,"pictures and drawings, by hand",,PAPER,NUM,1894,as_1894,country_obs_inf,31062,31012,10,2711,2721
1.00023,wax,,"SKINS, FURS, AND PELTS",CWT,1881,as_1881,country_obs_inf,30963,30956,8,1110,1117
0.99786,liquorice,,LINEN,CWT,1897,as_1899,country_obs_inf,29426,29489,6,12937,12961
1.0,grease,,GLASS,CWT,1870,tn_1871,country_obs_inf,29165,29165,4,586,589
0.99895,valonia,Dyeing or Tanning Stuffs,TURPENTINE (ROUGH),TON,1878,as_1878,country_obs,28647,28677,3,1742,1744
1.0,liquorice,,LINEN,CWT,1881,as_1881,country_obs_inf,28288,28288,4,634,637
1.0,liquorice,,LEATHER MANUFACTURES,CWT,1872,as_1872,country_obs_inf,28000,28000,5,863,867
0.98104,liquorice,,LINEN,CWT,1883,as_1883,country_obs_inf,27430,27960,7,1609,1615
1.0,wax,,TIN,CWT,1887,as_1887,country_obs_inf,26488,26488,18,2908,2926
0.99852,cutch and gambier,Dyeing or Tanning Stuffs,BARK,TON,1885,as_1885,country_obs_inf,26273,26312,7,770,777
1.0,galls,,FRUIT,CWT,1895,as_1899,country_obs_inf,26248,26248,8,8200,8239
1.0,galls,,FRUIT,CWT,1899,as_1899,country_obs_inf,26163,26163,8,8204,8244
1.00004,madder,Dyeing or Tanning Stuffs,LEATHER MANUFACTURES,CWT,1876,as_1876,country_obs_inf,25571,25570,3,910,912
1.0,galls,,FRUIT,CWT,1894,as_1894,country_obs_inf,24761,24761,7,1270,1277
1.0,galls,,FRUIT,CWT,1897,as_1899,country_obs_inf,24453,24453,9,8202,8243
0.99869,valonia,Dyeing or Tanning Stuffs,TURPENTINE (ROUGH),TON,1875,as_1875,country_obs,24402,24434,3,1618,1620
0.99876,gutta percha,,GUM,CWT,1887,as_1887,country_obs_inf,24103,24133,6,1005,1011
1.0,liquorice,,"LEATHER, UNDRESSED",CWT,1885,as_1885,country_obs_inf,23825,23825,6,1591,1597
1.0,galls,,FRUIT,CWT,1896,as_1896,country_obs_inf,23807,23807,7,1358,1365
0.99369,galls,,"FLOWERS, ARTIFICIAL",CWT,1900,tn_1901,country_obs_inf,23611,23761,8,7694,7732
1.0,"manganese, ore of",,MALT,TON,1883,as_1883,country_obs_inf,22362,22362,14,1623,1636
1.0,liquorice,,LEATHER MANUFACTURES,CWT,1876,as_1876,country_obs_inf,21921,21921,4,905,908
1.0,"candles, of all sorts",,BEEF,CWT,1895,as_1899,country_obs_inf,21388,21388,6,1680,1705
1.0,books,,BEEF,CWT,1878,as_1878,country_obs_inf,14755,14755,6,167,172
1.0,"candles, of all sorts",,BEEF,CWT,1898,as_1899,country_obs_inf,13877,13877,6,1683,1708
1.0,plumbago,,"PLANTS, SHRUBS, TREES, AND FLOWER ROOTS",TON,1896,as_1896,country_obs_inf,13643,13643,6,2790,2796
1.0,madder,Dyeing or Tanning Stuffs,LINEN,CWT,1881,as_1881,country_obs_inf,12493,12493,3,639,641
1.0,plumbago,,"PLANTS, SHRUBS, TREES, AND FLOWER ROOTS",TON,1895,as_1895,country_obs_inf,10360,10360,7,2748,2755
1.0,plumbago,,PAPER,TON,1883,as_1883,country_obs_inf,10067,10067,9,2107,2115
1.01277,"coals, culm, cinders, and shale",,CLOCKS,TON,1900,tn_1901,country_obs_inf,10076,9949,9,2362,2404
1.0152,plumbago,,PAPER,TON,1887,as_1887,country_obs_inf,8148,8026,4,2063,2067
1.0,plumbago,,PAPER,TON,1881,as_1881,country_obs_inf,7947,7947,4,873,876
1.0,plumbago,,"PLATINA, WROUGHT AND UNWROUGHT",TON,1880,as_1880,country_obs_inf,7803,7803,4,1136,1139
1.0,isinglass,,IRON,CWT,1881,as_1881,country_obs_inf,7273,7273,7,523,529
1.01584,isinglass,,IRON,CWT,1882,as_1882,country_obs_inf,6478,6377,5,838,842
1.0,plumbago,,"PLATINA, WROUGHT AND UNWROUGHT",TON,1878,as_1878,country_obs_inf,6056,6056,4,1269,1272
1.0,isinglass,,IRON MANUFACTURES,CWT,1886,as_1886,country_obs_inf,5952,5952,7,1458,1465
1.0,horns and hoofs,,HORS,TON,1880,as_1880,country_obs_inf,5763,5763,13,782,794
1.0,plumbago,,"PLATINA, WROUGHT AND UNWROUGHT",TON,1879,as_1879,country_obs_inf,5610,5610,4,989,992
0.99982,horns and hoofs,,HONEY,TON,1887,as_1887,country_obs_inf,5516,5517,14,1215,1229
1.0,isinglass,,IRON AND STEEL,CWT,1879,as_1879,country_obs_inf,5446,5446,6,693,698
1.0,isinglass,,IRON AND STEEL,CWT,1877,as_1877,country_obs_inf,5386,5386,6,789,794
1.0,plumbago,,"PLATINA, WROUGHT AND UNWROUGHT",TON,1877,as_1877,country_obs_inf,5279,5279,4,1160,1163
0.98727,horns and hoofs,,HAIR,TON,1881,as_1881,country_obs_inf,4885,4948,12,492,503
1.0,isinglass,,IRON AND STEEL,CWT,1875,as_1875,country_obs_inf,4504,4504,5,745,749
1.00283,isinglass,,IRON AND STEEL,CWT,1870,tn_1871,country_obs_inf,3540,3530,8,840,847
0.99714,"unenumerated, unwrought",,METAL,TON,1894,as_1898,country_obs_inf,3141,3150,14,13322,13383
1.0,turmeric,,TIN,TON,1870,tn_1871,country_obs_inf,2245,2245,5,1869,1873
1.0,collodion,,COFFEE,GAL,1893,as_1893,country_obs,1942,1942,1,115,115
1.0,collodion,,COFFEE,GAL,1897,as_1898,country_obs,1575,1575,2,26014,26019
1.0,safflower,Dyeing or Tanning Stuffs,"DYE STUFFS, AND SUBSTANCES USED IN TANNING",CWT,1886,as_1886,country_obs_inf,1394,1394,1,797,797
1.0,collodion,,COFFEE,GAL,1894,as_1898,country_obs,1270,1270,3,26011,26025
1.00525,collodion,,COFFEE,GAL,1895,as_1898,country_obs,958,953,2,26012,26017
