pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
114		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	478	2456900	14	0	479	2459593	34	0	20
115		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	480	2464311	12	0	481	2467088	37	0	25
116		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	482	2472685	42	0	483	2476626	40	0	-2
117		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	484	2482786	49	0	485	2487514	48	0	-1
118		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	486	2493847	40	0	487	2498583	39	0	-1
119		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	488	2504275	42	0	489	2508566	43	0	1
120		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	490	2514677	44	0	491	2518988	42	0	-2
121		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	492	2524887	42	0	493	2528712	44	0	2
122		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37		494	2534410	45	0	495	2539043	43	0	-2
123		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	496	2545161	9	0	497	2548200	12	0	3
124		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	500	2562447	15	0	501	2565256	35	0	20
125		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	502	2570610	43	0	503	2574419	38	0	-5
126		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	504	2579856	46	0	505	2584328	45	0	-1
127		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	27	506	2591178	43	0	507	2595761	42	0	-1
128		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	508	2602190	45	0	509	2606811	40	0	-5
129		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37		510	2613024	52	0	511	2618245	43	0	-9
130		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	512	2624620	13	0	513	2628124	13	0	0
131		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	514	2632527	45	0	515	2636505	42	0	-3
132		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	516	2642688	12	0	517	2645903	41	0	29
133		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	518	2651209	14	0	519	2654535	35	0	21
134		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	520	2660153	8	0	521	2663316	40	0	32
135		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	522	2669680	47	0	523	2674144	45	0	-2
136		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	524	2679950	47	0	525	2684636	43	0	-4
137		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	526	2691268	48	0	527	2696314	44	0	-4
138		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	528	2703232	48	0	529	2708304	47	0	-1
139		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	530	2714507	42	0	531	2718723	39	0	-3
140		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	532	2724855	23	0	533	2728533	40	0	17
141		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	534	2734772	41	0	535	2739229	39	0	-2
142		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	536	2744791	48	0	537	2748580	46	0	-2
143		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	538	2754812	49	0	539	2759382	47	0	-2
144		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	540	2766041	49	0	541	2770505	44	0	-5
145		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	542	2777295	10	0	543	2780405	10	0	0
146		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	544	2784012	14	0	545	2787302	38	0	24
147		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	546	2792978	12	0	547	2795886	38	0	26
148		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	548	2801485	40	0	549	2805221	36	0	-4
