rule,parent,unit,year,n_children,parent_t1,children_t1,parent_origins,children_origins,n_children_t1,n_children_origins,anchor_ratio,origin_ratio,cross_ratio,parent_ratio,children_ratio
UNION,Cutch And Gambier,Ton,1888,2,28543,,55781,,0,0,,,,1.9543,
UNION,Cutch And Gambier,Ton,1889,2,25011,,24961,,0,0,,,,0.9980,
UNION,Cutch And Gambier,Ton,1890,2,27445,,54577,,0,0,,,,1.9886,
UNION,Cutch And Gambier,Ton,1891,2,23926,,47345,,0,0,,,,1.9788,
UNION,Cutch And Gambier,Ton,1892,2,25200,,49769,,0,0,,,,1.9750,
UNION,Cutch And Gambier,Ton,1893,2,24913,,49399,,0,0,,,,1.9829,
UNION,Cutch And Gambier,Ton,1894,2,27470,,54430,,0,0,,,,1.9814,
UNION,Cutch And Gambier,Ton,1895,2,25545,,50612,,0,0,,,,1.9813,
UNION,Cutch And Gambier,Ton,1896,2,26844,,53032,,0,0,,,,1.9756,
UNION,Cutch And Gambier,Ton,1897,2,25048,,49581,,0,0,,,,1.9794,
UNION,Cutch And Gambier,Ton,1898,2,19504,,38230,,0,0,,,,1.9601,
UNION,Cutch And Gambier,Ton,1899,2,21526,,42549,,0,0,,,,1.9766,
UNION,Cutch And Gambier,Ton,1900,2,19496,,,,0,0,,,,,
