pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
225	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	712	3360273	34	0	713	3364000	31	0	-3
226	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	714	3369015	44	0	715	3373429	39	0	-5
227	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	716	3379316	55	0	717	3384179	46	0	-9
228	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	718	3390524	46	0	719	3394716	39	0	-7
229	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37		720	3400074	51	0	721	3404507	41	0	-10
230	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	722	3409705	50	0	723	3414312	47	0	-3
231	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	724	3420245	44	0	725	3424505	41	0	-3
232	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	726	3429885	46	0	727	3434564	44	0	-2
233	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	728	3440021	43	0	729	3444256	41	0	-2
234	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	730	3449648	47	0	731	3454028	42	0	-5
235	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	732	3459779	52	0	733	3464472	49	0	-3
236	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	734	3470935	45	0	735	3475325	43	0	-2
237	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	736	3480612	53	0	737	3485724	52	0	-1
238	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	738	3493647	45	0	739	3498056	33	0	-12
239	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	740	3503133	19	0	741	3506008	26	0	7
240	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	742	3509727	43	0	743	3513095	42	0	-1
241	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37		744	3518410	48	0	745	3522309	48	0	0
242	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	746	3528264	50	0	747	3532132	44	0	-6
243	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	748	3537754	14	0	749	3541131	44	0	30
244	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	750	3546593	50	0	751	3551495	48	0	-2
245	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	752	3557543	12	0	753	3560090	42	0	30
246	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	754	3565890	48	0	755	3570165	33	0	-15
247	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	756	3574489	49	0	757	3578879	44	0	-5
248	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	758	3585169	47	0	759	3589573	15	0	-32
249	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	760	3593687	52	0	761	3598718	46	0	-6
250	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	762	3605072	47	0	763	3609166	43	0	-4
251	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	764	3615122	52	0	765	3619890	51	0	-1
252	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	766	3626751	48	0	767	3631639	45	0	-3
253	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37		768	3637828	50	0	769	3642567	45	0	-5
254	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	770	3649285	36	0	771	3652963	35	0	-1
255	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	772	3658191	40	0	773	3661990	36	0	-4
256	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37		774	3667170	28	0	775	3669857	28	0	0
