commodity,year,country,qty,median_other_years,spike_x,cluster_gbp
Cotton — Raw,1885,Java,4032729955,781300,5161.6,20606197541
Cotton — Raw,1896,Australasia,616835464,5735700,107.5,20606197541
Cotton — Raw,1897,Australasia,613145259,5735700,106.9,20606197541
Cotton — Raw,1898,Australasia,579309422,5735700,101.0,20606197541
Cotton — Raw,1872,Bombay And Scindebengal And Burmah,1205174702,403564,2986.3,20606197541
Cotton — Raw,1876,Bombay And Scindebengal And Burmah,7749366134,403564,19202.3,20606197541
