shipped_as_read,total_may_be_the_error,score,column,engine,volume,year,group,article,country,unit,reads,should_be,q_read,v_read,q_fixed,v_fixed,delta,digit,n_members,printed_total,other_engine_agrees,price_improves,price_before,price_after,block_rate,candidates_in_block,unique,strong
False,True,1,v,chandra,as_1897,1895,Horse,,Germany,Hair,8925,8025,0,8925,0,8025,-900,9->0,4,11042,False,False,0,0,0,1,True,False
True,False,1,v,chandra,as_1897,1896,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Ceylon,Tons,2041,2941,257,2041,257,2941,900,0->9,5,6131,False,False,7.94,11.44,6.0,1,True,False
True,True,1,q,chandra,as_1897,1897,SALTPETRE (Nitrate of Potash),Rape,Holland,Quarters,866920,866020,866920,40015,866020,40015,-900,9->0,9,2211010,False,False,0.05,0.05,0.04,1,True,False
False,False,1,q,chandra,as_1897,1897,SALTPETRE (Nitrate of Potash),Rape,Southern Ports,Quarters,6076,6976,6076,9692,6976,9692,900,0->9,13,49219,False,False,1.6,1.39,1.78,1,True,False
False,True,1,v,chandra,as_1897,1896,SLATES,Dutch Possessions in Indian Seas,Other British Possessions,Tons,1032,1932,63,1032,63,1932,900,0->9,3,165958,False,False,16.38,30.67,9.09,1,True,False
False,True,1,v,chandra,as_1897,1894,WHALEBONE,,Denmark,Cwts,4994,4094,528,4994,528,4094,-900,9->0,10,124084,False,False,9.46,7.75,52.86,1,True,False
True,False,1,v,chandra,as_1897,1897,SPIRITS,Brandy,United States of America,Proof Gallons,3073,3973,1122,3073,1122,3973,900,0->9,8,22792,False,False,2.74,3.54,1.08,1,True,False
False,False,1,q,chandra,as_1898,1896,"BOOKS, Bound and Unbound, in- cluding Maps and Charts",,Other Foreign Countries,Cwts,4965,4065,4965,1406,4065,1406,-900,9->0,3,452565,False,False,0.28,0.35,0.28,1,True,False
False,False,1,q,chandra,as_1898,1898,"BOOKS, Bound and Unbound, in- cluding Maps and Charts",,Other Foreign Countries,Cwts,2986,2086,2986,455,2086,455,-900,9->0,3,386647,False,False,0.15,0.22,0.18,1,True,False
False,False,1,q,chandra,as_1898,1896,FISH (including Turtle),"Shell Fish, Oysterst",Holland,,8909,8009,8909,33030,8009,33030,-900,9->0,4,215937,False,False,3.71,4.12,2.12,1,True,False
True,False,1,v,chandra,as_1898,1898,FISH (including Turtle),"Unenumerated, Dried",British East Indies : Straits Settlements,Cwts,99025,99925,11267394,99025,11267394,99925,900,0->9,4,131362,False,False,0.01,0.01,0.01,1,True,False
False,False,1,v,chandra,as_1898,1894,LINEN,Bones for Manure (whether burnt or not),Cape of Good Hope,Tons,14059,14959,1405,14059,1405,14959,900,0->9,3,15260,False,False,10.01,10.65,9.2,1,True,False
False,False,1,v,chandra,as_1898,1896,LINEN,Bones for Manure (whether burnt or not),Australasia,Tons,3092,3992,936,3092,936,3992,900,0->9,7,153371,False,False,3.3,4.26,3.7,1,True,False
