shipped_as_read,total_may_be_the_error,score,column,engine,volume,year,group,article,country,unit,reads,should_be,q_read,v_read,q_fixed,v_fixed,delta,digit,n_members,printed_total,other_engine_agrees,price_improves,price_before,price_after,block_rate,candidates_in_block,unique,strong
True,False,6,q,chandra,as_1890,1890,COTTON,Raw,British East Indies : Bengal,Cwts,103860,193860,103860,392688,193860,392688,90000,0->9,12,2153010,True,True,3.78,2.03,2.65,1,True,True
True,True,6,v,chandra,as_1888,1888,"SKINS, FURS, and PELTS",Unenumerated : Undressed,Australasia,Number,32591,82591,654650,32591,654650,82591,50000,3->8,3,86239,True,True,0.05,0.13,0.1,1,True,True
True,False,6,q,chandra,as_1890,1890,Meal and Flour,Wheat Meal or Flour,Australasia,Cwts,181140,131140,181140,78012,131140,78012,-50000,8->3,3,1064964,True,True,0.43,0.59,0.56,1,True,True
True,False,6,q,chandra,as_1898,1897,METAL,"Leaf, not Gold",Germany,Packets,10407,19407,10407,5836,19407,5836,9000,0->9,3,124027,True,True,0.56,0.3,0.09,1,True,True
True,False,6,q,chandra,as_1896,1896,HEMP,Dressed or Undressed,Hong Kong,Tons,16527,10527,16527,197588,10527,197588,-6000,6->0,7,18027,True,True,11.96,18.77,16.05,1,True,True
True,False,6,q,chandra,as_1891,1891,FEATHERS AND DOWN,Ornamental,Japan,Lbs. ozs,5935,5035,5935,3076,5035,3076,-900,9->0,9,442450,True,True,0.52,0.61,1.1,1,True,True
True,False,6,v,chandra,as_1897,1894,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Canada,Tons,10981,10081,1574,10981,1574,10081,-900,9->0,4,39643,True,True,6.98,6.4,6.54,1,True,True
True,True,6,q,chandra,as_1892,1892,"PICTURES and DRAWINGS, by HAND",,British East Indies,Number,290,230,290,597,230,597,-60,9->3,4,533,True,True,2.06,2.6,24.6,1,True,True
True,False,6,v,chandra,as_1889,1889,SUGAR,Molasses,Belgium,Cwts,2635,2685,7303,2635,7303,2685,50,3->8,4,124918,True,True,0.36,0.37,0.37,1,True,True
True,True,6,v,chandra,as_1898,1894,Cotton,Tares and Lentils,Bengal,Bushels,3538,3588,28433,3538,28433,3588,50,3->8,3,23377,True,True,0.12,0.13,0.21,1,True,True
True,False,6,q,chandra,as_1877,1877,HORNS,Tips and Pieces of Horn and Hoofs,Ceylon,Tons,110,119,110,5637,119,5637,9,0->9,14,6822,True,True,51.25,47.37,31.03,1,True,True
True,False,6,q,chandra,as_1892,1892,Corn and Grain,Rye,British Possessions in South Africa : Cape of Good Hope,Cwts,39,30,39,7,30,7,-9,9->0,3,124375,True,True,0.18,0.23,0.33,1,True,True
True,False,6,v,chandra,as_1897,1895,"CARDS, PLAYING",,France,Dozen Packs,249,240,663,249,663,240,-9,9->0,6,7505,True,True,0.38,0.36,0.3,1,True,True
True,False,6,v,chandra,as_1898,1897,FRUIT,"Plums, Dried or Preserved",Germany,Cwts,32120,32129,23777,32120,23777,32129,9,0->9,5,92048,True,True,1.35,1.35,1.89,1,True,True
True,False,6,v,infinity,as_1898,1894,ZINC,"Crude, in cakes",Canada,Tons,850,859,65,850,65,859,9,0->9,3,5471,True,True,13.08,13.22,13.29,1,True,True
True,False,6,q,chandra,as_1889,1889,COTTON,Waste of (Raw and Yarn),Germany,Lbs,364009,864009,364009,9201,864009,9201,500000,3->8,10,13042785,True,True,0.03,0.01,0.01,7,False,True
True,False,6,q,chandra,as_1889,1889,"SKINS, FURS, and PELTS",Furs,British North America,Number,337596,837596,337596,302674,837596,302674,500000,3->8,6,20208833,True,True,0.9,0.36,0.14,3,False,True
True,False,6,v,chandra,as_1895,1895,LEATHER,Dressed,France,Lbs,333344,833344,5987688,333344,5987688,833344,500000,3->8,9,3156321,True,True,0.06,0.14,0.11,4,False,True
True,False,6,q,chandra,as_1888,1888,"DYE STUFFS, and Substances used in Tanning",Unenumerated,Venezuela,Cwts,92100,32100,92100,15266,32100,15266,-60000,9->3,12,265816,True,True,0.17,0.48,1.61,2,False,True
True,True,6,q,chandra,as_1889,1889,WOOL,Sheep or Lambs',Holland,Lbs,1632685,1682685,1632685,82210,1682685,82210,50000,3->8,23,135371702,True,True,0.05,0.05,0.04,12,False,True
True,True,6,q,chandra,as_1890,1890,DRUGS,Opium,Persia,Lbs,80035,30035,80035,19955,30035,19955,-50000,8->3,7,441245,True,True,0.25,0.66,0.58,2,False,True
True,False,6,q,chandra,as_1899,1899,"ANIMALS, LIVING",Oxen and Bulls,Argentine Republic,Number,55359,85359,55359,1392543,85359,1392543,30000,5->8,3,405931,True,True,25.15,16.31,17.26,2,False,True
True,True,6,v,chandra,as_1885,1885,"POULTRY and GAME (alive or dead), including Rabbits","Other Materials, and Pulp of Rags and of Wood",France,Tons,25579,35579,7728,25579,7728,35579,10000,2->3,11,631199,True,True,3.31,4.6,8.0,8,False,True
True,False,6,v,chandra,as_1874,1874,ISINGLASS,,Straits Settlements,,13416,19416,917,13416,917,19416,6000,3->9,6,83880,True,True,14.63,21.17,20.22,2,False,True
True,True,6,v,chandra,as_1890,1890,"HIDES, Raw, and Pieces thereof",Wet,Russia,Cwts,29351,23351,9810,29351,9810,23351,-6000,9->3,16,1173257,True,True,2.99,2.38,2.39,6,False,True
True,True,6,v,chandra,as_1898,1897,LEAD,"Varnished, Japanned, or Enamelled",Germany,Cwts,60315,66315,2564,60315,2564,66315,6000,0->6,5,217787,True,True,23.52,25.86,26.11,3,False,True
True,True,6,q,chandra,as_1899,1898,CORDAGE,Maize or Indian Corn,Uruguay,Cwts,10830,16830,10830,3123,16830,3123,6000,0->6,10,49196090,True,True,0.29,0.19,0.21,6,False,True
True,False,6,q,chandra,as_1899,1897,PORK,Salted (not hams),Denmark,Cwts,60104,66104,60104,60245,66104,60245,6000,0->6,7,220913,True,True,1.0,0.91,0.93,4,False,True
True,True,6,v,chandra,as_1875,1875,Cotton,,Germany,Quarters,223693,228693,93796,223693,93796,228693,5000,3->8,10,5135182,True,True,2.38,2.44,2.67,6,False,True
True,False,6,q,chandra,as_1885,1885,POTATOES,,France,Cwts,908696,903696,908696,201573,903696,201573,-5000,8->3,6,1237224,True,True,0.22,0.22,0.28,3,False,True
True,False,6,q,chandra,as_1886,1886,Corn and Grain,Beans,France,Cwts,18954,13954,18954,4574,13954,4574,-5000,8->3,10,2777197,True,True,0.24,0.33,0.32,6,False,True
True,False,6,v,chandra,as_1888,1888,HAIR,"Cow, Ox, Bull, or Elk",Russia,Cwts,28532,23532,12108,28532,12108,23532,-5000,8->3,10,137793,True,True,2.36,1.94,1.8,5,False,True
True,True,6,v,chandra,as_1889,1889,"DYE STUFFS, and Substances used in Tanning",Unenumerated,Chile,Cwts,3759,8759,11450,3759,11450,8759,5000,3->8,12,279376,True,True,0.33,0.76,1.48,4,False,True
True,True,6,q,chandra,as_1890,1890,FRUIT,Unenumerated : Dried,France,Cwts,8694,3694,8694,8682,3694,8682,-5000,8->3,8,450407,True,True,1.0,2.35,1.78,3,False,True
True,True,6,v,infinity,as_1890,1890,DYE WOODS,Unenumerated,West Coast of Africa (not particularly designated),,8901,3901,883,8901,883,3901,-5000,8->3,13,103127,True,True,10.08,4.42,5.85,5,False,True
True,True,6,q,chandra,as_1891,1891,"SKINS, FURS, and PELTS",Seal,United States of America,Number,81979,84979,81979,337698,84979,337698,3000,1->4,6,238977,True,True,4.12,3.97,0.76,3,False,True
True,True,6,q,chandra,as_1893,1893,"MEAT, Unenumerated",Preserved : Mutton,Argentine Republic,Cwts,3266,2266,3266,4391,2266,4391,-1000,3->2,3,4334,True,True,1.34,1.94,2.27,2,False,True
True,False,6,v,chandra,as_1885,1885,"Dye Stuffs, and Substances used in Tanning",Shumach,Other Foreign Countries,Tons,4985,4085,284,4985,284,4085,-900,9->0,4,162935,True,True,17.55,14.38,14.86,2,False,True
True,False,6,v,chandra,as_1891,1891,WINE,"White, in Casks",Portugal,Gallons,6964,6064,17172,6964,17172,6064,-900,9->0,10,840343,True,True,0.41,0.35,0.28,2,False,True
True,False,6,q,chandra,as_1891,1891,SUCCADES,,Belgium,Cwts,3967,3067,3967,5174,3067,5174,-900,9->0,11,61422,True,True,1.3,1.69,2.15,3,False,True
True,False,6,v,chandra,as_1894,1894,COTTON,Waste of (Raw and Yarn),Belgium,,2015,2915,366379,2015,366379,2915,900,0->9,6,39550,True,True,0.01,0.01,0.01,3,False,True
True,False,6,q,chandra,as_1898,1897,LEAD,Dressed,United States of America,Cwts,261938,261038,261938,1647091,261038,1647091,-900,9->0,8,350653,True,True,6.29,6.31,16.81,2,False,True
True,False,6,v,chandra,as_1898,1894,WOOLLEN YARN,"For Weaving, Mixed or not with Silk",France,Lbs,331924,331024,2232708,331924,2232708,331024,-900,9->0,5,1511924,True,True,0.15,0.15,0.09,2,False,True
True,False,6,q,chandra,as_1899,1896,WOOD AND TIMBER,"Hewn, Fir",Denmark,Loads,1015,1915,1015,2029,1915,2029,900,0->9,11,2053476,True,True,2.0,1.06,1.5,3,False,True
True,False,6,q,infinity,as_1898,1894,SUGAR,"Sawn or Split, planed or dressed, Fir",France,Loads,1075,1975,1075,4419,1975,4419,900,0->9,11,4079621,True,True,4.11,2.24,2.43,3,False,True
True,False,6,q,chandra,as_1877,1877,"TEETH, Elephants', Sea Cow, and Sea Horse",,Egypt,Cwts,347,947,347,42024,947,42024,600,3->9,13,12462,True,True,121.11,44.38,45.19,7,False,True
True,True,6,q,chandra,as_1887,1887,HIDES. Raw. and Pieces thereof,Dry,Brazil,Cwts,12601,12001,12601,33591,12001,33591,-600,6->0,26,113222,True,True,2.67,2.8,3.03,13,False,True
True,True,6,q,chandra,as_1887,1887,TIN,"In Blocks, Ingots, Bars, or Slabs",Australasia : Queensland,Cwts,3384,3984,3384,20386,3984,20386,600,3->9,7,491786,True,True,6.02,5.12,5.16,4,False,True
True,True,6,q,chandra,as_1888,1888,"MEAT, unenumerated","Preserved, otherwise than by Salting",Holland,Cwts,1041,1641,1041,5683,1641,5683,600,0->6,10,347811,True,True,5.46,3.46,3.1,5,False,True
True,True,6,q,infinity,as_1882,1882,MANURES,Guano,British Possessions in South Africa,Tons,4069,4669,4069,56565,4669,56565,600,0->6,7,44952,True,True,13.9,12.12,8.75,5,False,True
True,True,6,v,chandra,as_1885,1885,"SKINS, FURS, and PELTS",In any way dressed ; not leather,Spain,Number,350,850,5500,350,5500,850,500,3->8,5,4649,True,True,0.06,0.15,0.17,2,False,True
True,False,6,v,chandra,as_1886,1886,LEATHER,"Varnished, Japanned, or Enamelled",Holland,Lbs,40816,40316,135985,40816,135985,40316,-500,8->3,6,112836,True,True,0.3,0.3,0.25,2,False,True
True,False,6,q,chandra,as_1887,1887,LEAD,Ore of,Germany,Tons,893,393,893,2920,393,2920,-500,8->3,12,14856,True,True,3.27,7.43,7.75,4,False,True
True,True,6,v,chandra,as_1887,1887,NUTS AND KERNELS,Commonly used for expressing oil therefrom,Portugal,Tons,7333,7833,771,7333,771,7833,500,3->8,6,284983,True,True,9.51,10.16,12.83,5,False,True
True,True,6,v,chandra,as_1887,1887,"SKINS, FURS, and PELTS",Unenumerated : Undressed,Argentine Republic,Number,312,812,6075,312,6075,812,500,3->8,6,8774,True,True,0.05,0.13,0.19,4,False,True
True,True,6,q,chandra,as_1889,1889,"DYE STUFFS, and Substances used in Tanning",Unenumerated,British East Indies,Cwts,20877,20377,20877,14508,20377,14508,-500,8->3,4,26325,True,True,0.69,0.71,1.48,4,False,True
True,False,6,q,chandra,as_1889,1889,FRUIT,Unenumerated : Dried,Morocco,Cwts,398,898,398,3329,898,3329,500,3->8,10,308193,True,True,8.36,3.71,1.6,3,False,True
True,True,6,v,chandra,as_1889,1889,"SKINS, FURS, and PELTS",Seal,Other British Possessions,Number,3819,3319,2553,3819,2553,3319,-500,8->3,3,109488,True,True,1.5,1.3,0.42,2,False,True
True,True,6,v,chandra,as_1890,1890,CAOUTCHOUQ,Manufactures of,Belgium,Lbs,14866,14366,76975,14866,76975,14366,-500,8->3,6,360113,True,True,0.19,0.19,0.12,2,False,True
True,False,6,v,chandra,as_1890,1890,"HIDES, Raw, and Pieces thereof",Dry,British East Indies : Ceylon,,11856,11356,4370,11856,4370,11356,-500,8->3,11,879698,True,True,2.71,2.6,2.57,5,False,True
True,True,6,v,chandra,as_1894,1894,Corn and Grain,Wheat,Turkey,Cwts,84354,84854,339577,84354,339577,84854,500,3->8,13,15459543,True,True,0.25,0.25,0.27,7,False,True
True,False,6,v,chandra,as_1895,1895,ZINC,Ore of,Belgium,Tons,37345,37845,11395,37345,11395,37845,500,3->8,8,142460,True,True,3.28,3.32,3.84,4,False,True
True,True,6,v,infinity,as_1884,1884,Corn and Grain,Rye,France,,2852,2352,5870,2852,5870,2352,-500,8->3,6,75381,True,True,0.49,0.4,0.37,4,False,True
True,True,6,v,chandra,as_1886,1886,Corn and Grain,Wheat,Roumania,Cwts,99555,99855,290248,99555,290248,99855,300,5->8,17,12492328,True,True,0.34,0.34,0.37,14,False,True
True,True,6,v,chandra,as_1891,1891,DYE WOODS,Logwood,United States of Colombia,Tons,2557,2857,769,2557,769,2857,300,5->8,11,71363,True,True,3.33,3.72,4.91,9,False,True
True,False,6,v,chandra,as_1897,1897,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Cutch and Gambier,China,Tons,2550,2850,208,2550,208,2850,300,5->8,5,9078,True,True,12.26,13.7,17.87,5,False,True
True,True,6,q,chandra,as_1899,1899,"COPPER, ORE OF","Old, fit only to be re-manu- factured",France,Tons,502,802,502,36320,802,36320,300,5->8,15,5870,True,True,72.35,45.29,45.71,13,False,True
True,False,6,v,chandra,as_1899,1898,FRUIT,"Unenumerated, Raw",British West India Islands,Bushels,1512,1812,4167,1512,4167,1812,300,5->8,5,28215,True,True,0.36,0.43,0.52,3,False,True
True,True,6,v,infinity,as_1890,1890,Corn and Grain,Buckwheat,Other Foreign Countries,Cwts,143,443,1404,143,1404,443,300,1->4,3,29894,True,True,0.1,0.32,0.3,3,False,True
True,True,6,v,chandra,as_1890,1890,"COPPER, Ore of","Unwrought, in bars, blocks, slabs, cakes, or ingots",Hong Kong,Tons,102561,102661,1779,102561,1779,102661,100,5->6,5,559396,True,True,57.65,57.71,57.96,3,False,True
True,True,6,v,chandra,as_1890,1890,"SKINS, FURS, and PELTS",Furs,British East Indies,Number,624,524,3094,624,3094,524,-100,6->5,5,534705,True,True,0.2,0.17,0.13,4,False,True
True,False,6,v,chandra,as_1892,1892,"HIDES, Raw, and Pieces thereof",Dry,Australasia : British West India Islands,Cwts,5628,5528,1532,5628,1532,5528,-100,6->5,19,660977,True,True,3.67,3.61,2.08,18,False,True
True,True,6,q,chandra,as_1893,1893,CAOUTCHOUUC,Manufactures of,Germany,Lbs,1687696,1687596,1687696,167389,1687596,167389,-100,6->5,6,3147094,True,True,0.1,0.1,0.13,6,False,True
True,False,6,v,chandra,as_1897,1895,CORDAGE,Peas,Australasia : Victoria,Cwts,43209,43309,153790,43209,153790,43309,100,2->3,8,273081,True,True,0.28,0.28,0.3,6,False,True
True,True,6,v,chandra,as_1899,1898,FRUIT,"Liqueurs, Cordials, &c., not tested, for ascertaining the strength",France,Gallons,13662,13562,6918,13662,6918,13562,-100,6->5,8,20471,True,True,1.97,1.96,1.14,7,False,True
True,False,6,v,chandra,as_1892,1892,"SKINS, FURS, and PELTS","Goat, Undressed",Germany,Number,25597,25507,256939,25597,256939,25507,-90,9->0,19,517223,True,True,0.1,0.1,0.09,4,False,True
True,False,6,q,chandra,as_1898,1895,WOOL,"Goats' wool, or Hair",Natal,Lbs,802000,802090,802000,39725,802090,39725,90,0->9,6,12080144,True,True,0.05,0.05,0.04,6,False,True
True,True,6,v,chandra,as_1899,1897,LIQUORICE,"MANGANESE, Ore of",Canada,Tons,2008,2098,1400,2008,1400,2098,90,0->9,4,51190,True,True,1.43,1.5,2.07,3,False,True
True,False,6,q,infinity,as_1898,1898,WOOLLEN YARN,Cloths,Belgium,,356801,356891,356801,62039,356891,62039,90,0->9,6,6016138,True,True,0.17,0.17,0.17,2,False,True
True,False,6,q,chandra,as_1888,1888,DYE WOODS,Unenumerated,United States of Colombia,Tons,1869,1809,1869,7892,1809,7892,-60,6->0,14,12964,True,True,4.22,4.36,5.13,7,False,True
True,False,6,v,chandra,as_1891,1891,SUCCADES,,Holland,Cwts,4060,4000,1404,4060,1404,4000,-60,6->0,11,156264,True,True,2.89,2.85,2.15,6,False,True
True,False,6,q,chandra,as_1899,1899,METAL,"Unenumerated, Unwrought",Holland,Tons,166,106,166,2901,106,2901,-60,6->0,8,2851,True,True,17.48,27.37,69.65,5,False,True
True,False,6,v,chandra,as_1886,1886,DYE WOODS,Unenumerated,Philippine Islands,Tons,1337,1387,280,1337,280,1387,50,3->8,10,103413,True,True,4.78,4.95,6.1,6,False,True
True,True,6,v,chandra,as_1887,1887,IVORY,East Africa,British Possessions in South Africa,,12237,12287,319,12237,319,12287,50,3->8,8,233065,True,True,38.36,38.52,44.34,5,False,True
True,True,6,v,chandra,as_1888,1888,HORNS and HOOFs,,Other British Possessions,Tons,837,887,38,837,38,887,50,3->8,4,84880,True,True,22.03,23.34,34.84,3,False,True
True,True,6,v,chandra,as_1888,1888,WOOL,Sheep or Lambs',Australasia : Tasmania,,201481,201431,4625800,201481,4625800,201431,-50,8->3,14,22897205,True,True,0.04,0.04,0.04,8,False,True
True,False,6,q,chandra,as_1889,1889,ALKALI,,Belgium,Cwts,7981,7931,7981,1392,7931,1392,-50,8->3,6,36981,True,True,0.17,0.18,0.73,3,False,True
True,True,6,v,chandra,as_1890,1890,Meal and Flour,Wheat Meal or Flour,United States of America : Pacific,Cwts,705636,705686,1296612,705636,1296612,705686,50,3->8,13,8477761,True,True,0.54,0.54,0.58,8,False,True
True,True,6,v,chandra,as_1890,1890,"HIDES, Raw, and Pieces thereof",Dry,France,,7687,7637,2369,7687,2369,7637,-50,8->3,22,311542,True,True,3.24,3.22,2.73,16,False,True
True,True,6,q,chandra,as_1890,1890,MANURES,Guano,Germany,Tons,135,185,135,1300,185,1300,50,3->8,8,26558,True,True,9.63,7.03,6.63,5,False,True
True,True,6,q,chandra,as_1891,1891,WAX,,Morocco,Cwtts,2533,2583,2533,14382,2583,14382,50,3->8,10,27096,True,True,5.68,5.57,5.47,5,False,True
True,False,6,q,chandra,as_1893,1893,WINE,"Red, in Bottles : Still",Italy,Gallons,25584,25534,25584,7161,25534,7161,-50,8->3,7,437777,True,True,0.28,0.28,0.54,5,False,True
True,False,6,q,chandra,as_1893,1893,HAIR,Horse,Denmark,Cwts,236,286,236,1986,286,1986,50,3->8,11,21830,True,True,8.42,6.94,6.87,6,False,True
True,True,6,v,chandra,as_1895,1895,WOOD and TIMBER,Unenumerated,Republic of Colombia,Tons,4936,4986,648,4936,648,4986,50,3->8,16,445796,True,True,7.62,7.69,7.89,9,False,True
True,True,6,q,chandra,as_1898,1897,AMMUNITION,Oxen and Bulls,United States of America,Number,415237,415287,415237,7214736,415287,7214736,50,3->8,3,489181,True,True,17.37,17.37,15.62,2,False,True
True,False,6,v,chandra,as_1898,1894,NUTS AND KERNELS,Castor,France,Cwts,79234,79284,67567,79234,67567,79284,50,3->8,6,119944,True,True,1.17,1.17,1.46,5,False,True
True,True,6,q,chandra,as_1898,1895,PLATE,"Of Silver, gilt or ungilt",Japan,Ozs. troy,1730,1780,1730,722,1780,722,50,3->8,6,59877,True,True,0.42,0.41,0.36,2,False,True
True,False,6,v,chandra,as_1899,1899,WOOD AND TIMBER,"Hewn, Fir",Spain,Loads,24636,24686,31495,24636,31495,24686,50,3->8,11,3120402,True,True,0.78,0.78,1.45,7,False,True
True,True,6,q,chandra,as_1883,1883,ISINGLASS,,British West Indies,,155,185,155,3571,185,3571,30,5->8,11,6146,True,True,23.04,19.3,18.17,9,False,True
True,True,6,v,chandra,as_1885,1885,TIN,"In Blocks, Ingots, Bars, or Slabs",United States of America,Cwts,1917,1947,501,1917,501,1947,30,1->4,7,91171,True,True,3.83,3.89,3.99,3,False,True
True,True,6,q,chandra,as_1888,1888,CAOUTCHouc,East Africa,British East Indies,,21959,21989,21959,196884,21989,196884,30,5->8,9,50174,True,True,8.97,8.95,8.57,7,False,True
True,True,6,v,chandra,as_1892,1892,DYE WOODS,Unenumerated,Nicaragua,Tons,7615,7645,1515,7615,1515,7645,30,1->4,10,46152,True,True,5.03,5.05,5.88,8,False,True
True,True,6,v,chandra,as_1896,1896,"DYE STUFFS (other than Dye Woods), and Substances used in Tanning or Dyeing",Unenumerated,Chile,Cwts,1750,1780,2255,1750,2255,1780,30,5->8,12,197047,True,True,0.78,0.79,1.1,7,False,True
True,True,6,q,chandra,as_1896,1896,FISH (including Turtle),"Cured, Sardines",Italy,Cwts,317,347,317,1848,347,1848,30,1->4,8,174569,True,True,5.83,5.33,2.37,5,False,True
True,True,6,q,chandra,as_1896,1896,IRON,"Iron, Ore of (including Chrome)",Other Foreign Countries,Tons,3654,3684,3654,4297,3684,4297,30,5->8,12,5420175,True,True,1.18,1.17,0.83,9,False,True
True,True,6,q,chandra,as_1896,1896,LEATHER,Dressed,Belgium,Lbs,544251,544281,544251,101311,544281,101311,30,5->8,9,37714834,True,True,0.19,0.19,0.14,8,False,True
True,False,6,v,chandra,as_1897,1896,"CARDS, PLAYING",,France,Dozen Packs,353,383,1781,353,1781,383,30,5->8,7,10505,True,True,0.2,0.22,0.22,3,False,True
True,False,6,v,infinity,as_1875,1875,CHEESE,,Germany,Cwts,21014,21044,7270,21014,7270,21044,30,1->4,7,4709508,True,True,2.89,2.89,2.91,3,False,True
True,True,6,q,infinity,as_1878,1878,"ORE, Unenumerated",,France,Tons,657,687,657,22664,687,22664,30,5->8,8,5983,True,True,34.5,32.99,24.19,4,False,True
True,False,6,v,infinity,as_1884,1884,PAPER,For Printing or Writing,Sweden,Cwts,36652,36682,27747,36652,27747,36682,30,5->8,8,317713,True,True,1.32,1.32,1.62,5,False,True
True,True,6,q,chandra,as_1885,1885,Wood and Timber,Hewn Teak,Madeira,Loads,569,589,569,7766,589,7766,20,6->8,4,5528,True,True,13.65,13.19,13.2,4,False,True
True,True,6,v,chandra,as_1890,1890,COTTON,Yarn,Belgium,Lbs,13869,13889,295490,13869,295490,13889,20,6->8,5,443531,True,True,0.05,0.05,0.05,4,False,True
True,False,6,v,chandra,as_1897,1893,"COPPER, ORE OF",,Australasia : Queensland,Tons,160,169,19,160,19,169,9,0->9,8,196614,True,True,8.42,8.89,12.0,4,False,True
True,False,6,q,chandra,as_1897,1895,ZINC,"Crude, in cakes","Russia, Northern Ports",,100,109,100,1688,109,1688,9,0->9,7,62127,True,True,16.88,15.49,14.25,3,False,True
True,False,6,q,chandra,as_1898,1894,LEAD,Undressed,"Turkey, European",Cwts,10,19,10,106,19,106,9,0->9,18,307336,True,True,10.6,5.58,5.74,3,False,True
True,False,6,v,chandra,as_1899,1895,CORDAGE,Peas,United States of America,Cwts,75050,75059,248726,75050,248726,75059,9,0->9,8,420747,True,True,0.3,0.3,0.31,2,False,True
True,False,6,v,chandra,as_1887,1887,COTTON,Raw,Chile,Cwts,8428,8423,2536,8428,2536,8423,-5,8->3,13,35316557,True,True,3.32,3.32,2.59,7,False,True
True,True,6,v,chandra,as_1888,1888,"RAGS, and other Materials for making Paper","RAGS, WOOLLEN, applicable to other uses than Manure",Holland,Tons,73453,73458,3813,73453,3813,73458,5,3->8,11,650829,True,True,19.26,19.27,19.64,5,False,True
True,True,6,q,chandra,as_1888,1888,SPICES,Ginger,Japan,Cwts,348,343,348,348,343,348,-5,8->3,4,960,True,True,1.0,1.01,1.57,3,False,True
True,False,6,v,chandra,as_1894,1894,Corn and Grain,Buckwheat,Holland,,6018,6013,19161,6018,19161,6013,-5,8->3,4,38539,True,True,0.31,0.31,0.29,3,False,True
True,True,6,q,chandra,as_1896,1896,COTTON,Raw,Bombay,Cwts,347288,347283,347288,639725,347283,639725,-5,8->3,6,595193,True,True,1.84,1.84,1.91,3,False,True
True,True,6,q,chandra,as_1897,1894,"COPPER, ORE OF",,Germany,Tons,63,68,63,665,68,665,5,3->8,14,48316,True,True,10.56,9.78,9.02,10,False,True
True,False,6,v,chandra,as_1898,1894,LEAD,Dressed,Italy,Cwts,22003,22008,2036,22003,2036,22008,5,3->8,9,2953124,True,True,10.81,10.81,15.31,6,False,True
True,False,6,v,chandra,as_1898,1897,NUTS AND KERNELS,Whale Fisheries,Canada,,1463,1468,101,1463,101,1468,5,3->8,4,50023,True,True,14.49,14.53,19.07,2,False,True
True,True,6,q,chandra,as_1898,1898,NUTS AND KERNELS,Animal,Other Foreign Countries,Cwts,53,58,53,97,58,97,5,3->8,6,56628,True,True,1.83,1.67,1.39,3,False,True
True,False,6,v,chandra,as_1899,1899,WOOL,"Goats' wool, Mohair",Other Foreign Countries,,2153,2158,41920,2153,41920,2158,5,3->8,7,911613,True,True,0.05,0.05,0.05,2,False,True
True,False,6,v,chandra,as_1885,1885,FEATHERS,For BEDS,France,Cwts,13525,13528,5707,13525,5707,13528,3,5->8,7,91311,True,True,2.37,2.37,2.93,6,False,True
True,True,6,q,chandra,as_1886,1886,BACON AND HAMS,Bacon,Germany,Cwts,336191,336194,336191,1031746,336194,1031746,3,1->4,6,3066749,True,True,3.07,3.07,2.85,4,False,True
True,False,6,q,chandra,as_1886,1886,LEAD,Pig or Sheet,Greece,Tons,10091,10094,10091,130271,10094,130271,3,1->4,11,105410,True,True,12.91,12.91,12.58,6,False,True
True,False,6,q,chandra,as_1891,1891,Corn and Grain,Maize or Indian Corn,Canada,Cwts,970591,970594,970591,310637,970594,310637,3,1->4,5,1152400,True,True,0.32,0.32,0.29,5,False,True
True,False,6,q,chandra,as_1891,1891,PETROLEUM,,France,,140431,140434,140431,5794,140434,5794,3,1->4,7,130614171,True,True,0.04,0.04,0.04,5,False,True
True,True,6,v,chandra,as_1895,1895,HIDES. Raw. and Pieces thereof,East Coast of Africa,British East Indies : Hong Kong,,1351,1354,698,1351,698,1354,3,1->4,18,808447,True,True,1.94,1.94,2.24,8,False,True
True,True,6,v,chandra,as_1896,1896,"COPPER, Ore of",Part Wrought,Other Foreign Countries,,731,734,16,731,16,734,3,1->4,4,36384,True,True,45.69,45.88,49.99,2,False,True
True,True,6,v,chandra,as_1899,1899,GALLS,,Persia,Cwts,4521,4524,1828,4521,1828,4524,3,1->4,6,68258,True,True,2.47,2.47,2.59,5,False,True
True,True,6,v,infinity,as_1892,1892,FRUIT,Unenumerated : Dried,British East Indies,Cwts,4841,4844,6732,4841,6732,4844,3,1->4,4,8926,True,True,0.72,0.72,1.86,3,False,True
True,True,6,q,infinity,as_1895,1895,FRUIT,Oranges,Turkey,Bushels,199391,199394,199391,72612,199394,72612,3,1->4,10,7697277,True,True,0.36,0.36,0.34,7,False,True
True,True,6,q,chandra,as_1885,1885,METAL,"Unenumerated, Unwrought",Argentine Republic,,16,18,16,15265,18,15265,2,6->8,8,2237,True,True,954.06,848.06,37.09,6,False,True
True,True,6,q,chandra,as_1890,1890,ALKALI,,Other Foreign Countries,Cwts,1866,1868,1866,1801,1868,1801,2,6->8,6,28868,True,True,0.97,0.96,0.94,5,False,True
True,True,5,v,chandra,as_1889,1889,JUTE,Yarn,France,Lbs,39824,89824,2749657,39824,2749657,89824,50000,3->8,4,91888,True,False,0.01,0.03,0.01,1,True,True
True,False,5,q,chandra,as_1890,1890,HATS OR BONNETS,Of Straw,France,Lbs,79412,70412,79412,16302,70412,16302,-9000,9->0,4,466211,True,False,0.21,0.23,0.21,1,True,True
True,False,5,v,chandra,as_1885,1885,"ONIONS, Raw",,Italy,,1097,1997,6931,1097,6931,1997,900,0->9,9,481427,True,False,0.16,0.29,0.16,1,True,True
