merged_token,kept_token,merged_signature,kept_signature
"LEAVES,LUMPE","LOAVES,LUMPS",IN/LEAVES/LUMPE/SUGAR,IN/LOAVES/LUMPS/SUGAR
LIGUORICE,LIQUORICE,LIGUORICE,LIQUORICE
LUCEFER,LUCIFER,LUCEFER/MATCHES/VESTA,LUCIFER/MATCHES/VESTA
MADDOR,MADDER,DYE/GARANCINE/IN/MADDOR/MUNJEET/ROOT/STUFFS/SUBSTANCES/TANNING/USED,DYE/GARANCINE/IN/MADDER/MUNJEET/ROOT/STUFFS/SUBSTANCES/TANNING/USED
MANUFACTURES,MANUFACTURED,MANUFACTURES,MANUFACTURED
MAUGANESE,MANGANESE,MAUGANESE/ORE,MANGANESE/ORE
METHYLC,METHYLIC,ALCOHOL/AS/BE/IRON/MANUFACTURES/METHYLC/NOT/POTABLE/PURIFIED/SO/STEEL/TO,ALCOHOL/AS/BE/IRON/MANUFACTURES/METHYLIC/NOT/POTABLE/PURIFIED/SO/STEEL/TO
MOASSES,MOLASSES,MOASSES/SUGAR/SYRUP/TREACLE,MOLASSES/SUGAR/SYRUP/TREACLE
"MORSC,TEETH","MORSE,TOOTH",COW/ELEPHANTS/HORSE/IVORY/MORSC/SEA/TEETH,COW/ELEPHANTS/HORSE/IVORY/MORSE/SEA/TOOTH
MUNJEET,MUNJECT,GARANCINE/MADDER/MUNJEET/ROOT,GARANCINE/MADDER/MUNJECT/ROOT
MYRABOLANS,MYRABOLAMS,MYRABOLANS,MYRABOLAMS
MYRBOLAMS,MYRABOLAMS,MYRBOLAMS,MYRABOLAMS
MYRRHOLAMS,MYRABOLAMS,MYRRHOLAMS,MYRABOLAMS
NITRO,NITRE,CUBIC/NITRATE/NITRO/SODA,CUBIC/NITRATE/NITRE/SODA
NITRO,NITRE,CUBIC/NITRO,CUBIC/NITRE
ORCHAL,ORCHIL,ORCHAL,ORCHIL
ORNAMENTAL,ORNAMENTED,CUT/FLINT/GLASS/INCLUDINGBOTTLES/ORNAMENTAL/PHIALS/PLAIN,CUT/FLINT/GLASS/INCLUDINGBOTTLES/ORNAMENTED/PHIALS/PLAIN
PARROLEUM,PETROLEUM,PARROLEUM,PETROLEUM
PARTIN,PARTOF,GREATER/IS/MANUFACTURES/ORE/PARTIN/SILK/SILVER/VALUE/WHICH,GREATER/IS/MANUFACTURES/ORE/PARTOF/SILK/SILVER/VALUE/WHICH
PASTEBORD,PASTEBOARD,ALL/EXCEPT/HANGINGS/KINDS/PAPER/PASTEBORD,ALL/EXCEPT/HANGINGS/KINDS/PAPER/PASTEBOARD
PEATS,PELTS,FURS/GOAT/PEATS/SKINS/UNDRESSED,FURS/GOAT/PELTS/SKINS/UNDRESSED
PERFUM,PERFUMED,ARTICLES/EXCEPT/IN/MANUFACTURE/PERFUM/PERFUMERY/SPIRITS/THEREOF/USED,ARTICLES/EXCEPT/IN/MANUFACTURE/PERFUMED/PERFUMERY/SPIRITS/THEREOF/USED
PETROLOUM,PETROLEUM,PETROLOUM,PETROLEUM
PITOH,PITCH,PITOH,PITCH
PITON,PITCH,PITON,PITCH
PLAITING,PLATTING,BONNETS/FOR/HATS/LBS/PLAITING/STRAW,BONNETS/FOR/HATS/LBS/PLATTING/STRAW
PLAITING,PLATTING,BONNETS/FOR/HATS/MAKING/PLAITING/STRAW,BONNETS/FOR/HATS/MAKING/PLATTING/STRAW
PLATINUM,PLATINA,PLATINUM/UNWROUGHT/WROUGHT,PLATINA/UNWROUGHT/WROUGHT
PLATTING,PLAITING,BONNETS/FOR/HATS/PLATTING/STRAW,BONNETS/FOR/HATS/PLAITING/STRAW
PLUMBAGE,PLUMBAGO,PLUMBAGE,PLUMBAGO
POTATUES,POTATOES,ALIVE/DEAD/GAME/INCLUDING/POTATUES/POULTRY/RABBITS,ALIVE/DEAD/GAME/INCLUDING/POTATOES/POULTRY/RABBITS
POTATUES,POTATOES,POTATUES,POTATOES
PRINTES,PRATES,COPPER/ENGRAVINGS/GRAPHS/IRON/PHOTO/PRINTES/PRINTS,COPPER/ENGRAVINGS/GRAPHS/IRON/PHOTO/PRATES/PRINTS
PRUNELLOCES,PRUNELLES,FRENCH/FRUIT/PLUMS/PRUNELLOCES,FRENCH/FRUIT/PLUMS/PRUNELLES
PRUNELLOCS,PRUNELOES,FRENCH/PLUMS/PRUNELLOCS,FRENCH/PLUMS/PRUNELOES
QUIKKSILVER,QUICKSILVER,METALLIC/QUIKKSILVER,METALLIC/QUICKSILVER
RESIN,ROSIN,RESIN,ROSIN
ROBIN,ROSIN,ROBIN,ROSIN
ROSEN,ROSIN,ROSEN,ROSIN
ROSEN,ROSIN,ROSEN/SAFFLOWER,ROSIN/SAFFLOWER
SALTPEETRE,SALTPETRE,SALTPEETRE,SALTPETRE
SAPFLOWER,SAFFLOWER,SAPFLOWER,SAFFLOWER
SAVOES,SAUCES,CONDIMENTS/SAVOES/UNENUMERATED,CONDIMENTS/SAUCES/UNENUMERATED
SCRAPS,STRAPS,BUTTER/BUTTONS/METAL/NOT/SCRAPS,BUTTER/BUTTONS/METAL/NOT/STRAPS
SHELI,SHELL,DYE/LAC/SEED/SHELI/STICK,DYE/LAC/SEED/SHELL/STICK
SHUMACH,SUMACH,BARK/SHUMACH,BARK/SUMACH
SHUMACH,SHEWMACH,SHUMACH,SHEWMACH
SHUMIACH,SHUMACH,DYE/IN/SHUMIACH/STUFFS/SUBSTANCES/TANNING/USED,DYE/IN/SHUMACH/STUFFS/SUBSTANCES/TANNING/USED
SHUMMACH,SHEWMACH,SHUMMACH,SHEWMACH
SLABS,SLATE,ART/HEWN/MANUFACTURED/MARBLE/OTHER/ROUGH/SLABS/STONES/THAN/WORKS,ART/HEWN/MANUFACTURED/MARBLE/OTHER/ROUGH/SLATE/STONES/THAN/WORKS
SPIICES,SPICES,SPIICES/UNENUMERATED,SPICES/UNENUMERATED
SPIRITS,SPRITS,BRITISH/IRISH/SOAP/SPIRITS,BRITISH/IRISH/SOAP/SPRITS
STOPS,SLOPS,APPAREL/STOPS,APPAREL/SLOPS
STRAPS,STRIPS,BUTTONS/METAL/NOT/STRAPS,BUTTONS/METAL/NOT/STRIPS
STRUDS,STRAPS,BUTTER/BUTTONS/METAL/NOT/STRUDS,BUTTER/BUTTONS/METAL/NOT/STRAPS
STRWS,STUDS,BUTTONS/METAL/NOT/STRWS,BUTTONS/METAL/NOT/STUDS
STUNS,STUDS,BUTTONS/METAL/NOT/STUNS,BUTTONS/METAL/NOT/STUDS
STURMUR,SAUMUR,STURMUR,SAUMUR
SUMACH,SHUMACH,COTTON/SUMACH,COTTON/SHUMACH
SUMACH,SHUMACH,DYE/IN/STUFFS/SUBSTANCES/SUMACH/TANNING/USED,DYE/IN/SHUMACH/STUFFS/SUBSTANCES/TANNING/USED
SUMACH,SUNNACH,SUMACH,SUNNACH
TELEGRAPH,TELEGRAPHIC,APPARATUS/KINDS/MANUFACTURED/OTHER/TELEGRAPH/TOBACCO/WIRES,APPARATUS/KINDS/MANUFACTURED/OTHER/TELEGRAPHIC/TOBACCO/WIRES
UNCRESSED,UNDRESSED,FURS/LAMBS/SHEEP/SKINS/UNCRESSED/WITHOUT/WOOL,FURS/LAMBS/SHEEP/SKINS/UNDRESSED/WITHOUT/WOOL
UNENUMERATED,UNEENUMERATED,LEAD/UNENUMERATED,LEAD/UNEENUMERATED
WHALEKINS,WHALEFINS,WHALEKINS,WHALEFINS
WHALEPINS,WHALEFINS,WHALEPINS,WHALEFINS
WHALETINS,WHALEFINS,WHALETINS,WHALEFINS
WOOLS,WOODS,DYE/UNENUMERATED/WOOLS,DYE/UNENUMERATED/WOODS
WOONS,WOODS,DYE/UNENUMERATED/WOONS,DYE/UNENUMERATED/WOODS
YHART,YEAST,DRIED/YHART,DRIED/YEAST
