volume,article_group,article,seq_start,seq_end,obs_source,target_sig,selected,admitted,drop_null_qty,drop_subtotal,drop_bad_subentry,drop_no_sig,drop_consensus_holds_triple,drop_already_added
as_1874,TEA,Unmanufactured,218,238,ch,tobacco+unmanufactured,21,19,1,1,0,0,0,0
as_1878,SPIRITS,Unmanufactured,132,146,ch,tobacco+unmanufactured,15,13,1,1,0,0,0,0
as_1880,COFFEE,"Rum Shrub, Liqueurs and Cordials, of and from       British Possessions",136,149,ch,tobacco+unmanufactured,14,10,2,2,0,0,0,0
as_1883,SPIRITS,Not tested for ascertaining strength,270,296,ch,tobacco+unmanufactured,27,25,1,1,0,0,0,0
as_1884,SPIRITS,Rum,221,241,ch,tobacco+unmanufactured,21,19,1,1,0,0,0,0
as_1887,SPIRITS,Rum,170,188,ch,tobacco+unmanufactured,19,15,1,3,0,0,0,0
as_1888,SPIRITS,Unmanufactured,187,208,ch,tobacco+unmanufactured,22,18,1,3,0,0,0,0
as_1890,SPIRITS,"Unenumerated, not Sweetened or Mixed",229,250,ch,tobacco+unmanufactured,22,18,1,3,0,0,0,0
as_1872,Meal and Flour,"COTTON RAW, and WASTE OF",448,470,ch,cotton+raw,23,22,0,1,0,0,0,0
as_1874,Meal and Flour,Raw,409,432,ch,cotton+raw,24,23,0,1,0,0,0,0
as_1899,CORDAGE,Raw,4285,4429,ch,cotton+raw,145,97,0,15,0,0,33,0
as_1883,COTTON,Raw,665,688,ch,cotton+raw,23,23,0,0,0,0,0,0
as_1882,HORN,,907,915,ch,hops,9,8,0,1,0,0,0,0
as_1884,GLASS,,1013,1018,ch,gall,6,5,0,1,0,0,0,0
as_1892,GLASS,,2030,2042,ch,isinglas,13,11,0,2,0,0,0,0
as_1875,"FLOWERS, ARTIFICIAL","Raw, not otherwise described",564,569,ch,gall,6,4,0,1,0,0,0,1
as_1897,CORDAGE,Oats,3611,3724,ch,corn+grain+oats,114,92,0,15,0,0,7,0
as_1897,CORDAGE,Oats,3725,3784,ch,corn+grain+rye,60,41,0,10,0,0,9,0
as_1899,HATS OR BONNETS,Of Other Materials,9559,9640,ch,hay,82,31,0,15,0,0,36,0
as_1899,HATS OR BONNETS,Of Other Materials,9641,9782,ch,bonnet+hats+material,142,127,0,15,0,0,0,0
as_1899,HATS OR BONNETS,Of Other Materials,9505,9558,ch,bonnet+hats+material,54,5,0,15,0,0,0,34
as_1898,"COPPER, ORE OF",Raw,4337,4482,ch,cotton+raw,146,8,0,15,0,0,52,71
as_1872,"CHICORY, Raw or Kiln-dried",Roasted or Ground,43,63,ch,coffee+raw,21,19,1,1,0,0,0,0
as_1872,"CHICORY, Raw or Kiln-dried",Roasted or Ground,24,35,ch,cocoa,12,11,0,1,0,0,0,0
as_1873,"CARDS, PLAYING",Roasted or Ground,47,68,ch,coffee+raw,22,20,1,1,0,0,0,0
as_1873,"CARDS, PLAYING",Roasted or Ground,26,39,ch,cocoa,14,13,0,1,0,0,0,0
as_1890,CHICORY,"Cocoa or Chocolate, ground, prepared or in any way manufactured",34,61,ch,coffee+raw,28,25,1,2,0,0,0,0
as_1891,COCOA,West Africa,74,95,ch,coffee+raw,22,19,1,2,0,0,0,0
as_1892,COCOA,India,71,97,ch,coffee+raw,27,24,1,2,0,0,0,0
as_1877,WOOD and TIMBER,Sheep and Lambs',1978,2002,ch,lamb+sheep+wool,25,24,0,1,0,0,0,0
as_1891,WOOL,Sheep or Lambs',3794,3794,ch,lamb+sheep+wool,1,1,0,0,0,0,0,0
as_1891,WOOL,Sheep or Lambs',3795,3795,ch,lamb+sheep+wool,1,1,0,0,0,0,0,0
as_1891,WOOL,Sheep or Lambs',3796,3796,ch,lamb+sheep+wool,1,1,0,0,0,0,0,0
as_1891,WOOL,Sheep or Lambs',3797,3797,ch,lamb+sheep+wool,1,1,0,0,0,0,0,0
as_1891,WOOL,Sheep or Lambs',3798,3798,ch,lamb+sheep+wool,1,1,0,0,0,0,0,0
as_1874,TEA,Unmanufactured,264,278,ch,red+wine,15,14,0,1,0,0,0,0
as_1874,TEA,Unmanufactured,279,294,ch,white+wine,16,15,0,1,0,0,0,0
as_1874,TEA,Unmanufactured,295,310,ch,total+wine,16,15,0,1,0,0,0,0
as_1874,WINE,Red,0,0,ch,red+wine,0,0,0,0,0,0,0,0
as_1874,WINE,White,0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1874,WINE,Total of all kinds,0,0,ch,total+wine,0,0,0,0,0,0,0,0
as_1883,SPIRITS,Snuff,352,372,ch,red+wine,21,20,0,1,0,0,0,0
as_1883,SPIRITS,Snuff,373,393,ch,white+wine,21,20,0,1,0,0,0,0
as_1883,SPIRITS,Snuff,394,414,ch,total+wine,21,20,0,1,0,0,0,0
as_1892,WINE,Red: Total of,430,457,ch,red+wine,28,26,0,2,0,0,0,0
as_1892,WINE,White: Total of,458,485,ch,white+wine,28,26,0,2,0,0,0,0
as_1892,WINE,White: Total of all Kinds,486,513,ch,total+wine,28,26,0,2,0,0,0,0
as_1893,Corn and Grain,Oats,607,625,inf,corn+grain+oats,19,3,0,2,0,0,0,14
as_1897,CORDAGE,Wheatmeal or Flour,4098,4198,ch,flour+meal+wheat,101,78,0,15,0,0,8,0
as_1873,LARD,,974,978,ch,lard,4,3,0,1,0,0,0,0
as_1877,LARD,,1041,1044,ch,lard,3,2,0,1,0,0,0,0
as_1897,CORDAGE,Peas,3785,3863,ch,corn+grain+pea,79,58,0,15,0,0,6,0
as_1897,CORDAGE,Beans (not Kidney or French),3864,3969,ch,bean+corn+grain,106,71,0,15,0,0,20,0
as_1897,CORDAGE,Maize or Indian Corn,3970,4053,ch,corn+grain+indian+maize,84,61,0,15,0,0,8,0
as_1897,CORDAGE,Buckwheat,4054,4097,ch,buckwheat+corn+grain,44,24,0,14,0,0,6,0
as_1897,CORDAGE,Oatmeal and Groats,4199,4230,ch,flour+groat+meal+oat,32,20,0,10,0,0,2,0
as_1897,CORDAGE,Maize or Indian Cornmeal,4231,4255,ch,corn+flour+indian+maize+meal,25,14,0,10,0,0,1,0
as_1897,CORDAGE,"Meal, not otherwise enumerated or described",4256,4359,ch,described+enumerated+flour+meal,104,89,0,15,0,0,0,0
as_1899,CORDAGE,Oats,3565,3670,ch,corn+grain+oats,106,44,0,15,0,0,0,47
as_1899,CORDAGE,Rye,3671,3721,ch,corn+grain+rye,51,24,0,15,0,0,0,12
as_1899,CORDAGE,Peas,3722,3808,ch,corn+grain+pea,87,38,0,15,0,0,0,34
as_1899,CORDAGE,Beans (not Kidney or French),3809,3907,ch,bean+corn+grain,99,33,0,15,0,0,0,51
as_1899,CORDAGE,Maize or Indian Corn,3908,3988,ch,corn+grain+indian+maize,81,34,0,15,0,0,0,32
as_1899,CORDAGE,Buckwheat,3989,4031,ch,buckwheat+corn+grain,43,19,0,14,0,0,0,10
