volume	fiscal_year	seq	offset	family	inherited	title	intertext_len	n_header_rows	n_body_rows	cells_hist	span_hist	header	first_row
oocihm.9_08052_1_1	1866-67	0	37417	shipping	0	Tables of the TRADE AND NAVIGATION of the Province, for the Fiscal Year ending 30th June, 1866, as prepared and laid before him by the Commissioner of Customs and Excise.	442	1	33	[[1, 1], [2, 3], [3, 27], [4, 2]]	[[2, 1], [3, 30], [4, 2]]	A R T I C L E S . | Under what Authority.	Specific Duties. | 
oocihm.9_08052_1_1	1866-67	1	40518	shipping	1		0	1	50	[[1, 3], [2, 47]]	[[2, 50]]	A R T I C L E S | Under what Authority.	30 per cent. ad valorem.
oocihm.9_08052_1_1	1866-67	2	44265	shipping	1		0	1	56	[[1, 1], [2, 55]]	[[2, 56]]	A R T I C L E S . | Under what Authority.	20 per cent. ad valorem.—Continued.
oocihm.9_08052_1_1	1866-67	3	48581	shipping	1		0	1	45	[[1, 5], [2, 40]]	[[2, 45]]	ARTICLES | Under what Authority.	20 per cent. ad valorem.—Continued.
oocihm.9_08052_1_1	1866-67	4	52254	shipping	1		0	1	53	[[1, 2], [2, 51]]	[[2, 53]]	A R T I C L E S . | Under what Authority.	10 per cent. ad valorem.—Continued.
oocihm.9_08052_1_1	1866-67	5	56318	shipping	1		0	1	56	[[1, 1], [2, 55]]	[[2, 56]]	A R T I C L E S . | Under what Authority.	Free Goods.—Continued.
oocihm.9_08052_1_1	1866-67	6	60375	shipping	1	Under what Authority. *Free Goods.—Continued.*	60	0	52	[[2, 52]]	[[2, 52]]		Lime—from British North American Provinces only ..... | 22 Vict., Cap. 2.
oocihm.9_08052_1_1	1866-67	7	64596	shipping	1		0	1	11	[[1, 4], [2, 7]]	[[2, 11]]	A R T I C L E S . | Under what Authority.	Free Goods.—Continued.
oocihm.9_08052_1_1	1866-67	8	67062	imports_general	0	No. 1.—GENERAL STATEMENT of Imports, being a detailed Account of the Principal Articles of British and Foreign Merchandise entered for Consumption in CANADA, during the Fiscal Year ending 30th June, 1866, shewing the Quantity and Value of each Article imported at the undermentioned Ports, and indica	652	3	25	[[1, 2], [10, 23]]	[[10, 25]]	PORTS. | Total Quantity | Total Value. | WHISKEY—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gaspé & Outports, F.P.* | Gallons. | $ | $ | $ | $ | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	9	71046	imports_general	1	BENZOLE.	10	1	9	[[8, 9]]	[[8, 9]]	 | Gallons. | $ | $ | $ | $ | $ | $	Branford ..... | 635 | $ 150 |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	10	72256	imports_general	1	REFINED PETROLEUM.	22	1	10	[[8, 10]]	[[8, 10]]	 | Gallons. | $ | $ | $ | $ | $ | $	Branford ..... | 3,646 | $ 1,400 |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	11	73590	imports_general	1	CRUDE PETROLEUM.	20	1	9	[[8, 9]]	[[8, 9]]	 | Gallons. | $ | $ | $ | $ | $ | $	Dalhousie ..... | 13,318 | $ 2,175 |  |  |  |  | 
