commodity,year,gold_total,unit
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1876,358417,Loads
Saltpetre,1896,340750,CWTS (Hundredweights)
Jute,1896,340649,CWTS (Hundredweights)
Wool Other kinds and Flocks,1876,329528,Lbs. (Pounds)
Paper Making Materials Pulp of Wood,1896,327080,Tons
Bark For Tanners and Dyers Use,1881,325442,CWTS (Hundredweights)
Fruit Dried unenumerated,1896,309456,Bushels
Pork Fresh,1896,299411,CWTS (Hundredweights)
Turpentine Oil,1881,285492,CWTS (Hundredweights)
"Glass Manufactures, Unenumerated",1876,257457,CWTS (Hundredweights)
Cotton Seeds,1881,232199,Tons
Linen Waste,1876,227084,Lbs. (Pounds)
Oil Seed Cakes,1881,221100,Tons
Hops,1896,207041,CWTS (Hundredweights)
Ice,1881,201559,Tons
Oil Coco-nut,1876,199431,CWTS (Hundredweights)
Guano,1876,199291,Tons
Caoutchouc,1886,194748,CWTS (Hundredweights)
Fruit Dried unenumerated,1876,191774,Bushels
Oil Seed Cakes,1876,190281,Tons
Cocoa-nut Oil,1891,186469,CWTS (Hundredweights)
Oatmeal,1881,177897,CWTS (Hundredweights)
Oil Castor,1886,175813,CWTS (Hundredweights)
Paper Wood Pulp Board,1896,175352,CWTS (Hundredweights)
Dye Stuffs Unenumerated,1881,159897,CWTS (Hundredweights)
Tar,1881,152337,Barrels
Hops,1881,147559,CWTS (Hundredweights)
Bark Peruvian,1886,145367,CWTS (Hundredweights)
Muskets Rifles and Guns of any other Sort and Pistols,1881,139118,Number
Figs and Fig Cake,1881,138225,CWTS (Hundredweights)
Buckwheat,1896,136556,CWTS (Hundredweights)
Coffee and Chicory mixed,1886,135193,Lbs. (Pounds)
Flint Glass,1876,123840,CWTS (Hundredweights)
Copper Regulus (and Precipitate from 1886 onward),1891,123337,Tons
Meal Unenumerated,1886,120714,CWTS (Hundredweights)
Iron Bars,1881,111511,Tons
Bark Peruvian,1891,106551,CWTS (Hundredweights)
Iron Pig and Puddled,1896,106449,Tons
Iron Bar Angle Bolt and Rod,1886,105466,Tons
Alkali,1876,93045,CWTS (Hundredweights)
Copper Ore,1891,88990,Tons
Indigo,1881,81088,CWTS (Hundredweights)
Oil Castor,1876,79677,CWTS (Hundredweights)
Ginger Spice,1886,77337,CWTS (Hundredweights)
Almonds,1876,77196,CWTS (Hundredweights)
Almonds,1881,76634,CWTS (Hundredweights)
Dye Woods Logwood,1896,76075,Tons
Gum Arabic,1886,75591,CWTS (Hundredweights)
Flint Glass,1881,73908,CWTS (Hundredweights)
