kind,commodity,country,unit,year,value,series_median,ratio_to_median,gbp
spike,Wine — Total Of All Kinds,Canary Islands,?,1896,71327,17730,4.023,317045205
hole,Corn And Grain — Wheat,United States Of America,Cwt,1892,,23859581,,189400601
hole,Wood And Timber,British East Indies,Load,1890,,48772,,108629085
hole,Wood And Timber,British East Indies,Load,1891,,48772,,108629085
hole,Wood And Timber,British East Indies,Load,1892,,48772,,108629085
hole,Corn And Grain — Wheat,United States Of America (Atlantic),Cwt,1892,,15050412,,107083664
hole,Wood And Timber,Burmah,Load,1890,,42661,,98873013
hole,Wood And Timber,Burmah,Load,1891,,42661,,98873013
hole,Wood And Timber,Burmah,Load,1892,,42661,,98873013
dip,"Animals, Living — Oxen And Bulls",United States Of America,Number,1882,47664,262566,0.182,96205111
dip,"Corn, Grain, Meal, And Flour — United States Of America",United States Of America,?,1892,1196678,24460716,0.049,95615684
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1881,,12292220,,94694198
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1882,,12292220,,94694198
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1892,,12292220,,94694198
dip,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1873,1582957,12292220,0.129,94694198
dip,Coffee,Holland,?,1888,4017,18608,0.216,89486473
dip,Coffee,Holland,?,1890,2610,18608,0.14,89486473
hole,Jute,Bengal,Ton,1892,,337483,,78691360
hole,Butter,France,Cwt,1882,,461222,,71362173
hole,Butter,France,Cwt,1883,,461222,,71362173
hole,Butter,France,Cwt,1884,,461222,,71362173
hole,Butter,France,Cwt,1885,,461222,,71362173
dip,Butter,France,Cwt,1874,36307,461222,0.079,71362173
hole,Silk — Raw,China,Lb,1884,,1697135,,68951268
hole,Silk — Raw,China,Lb,1886,,1697135,,68951268
hole,Coffee,Ceylon,Cwt,1879,,504992,,65166356
hole,Coffee,Ceylon,Cwt,1882,,504992,,65166356
hole,Coffee,Ceylon,Cwt,1883,,504992,,65166356
dip,Coffee,Ceylon,Cwt,1874,30195,504992,0.06,65166356
hole,Corn And Grain — Wheat,United States Of America (Pacific),Cwt,1892,,8874679,,64363994
dip,Corn And Grain — Wheat,United States Of America (Pacific),Cwt,1885,77392,8874679,0.009,64363994
hole,Caoutchouc,Brazil,Cwt,1874,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1887,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1889,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1890,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1891,,90990,,60237983
dip,Caoutchouc,Brazil,Cwt,1875,1814,90990,0.02,60237983
hole,Rice,Bengal And Burmah,Cwt,1880,,6676410,,58948040
dip,Tea,Ceylon,Lb,1879,219555,57323010,0.004,58399543
dip,Maize Or Indian Corn,Roumania,Cwt,1880,1761432,7343682,0.24,58182307
hole,"Other Sorts, Including Candy",Germany,Cwt,1886,,5142084,,57665338
hole,"Other Sorts, Including Candy",Germany,Cwt,1892,,5142084,,57665338
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1873,,2556,,54881303
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1877,,2556,,54881303
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1882,,2556,,54881303
dip,"Flax, Dressed Or Undressed",Other Countries,Cwt,1883,483,2556,0.189,54881303
dip,"Corn, Grain, Meal, And Flour — United States Of America",United States Of America (Atlantic),?,1892,653373,14320702,0.046,53906013
spike,Silk — Raw,Japan,?,1886,119846,25690,4.665,52145790
hole,Wool — Sheep Or Lambs',British India Bombay And Scinde,Lb,1877,,22201322,,50631268
hole,Wool — Sheep Or Lambs',British India Bombay And Scinde,Lb,1881,,22201322,,50631268
hole,Tobacco — Unmanufactured,United States Of America,Lb,1876,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1877,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1879,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1881,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1882,,60247715,,48785335
hole,Cheese,Canada,Cwt,1881,,650610,,47651520
hole,Cheese,Canada,Cwt,1885,,650610,,47651520
hole,Corn And Grain — Wheat,Russia (Southern Ports),Cwt,1892,,6797082,,46832948
hole,Oil,Lagos,?,1887,,618596,,46779712
hole,Oil,Lagos,?,1889,,618596,,46779712
hole,Oil,Lagos,?,1890,,618596,,46779712
hole,Barley,Russia,Cwt,1893,,5182076,,44504465
dip,Barley,Russia,Cwt,1888,461712,5182076,0.089,44504465
hole,Spirits — Brandy,France,Proof Gallon,1874,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1876,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1879,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1880,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1881,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1884,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1887,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1888,,2790416,,43068839
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1884,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1888,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1890,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1891,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1892,,969183,,41085323
hole,Tea,China,Lb,1883,,37961745,,39106451
hole,Tea,China,Lb,1884,,37961745,,39106451
hole,Tea,China,Lb,1886,,37961745,,39106451
spike,Tea,China,Lb,1872,160520882,37961745,4.228,39106451
hole,Roasted Or Ground,Belgium,Lb,1875,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1880,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1886,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1887,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1888,,143204,,37440997
hole,"Wood And Timber — Sawn, Fir",Sweden,Load,1892,,1263324,,36254365
hole,"Wood And Timber — Sawn, Fir",Sweden,Load,1893,,1263324,,36254365
hole,"Wood And Timber — Sawn, Fir",Sweden,Load,1895,,1263324,,36254365
hole,Coffee,Brazil,Cwt,1879,,194203,,35523645
hole,Coffee,Brazil,Cwt,1882,,194203,,35523645
hole,Coffee,Brazil,Cwt,1883,,194203,,35523645
dip,Coffee,Brazil,Cwt,1887,1368,194203,0.007,35523645
dip,Coffee,Brazil,Cwt,1889,2190,194203,0.011,35523645
hole,Wine — White,Spain,Gallon,1889,,3801888,,35491382
hole,Wine — White,Spain,Gallon,1890,,3801888,,35491382
hole,Wine — White,Spain,Gallon,1891,,3801888,,35491382
hole,Corn And Grain — Wheat,Russia,Cwt,1892,,5055908,,35423958
dip,Corn And Grain — Wheat,Russia,Cwt,1874,709576,5055908,0.14,35423958
hole,Coffee,Central America,Cwt,1879,,210198,,33551120
hole,Coffee,Central America,Cwt,1882,,210198,,33551120
hole,Coffee,Central America,Cwt,1883,,210198,,33551120
dip,Coffee,Central America,Cwt,1887,49727,210198,0.237,33551120
dip,Coffee,Central America,Cwt,1889,38200,210198,0.182,33551120
hole,Eggs,France,Great Hundred,1873,,3080319,,33422140
dip,Eggs,France,Great Hundred,1874,144256,3080319,0.047,33422140
dip,Eggs,France,Great Hundred,1884,8790,3080319,0.003,33422140
hole,"Wood And Timber — Sawn, Fir",Russia,Load,1892,,1123954,,33366864
hole,"Wood And Timber — Sawn, Fir",Russia,Load,1893,,1123954,,33366864
hole,"Wood And Timber — Sawn, Fir",Russia,Load,1895,,1123954,,33366864
hole,"Mutton, Fresh",Australasia,Cwt,1883,,1025518,,29995450
hole,"Mutton, Fresh",Australasia,Cwt,1885,,1025518,,29995450
hole,"Wood And Timber — Sawn, Fir",Canada,Load,1888,,1018001,,29894343
hole,"Wood And Timber — Sawn, Fir",Canada,Load,1892,,1018001,,29894343
hole,"Wood And Timber — Sawn, Fir",Canada,Load,1893,,1018001,,29894343
hole,"Wood And Timber — Sawn, Fir",Canada,Load,1895,,1018001,,29894343
dip,Tobacco — Unmanufactured,Other Foreign Countries,?,1896,9239,43072,0.215,29290812
hole,Woollen Yarn — For Weaving,Belgium,Lb,1882,,10346584,,28945772
hole,Woollen Yarn — For Weaving,Belgium,Lb,1894,,10346584,,28945772
hole,Woollen Yarn — For Weaving,Belgium,Lb,1895,,10346584,,28945772
hole,"Skins, Furs, And Pelts — Seal",Canada,Number,1876,,329467,,27969831
hole,"Skins, Furs, And Pelts — Seal",Canada,Number,1881,,329467,,27969831
hole,"Skins, Furs, And Pelts — Seal",Canada,Number,1883,,329467,,27969831
hole,"Skins, Furs, And Pelts — Seal",Canada,Number,1886,,329467,,27969831
hole,"Skins, Furs, And Pelts — Seal",Canada,Number,1894,,329467,,27969831
dip,"Skins, Furs, And Pelts — Seal",Canada,Number,1892,74927,329467,0.227,27969831
hole,"Animals, Living — Oxen And Bulls",Canada,Number,1887,,81232,,27853178
hole,Fruit — Currants,Greece,Cwt,1878,,1131637,,27699699
hole,Fruit — Currants,Greece,Cwt,1880,,1131637,,27699699
hole,Fruit — Currants,Greece,Cwt,1881,,1131637,,27699699
hole,Fruit — Currants,Greece,Cwt,1882,,1131637,,27699699
hole,Fruit — Currants,Greece,Cwt,1898,,1131637,,27699699
hole,Butter,Holland,Cwt,1882,,273978,,27474610
hole,Butter,Holland,Cwt,1883,,273978,,27474610
hole,Butter,Holland,Cwt,1884,,273978,,27474610
hole,Butter,Holland,Cwt,1885,,273978,,27474610
hole,Eggs,Germany,Great Hundred,1880,,2714484,,26399436
hole,Eggs,Germany,Great Hundred,1882,,2714484,,26399436
hole,Eggs,Germany,Great Hundred,1884,,2714484,,26399436
hole,Eggs,Germany,Great Hundred,1897,,2714484,,26399436
dip,Eggs,Germany,Great Hundred,1875,548120,2714484,0.202,26399436
dip,Iron — Ore Of,Spain,Ton,1874,511963,2922519,0.175,26326281
hole,Tea,Bombay And Scinde,?,1880,,209532,,26162061
dip,Tea,Bombay And Scinde,?,1877,50314,209532,0.24,26162061
spike,Tea,Bombay And Scinde,?,1879,141644277,209532,676.003,26162061
spike,Tea,Bombay And Scinde,?,1881,162238139,209532,774.288,26162061
hole,Cotton — Flax Or Linseed,Russia,Quarter,1873,,525532,,25357297
hole,Cotton — Flax Or Linseed,Russia,Quarter,1875,,525532,,25357297
dip,Caoutchouc,Germany,?,1875,1686,16115,0.105,24920450
dip,Caoutchouc,Germany,?,1877,2972,16115,0.184,24920450
hole,"Sugar — Refined, Or Sugar Equal In Quality Thereto, And Sugar Candy",France,Cwt,1874,,1624605,,24478504
hole,Coffee,Madras,Cwt,1879,,156703,,24474650
hole,Coffee,Madras,Cwt,1882,,156703,,24474650
hole,Coffee,Madras,Cwt,1883,,156703,,24474650
hole,Roasted Or Ground,Channel Islands,Lb,1880,,72259,,24327413
hole,Roasted Or Ground,Channel Islands,Lb,1886,,72259,,24327413
hole,Roasted Or Ground,Channel Islands,Lb,1887,,72259,,24327413
hole,Roasted Or Ground,Channel Islands,Lb,1888,,72259,,24327413
dip,Roasted Or Ground,Channel Islands,Lb,1878,6335,72259,0.088,24327413
dip,Roasted Or Ground,Channel Islands,Lb,1898,112,72259,0.002,24327413
hole,"Coals, Cinders, &C — Coals And Culm",United States Of America,Ton,1889,,3297,,24308483
dip,"Coals, Cinders, &C — Coals And Culm",United States Of America,Ton,1888,429,3297,0.13,24308483
dip,Perfumed,France,Gallon,1882,874,19578,0.045,23202881
hole,"Mutton, Fresh",New Zealand,Cwt,1885,,896126,,23112652
dip,Oil Seed Cake,United States Of America,Ton,1883,1666,178876,0.009,22417167
hole,"Iron — Manufactures Of Iron Or Steel, Unenumerated",Other Countries,Cwt,1876,,31887,,22299859
hole,"Tin — In Blocks, Ingots, Bars, Or Slabs",Straits Settlements,Cwt,1891,,369936,,21510427
dip,Perfumed,Holland,Gallon,1882,1480,20768,0.071,21397988
dip,Perfumed,Holland,Gallon,1890,2539,20768,0.122,21397988
hole,Wine — Red,France,Gallon,1889,,4184096,,21246416
hole,Wine — Red,France,Gallon,1890,,4184096,,21246416
hole,Wine — Red,France,Gallon,1891,,4184096,,21246416
hole,Rice,British East Indies,Cwt,1888,,3966766,,21237582
hole,Rice,British East Indies,Cwt,1893,,3966766,,21237582
dip,Rice,British East Indies,Cwt,1891,2682,3966766,0.001,21237582
hole,Spirits — Rum,British Guiana,Proof Gallon,1874,,2883468,,20880248
hole,Spirits — Rum,British Guiana,Proof Gallon,1876,,2883468,,20880248
hole,Spirits — Rum,British Guiana,Proof Gallon,1879,,2883468,,20880248
hole,Spirits — Rum,British Guiana,Proof Gallon,1880,,2883468,,20880248
hole,Spirits — Rum,British Guiana,Proof Gallon,1881,,2883468,,20880248
hole,Leather Manufactures — Gloves,France,Dozen Pairs,1882,,751806,,20802056
hole,Leather Manufactures — Gloves,France,Dozen Pairs,1883,,751806,,20802056
hole,Leather Manufactures — Gloves,France,Dozen Pairs,1884,,751806,,20802056
hole,Leather Manufactures — Gloves,France,Dozen Pairs,1885,,751806,,20802056
dip,Leather Manufactures — Gloves,France,Dozen Pairs,1874,149744,751806,0.199,20802056
dip,Barley,Roumania,Cwt,1893,44750,2377519,0.019,20297846
hole,"Wood And Timber — Hewn, Fir",France,Load,1888,,335801,,19733119
hole,"Other Sorts, Including Candy",France,Cwt,1886,,1630886,,19620522
hole,"Other Sorts, Including Candy",France,Cwt,1892,,1630886,,19620522
dip,Coffee,Italy,?,1888,875,38246,0.023,19355500
hole,"Wood And Timber — Hewn, Teak",British India Bengal And Burmah,Load,1877,,34416,,19315938
hole,"Wood And Timber — Hewn, Teak",British India Bengal And Burmah,Load,1880,,34416,,19315938
hole,"Wood And Timber — Hewn, Teak",British India Bengal And Burmah,Load,1881,,34416,,19315938
dip,Sugar — Unrefined Of All Kinds,Germany,Cwt,1875,568208,2436380,0.233,19137105
hole,Rice,Burmah,Cwt,1888,,2776163,,18829018
hole,Rice,Burmah,Cwt,1893,,2776163,,18829018
hole,Fruit — Oranges And Lemons,Spain,Bushel,1875,,2765254,,18657741
hole,Fruit — Oranges And Lemons,Spain,Bushel,1887,,2765254,,18657741
hole,Eggs,Belgium,Great Hundred,1880,,1872738,,18223373
hole,Eggs,Belgium,Great Hundred,1882,,1872738,,18223373
hole,Eggs,Belgium,Great Hundred,1884,,1872738,,18223373
hole,Eggs,Belgium,Great Hundred,1897,,1872738,,18223373
dip,Eggs,Belgium,Great Hundred,1875,235268,1872738,0.126,18223373
dip,Eggs,Belgium,Great Hundred,1878,372897,1872738,0.199,18223373
hole,Leather — Dressed,United States Of America,Lb,1887,,19657930,,17252259
hole,Butter,Germany,Cwt,1882,,113756,,17157738
hole,Butter,Germany,Cwt,1883,,113756,,17157738
hole,Butter,Germany,Cwt,1884,,113756,,17157738
hole,Butter,Germany,Cwt,1885,,113756,,17157738
hole,Spirits — Rum,British West India Islands,Proof Gallon,1874,,2313665,,16858301
hole,Spirits — Rum,British West India Islands,Proof Gallon,1876,,2313665,,16858301
hole,Spirits — Rum,British West India Islands,Proof Gallon,1879,,2313665,,16858301
hole,Spirits — Rum,British West India Islands,Proof Gallon,1880,,2313665,,16858301
hole,Spirits — Rum,British West India Islands,Proof Gallon,1881,,2313665,,16858301
dip,"Cordage — Cables (Not Of Iron), Twine, And Cable Yarn",Russia,?,1899,2517900,10482273,0.24,16420001
dip,"Cordage — Cables (Not Of Iron), Twine, And Cable Yarn",Russia (Southern Ports),?,1899,2206400,10480499,0.211,16416961
hole,Wine — Red,Portugal,Gallon,1889,,3167594,,16402838
hole,Wine — Red,Portugal,Gallon,1890,,3167594,,16402838
hole,Wine — Red,Portugal,Gallon,1891,,3167594,,16402838
dip,"Cotton Manufactures — Piece Goods, Plain",Japan,?,1877,4190800,213731100,0.02,16380180
dip,"Cotton Manufactures — Piece Goods, Plain",Japan,?,1884,31532600,213731100,0.148,16380180
hole,Wood And Timber,Siam,Load,1890,,7199,,16307278
hole,Wood And Timber,Siam,Load,1891,,7199,,16307278
hole,Wood And Timber,Siam,Load,1892,,7199,,16307278
dip,Wood And Timber,Siam,Load,1888,96,7199,0.013,16307278
dip,Wood And Timber,Siam,Load,1893,857,7199,0.119,16307278
hole,Fruit — Raisins,Spain,Cwt,1878,,313010,,16158286
hole,Fruit — Raisins,Spain,Cwt,1880,,313010,,16158286
hole,Fruit — Raisins,Spain,Cwt,1881,,313010,,16158286
hole,Fruit — Raisins,Spain,Cwt,1882,,313010,,16158286
hole,Fruit — Raisins,Spain,Cwt,1893,,313010,,16158286
dip,"Animals, Living — Oxen And Bulls",Denmark,Number,1892,901,30211,0.03,15867214
hole,"Sugar — Unrefined, Total",Australasia,Cwt,1888,,1475800,,15853994
hole,"Sugar — Unrefined, Total",Australasia,Cwt,1890,,1475800,,15853994
hole,"Sugar — Unrefined, Total",Australasia,Cwt,1891,,1475800,,15853994
dip,"Sugar — Unrefined, Total",Australasia,Cwt,1892,45337,1475800,0.031,15853994
dip,"Sugar — Unrefined, Total",Australasia,Cwt,1894,28581,1475800,0.019,15853994
hole,Oil — Palm,Germany,Cwt,1884,,111220,,15763457
hole,Oil — Palm,Germany,Cwt,1885,,111220,,15763457
hole,Oil — Palm,Germany,Cwt,1897,,111220,,15763457
hole,Oil — Palm,Germany,Cwt,1898,,111220,,15763457
dip,Oil — Palm,Germany,Cwt,1882,11809,111220,0.106,15763457
hole,"Wood And Timber — Hewn, Fir",Sweden,Load,1888,,308702,,15736539
hole,"Milk, Condensed",Australasia,Cwt,1892,,1767859,,15694101
hole,"Milk, Condensed",Australasia,Cwt,1893,,1767859,,15694101
hole,Wine — White,France,Gallon,1889,,1680830,,15623199
hole,Wine — White,France,Gallon,1890,,1680830,,15623199
hole,Wine — White,France,Gallon,1891,,1680830,,15623199
hole,"Wood And Timber — Hewn, Fir",Russia,Load,1888,,318125,,15589898
dip,Linen Yarn,Germany,?,1894,110800,1655870,0.067,15323262
hole,"Wood And Timber — Hewn, Fir",Norway,Load,1888,,275209,,15277557
hole,Potatoes,France,Cwt,1878,,1304208,,15258325
hole,Maize Or Indian Corn,Argentine Republic,Cwt,1880,,1984392,,14934903
hole,Maize Or Indian Corn,Argentine Republic,Cwt,1881,,1984392,,14934903
hole,Maize Or Indian Corn,Argentine Republic,Cwt,1882,,1984392,,14934903
hole,Maize Or Indian Corn,Argentine Republic,Cwt,1883,,1984392,,14934903
spike,Maize Or Indian Corn,Argentine Republic,Cwt,1896,16107900,1984392,8.117,14934903
dip,Cotton Twist And Yarn,Germany,?,1883,4683200,34450300,0.136,14907556
hole,"Skins, Furs, And Pelts — Seal",United States Of America,Number,1876,,162189,,14849348
hole,"Skins, Furs, And Pelts — Seal",United States Of America,Number,1881,,162189,,14849348
hole,"Skins, Furs, And Pelts — Seal",United States Of America,Number,1883,,162189,,14849348
spike,"Skins, Furs, And Pelts — Seal",United States Of America,Number,1893,929478,162189,5.731,14849348
dip,Maize Or Indian Corn,Russia,Cwt,1872,423851,1939050,0.219,14626090
dip,Maize Or Indian Corn,Russia,Cwt,1877,199931,1939050,0.103,14626090
spike,Maize Or Indian Corn,Russia,Cwt,1894,8648446,1939050,4.46,14626090
hole,Butter,Australasia,Cwt,1882,,128330,,14567898
hole,Butter,Australasia,Cwt,1883,,128330,,14567898
hole,Butter,Australasia,Cwt,1884,,128330,,14567898
hole,Butter,Australasia,Cwt,1885,,128330,,14567898
hole,Butter,Australasia,Cwt,1886,,128330,,14567898
hole,"Ivory — Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",Belgium,Cwt,1890,,1496,,14401908
dip,Wool — Goats' Wool Or Hair,Turkey,Lb,1890,1120222,6858834,0.163,14185543
hole,Sugar — In Lumps And Loaves,Holland,Cwt,1884,,821874,,14091896
hole,Silk — Raw,British East Indies,Lb,1892,,227428,,13905832
hole,Meal And Flour — Wheat Meal Or Flour,Austrian Territories,Cwt,1881,,1357046,,13859999
hole,Meal And Flour — Wheat Meal Or Flour,Austrian Territories,Cwt,1882,,1357046,,13859999
hole,Meal And Flour — Wheat Meal Or Flour,Austrian Territories,Cwt,1892,,1357046,,13859999
dip,"Iron — Bar, Angle, Bolt, And Rod",Sweden,Ton,1898,256,76616,0.003,13752549
hole,Leather Manufactures — Gloves,Holland,Dozen Pairs,1882,,515623,,13360618
hole,Leather Manufactures — Gloves,Holland,Dozen Pairs,1883,,515623,,13360618
hole,Leather Manufactures — Gloves,Holland,Dozen Pairs,1884,,515623,,13360618
hole,Leather Manufactures — Gloves,Holland,Dozen Pairs,1885,,515623,,13360618
hole,Caoutchouc,West Coast Of Africa Foreign,Cwt,1874,,15255,,13154420
dip,Caoutchouc,West Coast Of Africa Foreign,Cwt,1875,1567,15255,0.103,13154420
dip,Butter,Victoria,Cwt,1891,20033,154865,0.129,13050618
hole,Tallow And Stearine,United States Of America,Cwt,1875,,410514,,13026471
hole,Tallow And Stearine,United States Of America,Cwt,1878,,410514,,13026471
dip,Yarn,Germany,Lb,1883,4140,6164816,0.001,12591659
hole,Linen Yarn,Belgium,Lb,1888,,5827762,,12484708
hole,"Glass — Manufactures, Unenumerated",Germany,Cwt,1875,,267374,,12419613
hole,"Glass — Manufactures, Unenumerated",Germany,Cwt,1880,,267374,,12419613
hole,"Glass — Manufactures, Unenumerated",Germany,Cwt,1881,,267374,,12419613
hole,"Glass — Manufactures, Unenumerated",Germany,Cwt,1885,,267374,,12419613
hole,"Leather, Undressed",United States Of America,Lb,1883,,19474642,,12418299
hole,Tallow And Stearine,Australia,Cwt,1875,,290107,,12150504
hole,Tallow And Stearine,Australia,Cwt,1878,,290107,,12150504
dip,"Sugar — Unrefined, Total",Java,Cwt,1899,149732,1377241,0.109,12033295
hole,Paraffine,United States Of America,Cwt,1873,,313747,,11926314
hole,Paraffine,United States Of America,Cwt,1874,,313747,,11926314
hole,Paraffine,United States Of America,Cwt,1876,,313747,,11926314
hole,Paraffine,United States Of America,Cwt,1878,,313747,,11926314
hole,Paraffine,United States Of America,Cwt,1883,,313747,,11926314
hole,Paraffine,United States Of America,Cwt,1892,,313747,,11926314
hole,Rosin,United States Of America,Cwt,1876,,1305178,,11912562
hole,Butter,United States Of America,Cwt,1882,,66822,,11625357
hole,Butter,United States Of America,Cwt,1883,,66822,,11625357
hole,Butter,United States Of America,Cwt,1884,,66822,,11625357
hole,Butter,United States Of America,Cwt,1885,,66822,,11625357
hole,Sugar — In Lumps And Loaves,Germany,Cwt,1884,,683891,,11614645
hole,Sugar — In Lumps And Loaves,Germany,Cwt,1885,,683891,,11614645
dip,"Sugar — Unrefined : Cane, And Other Sorts",Australasia,Cwt,1890,21112,1501400,0.014,11560794
dip,"Sugar — Unrefined : Cane, And Other Sorts",Australasia,Cwt,1892,45337,1501400,0.03,11560794
dip,"Sugar — Unrefined : Cane, And Other Sorts",Australasia,Cwt,1894,28581,1501400,0.019,11560794
dip,Oxen And Bulls,Holland,Number,1879,1637,14864,0.11,11493257
dip,Barley,Turkey,Cwt,1887,175884,1899700,0.093,11306323
hole,"Meat, Unenumerated — Preserved, Otherwise Than By Salting",United States Of America,Cwt,1880,,261191,,11238772
dip,"Meat, Unenumerated — Preserved, Otherwise Than By Salting",United States Of America,Cwt,1884,13967,261191,0.053,11238772
dip,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",Tripoli And Tunis,Ton,1872,10011,52593,0.19,11226833
dip,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",Algeria,Ton,1897,81,71047,0.001,11142527
hole,Potatoes,Channel Islands,Cwt,1878,,1033452,,11124310
hole,Oil — Olive,Italy,Tun,1880,,11492,,11103199
hole,Oil — Olive,Italy,Tun,1884,,11492,,11103199
hole,Oil — Olive,Italy,Tun,1885,,11492,,11103199
hole,Oil — Olive,Italy,Tun,1897,,11492,,11103199
hole,Oil — Olive,Italy,Tun,1898,,11492,,11103199
hole,Tobacco — Unmanufactured,British East Indies,?,1893,,9598,,11043613
hole,Tobacco — Unmanufactured,British East Indies,?,1898,,9598,,11043613
spike,Tobacco — Unmanufactured,British East Indies,?,1896,42203,9598,4.397,11043613
dip,"Skins, Furs, And Pelts — Furs",Australasia,Number,1894,2579833,18776986,0.137,10972765
dip,Cows,Denmark,Number,1892,844,23292,0.036,10935887
hole,"Wood And Timber — Hewn, Fir",Germany,Load,1888,,225964,,10854704
hole,"Wood And Timber — Sawn, Fir",Norway,Load,1892,,374124,,10814724
hole,"Wood And Timber — Sawn, Fir",Norway,Load,1893,,374124,,10814724
hole,"Wood And Timber — Sawn, Fir",Norway,Load,1895,,374124,,10814724
hole,"Dye Stuffs, And Substances Used In Tanning — Indigo",Bengal,Cwt,1884,,46749,,10787711
hole,Meal And Flour — Wheat Meal Or Flour,Germany,Cwt,1881,,853288,,10707541
hole,Meal And Flour — Wheat Meal Or Flour,Germany,Cwt,1882,,853288,,10707541
hole,Meal And Flour — Wheat Meal Or Flour,Germany,Cwt,1892,,853288,,10707541
hole,Eggs,Russia,Great Hundred,1884,,1156781,,10641514
dip,"Cordage — Cables (Not Of Iron), Twine, And Cable Yarn",Argentine Republic,?,1897,933100,7815557,0.119,10522065
hole,Fresh (Not Of British Taking) — Herrings,Germany,?,1879,,546773,,10486715
hole,Fresh (Not Of British Taking) — Herrings,Germany,?,1880,,546773,,10486715
hole,Fresh (Not Of British Taking) — Herrings,Germany,?,1882,,546773,,10486715
dip,Fresh (Not Of British Taking) — Herrings,Germany,?,1873,26553,546773,0.049,10486715
dip,Cotton Twist And Yarn,Japan,?,1883,3881500,23303500,0.167,10480672
hole,Cocoa,British East Indies,?,1889,,623542,,10417892
hole,Cocoa,British East Indies,?,1890,,623542,,10417892
hole,"Zinc — Crude, In Cakes",Germany,Ton,1877,,15568,,10359863
hole,"Zinc — Crude, In Cakes",Germany,Ton,1879,,15568,,10359863
hole,"Zinc — Crude, In Cakes",Germany,Ton,1884,,15568,,10359863
hole,"Other Sorts, Including Candy",Holland,Cwt,1886,,912160,,10269117
hole,"Other Sorts, Including Candy",Holland,Cwt,1892,,912160,,10269117
dip,Barley,Wallachia And Moldavia,Cwt,1877,212315,958576,0.221,10176304
hole,"Sugar — Refined, Or Sugar Equal In Quality Thereto, And Sugar Candy",Holland,Cwt,1874,,647605,,10134839
hole,Dye Woods — Logwood,British West India Islands,Ton,1891,,28892,,10121721
hole,Dye Woods — Logwood,British West India Islands,Ton,1892,,28892,,10121721
dip,Dye Woods — Logwood,British West India Islands,Ton,1898,4757,28892,0.165,10121721
spike,"Cards, Playing",Other Countries,?,1880,27843,2820,9.873,10063951
hole,Regulus And Precipitate,United States Of America,Ton,1883,,20656,,10021876
dip,Regulus And Precipitate,United States Of America,Ton,1894,4836,20656,0.234,10021876
hole,Manures — Guano,Peru,Ton,1877,,21916,,9907322
hole,Manures — Guano,Peru,Ton,1880,,21916,,9907322
hole,Manures — Guano,Peru,Ton,1885,,21916,,9907322
hole,Manures — Guano,Peru,Ton,1890,,21916,,9907322
spike,Manures — Guano,Peru,Ton,1876,156864,21916,7.157,9907322
spike,Manures — Guano,Peru,Ton,1878,127813,21916,5.832,9907322
dip,Manures — Guano,Peru,Ton,1884,625,21916,0.029,9907322
dip,Manures — Guano,Peru,Ton,1891,3780,21916,0.172,9907322
dip,Manures — Guano,Peru,Ton,1896,4834,21916,0.221,9907322
hole,"Glass — Manufactures, Unenumerated",Belgium,Cwt,1875,,219260,,9759845
