commodity,gbp,destination_score,n_cells,unit,top_origins
Linen Waste,3533,1.83,4,Lb,All Countries
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Shot Of Lead",3295,1.83,7,Cwt,All Countries
Corn And Grain — Barley Meal,2981,1.83,8,Cwt,All Countries
Corn And Grain — Pea Meal,1188,1.83,6,Cwt,All Countries
Copper — Buckwheat Meal,430,1.83,10,Cwt,All Countries
Beer And Ale — Mum,136,1.83,4,Barrel,All Countries
Tar — West Coast Of Africa,177280,1.785,7,?,Portuguese Possessions | Not Particularly Designated | East Coast Of Africa Native States | British Possessions On The Gold Coast | British Possessions In South Africa
Caoutchouc — West Coast Of Africa (Foreign),1240035,1.768,13,?,Fernando Po | Portuguese Possessions | Not Particularly Designated | United States Of America | Central America
"Linen And Jute Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",533773,1.758,19,?,United States Of America (Atlantic) | United States Of America (Pacific) | Foreign West Indies | Australia | Other Countries
Cocoa — West Coast Of Africa,1433700,1.739,26,?,Foreign | Ceylon | United States Of America | British Guiana | Islands
Dye Woods — West Africa,87388,1.709,8,?,French | Siam | United States Of America | Mexico | Costa Rica
"Arms, Ammunition, And Military Stores — To Eastern Africa",71060,1.707,10,?,Portuguese Possessions | Other Foreign Countries | Native States | Persia | China
Beef — Eastern Coast Of Africa,4863460,1.706,46,?,United States Of America | Republic Of Colombia | Ecuador | Mexico | Nicaragua
Oil — West Coast Of Africa,2721431,1.703,17,?,Fernando Po | Portuguese Possessions | Not Particularly Designated | Brazil | British Possessions On The Gold Coast
"Linen Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",227231,1.685,9,?,Foreign West Indies | Australasia | Other Countries | Brazil | United States Of America (Atlantic)
Total Of British And Foreign Exports,0,1.676,6,Cwt,"Wheat | Fish, Of All Sorts | Leather | Oil-Seed Cake | Pork, Salted"
Caoutchouc — East Africa,8661829,1.626,58,?,Portuguese | United States Of America | Central America | Brazil | Other Foreign Countries
"Tar — West Coast Of Africa, Foreign",292216,1.615,8,?,Portuguese Possessions | Not Particularly Designated | East Coast Of Africa Native States | British Possessions On The Gold Coast | British Possessions In South Africa
Honey — From Australasia,9724,1.604,5,?,British West India Islands | Other Colonies | Queensland
"Flax — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",4384,1.596,4,Ton,Western Coast Of Africa Portuguese Possessions | Peru | Chile | Other Foreign Countries
Cotton Manufactures — Hosiery Of Other Sorts,134914,1.493,48,?,British Possessions In South Africa | Bombay | Bengal And Burmah | Turkey Proper | United States Of America (Atlantic)
Cocoa — From British East Indies,1001112,1.479,5,?,British Guiana | Islands | British West India Islands
Beads — Unenumerated,52026,1.441,8,Lb,All Countries | Other Countries
Nuts And Kernels — From West Africa,203014,1.427,6,?,Foreign | British Possessions In Southafrica | Mauritius | British East Indies | Australasia
Hats Or Bonnets — Of Other Materials (Unidentified First Segment),3231,1.398,6,Number,Java | China | Japan
Zinc,320010307,1.394,26,?,Manufactures Of | All Other Articles | 1897 | 1896 | 1895
Glass — Dutch Possessions In The Indian Seas,305850,1.39,67,?,Java | Philippine And Ladrone Islands | China | Other Foreign Countries | Sierra Leone
"Earthen And China Ware — Earthenware, Chinaware, &C. (Contd)",0,1.362,27,?,Egypt | Western Africa (Foreign | Java | Philippine Islands | United States Of America (Atlantic)
Nuts And Kernels — India,1197695,1.354,29,?,United States Of America | Other Foreign Countries | Philippine Islands | Gambia | Sierra Leone
Wood And Timber — From British East Indies,1133604,1.35,4,?,Burmah | Indian Possessions
Iron,17210964,1.342,76,?,Bar | Lard | Leather | Ore Of | Pig And Puddled
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,2421394,1.332,39,Ton,Spanish West India Islands | Mexico | Central America | British Honduras | Other Countries
Nuts And Kernels — From West Coast Of Africa (Foreign),1333767,1.326,22,?,Not Particularly Designated | Australia | Other Countries | Islands In The Pacific | French Possessions
Glass — Common Bottles,2606714,1.324,138,Cwt,Madras | Bengal And Burmah | Canada | Other Countries | Japan
Gum — Dutch Possessions In The Indian Seas,226226,1.321,52,?,Java | Philippine And Ladrone Islands | China | Japan | United States Of America
Hats Or Bonnets — Eastern Coast Of Africa,340227,1.315,45,?,French Indo-China | Madagascar | China | Japan | Mauritius And Dependencies
Soap,2606547,1.273,130,?,Italy | China | Spain And Canaries | Java | Western Africa (Foreign
"Spirits, British And Irish",2411331,1.273,70,Gallon,Canada | Other Countries | United States Of America | Bengal And Burmah | Australia
"Arms, Ammunition, And Military Stores",1008130,1.269,58,?,Other Countries | Western Africa (Foreign | Chili | Brazil | Malta
"Linen And Jute Manufactures — Plain, Unbleached Or Bleached",14606437,1.259,69,?,"Belgium | France | Portugal, Azores, And Madeira | Spain And Canaries | Italy"
Maps And Charts,5881,1.256,8,Number,All Countries | United States Of America | Other Countries
Zinc Or Spelter — To British India,34679,1.254,4,?,Bombay | Bengal And Burmah | Hong Kong | Other British Possessions
Bark — West Africa,39645,1.248,9,?,Portuguese Possessions | China | Venezuela | Peru | Chile
Ivory — East Africa,352132,1.219,19,?,Native States | Portuguese | Java | Other Foreign Countries | Malta
Glass — Brodery And Needlework,0,1.218,31,?,"Germany | Holland | Belgium | France | Portugal, Azores, And Madeira"
Rice — In The Husk,23892,1.214,6,?,All Countries | Mauritius | Madras | Bengal And Burmah | Australia
Nuts And Kernels — Dutch Possessions In The Indian Seas,2610553,1.199,80,?,Islands In The Pacific | Sierra Leone | Lagos | The Gold Coast | Niger Protectorate
Woollen And Worsted Manufactures — Blankets,588776,1.187,17,?,Japan | United States Of America (Atlantic) | Central America | Chili | Brazil
Manures — From British North America,18170,1.187,4,?,British West India Islands | Bermudas
"Cotton Manufactures — Piece Goods, Printed",295128005,1.177,828,Yard,Belgium | Austrian Territories | Peru | Egypt | Uruguay
Flax And Hemp — To United States Of America,518420,1.173,6,?,United States Of America (Atlantic) | United States Of America
Cotton Manufactures — Stockings And Socks,453974,1.166,22,?,Brazil | Argentine Republic | Chile | Other Foreign Countries | United States Of America (Pacific)
"Varnish, Containing Alcohol",5419,1.166,13,Gallon,All Countries | British Possessions | Belgium | France
"Cotton Manufactures — Piece Goods, Plain",526778637,1.165,889,Yard,Sweden And Norway | Germany | Holland | Belgium | France
Copper — Unenumerated,2183141,1.162,48,?,Italy | Turkey Proper | Egypt | Foreign West Indies | Brazil
Dye Woods — Spanish Possessions,58835,1.16,11,?,Philippine Islands | United States Of America | Mexico | Nicaragua | Republic Of Colombia
Wood And Timber — Furniture And Hardwoods,402935,1.153,9,Ton,Mahogany | United States Of America | Spanish West India Islands | Hayti And St. Domingo | Mexico
Corn And Grain — Rye Meal,62817,1.149,11,?,All Countries | Germany | Other Countries
"Teeth, Elephants', Sea Cow, And Sea Horse — West Coast Of Africa, Foreign",2203304,1.143,48,?,Portuguese Possessions | Aden | Other Countries | Not Particularly Designated | British Possessions In South Africa
"Medicines — Musical Instruments, And Parts Thereof",0,1.134,34,?,British Possessions In South Africa | Madras | Bengal And Burmah | Canada | United States Of America
"Carriages, &C — Railway Waggons, Trucks, &C. And Parts Thereof For Ballast, Minerals, Or Merchandise",0,1.127,14,?,Peru | Brazil | Argentine Republic | British Possessions In South Africa | Bombay
Wood And Timber — Furniture And Hardwoods : Mahogany,683643,1.118,22,Ton,France | French West Africa | United States Of America | Spanish West India Islands | Hayti And St. Domingo
"Soap — Spirits, British And Irish",995182,1.114,20,?,Western Africa (Foreign | United States Of America (Atlantic) | British Possessions In South Africa | United States Of America | Bombay
"Spices — Dutch Possessions, India",990413,1.108,33,?,Java | China | United States Of America | Ecuador | Other Foreign Countries
"Spirits — Other Sorts, Not Sweetened",22515,1.101,5,?,Spain And Canary Islands | West Africa (Foreign | British India | Australia | Other Countries
"Spirits, British And Irish — Stationery, Other Than Paper",0,1.084,77,?,"Germany | Portugal, Azores, And Madeira | Italy | Egypt | China"
Ivory,23159990,1.059,248,?,Other Foreign Countries | Portuguese | United States Of America | Malta | Other British Possessions
Flax — Eastern Coast Of Africa,33898,1.055,22,?,Chile | British East Indies | Zanzibar And Pemba | Peru | Venezuela
General Exports,0,1.052,60,?,Greece | Russia (Southern Ports) | Wallachia And Moldavia (Roumania | Sweden | Turkey
"Cotton Manufactures — Earthenware, Chinaware, Parian, And Porcelain",0,1.05,25,?,Sweden And Norway | Germany | Holland | France | Italy
Hats Or Bonnets,4780464,1.031,182,?,Portuguese Possessions | Madagascar | French Indo China | China | Japan
Salt (Rock And White),507377,0.999,19,?,Russia | Sweden And Norway | Denmark | Germany | Holland
Spices,1876259,0.978,30,?,British East Indies | Other British Possessions | Java | Japan | Other Foreign Countries
"Hides, Raw, And Pieces Thereof — East-Coast Of Africa",734891,0.97,28,?,Portuguese Possessions | Madagascar | French Indo China | China | United States Of America
"Ivory — Teeth, Elephants', &C.",1259799,0.964,63,Cwt,Malta | British Possessions In South Africa | Aden | Other British Possessions | Lagos
Woollen And Worsted Manufactures — Flannels,3930514,0.958,28,Yard,British Possessions In South Africa | Bombay | Bengal And Burmah | Hong Kong | Canada
Paper — To United States Of America,0,0.955,4,?,United States Of America (Atlantic) | Brazil | Other Foreign Countries | United States Of America
"Glass — Haberdashery And Millinery, Including Embroidery And Needlework",0,0.949,171,?,"Germany | Holland | Belgium | France | Portugal, Azores, And Madeira"
Fruit,55388625,0.948,62,?,Spain | Greece | Turkey | Other Foreign Countries | Of All Other Kinds
Wine — Provisions,35336875,0.946,57,?,Beef Salted And Fresh | Pork Salted And Fresh | Cheese | Lard | Potatoes
Nuts And Kernels — From West Coast Of Africa,308517,0.935,7,?,Not Particularly Designated | British Possessions On The River Gambia | Sierra Leone | British Possessions On The Gold Coast British India | Straits Settlements
"Earthen And China Ware — Earthenware, Chinaware, Parian, And Porcelain",0,0.919,204,?,Germany | Holland | France | Italy | Java
"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Phials Of Flint Glass)",1164776,0.917,81,?,Germany | France | Brazil | British Possessions In South Africa | Bengal And Burmah
Tobacco — Total Of All Kinds,661185,0.911,56,Gallon,Victoria | New South Wales | South Australia | Other British Possessions | Queensland
"Dye Stuffs, And Substances Used In Tanning",68254,0.91,13,?,Portuguese Possessions | China | United States Of America | United States Of Colombia | Peru
"Ore, Unenumerated — Native Islands In The Indian Seas",126220,0.905,9,?,Borneo | Other Islands | Japan | United States Of America | Other Foreign Countries
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,19084393,0.9,495,Ton,Australasia | France | The Gold Coast | Portugal | Germany
Eggs — Eastern Coast Of Africa,905185,0.9,8,?,Other Dutch Possessions In The Indian Seas | China | Japan | Argentine Republic | Malta
Hats Or Bonnets — Vegetable Substances Applicable To The Same Uses As Hemp Or Flax,69287,0.885,5,Cwt,Mexico | Brazil | Madras | Ceylon | Other Countries
"Seeds — Unenumerated, Commonly Used For Expressing Oil Therefrom",37089,0.885,6,Quarter,Bombay | French Possessions | Bombay And Scinde Madras
"Cordage, Cables, And Ropes Of Hemp Or Like Material",860563,0.871,57,?,China | Japan | Peru | Chili | Brazil
Wood And Timber — Staves : Mahogany,737550,0.864,9,Ton,France | United States Of America | Spanish West India Islands | Hayti And St Domingo | Mexico
"Sugar — Refined · Unrefined : Cane, And Other Sorts",5602538,0.858,20,Cwt,Germany | Holland | France | Portugal | Egypt
Sugar — From Australasia,890092,0.856,4,?,Other Colonies | British West India Islands | Other British Possessions | South Australia
Gum — Dutch Possessions In India,163157,0.856,13,?,Java | Other Dutch Possessions | China | United States Of America | Brazil
"Pickles, Vinegar, And Sauces",0,0.853,64,?,Chili | Brazil | Uruguay | Argentine Republic | British Possessions In South Africa
Wood And Timber — Mahogany,21159928,0.851,274,Ton,Mexico | United States Of America | France | Spanish West India Islands | British Honduras
Cloucharouc,2754692,0.836,17,?,Germany | Holland | Portugal | West Coast Of Africa Foreign | East Coast Of Africa
Bark — Eastern Coast Of Africa,3606700,0.829,101,?,Other Dutch Possessions In The Indian Seas | Malta | Cape Of Good Hope | British Possessions In South Africa | Brazil
"Iron — Bars, Unwrought",351211,0.827,5,?,Turkey Proper | China | United States Of America | British India | Other Countries
Tea — Unmanufactured,4448922,0.824,36,?,Germany | Holland | Belgium | France | Greece
Dye Woods,147269,0.814,19,?,French | Russia | Germany | France | Siam
