commodity,gbp,destination_score,n_cells,unit,top_origins
"Leather — Wrought, Boots And Shoes",3594046,0.421,26,?,Channel Islands | British Possessions In South Africa | Brazil | Australia | Other Countries
"Sugar — Unrefined; Beetroot : Cane, And Other Sorts",25283011,0.42,62,Cwt,Germany | Holland | Egypt | Java | Philippine Islands
"Sugar — Unrefined, Total",183597562,0.419,529,Cwt,Germany | Holland | Belgium | France | Egypt
Spices — Sugar Unrefined : Total Of,10522149,0.417,31,Cwt,Russia | Sweden | Denmark | Germany | Holland
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Valonia",4123100,0.417,188,Ton,France | Greece | Italy | Other Foreign Countries | Asiatic
Iron — Facture,149508,0.417,6,?,Italy | China | United States Of America (Pacific) | Hong Kong | Other Countries
Gum — British East-Indies,98492,0.417,8,?,Australasia | Bombay | Madras | Bengal | Straits Settlements
"Glass — Unenumerated Vegetable Sub-     Stances, Applicable To The     Same Uses As Hemp Or Flax",157669,0.414,33,Ton,Bombay | Bengal | Other British Possessions | Madras | Ceylon
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols",203386,0.41,8,?,China | Other Countries | Argentine Republic | Australasia | West Africa (Foreign
"Silk Manufactures — Handkerchiefs, Scarfs, And Shawls",0,0.405,62,?,France | Western Africa (Foreign | Other Countries | Belgium | Canada
"Rags, And Other Materials Formaking Paper — Esparto, And Other Vegetablefibres",3016300,0.397,15,?,Tripoli | Tunis | Algeria | Other Foreign Countries | Spain
Hemp — Vegetable Substances Applicable To The Same Uses As Hemp Or Flax,391034,0.395,41,Cwt,Other Countries | Ceylon | British India | China | Mexico
"Carriages, &C — Railway Carriages For Passengers And Parts Thereof",0,0.389,18,?,Brazil | Argentine Republic | British Possessions In South Africa | France | Bombay
"Arms, Ammunition, And Military Stores — Ammunition, Unenumerated",0,0.386,32,?,China | Brazil | Argentine Republic | British Possessions In South Africa | France
Ammunition — Stallions,147933,0.383,51,?,Australasia | New South Wales | Russia (Northern Ports) | United States Of America (Atlantic) | Bombay
"Silk Manufactures — Silver One, Or One Of Which The Greater Part Invalue Is Silver",0,0.376,9,?,France | Spain | United States Of America | Mexico | New Granada
Cotton Manufactures — Piece Goods Of India And China,429700,0.375,30,Pieces,British India | Other Countries | China | British East Indies | French Possessions In India
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",13973723,0.372,228,Cwt,Russia | Sweden | Norway | Denmark | Germany
Wood And Timber — Staves : Unenumerated,385356,0.366,14,Ton,Russia | France | Italy | Turkey | West Coast Of Africa Foreign
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",0,0.366,24,?,Sweden And Norway | Germany | Holland | Belgium | France
Feathers And Down,5345044,0.365,188,?,Cape Of Good Hope | Australasia | British West India Islands | United States Of America | Other British Possessions
"Linen Manufactures — Steam Engines Or Parts Of Steam Engines,Locomotive",0,0.365,22,?,Belgium | France | Portugal | Spain | Italy
Silk Manufactures — Ribbons Of All Kinds,0,0.361,19,?,Canada | Other Countries | British Possessions In South Africa | Australia | British West India Islands And British Guiana
"Oil — Sperm, Or Head Matter",259610,0.36,18,Tun,United States Of America | Australasia | Other Countries | Portugal | Mauritius
"Arms, Ammunition, And Military Stores — To Australasia",172542,0.353,4,?,British West India Islands | New Zealand | Canada
Extracts — Of Bark And Other Vegetable Substances Used In Tanning Or Dyeing,0,0.352,9,?,United States Of America | British India | Other Countries | China | Japan
Corn And Grain — From British East Indies,19541640,0.351,22,?,Bombay | Bengal | Canada | Other British Possessions | Australasia
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Locomotive",0,0.349,106,?,Spain | Brazil | British Possessions In South Africa | Italy | Peru
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",950000000,0.346,20,?,Germany | Holland | Belgium | France | Italy
"Cordage, Twine, And Cable Yarn — From British East Indies",0,0.338,7,?,Bombay | Madras | Bengal | Straits Settlements | Ceylon
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",1023666674,0.332,81,?,Holland | Belgium | France | Italy | China
Diamonds,36631940,0.331,16,Carats,Cape Of Good Hope | British Possessions In South Africa | The Cape Of Good Hope
"Sugar, Unrefined : Total Of — Molasses",109375,0.328,5,Cwt,United States Of America | Dutch Guiana | Other Foreign Countries | British West India Islands | Other British Possessions
Onions — Raw · Opium,1051426,0.327,7,Lb,Turkey | Persia | China | United States Of America | Other Countries
"Dye Stuffs, And Substances Used In Tanning — Safflower",29418,0.323,20,Cwt,Bengal | British East Indies | Madras | British East Indies Bengal | Turkey
"Gold — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",1001673,0.316,81,Ton,British Possessions In South Africa | Australasia | Chile | Other Foreign Countries | All Countries
Unrefined — 1St Class,0,0.314,42,Cwt,Germany | Holland | Belgium | France | Egypt
"Painters' Colours And Materials — Writing Or Printing, And Envelopes",613295,0.313,9,?,France | Japan | British Possessions In South Africa | Bombay | Madras
Wood And Timber — Mahogany : Unenumerated,3454820,0.303,127,Ton,Turkey | Russia | Italy | Brazil | France
Cotton — Piece Goods Other Than Muslins,666805,0.302,11,?,China | Aden | Australasia | Other Countries | British India And Burmah
Cotton Twist And Yarn,95099656,0.299,203,?,Sweden And Norway | Denmark | Germany | Holland | Belgium
"Furniture, (Household) Cabinet,And Upholstery Wares",0,0.299,139,?,France | Channel Islands | Gibraltar | Belgium | United States Of America (Atlantic)
"Coffee And Chicory, Mixed",57981,0.298,29,Lb,Channel Islands | Foreign Countries | British Possessions | Other Foreign Countries | British East Indies
"Copper, Ore Of — From British Possessions In South Africa",299808,0.293,6,?,Cape Of Good Hope | British Possessions In South Africa | British East Indies | Natal
Furniture And Hardwoods,1284238,0.291,40,Ton,Unenumerated | Russia | Germany | Italy | Turkey
Sago And Sago Flour,3032962,0.289,32,Cwt,Straits Settlements | Other Countries | Borneo | British Possessions In South Africa | Philippine Islands
Honey — Tips And Pieces Of Horn And Hoofs,2186860,0.289,79,Ton,France | United States Of America | Brazil | Uruguay | Bombay
Bark — Of Other Sorts,190535,0.279,24,Cwt,United States Of America | Other Countries | All Countries | New Granada | France
Borax,47823,0.279,7,?,Asiatic | Other Foreign Countries | Turkey European | United States Of America | Peru
"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",998593,0.274,75,?,United States Of America | Mexico | Peru | Other Countries | Chili
"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",4348064,0.273,172,Goods,Aden And Dependencies | Turkey European | Asiatic | Cyprus | Republic Of Colombia
"Paper — Pasteboard, Millboard, &C. (Including Playing Cards)",162084,0.273,24,?,Madras | Bengal And Burmah | Other Countries | British Possessions In South Africa | Canada
"Animals, Living",52273953,0.272,120,?,Sheep And Lambs | Horses | Oxen Bulls And Cows Number | Bones Except Whalefins Tons | Chemical Manufactures And Products Value
Fruit — Arabia,32499,0.271,7,?,Muscat | Persia | United States Of America | Other Foreign Countries | Gibraltar
Calcitrhous Manufactures,0,0.271,21,?,Sweden And Norway | Denmark | Germany | Holland | Belgium
"Fish (Including Turtle) — Nuts, Used As Fruit",8992115,0.269,53,Nuts,Portugal | Azores | Canary Islands | Malta | South Australia
Linen And Jute Manufactures — Sail Cloth And Sails,765700,0.267,39,?,Germany | British Possessions In South Africa | Hong Kong | Australia | Canada
"Animals, Living — Australasia",17572,0.267,4,?,Victoria | New South Wales | Other British Possessions | Australasia
Telegraphic Wires And Apparatus,0,0.267,95,?,Other Countries | Brazil | Canada | Spain | Japan
Furniture And Hardwoods — Mahogany : Unenumerated,407562,0.265,22,Ton,Russia | Germany | Holland | France | Italy
"Nuts And Kernels — Fish, Sperm Or Head-Matter",234451,0.255,63,Tun,Portugal | United States Of America | Norway | Azores | Australasia
Biscuit And Bread,52143734,0.254,68,?,Germany | Holland | Belgium | France | Brazil
"Cards, Playing — Molasses",350741,0.251,7,Cwt,United States Of America | Spanish West India Islands | Australia | Canada | British West India Islands
"Fruit — Nuts, Used As Fruit",833684,0.25,75,Nuts,Australasia | Portugal | Azores | Canary Islands | Turkey Asiatic
Linen And Jute Manufactures — Jute Manufactures,7674831,0.242,115,Yard,Brazil | Argentine Republic | Canada | Other Countries | Peru
"Copper, Ore Of — Myrobalans",1535309,0.24,22,Cwt,British East Indies | Bombay | Penang | Madras | Ceylon
"Coals, Culm, And Cinders — From Australasia",24807,0.238,5,?,New South Wales | Australasia | Other British Possessions
Shells Of All Kinds — Dressed,2056425,0.231,221,?,Germany | Holland | France | China | Madras
Bark — Logwood,10080,0.229,8,Ton,Germany | France | United States Of America | Hayti And St. Domingo | Mexico
"Provisions, Unenumerated — Raos (Except Woollen) And Other Materials For Making Paper",272720,0.22,4,?,United States Of America (Atlantic) | Canada | Other Countries | United States Of America
Corn,64032198,0.217,20,?,Currants | Wheat Cuts | Barley | Oats | Rye
Linen Manufactures — Sail Cloth And Sails,425276,0.214,29,Yard,Denmark | Germany | Argentine Republic | British Possessions In South Africa | Sweden And Norway
"Honey — Horns, Tips And Pieces Of Horn, And Hooks",181219,0.211,23,?,Germany | Holland | Belgium | France | East Coast Of Africa
"Pickles, Vinegar, Sauces, Condiments, Preserved Fruits, And Confectionery",0,0.2,83,?,Germany | Holland | Belgium | France | Egypt
"Dye Stuffs, And Substances Used In Tanning — Myrobalans",3929118,0.196,62,Cwt,Bombay | Madras | Bengal | British East Indies | Ceylon
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Locomotive",0,0.196,18,?,Sweden And Norway | Holland | Belgium | France | Spain
"Flax — Nuts, Used As Fruit",9508038,0.195,65,Nuts,United States Of America | Australasia | Portugal | Azores | Canary Islands
"Coal, Cinders, &C — Fuel, Manufactured",223970,0.195,12,?,France | Spain | Italy | Greece | Egypt
Whalebone (Whalefins) — Whale Fisheries,2608319,0.182,35,Load,Northern | Other Foreign Countries | Other British Possessions | Australasia | Canada
Drugs — Myrobalans,220001,0.17,5,Cwt,China | Bombay | Madras | Bengal | Other Countries
Sugar — From British Possessions In South Africa,1580161,0.168,6,?,Natal | Mauritius | British East Indies | Australasia | British West India Islands
Whalebone (Whalefins) — Africa,5813,0.166,5,?,Cape Of Good Hope | Australasia | Canada | British West India Islands | British Possessions In South Africa
Oil — Whale Fisheries,192532,0.161,9,?,Northern | Other Foreign Countries | Channel Islands | Canada | Other British Possessions
"Arms, Ammunition, And Military Stores — Shot Of Iron, Including Shells",447072,0.157,65,?,Other Countries | China | Brazil | Hong Kong | Spain
"Oil — Fish: Sperm, Or Head Matter",183440,0.156,51,Tun,United States Of America | Portugal | Other Foreign Countries | Australasia | Azores
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",2239610,0.154,85,Ton,France | Italy | Turkey | United States Of America | Brazil
"Arms, Ammunition, And Military Stores — Cannon And Mortars",1232356,0.147,47,?,China | Other Countries | Italy | Brazil | Hong Kong
Lard — Imitation Lard (Including All Kinds Of Artificial Or Imitation Lard),1042450,0.143,34,Cwt,United States Of America | Other Foreign Countries | Canada | United States Of America (Atlantic) | Other British Possessions
"Tobacco — White, Total Of",2981141,0.141,69,Gallon,Channel Islands | British Possessions In South Africa | Other British Possessions | Australasia | South Australia
"Carriages, Carts, &C — Railway Waggons, Trucks, &C. (Not Of Iron)For Ballast, Minerals, Or Merchandize",968670,0.14,58,?,Other Countries | Spain | Brazil | Australia | Italy
"Wood And Timber — Furniture, Hardwoods, And Veneers",494110,0.139,11,Ton,Mahogany | Belgium | France | Italy | United States Of America
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Unenumerated, Undressed",1802378,0.138,198,Number,Germany | France | China | United States Of America | Other Foreign Countries
Gum — From British India,488512,0.134,6,?,Madras | Bengal | Straits Settlements | Ceylon | United States Of America
"Arms, Ammunition, And Military Stores — Parts Of Fire-Arms",0,0.134,18,?,Other Countries | United States Of America (Atlantic) | United States Of America | Turkey Proper | Belgium
Fruit — Rum,2027406,0.132,77,Proof Gallon,Holland | France | Other Foreign Countries | Other British Possessions | Dutch Guiana
"Oil — Fish: Spermaceti, Or Head Matter",166419,0.132,29,Tun,Portugal | Azores | United States Of America | Other Foreign Countries | Norway
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",1658697,0.13,152,Cwt,Germany | Holland | France | Portugal | Spain
Seeds,30353807,0.122,65,Quarter,Clover And Grass | Cotton Tons | Rape | Flax And Linseed Qrs | Silk Raw Lbs
"Jute Manufactures — Rolled, Sheet, Piping Andtubing",198945,0.121,7,?,Germany | Japan | Brazil | Bengal And Burmah | Australasia
"Horns, Tips And Pieces Of Horns And Hoofs",2378385,0.119,233,?,Norway | Sweden | Germany | Holland | France
Mica And Talc,152356,0.116,17,Cwt,France | United States Of America | Other Foreign Countries | Madras | Bengal
"Brass, Bronze, And Metal Bronzed Orlacquered",52051,0.116,8,?,Other Countries | British India | Greece | British India And Burmah
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Myrobalans",2083159,0.11,22,Cwt,British East Indies | Bombay | Madras | Bengal | Belgium
Saltpetre (Nitrate Of Potash) — Clover And Grass,23381116,0.107,181,Cwt,Denmark | Holland | Belgium | France | Chile
Ammunition — Swine,1492,0.107,12,Number,United States Of America | Other Foreign Countries | Canada | United States Of America (Atlantic)
Wood And Timber — Furniture Woods And Hardwoods : Unenumerated,608112,0.106,21,Ton,Russia | Germany | Holland | France | Italy
Wood And Timber,229561174,0.104,115,Load,Siam | British East Indies | Bombay | Burmah | Other Foreign Countries
Coffee — Raw · British East Indies,405291,0.102,5,?,British West India Islands | Chile | Other Foreign Countries | Channel Islands | Bombay
Paraffine — From British East Indies,27039,0.099,4,?,Burmah | Australasia | Canada
Gum — Unenumerated,8109280,0.098,385,Cwt,Holland | France | Turkey | Morocco | Aden
"Carriages, Carts, &C — Railway Carriages For Passengers",395503,0.098,42,?,Other Countries | Brazil | Spain | Italy | Uruguay
"Oil — Fish, Train, Or Blubber : Sperm, Or Head Matter",174711,0.093,10,Tun,Norway | France | Portugal | Azores | Mauritius
"Implements And Tools — Instruments And Apparatus ;Surgical, Anatomical, And Scientific",0,0.093,23,?,Belgium | France | Spain | Mexico | Argentine Republic
Tobacco — Cigars,27923727,0.092,489,Lb,Philippine Islands | Belgium | China | Holland | France
"Copper, Ore Of — Valonia",2098338,0.088,156,Ton,Greece | Asiatic | Germany | Holland | Belgium
"Linen — Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",1014796,0.079,70,?,Spain | Italy | Turkey Asiatic | Portugal | Greece
Sugar — Other Sorts,546121,0.079,11,Cwt,United States Of America | Spain | Austrian Territories | Brazil | Channel Islands
Saltpetre (Nitrate Of Potash) — Rape,2270235,0.075,215,Quarter,Germany | Holland | France | Roumania | Argentine Republic
Sugar — Eastern Coast Of Africa,552724,0.075,30,?,Mauritius | Norway | Denmark | Newfoundland | Siam
Dye Stuffs,10281377,0.074,21,?,Feathers Ornamental Lbs | Flax Tons | Extracts | Farinaceous Substances Unenumerated | Feathers Ornamental
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,0.07,43,Number,Bombay | Madras | Bengal And Burmah | Other Countries | Holland
Lates,4395097,0.063,178,?,Australasia | Belgium | France | Portugal | United States Of America
"Tobacco — Manufactured, Cavendish Or Negrohead",37912,0.063,4,?,British Possessions In South Africa | British India | Australia | Other Countries
Jute Manufactures — Piece Goods,1772587,0.056,18,?,Sweden And Norway | Denmark | Germany | Holland | Belgium
"Brass — Manufactures Of, Not Being Ordnance",50887840,0.052,45,?,Sweden And Norway | Germany | Holland | Belgium | Italy
"Bleaching Materials — Books, Printed",100636087,0.049,15,?,Holland | Belgium | France | China (Except Hong Kong | Japan
Spirits — Suggades And Confectionery (Including Fruits And Vegetables Preserved In Sugar),208483,0.045,10,?,"Holland | Belgium | France | Portugal, Azores, And Madeira | Asiatic Turkey"
Gum — From Australasia,182485,0.045,4,?,New South Wales | New Zealand | Other Countries | Australasia
"Wood And Timber — Hewn, Teak",19792999,0.021,187,Load,Siam | Straits Settlements | British East Indies | Other Foreign Countries | Burmah
"Skins, Furs, And Pelts — Sheep, Tanned, Tawed, Or Dressed",470914,0.015,6,Number,France | Bombay | Madras | Bengal And Burmah | Australia
"Slates — In Blocks, Ingots, Bars, Or Slabs",21296011,0.014,92,Cwt,Germany | Holland | France | Chile | Other Foreign Countries
Implements And Tools — Unenumerated,0,0.014,58,?,Germany | Holland | Belgium | Brazil | British Possessions In South Africa
Woollen And Worsted Manufactures — Hosiery,0,0.011,57,?,Holland | Italy | United States Of America (Atlantic) | United States Of America | Western Africa (Foreign
Oil Seed Cake — Opium,829222,0.006,8,Lb,Turkey | Persia | Other Countries | China | British East Indies
"Horns, Tips And Pieces Thereof, And Hoofs",162021,0.003,25,?,Germany | Holland | Belgium | France | Egypt
"Plate, Gold — Silver",294156,0.001,46,?,France | Bengal And Burmah | Australia | Other Countries | Belgium
