fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1898,cdn_33_5_1898,2,0,GP,,right_only,,,,,145,29.0,,,,,,,9,145,29.0,2
1898,cdn_33_5_1898,2,1,GP,,right_only,,,,,245,49.0,,,,,,,7,245,49.0,2
1898,cdn_33_5_1898,2,2,GP,,right_only,,,,,15,3.0,,,,,,,1,15,3.0,2
1898,cdn_33_5_1898,2,3,GP,,right_only,,,,,34156,6831.2,,,,,,,1247,34156,6831.2,2
1898,cdn_33_5_1898,2,4,GP,"1 Animals, living, viz. :— Horned cattle..... > United States— Ontario..... Quebec..... Manitoba..... B. Columbia..... N. W. Ter.....",joined_weak,position,,,,575,115.0,,,,,,,23,575,115.0,2
1898,cdn_33_5_1898,2,6,GP,,right_only,,,,,420,84.0,,,,,,,3,420,84.0,2
1898,cdn_33_5_1898,2,7,GP,,right_only,,,,,6,1.2,,,,,,,1,6,1.2,2
1898,cdn_33_5_1898,2,8,GP,,right_only,,,,,293059,58609.5,,,,,,,12497,293059,58609.5,2
1898,cdn_33_5_1898,2,9,GP,,right_only,,,,,9482,1896.4,,,,,,,218,9482,1896.4,2
1898,cdn_33_5_1898,2,10,GP,,right_only,,,,,4330,866.0,,,,,,,111,4330,866.0,2
1898,cdn_33_5_1898,2,11,GP,,right_only,,,,,2413,482.6,,,,,,,46,2413,482.6,2
1898,cdn_33_5_1898,2,12,GP,,right_only,,,,,2855,571.0,,,,,,,65,2855,571.0,2
1898,cdn_33_5_1898,2,13,GP,,right_only,,,,,121997,24399.9,,,,,,,3605,121997,24399.9,2
1898,cdn_33_5_1898,2,14,GP,,right_only,,,,,84586,16917.7,,,,,,,4031,84586,16917.7,2
1898,cdn_33_5_1898,2,15,GP,"2 "" Horses..... > Great Britain..... St. Pierre..... United States.....",joined_weak,position,,,,6,1.2,,,,,,,1,6,1.2,2
1898,cdn_33_5_1898,2,16,GP,Total..... > Ontario..... Quebec..... Nova Scotia..... N. Brunswick..... Manitoba..... B. Columbia..... P. E. Island..... N. W. Ter.....,joined_weak,position,,,,67816,13559.9,,,,,,,4424,67816,13559.9,2
1898,cdn_33_5_1898,2,18,GP,,right_only,,,,,16,3.2,,,,,,,2,16,3.2,2
1898,cdn_33_5_1898,2,19,GP,,right_only,,,,,87985,17597.0,,,,,,,45084,87985,17597.0,2
1898,cdn_33_5_1898,2,20,GP,,right_only,,,,,40,8.0,,,,,,,2,40,8.0,2
1898,cdn_33_5_1898,2,21,GP,,right_only,,,,,19,3.8,,,,,,,4,19,3.8,2
1898,cdn_33_5_1898,2,22,GP,"3 "" Sheep..... > Great Britain..... United States.....",joined_weak,position,,,,105,21.0,,,,,,,2,105,21.0,2
1898,cdn_33_5_1898,2,23,GP,Total..... > Ontario..... Quebec..... Nova Scotia..... B. Columbia.....,joined_weak,position,,,,87837,17567.4,,,,,,,45078,87837,17567.4,2
1898,cdn_33_5_1898,2,25,GP,,right_only,,,,,341,68.3,,,,,,,,341,68.3,2
1898,cdn_33_5_1898,2,26,GP,,right_only,,,,,3,0.6,,,,,,,,3,0.6,2
1898,cdn_33_5_1898,2,27,GP,,right_only,,,,,3,0.6,,,,,,,,3,0.6,2
1898,cdn_33_5_1898,2,28,GP,,right_only,,,,,1216,243.2,,,,,,,,1216,243.2,2
1898,cdn_33_5_1898,2,29,GP,,right_only,,,,,160,32.0,,,,,,,,160,32.0,2
