commodity,year,unit,drop_country,country_qty,excess,match,ratio_now,ratio_after,n_countries,gbp_per_year
Cows,1895,Number,Other Foreign Countries,16,16,0.0,1.00851,1.0,7,1884834
Cows,1896,Number,Other Foreign Countries,4,4,0.0,1.001,1.0,6,1884834
Tallow And Stearine,1883,Cwt,British East Indies,8867,8600,0.03011,1.00828,0.99974,26,1824852
Tallow And Stearine,1888,Cwt,Channel Islands,4273,4273,0.0,1.00373,1.0,16,1824852
Tallow And Stearine,1898,Cwt,Germany,14283,14076,0.01449,1.00696,0.9999,23,1824852
Pork — Salted (Not Hams),1894,Cwt,Germany,473,473,0.0,1.0021,1.0,9,1748071
Pork — Salted (Not Hams),1899,Cwt,France,139,300,0.53667,1.00105,1.00057,8,1748071
Oil Seed Cake — Linseed Cake,1894,Ton,Italy,224,222,0.00893,1.00119,0.99999,19,1500205
Oil Seed Cake — Linseed Cake,1895,Ton,Other Foreign Countries,1745,1625,0.06877,1.00765,0.99944,19,1500205
Oil Seed Cake — Linseed Cake,1896,Ton,Sweden,625,709,0.11848,1.00321,1.00038,21,1500205
"Skins : Goat, Undressed",1895,Number,France,1424354,1427535,0.00223,1.10265,1.00023,35,1485686
"Skins : Goat, Undressed",1896,Number,Cape Of Good Hope,1323970,1320630,0.00252,1.1323,0.99967,34,1485686
"Tin — In Blocks, Ingots, Bars, Or Slabs",1886,Cwt,Peru,1839,1810,0.01577,1.00376,0.99994,11,1418485
"Animals, Living — Sheep And Lambs",1893,Number,Chile,694,694,0.0,1.01107,1.0,6,1333938
"Animals, Living — Sheep And Lambs",1896,Number,Chile,897,897,0.0,1.00117,1.0,9,1333938
"Animals, Living — Sheep And Lambs",1898,Number,Chile,4304,4304,0.0,1.00648,1.0,7,1333938
"Wood And Timber — House Frames, Fittings, And Joiners' Work",1894,Value,Norway,2768,2881,0.03922,1.00431,1.00017,18,1297521
Potatoes,1880,Cwt,United States Of America,24466,20000,0.18254,1.00205,0.99954,10,1201373
