gold_commodity,year,class,detail,pipe_name
Alkali,1891,value-error,5/6 countries match,ALKALI None
Alkali,1896,value-error,0/8 countries match,ALKALI None
Almonds,1876,value-error,5/6 countries match,Almonds
Almonds,1881,value-error,5/6 countries match,Almonds
Almonds,1896,value-error,1/10 countries match,Almonds
Animal Oil,1891,value-error,4/5 countries match,Animal
Animal Oil,1896,value-error,1/4 countries match,Animal
Animals Unenumerated,1876,value-error,0/0 countries match,Animal
Animals Unenumerated,1881,value-error,0/0 countries match,Animal
Animals Unenumerated,1886,value-error,0/0 countries match,Animal
Animals Unenumerated,1891,value-error,0/0 countries match,Animal
Apples Raw,1896,value-error,1/13 countries match,"Apples, Raw"
Arms and Ammunition Gunpowder,1896,value-error,0/2 countries match,Gunpowder
Arms and Ammunition Shot Large and Small,1896,value-error,0/2 countries match,"Shot, Large and Small"
Bacon,1891,value-error,8/9 countries match,BACON None
Bacon,1896,value-error,2/8 countries match,BACON None
Bark Peruvian,1886,value-error,10/16 countries match,"Bark, Peruvian"
Bark Peruvian,1891,value-error,8/12 countries match,"Bark, Peruvian"
Bark Peruvian,1896,value-error,0/11 countries match,"Bark, Peruvian"
Barley,1896,value-error,17/19 countries match,Barley
Beads of all Sorts,1886,value-error,8/9 countries match,Unenumerated
Beads of all Sorts,1891,value-error,6/7 countries match,Unenumerated
Beads of all Sorts,1896,value-error,6/7 countries match,Unenumerated
Bean Meal and Pea Meal,1876,value-error,0/1 countries match,Bean Meal and Pea Meal
Beans,1886,value-error,10/12 countries match,Beans (not Kidney or French)
Beans,1896,value-error,1/12 countries match,Beans (not Kidney or French)
Beef Fresh,1881,value-error,1/3 countries match,Fresh (not of British taking)
Beef Fresh,1886,value-error,3/7 countries match,Fresh (not of British taking)
Beef Fresh,1891,value-error,5/9 countries match,Fresh (not of British taking)
Beef Fresh,1896,value-error,5/9 countries match,Fresh (not of British taking)
Beef Salted,1876,value-error,0/3 countries match,Salted
Beef Salted,1881,value-error,1/3 countries match,Salted
Beef Salted,1886,value-error,2/5 countries match,Salted
Beef Salted,1891,value-error,2/6 countries match,Salted
Beef Salted,1896,value-error,1/6 countries match,Salted
Beer and Ale Mum,1876,value-error,0/1 countries match,Of other Sorts
Beer and Ale Mum and Spruce,1896,value-error,0/1 countries match,Mum and Spruce
Beer and Ale Spruce,1876,value-error,0/2 countries match,Of other Sorts
Beer and Ale of other Sorts,1896,value-error,0/7 countries match,Of other Sorts
Bones (except Whalefins),1876,value-error,0/9 countries match,"Bones of Animals, and Fish for Manure only"
Bones except Whalebone for Manufacturing,1891,value-error,0/8 countries match,WHALEBONE (Whalefins) None
Bones except Whalebone for Manufacturing,1896,value-error,0/12 countries match,WHALEBONE (Whalefins) None
Bones for manure,1891,value-error,15/19 countries match,Bones for Manure (whether burnt or not)
Bones for manure,1896,value-error,2/19 countries match,Bones for Manure (whether burnt or not)
Brandy,1896,value-error,1/13 countries match,Brandy
Brimstone,1886,value-error,5/6 countries match,BRIMSTONE None
Brimstone,1896,value-error,0/2 countries match,BRIMSTONE None
Bristles,1876,value-error,8/9 countries match,BRISTLES None
Bristles,1891,value-error,8/13 countries match,BRISTLES None
Buckwheat,1891,value-error,0/5 countries match,Buckwheat
Buckwheat,1896,value-error,0/4 countries match,Buckwheat
Butter,1891,value-error,12/18 countries match,BUTTER None
Butter,1896,value-error,3/19 countries match,BUTTER None
Butterine,1886,value-error,6/7 countries match,BUTTERINE None
"Buttons and Studs, not of Metal",1896,value-error,2/6 countries match,"BUTTONS AND STUDS, not of Metal None"
Calves,1891,value-error,5/6 countries match,Calves
Calves,1896,value-error,0/3 countries match,Calves
Candles of all Sorts,1886,value-error,6/7 countries match,Other Kinds
Cannon and Mortars not Mounted or Accompanied with Carriages,1876,attribution-shift,1/1 values present but mislabeled,"Cannon and Mortars, mounted or accompanied with Carriages None"
Caoutchouc,1876,value-error,12/15 countries match,CAOUTCHouc None
Caoutchouc,1881,value-error,13/15 countries match,CAOUTCHouc None
