table,volume,article_group,article,n_rows,seq_min,seq_max,boundary_seq,boundary_years,n_t1_totals,rows_after,qty_after,first_after,matched
country_obs,as_1899,LIQUORICE,"MANGANESE, Ore of",105,12903,13007,13006,1895;1896;1897;1898,4,1,257603,TOTAL,own
country_obs,as_1899,MANURES,Nitrate of Soda (cubic nitre),34,13231,13264,13263,1895;1896;1897;1898,7,1,140551,TOTAL,own
country_obs,as_1899,NUTS AND KERNELS,Commonly used for expressing Oil therefrom,178,14474,14652,14651,1895;1896;1897;1898,4,1,57188,TOTAL,For expressing Oil therefrom;Nuts and Kernels for expressing
country_obs,as_1899,NUTS AND KERNELS,Seed,66,15179,15245,15244,1895;1896;1897;1898,4,1,46410,TOTAL,own
country_obs,as_1899,NUTS AND KERNELS,Turpentine,37,15246,15282,15281,1895;1898,2,1,495803,TOTAL,own
country_obs,as_1899,"PICKLES and VEGETABLES, Pre- served in Salt or Vinegar",,50,16727,16776,16775,1896;1897;1898,3,1,2590036,TOTAL,"Pickles and Vegetables preserved in Salt or Vinegar - """
country_obs,as_1899,PORK,Salted (not hams),57,17181,17237,17236,1895;1896;1897;1898,4,1,234720,TOTAL,own
country_obs,as_1899,"SAUCES or CONDIMENTS, Unenumerated",,100,17875,17974,17973,1895;1896;1897;1898,4,1,5791301,TOTAL,own
country_obs,as_1899,SUGAR,"Refined, or rendered by any process equal thereto : Other Sorts, including Candy",75,21116,21190,21189,1895;1896;1897;1898,4,1,15179924,TOTAL,".. "" Other sorts, including Candy"
country_obs,as_1899,SUGAR,"Unrefined, Beetroot",41,21267,21307,21306,1895;1896;1897;1898,4,1,9399372,TOTAL,own
country_obs_inf,as_1880,"TEETH, Elephants', Sea Cow, and Sea Horse",,14,1551,1564,1563,1880,1,1,190,all Countries,own
country_obs_inf,as_1883,ANIMALS LIVING,"Horses, mares, geldings, colts, and foals",14,54,71,66,1883,1,1,560,"Shot, large and small :  From all Countries","Animals, Living|Horses"
country_obs_inf,as_1888,IRON,"Old Broken, and Old Cast Iron and Steel",6,1456,1461,1460,1888,1,1,11532,TOTAL,Horns and Hoofs
country_obs_inf,as_1889,ZINC,Ore of,14,3580,3593,3592,1889,1,1,24301,TOTAL,Dyeing or Tanning Stuffs|Safflower
country_obs_inf,as_1892,PITCH,,8,2420,2427,2426,1892,1,1,96254,TOTAL,Dyeing or Tanning Stuffs|Safflower
country_obs_inf,as_1893,COPPER,Part Wrought,8,503,511,509,1893,2,1,4241,TOTAL,own
country_obs_inf,as_1893,TOBACCO,"White, in Casks",18,321,338,337,1893,1,1,12292505,TOTAL,White
country_obs_inf,as_1894,"COPPER, Ore of",Part Wrought,7,498,505,503,1894,2,1,1753,TOTAL,own
country_obs_inf,as_1894,IRON and STEEL,"Bar, Angle, Bolt and Rod",9,1695,1703,1702,1894,2,1,63247,TOTAL,Plate|Of Gold
country_obs_inf,as_1894,METAL,Unenumerated,9,2197,2205,2204,1894,2,1,2367,TOTAL,""" Iodide of"
country_obs_inf,as_1895,Beef,"Leaf, not Gold",6,2192,2197,2196,1895,1,1,3737,TOTAL,own
country_obs_inf,as_1896,METAL,"MILK, CONDENSED OR PRESERVED",10,2272,2281,2280,1896,2,1,611335,TOTAL,""" or Ingots;Part Wrought"
country_obs_inf,as_1896,OIL,Olive,10,2406,2415,2414,1896,2,1,18853,TOTAL,""" Iodide of;,, Iodide"
country_obs_inf,as_1897,Bark,Cochineal,25,3279,3303,3302,1894;1895;1896,5,1,1729,TOTAL,Plate|Of Gold
country_obs_inf,as_1897,Bark,Myrobalans,34,3496,3529,3528,1895;1896,2,1,371999,TOTAL,own
country_obs_inf,as_1897,"CARDS, PLAYING",COFFEE: „ Raw,164,23941,24104,24103,1893;1894;1895;1896,4,1,756452,TOTAL,own
country_obs_inf,as_1897,"CARDS, PLAYING",Other Sorts,115,25532,25646,25645,1896,1,1,668288,TOTAL,"Tobacco|"" Other Sorts"
country_obs_inf,as_1897,"CARDS, PLAYING",Perfumed,55,24989,25043,25042,1893;1894;1895;1896,4,1,54295,TOTAL,own
country_obs_inf,as_1897,"CARDS, PLAYING",Total of all Kinds,125,26277,26401,26400,1894;1895;1896,3,1,17559284,TOTAL,Wine
country_obs_inf,as_1897,"CARDS, PLAYING",Transparent in the Manufacture of which Spirit has been used,27,24500,24526,24525,1893;1895;1896,3,1,13597,TOTAL,"Soup, Transparent, in the manufacture of which Spirit } has "
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Barley,141,1403,1543,1542,1893;1894;1896,3,1,18058720,TOTAL,own
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Oats,114,1544,1657,1656,1894;1896,2,1,16116510,TOTAL,own
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",RAW,147,2293,2439,2438,1895;1896,2,1,15394280,TOTAL,own
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Waste of (Raw and Yarn),76,2488,2563,2562,1893;1896,2,1,20965005,TOTAL,own
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Yarn,48,2440,2487,2486,1896,1,1,4884052,TOTAL,own
country_obs_inf,as_1897,Cotton,"Furs, Rabbit Skins",60,17863,17922,17921,1896,1,1,20213971,TOTAL,own
country_obs_inf,as_1897,Cotton,"Furs, Unenumerated",147,18051,18198,18197,1893;1894;1895;1896,4,1,9400901,TOTAL,own
country_obs_inf,as_1897,Cotton,SLATES,22,18273,18294,18293,1896,1,1,51250130,TOTAL,own
country_obs_inf,as_1897,FLAX,Bottles,43,6238,6280,6279,1894;1895;1896,3,1,961188,TOTAL,own
country_obs_inf,as_1897,FLAX,"Lac, Seed, Shell, Stick, and Dye",46,6625,6670,6669,1893;1894;1895;1896,4,1,177567,TOTAL,own
country_obs_inf,as_1897,FLAX,Lemons,49,5289,5337,5336,1893;1895;1896,3,1,1548915,TOTAL,own
country_obs_inf,as_1897,FLAX,"Pears, Raw",58,5549,5606,5605,1893;1894;1895;1896,4,1,1051577,TOTAL,own
country_obs_inf,as_1897,FLAX,"Preserved without Sugar, other than Dried",118,5833,5950,5949,1894;1895;1896,3,1,65816206,TOTAL,Preserved without Sugar
country_obs_inf,as_1897,FLAX,"Unenumerated, Raw",182,5651,5832,5831,1893;1896,2,1,526844,TOTAL,Dried
country_obs_inf,as_1897,HATS OR BONNETS,"Unenumerated vegetable sub- stances, applicable to the same uses as hemp or flax",109,7813,7922,7921,1893;1894;1895;1896,4,1,5895,TOTAL,Unenumerated Vegetable Substances applic-able to the same us
country_obs_inf,as_1897,LEAD,Unenumerated,104,10974,11078,11077,1894;1895;1896,3,1,81601,TOTAL,Manures|Unenumerated
country_obs_inf,as_1897,PORK,Clover and Grass,82,15747,15828,15827,1896,1,1,297916,TOTAL,own
country_obs_inf,as_1897,TIN,Eastern Coast of Africa,53,19930,19982,19981,1894;1895;1896,3,1,6201,TOTAL,"Tin Ore;Tin, Ore of"
country_obs_inf,as_1897,TIN,"Hewn, Fir",78,20676,20753,20752,1893;1894;1895;1896,4,1,2455719,TOTAL,own
country_obs_inf,as_1897,TIN,"Hewn, Unenumerated",73,20895,20967,20966,1896,1,1,87074,TOTAL,"Wood and Timber|""    Unenumerated"
country_obs_inf,as_1897,TIN,Mahogany,99,21205,21303,21302,1893;1894;1895;1896,4,1,73176,TOTAL,own
country_obs_inf,as_1897,TIN,"Mahogany : Unenumerated (not being ash, beech, birch, elm, oak, or wainscot)",210,21304,21513,21512,1893;1896,2,1,147855,TOTAL,Furniture woods and hard woods|Unenumerated
country_obs_inf,as_1897,WOOLLEN YARN,"For Fancy Purposes, including Berlin Wool and Zephyr Yarn",33,22049,22081,22080,1893;1894;1895;1896,6,1,1120496,TOTAL,"Woollen Yarn, For fancy purposes"
country_obs_inf,as_1897,WOOLLEN YARN,Stuffs,44,22337,22380,22379,1895;1896,3,1,83725892,TOTAL,own
country_obs_inf,as_1898,"ANIMALS, LIVING",Calves,33,80,112,111,1894;1895;1896;1897;1898,6,1,176,TOTAL,""" Iodide of;,, Iodide;Oranges (see Fruit)."
country_obs_inf,as_1898,"ANIMALS, LIVING",Cows,37,43,79,78,1894;1895;1897,3,1,4500,TOTAL,own
country_obs_inf,as_1898,"ANIMALS, LIVING",Oxen and Bulls,42,1,42,41,1894;1895;1896;1897,4,1,561390,TOTAL,own
country_obs_inf,as_1898,"ANIMALS, LIVING","Swords, Cutlasses, Matchets, Bayonets",41,535,575,574,1894;1895;1896;1897,7,1,1534,TOTAL,own
country_obs_inf,as_1898,Bark,"Cured, Sardines",64,6427,6490,6489,1894;1896;1897,3,1,229273,TOTAL,own
country_obs_inf,as_1898,Bark,Logwood,65,5475,5539,5538,1894;1896;1897,3,1,43374,TOTAL,own
country_obs_inf,as_1898,Bark,Valonia,39,5289,5327,5326,1894;1895;1896;1897,7,1,25832,TOTAL,own
country_obs_inf,as_1898,"CARDS, PLAYING",Raisins,48,25811,25858,25857,1894;1895;1896;1897;1898,6,1,594161,TOTAL,own
country_obs_inf,as_1898,"CARDS, PLAYING",,43,24866,24908,24907,1895;1896;1897;1898,5,1,43538,TOTAL,own
country_obs_inf,as_1898,"CHINA, OR PORCELAIN, AND EARTHENWARE",Oatmeal and Groats,33,4020,4052,4051,1894;1896;1897,3,1,989430,TOTAL,own
country_obs_inf,as_1898,"CHINA, OR PORCELAIN, AND EARTHENWARE","Old, fit only to be re-manu- factured",110,2622,2732,2731,1894;1895;1896;1897,4,1,4012,TOTAL,"Old, fit only to be re-manufactured"
country_obs_inf,as_1898,Cotton,Rape,73,17854,17926,17925,1894;1895;1897,3,1,258051,TOTAL,Hemp
country_obs_inf,as_1898,Cotton,Tares and Lentils,78,18005,18082,18081,1897,1,1,345760,TOTAL,own
country_obs_inf,as_1898,FLAX,"Window and German Sheet, including Shades and Cylinders",36,7864,7899,7898,1894;1895;1896;1897,7,1,1309757,TOTAL,own
country_obs_inf,as_1898,GUM,"Cow, Ox, Bull, or Elk",109,8729,8837,8836,1894;1896;1897,3,1,28412,TOTAL,own
country_obs_inf,as_1898,HATS OR BONNETS,Dressed or Undressed,143,9368,9512,9511,1896;1897,2,1,84606,TOTAL,"Hemp, Dressed or Undressed"
country_obs_inf,as_1898,HATS OR BONNETS,Of Straw,55,9134,9188,9187,1897,1,1,149851,TOTAL,own
country_obs_inf,as_1898,IRON,Ore of (including Chrome),116,10473,10588,10587,1894;1895;1896;1897,4,1,5163396,TOTAL,own
country_obs_inf,as_1898,LEATHER,Gloves,44,12139,12182,12181,1894;1895;1896;1897,4,1,1907147,TOTAL,own
country_obs_inf,as_1898,LEATHER,"Unenumerated, Salted or Fresh",83,12950,13032,13031,1895;1897,2,1,414077,TOTAL,Meat. Unenumerated : Salted or Fresh
country_obs_inf,as_1898,METAL,Palm,92,14615,14706,14705,1894;1896;1897,3,1,910000,TOTAL,own
country_obs_inf,as_1898,"ORE, unenumerated",Esparto and other Vegetable Fibres,39,15856,15894,15893,1896;1897,2,1,107341,TOTAL,own
country_obs_inf,as_1898,SPIRITS,Brandy,87,26004,26090,26089,1894;1895;1896;1897,4,1,2515789,TOTAL,own
country_obs_inf,as_1898,TOBACCO,Cigars,168,26436,26603,26602,1894;1895;1896;1897,4,1,2475083,TOTAL,"Manufactured, Cigars"
country_obs_inf,as_1898,WOOL,Eastern Coast of Africa,150,23613,23762,23761,1894;1895;1896;1897,4,1,689440139,TOTAL,Other Goats' Wool or Hair;Sheep or Lambs' Wool
country_obs_inf,as_1898,WOOL,"Goats' wool, Mohair",38,23449,23486,23485,1897,1,1,20011560,TOTAL,own
country_obs_inf,as_1898,WOOLLEN YARN,Cloths,45,24036,24080,24079,1894;1895;1896;1897,4,1,6022498,TOTAL,Of Wool (other than Goats'): Cloths
country_obs_inf,as_1899,ALKALI,Stallions,85,328,412,411,1895;1896;1897;1898;1899,6,1,933,TOTAL,"Chicory : Other Vegetable matter, applicable to the uses of "
country_obs_inf,as_1899,Bark,Cochineal,24,5374,5397,5396,1895;1896;1897;1898;1899,6,1,3823,TOTAL,own
country_obs_inf,as_1899,Bark,Logwood,59,5848,5906,5905,1895;1896;1897;1898,4,1,33129,TOTAL,own
country_obs_inf,as_1899,Beef,,100,13668,13767,13766,1895;1896;1897;1898,4,1,396349,TOTAL,own
country_obs_inf,as_1899,"CARDS, PLAYING",Raw,163,25991,26153,26152,1895;1898,2,1,971793,TOTAL,"Coffee;Coffee, Raw"
country_obs_inf,as_1899,"CARDS, PLAYING",TEA,128,27122,27249,27248,1895;1896;1898,3,1,288022251,TOTAL,own
country_obs_inf,as_1899,CHEESE,Barley,143,3496,3638,3637,1896;1897;1898,3,1,17180358,TOTAL,own
country_obs_inf,as_1899,CHEESE,Maize or Indian Cornmeal,25,4245,4269,4268,1895;1896;1897;1898,4,1,1814706,TOTAL,Maize or Indian Corn Meal
country_obs_inf,as_1899,CHEESE,"Meal, not otherwise enumerated or described",89,4270,4358,4357,1895;1896;1897;1898,4,1,626367,TOTAL,"Meal, unenumerated"
country_obs_inf,as_1899,CHEESE,Oats,106,3639,3744,3743,1895;1896;1897;1898,4,1,15026730,TOTAL,own
country_obs_inf,as_1899,CHEESE,Rye,51,3745,3795,3794,1896;1897;1898,3,1,118333,TOTAL,own
country_obs_inf,as_1899,CHEESE,Yarn,50,4504,4553,4552,1896;1898,2,1,4691071,TOTAL,own
country_obs_inf,as_1899,COTTON MANUFACTURES,"Piece Goods, other than Muslins",78,4657,4734,4733,1898,1,1,42191937,TOTAL,""" "" "" Other than Muslins;"" "" "" Other than Muslins }"" "" "" "" M"
country_obs_inf,as_1899,Cotton,Ginger,77,20672,20748,20747,1895;1896;1897;1898,4,1,76826,TOTAL,own
country_obs_inf,as_1899,FRUIT,"Unenumerated, Dried",89,7875,7963,7962,1896;1897;1898,3,1,462576,TOTAL,own
country_obs_inf,as_1899,GLASS,Bottles,53,8361,8413,8412,1895;1896;1897;1898;1899,6,1,1266959,TOTAL,own
country_obs_inf,as_1899,GUM,HAMS,55,9473,9527,9526,1895;1896;1897;1898,4,1,1978026,TOTAL,own
country_obs_inf,as_1899,HATS OR BONNETS,Dressed or Undressed,141,9756,9897,9896,1897;1898,2,1,89443,TOTAL,"Hemp, Dressed or Undressed"
country_obs_inf,as_1899,HATS OR BONNETS,Of Felt,38,9582,9619,9618,1895;1896;1898,4,1,540010,TOTAL,own
country_obs_inf,as_1899,HATS OR BONNETS,Wet,203,10316,10518,10517,1895;1896;1898,3,1,703548,TOTAL,own
country_obs_inf,as_1899,IRON,Eastern Coast of Africa,104,11687,11790,11789,1895;1896;1897;1898,4,1,9930,TOTAL,"Ivory : Teeth, Elephants', Sea-Cow, and Sea-Horse - "";Teeth,"
country_obs_inf,as_1899,IRON,"Manufactures of Iron or Steel: Girders, Beams, and Pillars",22,11312,11333,11332,1895;1896;1897;1898,4,1,95470,TOTAL,"Girders, Beams and Pillars } Tons;— Girders, Beamsand Pillar"
country_obs_inf,as_1899,MALT,Bones for Manure (whether burnt or not),139,13118,13256,13255,1895;1896;1897;1898,4,1,68015,TOTAL,own
country_obs_inf,as_1899,MALT,"MANGANESE, Ore of",105,13013,13117,13116,1895;1898,2,1,257603,TOTAL,own
country_obs_inf,as_1899,NUTS AND KERNELS,Commonly used for expressing Oil therefrom,178,14608,14786,14785,1895;1896;1898,3,1,57188,TOTAL,For expressing Oil therefrom;Nuts and Kernels for expressing
country_obs_inf,as_1899,OIL,Esparto and other Vegetable Fibres,39,16503,16541,16540,1895;1896;1897;1898;1899,6,1,207604,TOTAL,own
country_obs_inf,as_1899,OIL,Palm,93,15260,15352,15351,1895;1896;1898,3,1,915472,TOTAL,own
country_obs_inf,as_1899,OIL,Turpentine,37,15420,15456,15455,1898;1899,3,1,495808,TOTAL,own
country_obs_inf,as_1899,"SAUCES or CONDIMENTS, Unenumerated",,100,18130,18229,18228,1895;1896;1897;1898,4,1,5791301,TOTAL,own
country_obs_inf,as_1899,SEEDS,Clover and Grass,79,18230,18308,18307,1896;1898,2,1,290268,TOTAL,own
country_obs_inf,as_1899,SUGAR,"Staves, of all Dimensions",69,23333,23401,23400,1895;1896;1897;1898,4,1,120210,TOTAL,own
country_obs_inf,as_1899,SUGAR,"Unrefined, Beetroot",41,21495,21535,21534,1895;1898,2,1,9399372,TOTAL,own
country_obs_inf,as_1899,TOBACCO,Champagne,25,27917,27941,27940,1895;1897;1898,3,1,1386265,TOTAL,"White: Champagne "" "" "" """
country_obs_inf,as_1899,WOOLLEN YARN,Stuffs,42,24560,24601,24600,1895;1896;1897;1898,6,1,71288250,TOTAL,own
country_obs_inf,as_1899,WOOLLEN YARN,Unenumerated,168,24313,24481,24480,1895;1897;1898;1899,5,1,32390,TOTAL,„ „ For Weaving
country_obs,as_1872,ALKALI,,7,1,7,7,1872,1,0,0,,own
country_obs,as_1872,ANIMALS,Horses,6,26,31,31,1872,1,0,0,,own
country_obs,as_1872,ANIMALS,Sheep and Lambs,9,32,40,40,1872,1,0,0,,own
country_obs,as_1872,BANK,"For Tanners' or Dyers' Use, Unenumerated",8,94,101,101,1872,1,0,0,,own
country_obs,as_1872,BANK,Peruvian,9,107,115,115,1872,1,0,0,,own
country_obs,as_1872,BEADS,Of Glass,5,122,126,126,1872,1,0,0,,own
country_obs,as_1872,BOOKS,,10,151,160,160,1872,1,0,0,,own
country_obs,as_1872,BRIMSTONE,,4,168,171,171,1872,1,0,0,,own
country_obs,as_1872,BUTTER,,11,179,189,189,1872,1,0,0,,own
country_obs,as_1872,CANDLES,Stearine,4,196,199,199,1872,1,0,0,,own
country_obs,as_1872,CAOUTCHouc,Manufactures of,4,221,224,224,1872,1,0,0,,own
country_obs,as_1872,CAOUTCHouc,West Coast of Africa,12,209,220,220,1872,1,0,0,,Caoutchouc
country_obs,as_1872,CHEMICAL MANUFACTURES and PRODUCTS,CHINA or PORCELAIN WARE,9,244,252,252,1872,1,0,0,,own
country_obs,as_1872,CHEMICAL MANUFACTURES and PRODUCTS,CLOCKS,7,253,259,259,1872,1,0,0,,own
country_obs,as_1872,CHEMICAL MANUFACTURES and PRODUCTS,COCHINEAL (including Granilla and Dust),9,264,272,272,1872,1,0,0,,"Dyeing or Tanning Stuffs|Cochineal, Granilla, and Dust"
country_obs,as_1872,"CHICORY, Raw or Kiln-dried",Raisins,7,77,83,83,1872,1,0,0,,own
country_obs,as_1872,"CHICORY, Raw or Kiln-dried",,4,14,17,17,1872,1,0,0,,own
country_obs,as_1872,"CORDAGE, TWINE, and CABLE YARN","CORK, UNMANUFACTURED",4,330,333,333,1872,1,0,0,,own
country_obs,as_1872,"CORDAGE, TWINE, and CABLE YARN",Manufactured,5,334,338,338,1872,1,0,0,,own
country_obs,as_1872,COTTON MANUFACTURES,Piece Goods of India and China,5,478,482,482,1872,1,0,0,,Cotton|Manufactures of India and China
country_obs,as_1872,Cotton,Flax and Linseed,12,1563,1574,1574,1872,1,0,0,,own
country_obs,as_1872,Cotton,Tares and Lentils,4,1594,1597,1597,1872,1,0,0,,own
country_obs,as_1872,Cotton,,5,1558,1562,1562,1872,1,0,0,,own
country_obs,as_1872,DYE WOODS,Logwood,7,540,546,546,1872,1,0,0,,own
country_obs,as_1872,DYE WOODS,Unenumerated,11,547,557,557,1872,1,0,0,,Dyewoods|Unenumerated
country_obs,as_1872,FEATHERS,Ornamental,11,600,610,610,1872,1,0,0,,own
country_obs,as_1872,FEATHERS,for BENDS,6,594,599,599,1872,1,0,0,,Feathers|For Beds
country_obs,as_1872,"FLOWERS, ARTIFICIAL",Almonds,7,647,653,653,1872,1,0,0,,own
country_obs,as_1872,"FLOWERS, ARTIFICIAL",Oranges and Lemons,7,663,669,669,1872,1,0,0,,own
country_obs,as_1872,"FLOWERS, ARTIFICIAL","Raw, not otherwise described",11,681,691,691,1872,1,0,0,,"Fruit|Raw, Unenumerated"
country_obs,as_1872,GALLS,,6,701,706,706,1872,1,0,0,,own
country_obs,as_1872,GUAR,Arabic,7,739,745,745,1872,1,0,0,,own
country_obs,as_1872,GUAR,"Lac, Seed, Shell, Stick, and Dye",4,749,752,752,1872,1,0,0,,own
country_obs,as_1872,GUAR,Unenumerated,16,753,768,768,1872,1,0,0,,Gum|Of other Sorts;Of other Sorts
country_obs,as_1872,HAIR,"Cow, Ox, Bull, or Elk",9,782,790,790,1872,1,0,0,,own
country_obs,as_1872,HATS or BONNETS,Of Felt,4,829,832,832,1872,1,0,0,,own
country_obs,as_1872,Horns,,7,926,932,932,1872,1,0,0,,Hops
country_obs,as_1872,Horse,,9,797,805,805,1872,1,0,0,,own
country_obs,as_1872,ICE,INDIGO,14,949,962,962,1872,1,0,0,,own
country_obs,as_1872,IRON,"Bars, Unwrought",6,973,978,978,1872,1,0,0,,own
country_obs,as_1872,IRON,Steel Unwrought,5,987,991,991,1872,1,0,0,,own
country_obs,as_1872,IRON and STEEL,Wrought or Manufactured,10,992,1001,1001,1872,1,0,0,,own
country_obs,as_1872,ISINGLASS,,7,1002,1008,1008,1872,1,0,0,,own
country_obs,as_1872,LEAD,Pig and Sheet,8,1039,1046,1046,1872,1,0,0,,own
country_obs,as_1872,LIARD,,6,1024,1029,1029,1872,1,0,0,,Lard;Lawl
country_obs,as_1872,LINEN YARN (including Linen Yarn Waste),,4,1070,1073,1073,1872,1,0,0,,own
country_obs,as_1872,LIQUORICE,,6,1082,1087,1087,1872,1,0,0,,own
country_obs,as_1872,MADDER,Garancine,4,1100,1103,1103,1872,1,0,0,,own
country_obs,as_1872,MANGANESE ORE,,5,1105,1109,1109,1872,1,0,0,,own
country_obs,as_1872,MANURES,Guano,13,1127,1139,1139,1872,1,0,0,,own
country_obs,as_1872,MEAT,"Preserved, otherwise than by Salting",7,1159,1165,1165,1872,1,0,0,,own
country_obs,as_1872,Meal and Flour,"COTTON RAW, and WASTE OF",23,448,470,470,1872,1,0,0,,Cotton|Raw
country_obs,as_1872,Meal and Flour,Wheat Meal and Flour,12,424,435,435,1872,1,0,0,,"Corn, Grain, and Meal|Wheatmeal and Flour"
country_obs,as_1872,"NITRE, CUBIC",,5,1209,1213,1213,1872,1,0,0,,own
country_obs,as_1872,OIL,Animal,5,1239,1243,1243,1872,1,0,0,,own
country_obs,as_1872,OIL,"Chemical, Essential, or Perfumed",10,1284,1293,1293,1872,1,0,0,,own
country_obs,as_1872,OIL,Coco-nut,6,1244,1249,1249,1872,1,0,0,,own
country_obs,as_1872,OIL,Oil SEED CAKES,12,1305,1316,1316,1872,1,0,0,,own
country_obs,as_1872,OIL,Olive,12,1250,1261,1261,1872,1,0,0,,own
country_obs,as_1872,OIL,"Seed Oil, of all Kinds",10,1270,1279,1279,1872,1,0,0,,"Seed, of all Kinds"
country_obs,as_1872,OIL,Turpentine (Oil or Spirit of),4,1280,1283,1283,1872,1,0,0,,own
country_obs,as_1872,OIL,West Coast of Africa,7,1263,1269,1269,1872,1,0,0,,Oil|Palm;Palm
country_obs,as_1872,ONIONS,,7,1317,1323,1323,1872,1,0,0,,"Onions, Raw"
country_obs,as_1872,PAPER,Hangings,5,1359,1363,1363,1872,1,0,0,,own
country_obs,as_1872,PLUMBAGO,,5,1421,1425,1425,1872,1,0,0,,own
country_obs,as_1872,PYRITES of IRON or COPPER or SULPHUR ORE,,6,1462,1467,1467,1872,1,0,0,,"Pyrites of Iron or Copper;Pyrites of Iron, Copper, or Sulphu"
country_obs,as_1872,RAGS and other Materials for making Paper,"WOOLLEN: Applicable to other uses than Manure, torn up or not",10,1501,1510,1510,1872,1,0,0,,"Rags and other materials for making Paper|Woollen, applicabl"
country_obs,as_1872,ROSEN,SAFFLOWER,4,1526,1529,1529,1872,1,0,0,,own
country_obs,as_1872,ROSEN,,4,1522,1525,1525,1872,1,0,0,,Resin;Rosin
country_obs,as_1872,Rough and in the Husk,Not Rough nor in the Husk,6,1516,1521,1521,1872,1,0,0,,"Rice, not in the Husk"
country_obs,as_1872,SAGO and SAGO FLOUR,,4,1530,1533,1533,1872,1,0,0,,Sago
country_obs,as_1872,SALTPETRE,,8,1538,1545,1545,1872,1,0,0,,own
country_obs,as_1872,SEEDS,Clover and Grass,7,1551,1557,1557,1872,1,0,0,,own
country_obs,as_1872,SEEDS,"Unenumerated, commonly used for expressing Oil therefrom",8,1598,1605,1605,1872,1,0,0,,"Seeds|Unenumerated, for expressing Oil therefrom"
country_obs,as_1872,"SHIPS, with their Tackle, Apparel, and Furniture",SHUMACH,4,1617,1620,1620,1872,1,0,0,,own
country_obs,as_1872,SILK,Knubs or Husks and Waste,12,1621,1632,1632,1872,1,0,0,,own
country_obs,as_1872,SILK,Raw,15,1633,1647,1647,1872,1,0,0,,own
country_obs,as_1872,SILK,Thrown,6,1648,1653,1653,1872,1,0,0,,own
country_obs,as_1872,"SKINS, FURS, and PELTS",Seal,10,1717,1726,1726,1872,1,0,0,,own
country_obs,as_1872,SPICES,Cinnamon,4,1775,1778,1778,1872,1,0,0,,own
country_obs,as_1872,SPICES,Ginger (Raw),8,1779,1786,1786,1872,1,0,0,,"Spices|Ginger, Raw"
country_obs,as_1872,SPICES,Pepper,11,1787,1797,1797,1872,1,0,0,,own
country_obs,as_1872,SPIRITS,Rum,8,94,101,101,1872,1,0,0,,own
country_obs,as_1872,SUGAR,"Refined or Sugar, equal in quality thereto, and     Sugar Candy",6,146,151,151,1872,1,0,0,,Sugar|Refined and Candy
country_obs,as_1872,TALLOW and STEARINE,,10,1822,1831,1831,1872,1,0,0,,own
country_obs,as_1872,TAR,West Coast of Africa,8,1841,1848,1848,1872,1,0,0,,"Teeth, Elephants', Sea Cow, and Sea Horse"
country_obs,as_1872,TAR,,6,1832,1837,1837,1872,1,0,0,,own
country_obs,as_1872,TOBACCO,Unmanufactured,20,300,319,319,1872,1,0,0,,Tobacco|Raw
country_obs,as_1872,Toys,VALONIA,4,1870,1873,1873,1872,1,0,0,,own
country_obs,as_1872,Unrefined,2nd Class,101,174,274,274,1872,1,0,0,,Sugar|Raw
country_obs,as_1872,VARNISH CONTAINING ALCOHOL,VINEGAR,51,345,395,395,1872,1,0,0,,Wine
country_obs,as_1872,WAX,WHALEFINS,4,1897,1900,1900,1872,1,0,0,,own
country_obs,as_1872,WAX,,13,1884,1896,1896,1872,1,0,0,,own
country_obs,as_1872,WOOD and TIMBER,Mahogany,9,1953,1961,1961,1872,1,0,0,,own
country_obs,as_1872,WOOD and TIMBER,Mahogany : Unenumerated,15,1962,1976,1976,1872,1,0,0,,Furniture and Hardwoods|Unenumerated
country_obs,as_1872,WOOD and TIMBER,Staves,7,1946,1952,1952,1872,1,0,0,,own
country_obs,as_1872,Wool,Sheep or Lambs,25,1985,2009,2009,1872,1,0,0,,own
country_obs,as_1872,"YEAST, Dried",,4,2041,2044,2044,1872,1,0,0,,own
country_obs,as_1873,ALKALI,,8,1,8,8,1873,1,0,0,,own
country_obs,as_1873,ANIMALS,Horses,7,27,33,33,1873,1,0,0,,own
country_obs,as_1873,ANIMALS,Sheep and Lambs,9,34,42,42,1873,1,0,0,,own
country_obs,as_1873,BARK,"For Tanners' or Dyers' Use, Unenumerated",8,105,112,112,1873,1,0,0,,own
country_obs,as_1873,BARK,Peruvian,11,118,128,128,1873,1,0,0,,own
country_obs,as_1873,BEADS,Of Glass,5,136,140,140,1873,1,0,0,,own
country_obs,as_1873,BOOKS,,10,161,170,170,1873,1,0,0,,own
country_obs,as_1873,BRIMSTONE,,4,177,180,180,1873,1,0,0,,own
country_obs,as_1873,BRISTLES,,7,181,187,187,1873,1,0,0,,own
country_obs,as_1873,BUTTER,,11,188,198,198,1873,1,0,0,,own
country_obs,as_1873,CANDLES,Stearine,4,205,208,208,1873,1,0,0,,own
