table,volume,article_group,article,n_rows,seq_min,seq_max,boundary_seq,boundary_years,n_t1_totals,rows_after,qty_after,first_after,matched
country_obs_inf,as_1899,GUM,GUTTA PERCHA,332,9018,9350,9104,1897;1898;1899,11,246,1502972,Germany,own
country_obs_inf,as_1898,"ORE, unenumerated",PARAFFINE,386,16073,16458,16213,1894;1895;1896;1897;1898,18,245,2825137557,Northern Ports,own
country_obs,as_1898,FISH (including Turtle),"Unenumerated, Dried",327,7745,8071,7829,1894;1895;1896;1897;1898,14,242,882176148,Russia,own
country_obs,as_1898,POTATOES,,321,17455,17880,17533,1894;1895;1896;1897;1898,26,242,124612465,Sweden,own
country_obs_inf,as_1899,"CARDS, PLAYING",Roasted or Ground,323,25644,25990,25724,1895;1896;1897;1898;1899,26,242,677110351,TOTAL,own
country_obs,as_1897,"CARDS, PLAYING",,312,25749,26060,25820,1893;1894;1895;1896;1897,35,240,552750985,Germany,own
country_obs,as_1899,FRUIT,"Unenumerated, Dried",325,7760,8084,7848,1895;1896;1897;1898;1899,13,236,1040435879,Russia,own
country_obs,as_1898,DYE WOODS,Logwood,297,5748,6044,5812,1894;1895;1896;1897;1898,13,232,198474849,Russia,own
country_obs,as_1899,PAPER,Strawboard and Millboard,361,16083,16443,16214,1895;1896;1897;1898;1899,32,229,8766401,Norway,own
country_obs,as_1897,SPIRITS,Brandy,342,26881,27222,26997,1893;1894;1895;1896;1897,22,225,25002980,Russia,own
country_obs_inf,as_1897,"CARDS, PLAYING",Geneva,255,24734,24988,24763,1893;1894;1895;1896;1897,19,225,25299082,Russia,own
country_obs,as_1897,SLATES,Dutch Possessions in Indian Seas,400,21004,21453,21179,1893;1894;1895;1896;1897,20,224,176762101,Northern Ports,Sponge
country_obs_inf,as_1898,SUGAR,Eastern Coast of Africa,277,21704,22649,21757,1894;1895;1896;1897;1898,19,223,1234484,Zanzibar and Pemba,"Tin Ore;Tin, Ore of"
country_obs_inf,as_1897,Cotton,Dutch Possessions in Indian Seas,395,18632,19076,18807,1893;1894;1895;1896;1897,16,219,120951650,Northern Ports,Sponge
country_obs,as_1898,LATES,Dutch Possessions in Indian Seas,387,20945,21381,21114,1894;1895;1896;1897;1898,23,217,180283689,Russia,Sponge
country_obs,as_1897,SLATES,"Unrefined, Total",456,21826,22281,22066,1893;1894;1895;1896;1897,20,215,50456974,Germany,Unrefined - - - - -
country_obs_inf,as_1899,OIL,Of other sorts,298,15836,16135,15921,1895;1896;1897;1898;1899,14,212,95149298,Germany,Oil-seed Cake|Of other sorts;Other Sorts
country_obs,as_1898,LATES,"Unrefined, Total",443,21758,22200,21990,1894;1895;1896;1897;1898,24,210,53328560,Germany,Unrefined
country_obs,as_1887,SPIRITS,Rum,211,72,284,86,1887,6,196,955681253,Holland,own
country_obs,as_1897,NUTS AND KERNELS,"Chemical, Essential or Perfumed",563,15222,15876,15682,1894;1896;1897,11,194,85461790,TOTAL,""" Chemical, Essential, or Perfumed - Lbs.;Chemical, Essentia"
country_obs_inf,as_1898,FLAX,"Preserved without Sugar, other than Dried",297,7567,7863,7683,1894;1895;1896;1897;1898,12,180,3031728,Germany,Preserved without Sugar
country_obs,as_1898,SALTPETRE (Nitrate of Potash),,226,17937,18162,17983,1894;1895;1896;1897;1898,14,179,81381798,Russia,own
country_obs_inf,as_1897,Cotton,Eastern Coast of Africa,367,16353,18610,16544,1893;1894;1895;1896;1897,13,176,597045796,Portuguese Possessions,"Unenumerated, for expressing Oil therefrom - Quarters"
country_obs_inf,as_1897,Beef,Of other sorts,260,13173,13445,13257,1893;1894;1895;1896,7,175,79973628,TOTAL,Mares
country_obs_inf,as_1897,LEAD,"Varnished, Japanned, or Enamelled",258,10420,10774,10506,1893;1894;1895;1896;1897,20,173,321873550,TOTAL,"Varnished, japanned or enameled"
country_obs,as_1898,"BOOKS, Bound and Unbound, in- cluding Maps and Charts",,234,1276,1509,1340,1894;1895;1896;1897;1898,18,169,64758301,"Turkey, Asiatic","Books;Books, bound and unbound, including Maps and Charts Ci"
country_obs_inf,as_1898,SUGAR,"Glucose, Solid or Liquid",210,21469,21678,21510,1894;1895;1896;1897;1898,16,168,30988973,Russia,.. Glucose (Solid or Liquid);Glucose
country_obs,as_1899,IRON,Ore of (including Chrome),343,10749,11091,10926,1895;1896;1897;1898;1899,19,165,1369584,Russia,own
country_obs,as_1899,SUGAR,"Glucose, Solid or Liquid",211,21683,21893,21728,1895;1896;1897;1898;1899,15,165,33113654,Russia,.. Glucose (Solid or Liquid);Glucose
country_obs,as_1899,NUTS AND KERNELS,Coco-nut,229,14949,15178,15019,1895;1896;1897;1898;1899,16,158,15947117,France,own
country_obs,as_1898,WINE,"in Bottles, Still",258,27643,27900,27743,1894;1895;1896;1898,24,157,32741176,TOTAL,„ Imported in Bottles|Still
country_obs,as_1898,NUTS AND KERNELS,Coco-nut,228,14869,15097,14940,1894;1895;1896;1897;1898,15,156,16507801,France,own
country_obs,as_1898,CAOUTCHOUCC,Eastern Coast of Africa,324,1808,2131,1976,1894,3,155,98439231,TOTAL,Caoutchouc
country_obs,as_1898,"COPPER, ORE OF",Yarn,303,4483,4866,4633,1894;1895;1896;1897;1898,26,152,740529692,Germany,own
country_obs,as_1898,"HORNS, tips and pieces of Horns and Hoofs",Ore of (including Chrome),324,10735,11058,10906,1894;1895;1896;1897;1898,20,152,1296427,Russia,own
country_obs,as_1897,"HORNS, tips and pieces of Horns and Hoofs",Ore of (including Chrome),317,10713,11029,10878,1894;1895;1896;1897,19,151,1252942,Sweden,own
country_obs,as_1898,NUTS AND KERNELS,Seed,214,15098,15312,15163,1895;1896;1897;1898,11,149,33756979,Belgium,own
country_obs_inf,as_1898,METAL,Seed,214,14707,14921,14772,1894;1895;1896;1897;1898,14,149,34335348,Russia,own
country_obs,as_1898,"COPPER, ORE OF",Beans (not Kidney or French),335,3847,4181,4033,1894;1897;1898,6,148,297502822,Russia,own
country_obs_inf,as_1897,FLAX,Eastern Coast of Africa,221,6378,6851,6453,1893;1894;1895;1896;1897,9,148,2189751,Zanzibar and Pemba,Ore;Ore of
country_obs,as_1898,"COPPER, ORE OF",Valonia,186,5562,5747,5600,1895;1896;1897;1898,11,147,3042057,Germany,own
country_obs_inf,as_1899,PORK,"POULTRY AND GAME, alive or dead",175,17837,18021,17864,1895;1896;1897;1898;1899,14,147,78190332,Belgium,Quicksilver
country_obs,as_1899,CORDAGE,"Cables (not of Iron), Twine, and Cable Yarn",400,3164,3564,3420,1895;1896;1897;1898;1899,14,144,383397529,TOTAL,Cork: Unmanufactured;Cork|Unmanufactured
country_obs,as_1897,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",237,23318,23554,23411,1893;1895;1896;1897,8,143,4255901,Sweden,Sawn: Fir
country_obs,as_1899,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",228,14046,14273,14130,1895;1896;1897;1898;1899,23,143,13582110,TOTAL,"""    Manufactures of Iron and Steel|""    ""    Old, fit only "
country_obs_inf,as_1897,TIN,"Sawn or Split, planed or dressed, Fir",236,20968,21204,21060,1893;1894;1895;1896,7,143,10741393,TOTAL,Sawn: Fir
country_obs,as_1899,HATS OR BONNETS,Of Other Materials,277,9505,9782,9640,1895;1896;1897;1898;1899,11,141,1324301,Russia,own
country_obs_inf,as_1898,Bark,Fresh (not of British taking) Herrings,171,6256,6426,6286,1894;1895;1896;1897;1898,21,140,8366774,Sweden,own
country_obs,as_1898,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",242,23241,23482,23343,1894;1895;1897;1898,10,139,4320116,Sweden,Sawn: Fir
country_obs,as_1899,WOOD AND TIMBER,"Sawn or Split, planed or dressed,     Fir",240,22853,23092,22954,1895;1896;1897;1898;1899,12,138,4438374,Sweden,Sawn: Fir
country_obs,as_1897,METAL,"Unenumerated, Old, fit only to be Re-manufactured—cont.",321,13951,14331,14134,1894;1895;1896,13,137,40622589,TOTAL,"""    Manufactures of Iron and Steel|""    ""    Old, fit only "
country_obs_inf,as_1897,Beef,"Unenumerated, Old, fit only to be Re-manufactured—cont.",320,11719,12099,11902,1893;1894;1895;1896,13,137,39483227,TOTAL,"""    Manufactures of Iron and Steel|""    ""    Old, fit only "
country_obs,as_1897,METAL,"Leaf, not Gold",240,13707,13950,13813,1893;1894;1895;1897,8,134,2692348,TOTAL,own
country_obs,as_1897,SPIRITS,Perfumed,185,27223,27407,27276,1893;1894;1896,3,131,3750900319,TOTAL,own
country_obs,as_1897,FLAX,"Unenumerated, Dried",326,7733,8060,7932,1893;1894;1895;1897,11,126,176893249,TOTAL,own
country_obs,as_1897,LEAD,"Manufactures, including manu- factures of linen mixed with cotton",163,12726,12888,12765,1893;1894;1895;1896;1897,11,123,2149945,TOTAL,Liquorice
country_obs,as_1899,SLATES,,159,20288,20510,20324,1895;1896;1897;1898;1899,13,122,28337497,Germany,own
country_obs_inf,as_1898,METAL,"MILK, condensed",206,13679,13940,13762,1894;1895;1896;1897;1898,21,122,43928008,TOTAL,""" or Ingots;Part Wrought"
country_obs,as_1897,FEATHERS AND DOWN,Eastern Coast of Africa,269,6443,6711,6590,1893;1894;1895;1896;1897,20,121,8808226,TOTAL,Ornamental
country_obs,as_1898,FRUIT,"Unenumerated, Sweetened, or Mixed (Tested)",205,26718,26922,26802,1894;1895;1896;1897;1898,15,120,996153,"Russia, Northern Ports","Sweetened or Mixed, Tested"
country_obs_inf,as_1899,SUGAR,TALLOW and STEARINE,243,21957,22199,22079,1895;1896;1897;1898;1899,15,120,1831533,Russia,own
country_obs,as_1897,SALTPETRE (Nitrate of Potash),Clover and Grass,289,18185,18475,18356,1895;1896,4,119,29962145,TOTAL,own
country_obs,as_1874,COFFEE,,144,51,205,77,1874,8,117,62056050,COLLODION: From all Countries,own
country_obs,as_1898,LINEN,Bones for Manure (whether burnt or not),256,12938,13194,13076,1894;1895;1896;1897;1898,17,117,2182254,Sweden,own
country_obs_inf,as_1899,Bark,Unenumerated,248,5717,6023,5847,1895;1896;1897;1898;1899,8,117,195329,Germany,Unenumerated
country_obs,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",,216,2297,2553,2396,1893;1894;1895;1896;1897,19,116,952857,Germany,own
country_obs_inf,as_1872,"CARDS, PLAYING",Geneva,119,97,218,99,1872,4,116,55688261,Germany,own
country_obs_inf,as_1898,"SKINS, AND FURS",Dutch Possessions in Indian Seas,375,20427,20863,20741,1894;1895;1896;1897;1898,17,115,165344786,Denmark,Sponge
country_obs,as_1897,"BOOKS, Bound and Unbound, in- cluding Maps and Charts",,236,1295,1530,1416,1893;1894;1895;1896;1897,19,114,64322948,Spain,"Books;Books, bound and unbound, including Maps and Charts Ci"
country_obs_inf,as_1897,Bark,Unenumerated,389,3633,4085,3971,1893;1894;1895;1896;1897,8,114,188850983,TOTAL,Unenumerated
country_obs_inf,as_1897,Beef,"Chemical, Essential or Perfumed",225,12782,13107,12892,1896,1,114,5052464,TOTAL,""" Chemical, Essential, or Perfumed - Lbs.;Chemical, Essentia"
country_obs_inf,as_1899,Cotton,Unenumerated,396,20861,21302,21187,1895;1896;1897;1898;1899,18,114,167060324,Denmark,Sponge
country_obs,as_1899,SLATES,Eastern Coast of Africa,156,20578,20733,20622,1895;1896;1897;1898;1899,5,111,166773646,Germany,Pepper
country_obs_inf,as_1898,"ORE, unenumerated",Unprinted,183,15533,15715,15604,1895;1897;1898,10,111,22222818,Sweden,own
country_obs,as_1898,FRUIT,"Rum, Imitation",223,26495,26717,26608,1894;1895;1896;1897;1898,21,109,37841489,TOTAL,own
country_obs,as_1899,FISH (including Turtle),Shell Fish of all sorts,146,6611,6759,6648,1895;1896;1897;1898;1899,14,108,4520645,Norway,",, Shell Fish : Oysters for food;Shell Fish : Oysters"
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Wheatmeal or Flour,262,2031,2292,2184,1893;1894;1895;1896;1897,17,108,8920675,TOTAL,own
country_obs_inf,as_1898,"SKINS, AND FURS",Eastern Coast of Africa,234,19365,20426,19490,1894;1895;1896;1898,8,108,410878551,Russia,".. Sheep, undressed;Sheep and Lamb, undressed"
country_obs,as_1897,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,"Madder, Madder Root, Garancine, and Munjeet",164,5536,5699,5592,1893;1894;1895;1896;1897,26,107,3113841,TOTAL,own
country_obs,as_1898,LINEN,"Manufactures, including manu- factures of linen mixed with cotton",167,12771,12937,12831,1894;1895;1896;1897;1898,15,106,2194850,TOTAL,Liquorice
country_obs,as_1899,CORDAGE,Yarn,231,4430,4660,4554,1895;1896;1897;1899,15,106,733703136,Holland,own
country_obs_inf,as_1898,LEATHER,"Manufactures, including manufactures of linen mixed with cotton",167,12312,12478,12372,1894;1895;1896;1897;1898,13,106,2181093,TOTAL,Liquorice
country_obs_inf,as_1899,"CARDS, PLAYING",COLLODION,157,26199,26355,26249,1895;1896;1897;1898;1899,31,106,408062,Germany,"Coin, Gold and Silver (see Table No. 15)."
country_obs,as_1897,POTATOES,,306,17479,17970,17865,1895;1896;1897,9,105,76040351,Germany,own
country_obs_inf,as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Peas,184,1718,1902,1796,1893;1894;1896;1897,5,105,56895881,Northern Ports,own
country_obs,as_1897,SALTPETRE (Nitrate of Potash),,151,18034,18184,18080,1897,1,104,73473271,Northern Ports,own
country_obs,as_1899,HATS OR BONNETS,Tow,149,9783,9931,9828,1898;1899,4,103,90857,Russia,own
country_obs_inf,as_1898,"CARDS, PLAYING",COLLODION,147,25489,25635,25537,1894;1895;1896;1897;1898,28,98,1168096,TOTAL,"Coin, Gold and Silver (see Table No. 15)."
country_obs_inf,as_1898,"ORE, unenumerated","Of Silver, gilt or ungilt",154,16578,16762,16635,1894;1895;1896;1897;1898,16,96,1347843,Belgium,own
country_obs,as_1899,WINE,"in Bottles, Still",248,27614,27861,27766,1895;1896;1897;1898;1899,28,95,1511533,TOTAL,„ Imported in Bottles|Still
country_obs_inf,as_1897,TIN,WAX,294,20381,20675,20580,1893;1895;1896;1897,8,95,61092,Norway,own
country_obs,as_1898,LINEN,Phosphate of Lime and Rock,172,13195,13366,13273,1894;1895;1896;1897;1898,9,93,1181145,Russia,own
country_obs,as_1899,NUTS AND KERNELS,"Chemical, Essential or Perfumed",375,15283,15723,15633,1895;1896;1897;1898;1899,18,90,688444,TOTAL,""" Chemical, Essential, or Perfumed - Lbs.;Chemical, Essentia"
country_obs,as_1897,WOOL,Other Goats' Wool or Hair,114,24089,24202,24114,1896;1897,2,88,356621832,Russia : Northern Ports,own
country_obs,as_1897,TOBACCO,Cigars,310,27521,27830,27743,1893;1894;1895;1897,14,87,5318478,Brazil,"Manufactured, Cigars"
country_obs,as_1899,MANURES,Phosphate of Lime and Rock,159,13265,13423,13337,1895;1896;1897;1898;1899,10,86,1684652,TOTAL,own
country_obs_inf,as_1899,MALT,Guano,276,13257,13533,13448,1895;1896;1897;1898;1899,18,85,1263965,Sweden,own
country_obs,as_1898,Cotton,Tares and Lentils,162,18518,18679,18595,1894;1895;1897;1898,4,84,466342,Northern Ports,own
country_obs_inf,as_1897,Cotton,Tares and Lentils,162,16191,16352,16268,1893;1894;1895;1897,4,84,456945,Northern Ports,own
country_obs_inf,as_1899,SUGAR,Eastern Coast of Africa,168,22703,22870,22786,1895;1898;1899,6,84,37731,Denmark,Wax
country_obs_inf,as_1899,HATS OR BONNETS,Of Other Materials,136,9620,9755,9672,1895;1896;1897;1898,7,83,3414288,TOTAL,own
country_obs,as_1888,SPIRITS,Rum,95,91,186,103,1888,5,82,686391164,Holland,own
