fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1899,statcan_plato_w2_1899,0,28,GP,,right_only,,,,,939,187.8,,4094,614.1,,,,,5033,801.9,2
1899,statcan_plato_w2_1899,1,1,GP,Switzerland.....,left_only,,28,2226,,,,,,,,,,,,,
1899,statcan_plato_w2_1899,1,20,GP,"3 "" Sheep..... > Great Britain.....",left_only,,46,2460,,,,,,,,,,,,,
1899,statcan_plato_w2_1899,2,17,GP,3 Baking powders..... > Great Britain..... > Lbs. > Lbs.,joined_weak,position,23125,6135,1412,381,84.72,,117,22.39,,,,,498,107.11,2
1899,statcan_plato_w2_1899,2,23,GP,3 Baking powders..... > Manitoba.....,joined_weak,position,19143,4962,19342,5301,1160.55,,,,,,,19312,5301,1160.55,2
1899,statcan_plato_w2_1899,2,24,GP,3 Baking powders..... > B. Columbia.....,joined_weak,position,139485,38715,128232,35528,7687.8,,,,,,,128292,35528,7687.8,2
1899,statcan_plato_w2_1899,4,0,GP,"DUTIABLE GOODS— Con. > 1 Belts of all kinds, N. O. P. ....",left_only,,,,8,,,,,,,,,,,,
1899,statcan_plato_w2_1899,5,12,GP,,right_only,,,,,21727,5430.5,,5830,1092.18,,,,,27557,6522.68,2
1899,statcan_plato_w2_1899,5,20,GP,,right_only,,,,,,,,25,4.6899999999999995,,,,,25,4.6899999999999995,2
1899,statcan_plato_w2_1899,5,22,GP,Lbs. > Lbs. > 3 Blueing—Laundry blueing of all kinds.... > Great Britain.....,joined_weak,position,156827,16123,10493,1036,259.0,,17335,3250.34,,,,,18371,3509.34,2
1899,statcan_plato_w2_1899,6,0,GP,DUTIABLE GOODS—Con. > 1 Bolsters and pillows. > Great Britain.....,joined_weak,position,,312,,52,15.6,260,58.53,312,,,,74.13,,,0
1899,statcan_plato_w2_1899,6,1,GP,United States.....,joined_weak,position,,1749,,1749,524.7,,,1749,,,,524.7,,,0
1899,statcan_plato_w2_1899,6,2,GP,Total..... > Ontario.....,joined_weak,position,,1458,,1240,372.0,218,49.08,1458,,,,421.08,,,0
1899,statcan_plato_w2_1899,6,3,GP,Quebec.....,joined_weak,position,,167,,125,37.5,42,9.45,167,,,,46.95,,,0
1899,statcan_plato_w2_1899,6,4,GP,N. Brunswick.....,joined_weak,position,,47,,47,14.1,,,47,,,,14.1,,,0
1899,statcan_plato_w2_1899,6,5,GP,B. Columbia.....,joined_weak,position,,389,,389,116.7,,,389,,,,116.7,,,0
1899,statcan_plato_w2_1899,6,6,GP,,joined_weak,position,,2061,,1801,540.3,260,58.53,2061,,,,598.83,,,0
1899,statcan_plato_w2_1899,6,7,GP,"2 Bone, manufactures of, N.E.S., > Great Britain.....",joined_weak,position,,9066,,197,39.4,8869,1330.35,9066,,,,1369.75,,,0
1899,statcan_plato_w2_1899,6,8,GP,China.....,joined_weak,position,,1,,1,0.2,,,1,,,,0.2,,,0
1899,statcan_plato_w2_1899,6,9,GP,France.....,joined_weak,position,,987,,467,93.4,543,81.45,1010,,,,174.85,,,0
1899,statcan_plato_w2_1899,6,10,GP,Germany.....,joined_weak,position,,338,,251,50.2,87,13.05,338,,,,63.25,,,0
1899,statcan_plato_w2_1899,6,11,GP,Holland.....,joined_weak,position,,1,,1,0.2,,,1,,,,0.2,,,0
1899,statcan_plato_w2_1899,6,12,GP,Japan.....,joined_weak,position,,39,,32,6.4,7,1.05,39,,,,7.45,,,0
1899,statcan_plato_w2_1899,6,13,GP,United States.....,joined_weak,position,,11744,,11774,2354.8,,,11774,,,,2354.8,,,0
1899,statcan_plato_w2_1899,6,14,GP,Total..... > Ontario.....,joined_weak,position,,7330,,6136,1227.2,1194,179.1,7330,,,,1406.3,,,0
1899,statcan_plato_w2_1899,6,15,GP,Quebec.....,joined_weak,position,,3312,,2798,559.6,537,80.55,3335,,,,640.15,,,0
1899,statcan_plato_w2_1899,6,16,GP,Nova Scotia.....,joined_weak,position,,5453,,201,40.2,5252,787.8,5453,,,,828.0,,,0
1899,statcan_plato_w2_1899,6,17,GP,N. Brunswick.....,joined_weak,position,,105,,81,16.2,24,3.6,105,,,,19.8,,,0
1899,statcan_plato_w2_1899,6,18,GP,Manitoba.....,joined_weak,position,,137,,91,18.2,46,6.9,137,,,,25.1,,,0
1899,statcan_plato_w2_1899,6,19,GP,B. Columbia.....,joined_weak,position,,5803,,3380,676.0,2453,367.95,5833,,,,1043.95,,,0
1899,statcan_plato_w2_1899,6,20,GP,Yukon.....,joined_weak,position,,36,,36,7.2,,,36,,,,7.2,,,0
1899,statcan_plato_w2_1899,6,21,GP,,joined_weak,position,,22176,,12723,2544.6,9506,1425.9,22229,,,,3970.5,,,0
1899,statcan_plato_w2_1899,6,22,GP,"3 Books, printed; periodicals and pamphlets, N.E.S. > Great Britain.....",joined_weak,position,,170208,,10831,1083.14,159032,11930.97,169863,,,,13014.07,,,0
1899,statcan_plato_w2_1899,6,23,GP,Australasia.....,joined_weak,position,,25,,25,2.5,,,25,,,,2.5,,,0
1899,statcan_plato_w2_1899,6,24,GP,Hong Kong.....,joined_weak,position,,4,,4,0.4,,,4,,,,0.4,,,0
1899,statcan_plato_w2_1899,6,25,GP,Newfoundland.....,joined_weak,position,,17,,17,1.7,,,17,,,,1.7,,,0
1899,statcan_plato_w2_1899,6,26,GP,Belgium.....,joined_weak,position,,1348,,1334,133.4,14,1.05,1348,,,,134.45,,,0
1899,statcan_plato_w2_1899,6,27,GP,China.....,joined_weak,position,,19,,19,1.9,,,19,,,,1.9,,,0
1899,statcan_plato_w2_1899,6,28,GP,France.....,joined_weak,position,,31232,,29432,2943.2,2294,172.05,31726,,,,3115.25,,,0
