fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1898,statcan_plato_may_1898,3,15,GP,3 Baking powders..... > United States.....,joined_weak,position,724,154,474,91,28.44,250.63,13.14,724,,,,154,41.58,3,-2
1898,statcan_plato_may_1898,3,17,GP,3 Baking powders..... > Quebec.....,joined_weak,position,60545,16356,60775,16358,3646.64,37.11,1.94,60812,,,,16369,3648.58,,-1
1898,statcan_plato_may_1898,3,18,GP,3 Baking powders..... > Nova Scotia.....,joined_weak,position,26050,6912,25185,6682,1511.13,39.13,2.05,25224,,,,6695,1513.18,,-1
1898,statcan_plato_may_1898,3,19,GP,3 Baking powders..... > N. Brunswick.....,joined_weak,position,15626,4066,15529,4634,931.77,97.32,5.1,15626,,,,4036,936.87,,-1
1898,statcan_plato_may_1898,3,25,GP,3 Baking powders.....,joined_weak,position,377303,103622,374850,101892,22491.35,250.63,13.14,375100,,,,101955,22504.4,,-1
1898,statcan_plato_may_1898,4,0,GP,,left_only,,,8,,,,,,,,,,,,,
1898,statcan_plato_may_1898,5,30,GP,Ontario.....,joined_weak,position,1,83,1,83,29.05,,,,,,,1.83,29.05,4,-2
1898,statcan_plato_may_1898,5,32,GP,B. Columbia.....,joined_weak,position,1,75,1,75,26.25,,,,,,,1.75,26.25,,-1
1898,statcan_plato_may_1898,6,16,GP,Germany.....,joined_weak,position,10,7,,,,1432,157,34.29,,,,1432,157,34.29,2
1898,statcan_plato_may_1898,6,20,GP,Nova Scotia.....,joined_weak,position,3152,584,3100,558,139.5,52.26,5.7,3152,,,,584,145.2,,-1
1898,statcan_plato_may_1898,6,21,GP,New Brunswick.....,joined_weak,position,958,423,893,391,97.75,65.32,6.98,958,,,,423,104.73,,-1
1898,statcan_plato_may_1898,6,23,GP,B. Columbia.....,joined_weak,position,1694,269,1118,213,51.4,432.46,10.06,1550,,,,259,61.46,,-1
1898,statcan_plato_may_1898,6,33,GP,Nova Scotia.....,joined_weak,position,5,193,4,110,27.5,1.83,18.16,5,,,,193,45.66,,-1
1898,statcan_plato_may_1898,7,26,GP,Belgium.....,left_only,,,1015,,,,,,,,,,,,,
1898,statcan_plato_may_1898,8,30,GP,France.....,joined_weak,position,5917,1492,1449,272,217.35,,1180,542.0,,,,,5578,1452,-2
1898,statcan_plato_may_1898,8,31,GP,Japan.....,joined_weak,position,156,54,6,2,0.9,,150,19.69,,,,,156.54,20.59,0
1898,statcan_plato_may_1898,8,32,GP,United States.....,joined_weak,position,18,10,18,10,2.7,,,,,,,,18.1,2.7,0
1898,statcan_plato_may_1898,8,34,GP,Ontario.....,joined_weak,position,38089,10651,37986,10598,5696.8,103.53,13.52,38089,,,,10651,5710.32,,-1
1898,statcan_plato_may_1898,8,37,GP,N. Brunswick.....,joined_weak,position,5707,1423,5504,1378,825.65,203.45,26.72,5707,,,,1423,852.37,,-1
1898,statcan_plato_may_1898,9,5,GP,Spain.....,left_only,,,1,,,,,,,,,,,,,
1898,statcan_plato_may_1898,10,1,GP,,left_only,,,22,6.22,,,,,,,,,,,,
1898,statcan_plato_may_1898,10,2,GP,,joined_weak,position,,146.28,,6,3.3,,,,,,,22,6,3.3,2
1898,statcan_plato_may_1898,10,6,GP,,joined_weak,position,,584,606.37,13,5.55,409,343,53.68,,,,446,356,59.23,2
1898,statcan_plato_may_1898,10,7,GP,,joined_weak,position,,885,121.28,8,4.2,484,43,63.52,,,,512,51,67.72,2
1898,statcan_plato_may_1898,10,19,GP,,right_only,,,,,62969,38145.32,34478,7937,4525.8,,,,288749,79996,42671.12,0
1898,statcan_plato_may_1898,10,21,GP,Germany . . . . .,joined_weak,position,681,753,,,,4122,4236,147.26,,,,4122,4236,147.26,2
1898,statcan_plato_may_1898,10,22,GP,United States . . . . .,joined_weak,position,10721,3858,11532,4360,1728.44,,,,,,,11562,4360,1728.44,2
1898,statcan_plato_may_1898,11,0,GP,"1 Books, &c.— Printed music, bound or in sheets...",left_only,,,,8,,,,,,,,,,,,
1898,statcan_plato_may_1898,12,0,GP,,left_only,,,8,,,,,,,,,,,,,
1898,statcan_plato_may_1898,12,44,GP,United States.....,joined_weak,position,15390,12382,15391,12310,3693.5,,,,,,,7,12310,3693.5,2
1898,statcan_plato_may_1898,13,3,GP,N. Brunswick,joined_weak,position,24,74,24,74,22.2,,,,,,,24.74,22.2,,-1
1898,statcan_plato_may_1898,13,12,GP,Total > Ontario,joined_weak,position,50186,7298,50056,7263,726.27,130.35,3.07,50186,,,,7298,729.34,,-1
1898,statcan_plato_may_1898,13,13,GP,Quebec,joined_weak,position,53275,8923,52857,8858,885.8,418.65,5.68,53275,,,,8923,891.48,,-1
1898,statcan_plato_may_1898,13,15,GP,N. Brunswick,joined_weak,position,1605,211,1505,194,19.4,100.17,1.49,1605,,,,211,20.89,,-1
1898,statcan_plato_may_1898,13,16,GP,Manitoba,joined_weak,position,433,91,433,91,9.1,,,,,,,433.91,9.1,,-1
1898,statcan_plato_may_1898,14,9,GP,,right_only,,,,,,,,,,,,,,,,0
1898,statcan_plato_may_1898,14,14,GP,Total..... > Ontario.....,joined_weak,position,2559,166,1221,67,13.4,1314.97,16.96,2535,,,,164,30.36,,-1
1898,statcan_plato_may_1898,14,25,GP,China.....,joined_weak,position,2854,97,2854,97,24.25,,,,,,,2854.97,24.25,,-1
1898,statcan_plato_may_1898,14,30,GP,Quebec.....,joined_weak,position,59567,3611,54624,3018,754.5,3338,484,105.92,,,,37962,3502,860.42,2
1898,statcan_plato_may_1898,14,31,GP,Nova Scotia.....,joined_weak,position,20417,1386,18340,1204,301.0,1154,155,33.94,,,,19491,1359,334.94,2
1898,statcan_plato_may_1898,14,32,GP,N. Brunswick.....,joined_weak,position,4494,392,4232,370,92.5,262.22,4.82,4494,,,,392,97.32,,-1
1898,statcan_plato_may_1898,15,15,GP,Japan.....,joined_weak,position,4368,90,3770,76,19.0,598,14,3.07,,,,4368.9,22.07,,-1
1898,statcan_plato_may_1898,15,21,GP,Manitoba.....,joined_weak,position,758,63,758,63,15.75,,,,,,,758.63,15.75,,-1
1898,statcan_plato_may_1898,15,22,GP,B. Columbia....,joined_weak,position,129824,4913,126697,4815,1203.55,598.14,3.07,127295,,,,4829,1206.62,,-1
1898,statcan_plato_may_1898,15,27,GP,B. E. Indies.....,joined_weak,position,1203400,17159,,,,771570,10894,8439.05,,,,771570,10894,8439.05,2
1898,statcan_plato_may_1898,15,33,GP,Japan.....,joined_weak,position,1493389,45479,532397,13002,6654.96,861657,26224,9656.82,,,,1394051,39226,16311.78,2
1898,statcan_plato_may_1898,15,39,GP,Manitoba.....,joined_weak,position,412174,10546,290362,6543,3629.52,181192,5152,1981.79,,,,471551,11695,5611.31,2
1898,statcan_plato_may_1898,15,40,GP,B. Columbia....,joined_weak,position,5698031,114231,4405276,75368,55065.35,758339,22518,8472.42,,,,5158645,97886,63537.77,2
1898,statcan_plato_may_1898,16,3,GP,Japan.....,joined_weak,position,116440,3547,,,,6440,137,28.18,,,,6440,137,28.18,2
1898,statcan_plato_may_1898,16,14,GP,Total..... > Ontario.....,joined_weak,position,93512,1776,99645,1888,470.19,1474.35,7.66,101119,,,,1923,477.85,,-1
1898,statcan_plato_may_1898,16,19,GP,B. Columbia....,joined_weak,position,88992,1283,88478,1267,316.75,402.12,2.64,88880,,,,1279,319.39,,-1
1898,statcan_plato_may_1898,16,23,GP,B. E. Indies.....,joined_weak,position,338355,4695,290667,3974,993.5,1180.24,5.25,291847,,,,3998,998.75,,-1
1898,statcan_plato_may_1898,16,33,GP,N. Brunswick..,joined_weak,position,37309,883,35597,843,210.75,1712.4,8.75,37309,,,,883,219.5,,-1
1898,statcan_plato_may_1898,16,36,GP,,joined_weak,position,,3984.97,2520,63,15.75,1464,34,7.44,,,,3984.97,23.19,,-1
1898,statcan_plato_may_1898,17,2,GP,,joined_weak,position,,15,20.14,19,5.7,1,1,0.27,,,,15,20,5.97,2
1898,statcan_plato_may_1898,17,3,GP,,joined_weak,position,,51,49.23,13,3.0,28,36,9.46,,,,51,49,13.36,0
1898,statcan_plato_may_1898,17,10,GP,,joined_weak,position,,7.15,,,,7,15,0.92,,,,7,15,0.92,2
1898,statcan_plato_may_1898,17,18,GP,,joined_weak,position,,15,30.15,30,2.37,,,,,,,15,30,2.37,2
1898,statcan_plato_may_1898,17,19,GP,,joined_weak,position,,55,81.55,81,8.25,,,,,,,55,81,8.25,2
1898,statcan_plato_may_1898,17,21,GP,,joined_weak,position,,14,26.14,26,2.18,,,,,,,14,26,2.18,2
1898,statcan_plato_may_1898,17,34,GP,,joined_weak,position,,26,20.26,20,2.65,,,,,,,26,20,2.65,2
1898,statcan_plato_may_1898,18,15,GP,Quebec.....,left_only,,568747,341426,,,,,,,,,,,,,
1898,statcan_plato_may_1898,19,0,GP,1 Indian or corn meal > Great Britain,left_only,,3,18,,,,,,,,,,,,,
1898,statcan_plato_may_1898,19,1,GP,United States,joined_weak,position,83957,146636,83770,146319,20943.8,3.18,0.66,83770,,,,146319,20943.8,,-1
1898,statcan_plato_may_1898,19,2,GP,Total > Ontario,joined_weak,position,3790,6118,3787,6100,946.75,3.18,0.66,3790,,,,6118,947.41,,-1
1898,statcan_plato_may_1898,19,10,GP,,joined_weak,position,83960,146654,83770,146319,20943.8,3.18,0.66,83773,,,,146337,20944.46,,-1
1898,statcan_plato_may_1898,19,11,GP,2 Oatmeal > Great Britain,joined_weak,position,,209,,121,24.2,2500.88,15.41,6559,,,,209,39.61,2,-2
1898,statcan_plato_may_1898,19,15,GP,Quebec,joined_weak,position,88856,1821,84664,1700,340.0,2192.76,13.3,86856,,,,1776,353.3,,-1
1898,statcan_plato_may_1898,19,16,GP,Nova Scotia,joined_weak,position,2487,88,2375,83,16.6,112,5,0.88,,,,2487.88,17.48,,-1
1898,statcan_plato_may_1898,19,19,GP,B. Columbia,joined_weak,position,147675,3475,147395,3467,693.2,,,,,,,147305,3467,693.2,2
1898,statcan_plato_may_1898,19,21,GP,,joined_weak,position,2277817,36526,2273037,36385,7276.03,2500.88,15.41,2275537,,,,36473,7291.44,,-1
1898,statcan_plato_may_1898,19,22,GP,3 Rye flour > Great Britain,joined_weak,position,,93,,93,11.1,,,,,,,18.93,11.1,3,-2
1898,statcan_plato_may_1898,19,34,GP,Total > Ontario,joined_weak,position,5468,24147,5464,24122,3279.71,4.25,2.23,5468,,,,24147,3281.94,,-1
1898,statcan_plato_may_1898,19,42,GP,,joined_weak,position,40741,168255,35583,148202,21353.16,4.25,2.23,35587,,,,148227,21355.39,,-1
