commodity,year,t1_value,origin_value,v_ratio,v_bucket,t1_qty,origin_qty,q_ratio,q_bucket,unit,n_origins,split
Cotton — Raw,1899,27672399,18671869,0.6747,under,14520062,14520033,1.0,exact01,Cwt,25,VALUE-ONLY-DEFECT
"Sugar — Unrefined, Total",1888,17857469,12108668,0.6781,under,17857469,17857469,1.0,exact01,Cwt,32,VALUE-ONLY-DEFECT
Maize Or Indian Corn,1899,12978025,13848016,1.067,over,62741350,62791050,1.0008,exact01,Cwt,14,VALUE-ONLY-DEFECT
Maize Or Indian Corn,1897,9188708,8564423,0.9321,under,53785380,53825580,1.0007,exact01,Cwt,14,VALUE-ONLY-DEFECT
"Sugar — Other Sorts, Including Candy",1898,8482915,7982668,0.941,under,13974041,13976483,1.0002,exact01,Cwt,10,VALUE-ONLY-DEFECT
Barley,1894,7690579,7083793,0.9211,under,31241384,31272465,1.001,exact01,Cwt,17,VALUE-ONLY-DEFECT
Jute,1883,4528429,4528429,1.0,exact01,7385028,116,0.0,under,Cwt,11,QTY-ONLY-DEFECT
Seeds — Flax Or Linseed,1880,4280469,4280469,1.0,exact01,1675271,1775271,1.0597,over,Quarter,9,QTY-ONLY-DEFECT
Hams,1898,3894839,3894795,1.0,exact01,1972299,1672294,0.8479,under,Cwt,8,QTY-ONLY-DEFECT
"Iron — Manufactures Of Iron Or Steel, Unenumerated",1899,3273520,2973457,0.9083,under,4504076,4503476,0.9999,exact01,Cwt,15,VALUE-ONLY-DEFECT
Jute,1886,3006295,3006295,1.0,exact01,267455,5349109,20.0,over,Cwt,8,QTY-ONLY-DEFECT
Eggs,1874,2433134,2433104,1.0,exact01,5671269,5332246,0.9402,under,Great Hundred,9,QTY-ONLY-DEFECT
Fruit — Oranges,1899,2182233,1292739,0.5924,under,8553713,8558124,1.0005,exact01,Bushel,14,VALUE-ONLY-DEFECT
Indigo,1874,2153732,1820732,0.8454,under,85707,85704,1.0,exact01,Cwt,10,VALUE-ONLY-DEFECT
Cotton,1898,2069111,2284185,1.1039,over,430432,430630,1.0005,exact01,Ton,37,VALUE-ONLY-DEFECT
Paper-Making Materials — Pulp Of Wood,1897,1939761,1604059,0.8269,under,388304,387974,0.9992,exact01,Ton,14,VALUE-ONLY-DEFECT
"Drugs — Bark, Peruvian",1882,1790220,2117151,1.1826,over,139285,139286,1.0,exact01,Cwt,16,VALUE-ONLY-DEFECT
Cotton,1875,1743326,6819711,3.9119,over,202205,202205,1.0,exact01,Ton,12,VALUE-ONLY-DEFECT
Sugar — In Lumps And Loaves,1898,1685967,1589764,0.9429,under,2546213,2546185,1.0,exact01,Cwt,4,VALUE-ONLY-DEFECT
"Animals, Living — Sheep And Lambs",1874,1610355,2310065,1.4345,over,758915,758315,0.9992,exact01,Number,7,VALUE-ONLY-DEFECT
Leather Manufactures — Gloves,1887,1513456,1628716,1.0762,over,1513456,1513456,1.0,exact01,Dozen Pairs,8,VALUE-ONLY-DEFECT
Caoutchouc,1877,1484794,1584794,1.0673,over,159723,159723,1.0,exact01,Cwt,18,VALUE-ONLY-DEFECT
Leather Manufactures — Gloves,1888,1470966,1598616,1.0868,over,1470966,1470876,0.9999,exact01,Dozen Pairs,6,VALUE-ONLY-DEFECT
Fruit — Currants,1878,1415179,1666946,1.1779,over,1087266,1087266,1.0,exact01,Cwt,9,VALUE-ONLY-DEFECT
